"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
406;Yuto Nagatomo\Yuto-Nagatomo;jp JPN;DF;Galatasaray;32;1986;15;1202;80;55.6;13.4;14;86;1;4;2;1.40;15;8;+7;+0.52;-1.07;Matches
407;Stefano Napoleoni\Stefano-Napoleoni;it ITA;MFFW;Göztepe;33;1986;18;1374;76;66.4;15.3;17;79;1;26;1;1.67;24;13;+11;+0.72;+1.63;Matches
408;Umut Nayir\Umut-Nayir;tr TUR;FW;Beşiktaş;26;1993;15;409;27;18.2;4.5;3;86;12;13;9;1.47;11;6;+5;+1.10;+0.95;Matches
409;Youssouf Ndayishimiye\Youssouf-Ndayishimiye;bi BDI;MF;Yeni Mal'spor;20;1998;1;13;13;0.6;0.1;0;;1;13;3;0.00;0;0;0;0.00;-0.04;Matches
410;Badou Ndiaye\Badou-Ndiaye;sn SEN;MF;Trabzonspor;28;1990;6;523;87;25.3;5.8;6;87;0;;0;2.67;17;6;+11;+1.89;+0.85;Matches
411;Dieumerci Ndongala\Dieumerci-Ndongala;cd COD;MF;Kasımpaşa;28;1991;7;439;63;20.3;4.9;5;75;2;31;0;0.71;4;10;-6;-1.23;-0.60;Matches
412;Recep Niyaz\Recep-Niyaz;tr TUR;MF;Denizlispor;23;1995;13;690;53;31.9;7.7;7;81;6;20;11;0.92;5;5;0;0.00;+0.55;Matches
413;Kristoffer Nordfeldt\Kristoffer-Nordfeldt;se SWE;GK;Gençlerbirliği;30;1989;7;630;90;29.2;7.0;7;90;0;;0;1.29;4;10;-6;-0.86;-0.62;Matches
414;Filip Novák\Filip-Novak;cz CZE;DF;Trabzonspor;29;1990;19;1651;87;79.8;18.3;19;87;0;;1;2.00;39;23;+16;+0.87;-1.92;Matches
415;Paul-Georges Ntep\Paul-Georges-Ntep;cm CMR;MFFW;Kayserispor;27;1992;5;140;28;6.5;1.6;2;58;3;8;2;0.60;0;7;-7;-4.50;-3.43;Matches
416;Atınç Nukan\Atinc-Nukan;tr TUR;DF;Göztepe;26;1993;1;1;1;0.0;0.0;0;;1;1;5;3.00;0;0;0;0.00;-0.17;Matches
417;Anthony Nwakaeme\Anthony-Nwakaeme;ng NGA;MFFW;Trabzonspor;30;1989;21;1756;84;84.8;19.5;20;86;1;45;0;2.10;48;19;+29;+1.49;+1.49;Matches
418;Steven Nzonzi\Steven-Nzonzi;fr FRA;MF;Galatasaray;30;1988;10;900;90;41.7;10.0;10;90;0;;3;1.70;11;8;+3;+0.30;-1.20;Matches
419;John Obi Mikel\John-Obi-Mikel;ng NGA;MF;Trabzonspor;32;1987;17;1401;82;67.7;15.6;16;87;1;10;1;2.29;41;17;+24;+1.54;+0.87;Matches
420;Ahmet Oğuz\Ahmet-Oguz;tr TUR;DF;Gençlerbirliği;26;1993;12;644;54;29.8;7.2;8;79;4;2;5;1.00;4;10;-6;-0.84;-0.60;Matches
421;Muhayer Oktay\Muhayer-Oktay;tr TUR;MF;Beşiktaş;20;1999;1;6;6;0.3;0.1;0;;1;6;14;3.00;0;0;0;0.00;-0.32;Matches
422;Paweł Olkowski\Pawel-Olkowski;pl POL;DFMF;Gaziantep FK;29;1990;8;411;51;19.0;4.6;5;81;3;2;16;1.00;3;12;-9;-1.97;-2.23;Matches
423;Abdülkadir Ömür\Abdulkadir-Omur;tr TUR;MF;Trabzonspor;20;1999;3;163;54;7.9;1.8;2;81;1;2;0;2.33;3;2;+1;+0.55;-0.77;Matches
424;Alper Önal\Alper-Onal;tr TUR;MF;Ankaragücü;23;1996;6;115;19;5.1;1.3;0;;6;19;7;0.33;2;4;-2;-1.57;-0.68;Matches
425;Ogenyi Onazi\Ogenyi-Onazi;ng NGA;MF;Trabzonspor;26;1992;0;;;;;0;;0;;3;;;;;;;Matches
426;Ogenyi Onazi\Ogenyi-Onazi;ng NGA;MF;Denizlispor;26;1992;4;161;40;7.5;1.8;3;43;1;32;0;1.00;2;5;-3;-1.68;-1.41;Matches
427;Henry Onyekuru\Henry-Onyekuru;ng NGA;MF;Galatasaray;22;1997;5;303;61;14.0;3.4;3;90;2;17;0;3.00;7;1;+6;+1.78;+0.91;Matches
428;Yevhen Opanasenko\Yevhen-Opanasenko;ua UKR;DF;Konyaspor;28;1990;0;;;;;0;;0;;2;;;;;;;Matches
429;Dever Orgill\Dever-Orgill;jm JAM;FW;Ankaragücü;29;1990;21;1871;89;83.2;20.8;21;89;0;;0;0.76;15;38;-23;-1.11;-1.11;Matches
430;Oğuzhan Orhan\Oguzhan-Orhan;tr TUR;MF;Ankaragücü;20;1998;0;;;;;0;;0;;3;;;;;;;Matches
431;Viðar Örn Kjartansson\Vidar-Orn-Kjartansson;is ISL;FW;Yeni Mal'spor;29;1990;5;192;38;9.3;2.1;1;55;4;34;0;0.00;1;2;-1;-0.47;-0.56;Matches
432;Caner Osmanpaşa\Caner-Osmanpasa;tr TUR;DF;Sivasspor;31;1988;23;2029;88;93.9;22.5;23;88;0;;0;1.96;43;26;+17;+0.75;-0.62;Matches
433;Orhan Ovacıklı\Orhan-Ovacikli;tr TUR;DFMF;Rizespor;30;1988;7;404;58;19.5;4.5;4;90;3;15;16;1.00;6;10;-4;-0.89;-0.30;Matches
434;Şener Özbayraklı\Sener-Ozbayrakli;tr TUR;DF;Galatasaray;29;1990;5;297;59;13.8;3.3;4;70;1;18;13;2.60;8;3;+5;+1.52;+0.60;Matches
435;Ertaç Özbir\Ertac-Ozbir;tr TUR;GK;Gençlerbirliği;29;1989;13;1170;90;54.2;13.0;13;90;0;;8;1.15;23;24;-1;-0.08;+0.74;Matches
