"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
171;Volkan Egri\Volkan-Egri;tr TUR;DF;Sivasspor;21;1998;0.2;0;0;0;1;1;;100.0;6.43;6.43;0.00;0.00;Matches
172;Mehmet Ekici\Mehmet-Ekici;tr TUR;MF;Fenerbahçe;29;1990;1.0;0;0;0;7;3;;42.9;6.85;2.93;0.00;0.00;Matches
173;Caleb Ekuban\Caleb-Ekuban;gh GHA;MF;Trabzonspor;25;1994;6.1;2;0;0;17;6;;35.3;2.80;0.99;0.12;0.33;Matches
174;Eljero Elia\Eljero-Elia;nl NED;MF;Başakşehir;32;1987;13.0;1;0;0;13;8;;61.5;1.00;0.62;0.08;0.13;Matches
175;Mohamed Elneny\Mohamed-Elneny;eg EGY;MF;Beşiktaş;27;1992;17.6;0;0;0;22;4;;18.2;1.25;0.23;0.00;0.00;Matches
176;Berkan Emir\Berkan-Emir;tr TUR;DF;Göztepe;31;1988;19.9;1;0;0;8;3;;37.5;0.40;0.15;0.13;0.33;Matches
177;Alexandru Epureanu\Alexandru-Epureanu;md MDA;DF;Başakşehir;32;1986;21.0;0;0;0;8;1;;12.5;0.38;0.05;0.00;0.00;Matches
178;Ziya Erdal\Ziya-Erdal;tr TUR;DFMF;Sivasspor;31;1988;9.6;1;0;0;6;1;;16.7;0.63;0.10;0.17;1.00;Matches
179;Mehmet Erdem Uğurlu\Mehmet-Erdem-Ugurlu;tr TUR;DF;Gaziantep FK;31;1988;0.9;0;0;0;0;0;;;0.00;0.00;;;Matches
180;Mevlüt Erdinç\Mevlut-Erdinc;tr TUR;FW;Fenerbahçe;32;1987;0.7;0;0;0;3;1;;33.3;4.43;1.48;0.00;0.00;Matches
181;Doğan Erdoğan\Dogan-Erdogan;tr TUR;MF;Trabzonspor;22;1996;4.9;0;0;0;2;1;;50.0;0.41;0.21;0.00;0.00;Matches
182;Yusuf Erdoğan\Yusuf-Erdogan;tr TUR;MF;Kasımpaşa;26;1992;4.4;1;0;0;10;4;;40.0;2.26;0.90;0.10;0.25;Matches
183;Caner Erkin\Caner-Erkin;tr TUR;DFMF;Beşiktaş;30;1988;22.9;2;0;0;17;4;;23.5;0.74;0.17;0.12;0.50;Matches
184;Oscar Estupiñan\Oscar-Estupinan;co COL;FWMF;Denizlispor;22;1996;6.6;4;0;0;25;11;;44.0;3.81;1.68;0.16;0.36;Matches
185;Radamel Falcao\Radamel-Falcao;co COL;FW;Galatasaray;33;1986;8.5;8;2;2;33;15;;45.5;3.89;1.77;0.18;0.40;Matches
186;Simon Falette\Simon-Falette;gn GUI;DF;Fenerbahçe;27;1992;1.0;0;0;0;1;0;;0.0;1.00;0.00;0.00;;Matches
187;Fabien Farnolle\Fabien-Farnolle;bj BEN;GK;Yeni Mal'spor;34;1984;23.0;0;0;0;0;0;;;0.00;0.00;;;Matches
188;Ricardo Faty\Ricardo-Faty;sn SEN;MF;Ankaragücü;32;1986;16.1;0;0;0;23;4;;17.4;1.43;0.25;0.00;0.00;Matches
189;Sofiane Feghouli\Sofiane-Feghouli;dz ALG;MF;Galatasaray;29;1989;17.3;4;0;0;41;13;;31.7;2.37;0.75;0.10;0.31;Matches
190;Ivanildo Fernandes\Ivanildo-Fernandes;pt POR;DF;Trabzonspor;23;1996;2.5;0;0;0;3;0;;0.0;1.21;0.00;0.00;;Matches
191;Ivanildo Fernandes\Ivanildo-Fernandes;pt POR;DF;Rizespor;23;1996;2.6;0;0;0;2;1;;50.0;0.77;0.38;0.00;0.00;Matches
192;Jorge Filipe Oliveira Fernandes\Jorge-Filipe-Oliveira-Fernandes;pt POR;DF;Kasımpaşa;22;1997;10.4;0;0;0;2;1;;50.0;0.19;0.10;0.00;0.00;Matches
193;Junior Fernándes\Junior-Fernandes;cl CHI;MF;Alanyaspor;31;1988;15.9;7;0;0;57;24;;42.1;3.59;1.51;0.12;0.29;Matches
194;Fernando\Fernando;br BRA;MFFW;Sivasspor;26;1993;13.3;5;0;0;40;11;;27.5;3.01;0.83;0.13;0.45;Matches
195;Volkan Fındıklı\Volkan-Findikli;tr TUR;MF;Konyaspor;28;1990;5.9;0;0;0;5;0;;0.0;0.85;0.00;0.00;;Matches
196;Moryké Fofana\Moryke-Fofana;ci CIV;MF;Yeni Mal'spor;27;1991;10.9;1;0;0;15;4;;26.7;1.38;0.37;0.07;0.25;Matches
197;Fredy\Fredy;ao ANG;MFFW;Antalyaspor;29;1990;8.5;2;0;0;21;5;;23.8;2.46;0.59;0.10;0.40;Matches
198;Kerim Frei\Kerim-Frei;tr TUR;MF;Başakşehir;25;1993;1.2;0;0;0;0;0;;;0.00;0.00;;;Matches
199;Lamine Gassama\Lamine-Gassama;sn SEN;DF;Göztepe;29;1989;20.5;0;0;0;1;0;;0.0;0.05;0.00;0.00;;Matches
200;Gelson\Gelson;ao ANG;FW;Antalyaspor;23;1996;1.8;0;0;0;2;1;;50.0;1.13;0.56;0.00;0.00;Matches
201;Okechukwu Godson Azubuike\Okechukwu-Godson-Azubuike;ng NGA;MF;Başakşehir;22;1997;8.4;0;0;0;1;0;;0.0;0.12;0.00;0.00;;Matches
202;Gerard Gohou\Gerard-Gohou;ci CIV;FW;Kasımpaşa;30;1988;0.5;0;0;0;1;0;;0.0;2.00;0.00;0.00;;Matches
203;Marcelo Goiano\Marcelo-Goiano;br BRA;DF;Sivasspor;31;1987;20.7;0;0;0;2;0;;0.0;0.10;0.00;0.00;;Matches
204;Gökhan Gönül\Gokhan-Gonul;tr TUR;DF;Beşiktaş;34;1985;20.3;2;0;0;21;7;;33.3;1.03;0.34;0.10;0.29;Matches
205;Zafer Görgen\Zafer-Gorgen;tr TUR;GK;Rizespor;19;2000;2.4;0;0;0;0;0;;;0.00;0.00;;;Matches
206;Guilherme\Guilherme;br BRA;MF;Trabzonspor;28;1991;3.5;0;0;0;6;0;;0.0;1.73;0.00;0.00;;Matches
207;Guilherme\Guilherme;br BRA;MF;Yeni Mal'spor;28;1991;14.7;5;0;0;34;12;;35.3;2.32;0.82;0.15;0.42;Matches
208;Fredrik Gulbrandsen\Fredrik-Gulbrandsen;no NOR;MFFW;Başakşehir;26;1992;5.8;3;0;0;17;7;;41.2;2.93;1.21;0.18;0.43;Matches
209;Levent Gülen\Levent-Gulen;ch SUI;DF;Kayserispor;25;1994;0.9;0;0;0;2;0;;0.0;2.20;0.00;0.00;;Matches
210;Ceyhun Gülselam\Ceyhun-Gulselam;tr TUR;MF;Alanyaspor;31;1987;16.1;3;0;0;21;9;;42.9;1.30;0.56;0.14;0.33;Matches
211;Sinan Gümüş\Sinan-Gumus;tr TUR;MFFW;Antalyaspor;25;1994;4.0;3;1;1;13;7;;53.8;3.28;1.76;0.15;0.29;Matches
212;Umut Güneş\Umut-Gunes;tr TUR;MF;Alanyaspor;19;2000;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
213;Mert Günok\Mert-Gunok;tr TUR;GK;Başakşehir;30;1989;24.0;0;0;0;0;0;;;0.00;0.00;;;Matches
214;Berke Gürbüz\Berke-Gurbuz;tr TUR;FW;Ankaragücü;16;2003;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
215;Serdar Gürler\Serdar-Gurler;tr TUR;MF;Göztepe;27;1991;20.4;6;0;1;41;21;;51.2;2.01;1.03;0.15;0.29;Matches
216;Luiz Gustavo\Luiz-Gustavo;br BRA;MF;Fenerbahçe;32;1987;20.0;2;0;0;34;9;;26.5;1.70;0.45;0.06;0.22;Matches
217;Günay Güvenç\Gunay-Guvenc;tr TUR;GK;Gaziantep FK;28;1991;22.0;0;0;0;0;0;;;0.00;0.00;;;Matches
218;Oussama Haddadi\Oussama-Haddadi;tn TUN;DF;Kasımpaşa;27;1992;6.0;0;0;0;2;0;;0.0;0.33;0.00;0.00;;Matches
219;Teenage Hadebe\Teenage-Hadebe;zw ZIM;DF;Yeni Mal'spor;23;1995;14.8;0;0;0;2;1;;50.0;0.14;0.07;0.00;0.00;Matches
220;Florent Hadergjonaj\Florent-Hadergjonaj;xk KVX;DF;Kasımpaşa;25;1994;5.0;0;0;0;1;0;;0.0;0.20;0.00;0.00;;Matches
221;Amir Hadžiahmetović\Amir-Hadziahmetovic;ba BIH;MF;Konyaspor;22;1997;8.7;1;0;0;20;6;;30.0;2.29;0.69;0.05;0.17;Matches
222;Karim Hafez\Karim-Hafez;eg EGY;DF;Kasımpaşa;23;1996;11.6;0;0;0;7;0;;0.0;0.61;0.00;0.00;;Matches
223;Karim Hafez\Karim-Hafez;eg EGY;DFFW;Yeni Mal'spor;23;1996;3.8;0;0;0;3;1;;33.3;0.80;0.27;0.00;0.00;Matches
224;Haris Hajradinović\Haris-Hajradinovic;ba BIH;MF;Kasımpaşa;25;1994;18.7;3;0;0;40;17;;42.5;2.14;0.91;0.08;0.18;Matches
225;Ahmet Hakan Demirli\Ahmet-Hakan-Demirli;tr TUR;FW;Kasımpaşa;18;2000;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
226;Denys Harmash\Denys-Harmash;ua UKR;MF;Rizespor;29;1990;2.3;1;0;0;5;1;;20.0;2.21;0.44;0.20;1.00;Matches
227;Dogucan Haspolat\Dogucan-Haspolat;nl NED;DF;Kasımpaşa;19;2000;1.1;0;0;0;1;0;;0.0;0.90;0.00;0.00;;Matches
228;Tobias Heintz\Tobias-Heintz;no NOR;MF;Kasımpaşa;21;1998;2.4;0;0;0;3;1;;33.3;1.24;0.41;0.00;0.00;Matches
229;Pedro Henrique\Pedro-Henrique;br BRA;MF;Kayserispor;29;1990;15.1;7;0;0;33;14;;42.4;2.18;0.93;0.21;0.50;Matches
230;Majid Hosseini\Majid-Hosseini;ir IRN;DFMF;Trabzonspor;23;1996;10.4;1;1;2;4;2;;50.0;0.38;0.19;0.00;0.00;Matches
231;Paolo Hurtado\Paolo-Hurtado;pe PER;FW;Konyaspor;29;1990;1.9;0;0;0;8;2;;25.0;4.29;1.07;0.00;0.00;Matches
232;Hasan Hüseyin Acar\Hasan-Huseyin-Acar;tr TUR;MF;Kayserispor;24;1994;11.6;0;0;0;11;2;;18.2;0.95;0.17;0.00;0.00;Matches
233;Atiba Hutchinson\Atiba-Hutchinson;ca CAN;MF;Beşiktaş;36;1983;21.1;4;0;0;14;5;;35.7;0.66;0.24;0.29;0.80;Matches
234;Ahmed Ildiz\Ahmed-Ildiz;tr TUR;MF;Yeni Mal'spor;22;1996;1.4;0;0;0;1;0;;0.0;0.73;0.00;0.00;;Matches
235;Selçuk İnan\Selcuk-Inan;tr TUR;MF;Galatasaray;34;1985;3.0;0;0;1;3;2;;66.7;1.01;0.67;0.00;0.00;Matches
236;Gökhan Inler\Gokhan-Inler;ch SUI;MF;Başakşehir;35;1984;1.9;0;0;0;2;1;;50.0;1.07;0.53;0.00;0.00;Matches
237;Mauricio Isla\Mauricio-Isla;cl CHI;DF;Fenerbahçe;31;1988;16.0;0;0;0;4;0;;0.0;0.25;0.00;0.00;;Matches
238;Adis Jahović\Adis-Jahovic;mk MKD;FW;Antalyaspor;32;1987;3.5;2;0;0;11;6;;54.5;3.14;1.71;0.18;0.33;Matches
239;Adis Jahović\Adis-Jahovic;mk MKD;FW;Yeni Mal'spor;32;1987;17.6;11;4;4;54;24;;44.4;3.07;1.37;0.13;0.29;Matches
240;Jefferson\Jefferson;br BRA;MFFW;Gaziantep FK;25;1994;9.5;1;0;0;18;4;;22.2;1.89;0.42;0.06;0.25;Matches
241;Cameron Jerome\Cameron-Jerome;eng ENG;FW;Göztepe;32;1986;15.4;3;0;0;35;11;;31.4;2.27;0.71;0.09;0.27;Matches
242;Marko Jevtović\Marko-Jevtovic;rs SRB;MF;Konyaspor;26;1993;14.1;2;2;3;16;7;;43.8;1.14;0.50;0.00;0.00;Matches
243;Juanfran\Juanfran;es ESP;DF;Alanyaspor;30;1988;5.7;0;0;0;4;2;;50.0;0.70;0.35;0.00;0.00;Matches
244;Jens Jønsson\Jens-Jonsson;dk DEN;MF;Konyaspor;26;1993;22.8;1;0;0;21;2;;9.5;0.92;0.09;0.05;0.50;Matches
245;Mathias Jørgensen\Mathias-Jorgensen;dk DEN;DF;Fenerbahçe;29;1990;13.7;2;0;0;6;3;;50.0;0.44;0.22;0.33;0.67;Matches
246;Moestafa El Kabir\Moestafa-El-Kabir;ma MAR;FW;Rizespor;30;1988;1.1;0;0;0;2;2;;100.0;1.75;1.75;0.00;0.00;Matches
247;Deniz Kadah\Deniz-Kadah;tr TUR;FWMF;Göztepe;33;1986;3.7;0;0;0;3;0;;0.0;0.81;0.00;0.00;;Matches
248;Ferdi Kadioglu\Ferdi-Kadioglu;nl NED;MF;Fenerbahçe;19;1999;2.9;2;0;0;7;2;;28.6;2.44;0.70;0.29;1.00;Matches
249;Oğuz Kağan Güçtekin\Oguz-Kagan-Guctekin;tr TUR;MF;Rizespor;20;1999;3.0;0;0;0;1;0;;0.0;0.34;0.00;0.00;;Matches
250;İrfan Kahveci\Irfan-Kahveci;tr TUR;MF;Başakşehir;24;1995;18.4;3;0;0;38;10;;26.3;2.07;0.54;0.08;0.30;Matches
251;Jean-Armel Kana-Biyik\Jean-Armel-Kana-Biyik;cm CMR;DF;Gaziantep FK;30;1989;23.0;1;0;0;8;2;;25.0;0.35;0.09;0.13;0.50;Matches
252;Kaan Kanak\Kaan-Kanak;tr TUR;DF;Alanyaspor;28;1990;3.0;0;0;0;2;0;;0.0;0.67;0.00;0.00;;Matches
253;Ferhat Kaplan\Ferhat-Kaplan;tr TUR;GK;Antalyaspor;30;1989;8.0;0;0;0;0;0;;;0.00;0.00;;;Matches
254;Aytaç Kara\Aytac-Kara;tr TUR;MF;Kasımpaşa;26;1993;21.9;4;0;0;41;14;;34.1;1.87;0.64;0.10;0.29;Matches
255;Aydın Karabulut\Aydin-Karabulut;tr TUR;MF;Ankaragücü;31;1988;7.7;1;0;0;12;4;;33.3;1.55;0.52;0.08;0.25;Matches
256;Efecan Karaca\Efecan-Karaca;tr TUR;MF;Alanyaspor;29;1989;19.6;0;0;0;12;4;;33.3;0.61;0.20;0.00;0.00;Matches
257;İlker Karakaş\Ilker-Karakas;tr TUR;FW;Gençlerbirliği;20;1999;0.4;0;0;0;3;1;;33.3;8.44;2.81;0.00;0.00;Matches
258;Cebrail Karayel\Cebrail-Karayel;tr TUR;DF;Ankaragücü;24;1994;8.7;0;0;0;3;0;;0.0;0.35;0.00;0.00;;Matches
259;Erce Kardeşler\Erce-Kardesler;tr TUR;GK;Trabzonspor;25;1994;1.4;0;0;0;0;0;;;0.00;0.00;;;Matches
260;Loris Karius\Loris-Karius;de GER;GK;Beşiktaş;26;1993;24.0;0;0;0;0;0;;;0.00;0.00;;;Matches
261;Erkan Kaş\Erkan-Kas;tr TUR;DF;Yeni Mal'spor;27;1991;3.4;0;0;0;1;0;;0.0;0.30;0.00;0.00;;Matches
262;Hasan Kaya\Hasan-Kaya;tr TUR;MF;Ankaragücü;23;1995;5.0;0;0;0;6;1;;16.7;1.21;0.20;0.00;0.00;Matches
263;Yalçın Kayan\Yalcin-Kayan;tr TUR;MF;Göztepe;20;1999;1.2;0;0;0;0;0;;;0.00;0.00;;;Matches
264;Olarenwaju Kayode\Olarenwaju-Kayode;ng NGA;FW;Gaziantep FK;26;1993;18.6;8;3;4;33;15;;45.5;1.78;0.81;0.15;0.33;Matches
265;Abdul Khalili\Abdul-Khalili;se SWE;MF;Kasımpaşa;27;1992;11.3;2;0;0;14;9;;64.3;1.23;0.79;0.14;0.22;Matches
266;Marc Kibong Mbamba\Marc-Kibong-Mbamba;cm CMR;MF;Denizlispor;30;1988;2.4;0;0;0;0;0;;;0.00;0.00;;;Matches
267;Emre Kılınç\Emre-Kilinc;tr TUR;MFFW;Sivasspor;24;1994;17.8;6;0;0;40;14;;35.0;2.24;0.79;0.15;0.43;Matches
268;Koray Kilinc\Koray-Kilinc;tr TUR;FW;Trabzonspor;19;2000;0.5;0;0;0;2;1;;50.0;4.00;2.00;0.00;0.00;Matches
269;Batuhan Kırdaroğlu\Batuhan-Kirdaroglu;tr TUR;MF;Göztepe;18;2000;0.2;0;0;0;0;0;;;0.00;0.00;;;Matches
270;Serkan Kırıntılı\Serkan-Kirintili;tr TUR;GK;Konyaspor;34;1985;22.0;0;0;0;0;0;;;0.00;0.00;;;Matches
271;Stelios Kitsiou\Stelios-Kitsiou;gr GRE;DFMF;Ankaragücü;25;1993;23.8;2;0;0;23;6;;26.1;0.97;0.25;0.09;0.33;Matches
272;Arda Kızıldağ\Arda-Kizildag;tr TUR;DF;Gençlerbirliği;20;1998;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
273;Anıl Koç\Anil-Koc;tr TUR;MF;Kasımpaşa;24;1995;0.6;0;0;0;3;1;;33.3;5.00;1.67;0.00;0.00;Matches
274;Okan Kocuk\Okan-Kocuk;tr TUR;GK;Galatasaray;24;1995;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
275;Bengali-Fodé Koita\Bengali-Fode-Koita;gn GUI;FWMF;Kasımpaşa;28;1990;14.2;4;0;0;34;14;;41.2;2.39;0.99;0.12;0.29;Matches
276;Arouna Koné\Arouna-Kone;ci CIV;FW;Sivasspor;35;1983;6.2;4;0;0;18;8;;44.4;2.91;1.29;0.22;0.50;Matches
277;Nurettin Korkmaz\Nurettin-Korkmaz;tr TUR;MF;Kayserispor;17;2002;1.4;0;0;0;1;0;;0.0;0.69;0.00;0.00;;Matches
278;Ramazan Köse\Ramazan-Kose;tr TUR;GK;Kasımpaşa;31;1988;4.0;0;0;0;0;0;;;0.00;0.00;;;Matches
279;Artem Kravets\Artem-Kravets;ua UKR;FW;Kayserispor;30;1989;7.3;4;0;0;20;7;;35.0;2.75;0.96;0.20;0.57;Matches
280;Max Kruse\Max-Kruse;de GER;MF;Fenerbahçe;31;1988;18.5;7;3;3;54;19;;35.2;2.92;1.03;0.07;0.21;Matches
281;Alihan Kubalas\Alihan-Kubalas;tr TUR;DF;Ankaragücü;27;1991;7.4;1;0;0;3;1;;33.3;0.40;0.13;0.33;1.00;Matches
282;Fyodor Kudryashov\Fyodor-Kudryashov;ru RUS;DF;Antalyaspor;32;1987;7.0;0;0;0;2;1;;50.0;0.29;0.14;0.00;0.00;Matches
283;Mert Kula\Mert-Kula;tr TUR;DF;Kayserispor;24;1995;5.7;0;0;0;4;1;;25.0;0.70;0.17;0.00;0.00;Matches
284;Ante Kulušić\Ante-Kulusic;hr CRO;DF;Ankaragücü;33;1986;22.5;0;0;0;5;1;;20.0;0.22;0.04;0.00;0.00;Matches
285;Yekta Kurtuluş\Yekta-Kurtulus;tr TUR;MF;Antalyaspor;33;1985;1.7;0;0;0;0;0;;;0.00;0.00;;;Matches
286;Zoran Kvržić\Zoran-Kvrzic;ba BIH;DF;Kayserispor;30;1988;1.5;0;0;0;1;0;;0.0;0.67;0.00;0.00;;Matches
287;Joseph Larweh Attamah\Joseph-Larweh-Attamah;gh GHA;MF;Rizespor;25;1994;11.1;0;0;0;3;1;;33.3;0.27;0.09;0.00;0.00;Matches
288;Mario Lemina\Mario-Lemina;ga GAB;MF;Galatasaray;25;1993;12.6;0;0;0;15;4;;26.7;1.19;0.32;0.00;0.00;Matches
289;Jeremain Lens\Jeremain-Lens;nl NED;MFDF;Beşiktaş;31;1987;10.0;1;0;0;12;9;;75.0;1.20;0.90;0.08;0.11;Matches
290;Martin Linnes\Martin-Linnes;no NOR;DF;Galatasaray;27;1991;3.5;0;0;0;3;1;;33.3;0.85;0.28;0.00;0.00;Matches
291;Adem Ljajić\Adem-Ljajic;rs SRB;MF;Beşiktaş;27;1991;16.0;3;0;0;43;12;;27.9;2.68;0.75;0.07;0.25;Matches
292;Saba Lobzhanidze\Saba-Lobzhanidze;ge GEO;MF;Ankaragücü;24;1994;4.5;1;0;0;12;4;;33.3;2.67;0.89;0.08;0.25;Matches
293;Yuri Lodygin\Yuri-Lodygin;ru RUS;GK;Gaziantep FK;29;1990;2.0;0;0;0;0;0;;;0.00;0.00;;;Matches
294;Miguel Lopes\Miguel-Lopes;pt POR;DF;Kayserispor;32;1986;21.0;0;0;0;18;4;;22.2;0.86;0.19;0.00;0.00;Matches
295;Tiago Jorge Oliveira Lopes\Tiago-Jorge-Oliveira-Lopes;pt POR;DF;Denizlispor;30;1989;15.6;0;0;0;5;1;;20.0;0.32;0.06;0.00;0.00;Matches
296;Silviu Lung Jr.\Silviu-Lung-Jr;ro ROU;GK;Kayserispor;30;1989;19.0;0;0;0;0;0;;;0.00;0.00;;;Matches
297;Christian Luyindama\Christian-Luyindama;cd COD;DF;Galatasaray;25;1994;9.8;0;0;0;9;3;;33.3;0.92;0.31;0.00;0.00;Matches
298;Róbert Mak\Robert-Mak;sk SVK;MF;Konyaspor;28;1991;2.2;0;0;0;6;1;;16.7;2.67;0.45;0.00;0.00;Matches
299;Marcão\Marcao;br BRA;DF;Galatasaray;23;1996;20.5;0;0;0;6;2;;33.3;0.29;0.10;0.00;0.00;Matches
300;Mariano\Mariano;br BRA;DFMF;Galatasaray;33;1986;19.3;0;0;0;6;0;;0.0;0.31;0.00;0.00;;Matches
301;Alexandru Maxim\Alexandru-Maxim;ro ROU;MFFW;Gaziantep FK;29;1990;4.7;2;0;0;10;5;;50.0;2.11;1.06;0.20;0.40;Matches
302;Gary Medel\Gary-Medel;cl CHI;MF;Beşiktaş;31;1987;1.4;0;0;0;2;0;;0.0;1.40;0.00;0.00;;Matches
303;Dario Melnjak\Dario-Melnjak;hr CRO;DF;Rizespor;26;1992;23.0;3;0;0;16;6;;37.5;0.70;0.26;0.19;0.50;Matches
304;Bernard Mensah\Bernard-Mensah;gh GHA;MFFW;Kayserispor;24;1994;16.8;2;2;2;38;12;;31.6;2.26;0.71;0.00;0.00;Matches
305;Yassine Meriah\Yassine-Meriah;tn TUN;DF;Kasımpaşa;26;1993;5.0;0;0;0;0;0;;;0.00;0.00;;;Matches
306;Muris Mešanović\Muris-Mesanovic;ba BIH;FWMF;Kayserispor;29;1990;6.8;2;0;0;18;10;;55.6;2.64;1.47;0.11;0.20;Matches
307;Konrad Michalak\Konrad-Michalak;pl POL;MF;Ankaragücü;21;1997;3.8;0;0;0;4;2;;50.0;1.04;0.52;0.00;0.00;Matches
308;Deni Milošević\Deni-Milosevic;ba BIH;MF;Konyaspor;24;1995;21.8;3;0;0;52;15;;28.8;2.39;0.69;0.06;0.20;Matches
309;Arturo Mina\Arturo-Mina;ec ECU;DF;Yeni Mal'spor;28;1990;10.2;0;0;0;8;2;;25.0;0.79;0.20;0.00;0.00;Matches
310;Farouk Miya\Farouk-Miya;ug UGA;FWMF;Konyaspor;21;1997;13.7;5;1;1;34;11;;32.4;2.48;0.80;0.12;0.36;Matches
311;Wilfred Moke\Wilfred-Moke;cd COD;MF;Ankaragücü;31;1988;12.6;0;0;0;7;2;;28.6;0.56;0.16;0.00;0.00;Matches
312;Emre Mor\Emre-Mor;tr TUR;MF;Galatasaray;22;1997;4.1;0;0;0;11;4;;36.4;2.71;0.99;0.00;0.00;Matches
313;Júnior Morais\Junior-Morais;br BRA;DFMF;Gaziantep FK;33;1986;20.0;0;0;0;14;6;;42.9;0.70;0.30;0.00;0.00;Matches
314;Mykola Morozyuk\Mykola-Morozyuk;ua UKR;DF;Rizespor;31;1988;16.2;0;0;0;8;1;;12.5;0.49;0.06;0.00;0.00;Matches
315;Victor Moses\Victor-Moses;ng NGA;MFFW;Fenerbahçe;28;1990;5.5;1;1;2;13;3;;23.1;2.38;0.55;0.00;0.00;Matches
316;Mossoró\Mossoro;br BRA;MF;Başakşehir;36;1983;1.0;0;0;0;1;0;;0.0;1.00;0.00;0.00;;Matches
317;Mossoró\Mossoro;br BRA;MFFW;Göztepe;36;1983;8.9;0;0;0;8;3;;37.5;0.90;0.34;0.00;0.00;Matches
318;Paul Mukairu\Paul-Mukairu;ng NGA;MFFW;Antalyaspor;19;2000;12.7;3;0;0;23;6;;26.1;1.81;0.47;0.13;0.50;Matches
319;Radosław Murawski\Radoslaw-Murawski;pl POL;MF;Denizlispor;25;1994;23.0;3;2;2;17;6;;35.3;0.74;0.26;0.06;0.17;Matches
320;Vedat Muriqi\Vedat-Muriqi;xk KVX;FW;Fenerbahçe;25;1994;22.1;13;2;2;87;35;;40.2;3.93;1.58;0.13;0.31;Matches
321;Fernando Muslera\Fernando-Muslera;uy URU;GK;Galatasaray;33;1986;23.0;0;0;0;0;0;;;0.00;0.00;;;Matches
322;Delvin N'Dinga\Delvin-NDinga;cg CGO;MF;Antalyaspor;31;1988;3.3;0;0;0;1;0;;0.0;0.31;0.00;0.00;;Matches
323;Georges-Kévin N'Koudou\Georges-Kevin-NKoudou;fr FRA;MF;Beşiktaş;24;1995;15.2;2;0;0;28;8;;28.6;1.84;0.52;0.07;0.25;Matches
324;Fabrice N'Sakala\Fabrice-NSakala;cd COD;DF;Alanyaspor;29;1990;20.7;0;0;0;6;2;;33.3;0.29;0.10;0.00;0.00;Matches
325;Yuto Nagatomo\Yuto-Nagatomo;jp JPN;DF;Galatasaray;32;1986;13.4;1;0;0;9;5;;55.6;0.67;0.37;0.11;0.20;Matches
326;Stefano Napoleoni\Stefano-Napoleoni;it ITA;MFFW;Göztepe;33;1986;15.3;2;0;0;16;6;;37.5;1.05;0.39;0.13;0.33;Matches
327;Umut Nayir\Umut-Nayir;tr TUR;FW;Beşiktaş;26;1993;4.5;4;0;0;17;7;;41.2;3.74;1.54;0.24;0.57;Matches
328;Youssouf Ndayishimiye\Youssouf-Ndayishimiye;bi BDI;MF;Yeni Mal'spor;20;1998;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
329;Badou Ndiaye\Badou-Ndiaye;sn SEN;MF;Trabzonspor;28;1990;5.8;1;0;0;5;2;;40.0;0.86;0.34;0.20;0.50;Matches
330;Dieumerci Ndongala\Dieumerci-Ndongala;cd COD;MF;Kasımpaşa;28;1991;4.9;0;0;0;2;1;;50.0;0.41;0.21;0.00;0.00;Matches
331;Recep Niyaz\Recep-Niyaz;tr TUR;MF;Denizlispor;23;1995;7.7;1;0;0;18;5;;27.8;2.35;0.65;0.06;0.20;Matches
332;Kristoffer Nordfeldt\Kristoffer-Nordfeldt;se SWE;GK;Gençlerbirliği;30;1989;7.0;0;0;0;0;0;;;0.00;0.00;;;Matches
333;Filip Novák\Filip-Novak;cz CZE;DF;Trabzonspor;29;1990;18.3;2;0;0;13;4;;30.8;0.71;0.22;0.15;0.50;Matches
334;Paul-Georges Ntep\Paul-Georges-Ntep;cm CMR;MFFW;Kayserispor;27;1992;1.6;0;0;0;2;1;;50.0;1.29;0.64;0.00;0.00;Matches
335;Atınç Nukan\Atinc-Nukan;tr TUR;DF;Göztepe;26;1993;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
336;Anthony Nwakaeme\Anthony-Nwakaeme;ng NGA;MFFW;Trabzonspor;30;1989;19.5;9;0;0;64;25;;39.1;3.28;1.28;0.14;0.36;Matches
337;Steven Nzonzi\Steven-Nzonzi;fr FRA;MF;Galatasaray;30;1988;10.0;0;0;0;5;1;;20.0;0.50;0.10;0.00;0.00;Matches
338;John Obi Mikel\John-Obi-Mikel;ng NGA;MF;Trabzonspor;32;1987;15.6;0;0;0;8;2;;25.0;0.51;0.13;0.00;0.00;Matches
339;Ahmet Oğuz\Ahmet-Oguz;tr TUR;DF;Gençlerbirliği;26;1993;7.2;0;0;0;6;0;;0.0;0.84;0.00;0.00;;Matches
340;Muhayer Oktay\Muhayer-Oktay;tr TUR;MF;Beşiktaş;20;1999;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
