id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
33;Roger Assalé\Roger-Assale;ci CIV;FWDF;Leganés;25;1993;0.8;0;0;0;1;2;1;2;0;0;0;0;0;1;1;100.0;1;0;0;0;;0;Matches
34;Miguel Atienza\Miguel-Atienza;es ESP;MF;Eibar;;;0.3;0;0;0;1;1;0;0;0;1;0;0;0;0;0;;0;0;0;0;;0;Matches
35;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;25;1994;17.7;6;0;0;46;43;24;22;16;4;1;0;0;15;33;45.5;19;1;19;29;65.5;10;Matches
36;Javier Avilés\Javier-Aviles;es ESP;MF;Leganés;21;1997;0.1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
37;Chidozie Awaziem\Chidozie-Awaziem;ng NGA;DF;Leganés;22;1997;15.7;6;0;0;15;9;2;4;22;23;0;0;0;3;3;100.0;3;0;33;43;76.7;10;Matches
38;Ramon Azeez\Ramon-Azeez;ng NGA;MF;Granada;26;1992;9.8;3;0;0;24;15;1;6;12;11;0;0;0;2;7;28.6;2;0;15;22;68.2;7;Matches
39;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;23;1996;22.2;5;0;0;31;45;1;2;32;31;0;3;1;32;36;88.9;32;1;49;83;59.0;34;Matches
40;Carlos Bacca\Carlos-Bacca;co COL;FWMF;Villarreal;32;1986;4.7;1;0;0;5;0;5;2;0;0;0;0;0;2;6;33.3;3;0;2;5;40.0;3;Matches
41;Gareth Bale\Gareth-Bale;wal WAL;FWMF;Real Madrid;30;1989;11.0;4;1;1;15;10;4;45;6;5;0;0;0;16;29;55.2;19;0;8;20;40.0;12;Matches
42;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Bilbao;31;1988;3.0;1;0;0;3;2;0;8;4;0;0;0;0;1;1;100.0;1;0;8;11;72.7;3;Matches
43;Éver Banega\Ever-Banega;ar ARG;MF;Sevilla;31;1988;19.6;5;0;0;20;40;2;116;18;6;0;0;0;27;44;61.4;29;0;32;62;51.6;30;Matches
44;Federico Barba\Federico-Barba;it ITA;DF;Valladolid;25;1993;5.0;3;0;0;8;5;0;5;8;8;0;0;0;1;2;50.0;1;0;11;12;91.7;1;Matches
