"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
479;Raúl de Tomás\Raul-de-Tomas;es ESP;FW;Espanyol;24;1994;5.0;4;1;1;20;7;1;35.0;4.00;1.40;0.15;0.43;3.0;2.2;0.11;+1.0;+0.8;Matches
480;Toño\Tono;es ESP;DF;Levante;29;1989;13.0;0;0;0;2;0;0;0.0;0.15;0.00;0.00;;0.1;0.1;0.07;-0.1;-0.1;Matches
481;Ferrán Torres\Ferran-Torres;es ESP;MFFW;Valencia;19;2000;19.7;4;0;0;27;9;0;33.3;1.37;0.46;0.15;0.44;3.2;3.2;0.12;+0.8;+0.8;Matches
482;Óliver Torres\Oliver-Torres;es ESP;FWMF;Sevilla;24;1994;12.4;1;0;0;12;7;0;58.3;0.97;0.57;0.08;0.14;1.3;1.3;0.11;-0.3;-0.3;Matches
483;Pau Torres\Pau-Torres;es ESP;DF;Villarreal;22;1997;22.0;1;0;0;6;1;0;16.7;0.27;0.05;0.17;1.00;1.1;1.1;0.18;-0.1;-0.1;Matches
484;Roberto Torres\Roberto-Torres;es ESP;MFFW;Osasuna;30;1989;22.0;5;4;4;55;14;8;25.5;2.49;0.64;0.02;0.07;5.8;2.8;0.05;-0.8;-1.8;Matches
485;Aleksandar Trajkovski\Aleksandar-Trajkovski;mk MKD;MF;Mallorca;26;1992;1.6;0;0;0;3;0;0;0.0;1.84;0.00;0.00;;0.1;0.1;0.05;-0.1;-0.1;Matches
486;Manu Trigueros\Manu-Trigueros;es ESP;MF;Villarreal;27;1991;12.7;1;1;1;16;6;1;37.5;1.26;0.47;0.00;0.00;1.8;1.0;0.06;-0.8;-1.0;Matches
487;Kieran Trippier\Kieran-Trippier;eng ENG;DF;Atlético Madrid;28;1990;16.0;0;0;0;3;0;2;0.0;0.19;0.00;0.00;;0.2;0.2;0.06;-0.2;-0.2;Matches
488;Samuel Umtiti\Samuel-Umtiti;fr FRA;DF;Barcelona;25;1993;9.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
489;Enes Ünal\Enes-Unal;tr TUR;FW;Valladolid;22;1997;18.0;4;1;1;36;13;2;36.1;2.00;0.72;0.08;0.23;4.3;3.6;0.10;-0.3;-0.6;Matches
490;Tomáš Vaclík\Tomas-Vaclik;cz CZE;GK;Sevilla;30;1989;24.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
491;Álvaro Vadillo\Alvaro-Vadillo;es ESP;FWMF;Granada;24;1994;13.6;3;1;1;17;5;12;29.4;1.25;0.37;0.12;0.40;1.8;1.1;0.06;+1.2;+0.9;Matches
