"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
242;Lago Junior\Lago-Junior;ci CIV;MFFW;Mallorca;28;1990;19.4;0;0.9;-0.9;13;414;569;72.8;17;50;34.0;367;447;82.1;30;72;41.7;115;401;1;0;0;10;25;13;4;Matches
243;Vinicius Júnior\Vinicius-Junior;br BRA;FWMF;Real Madrid;19;2000;9.0;1;1.8;-0.8;14;256;339;75.5;10;32;31.3;223;268;83.2;23;39;59.0;42;285;1;1;1;3;11;9;1;Matches
244;Lee Kangin\Lee-Kangin;kr KOR;MFFW;Valencia;18;2001;3.3;0;0.3;-0.3;4;115;145;79.3;3;7;42.9;91;101;90.1;21;37;56.8;126;11;2;0;4;2;7;3;0;Matches
245;Wilfrid Kaptoum\Wilfrid-Kaptoum;cm CMR;MF;Betis;23;1996;2.1;0;0.0;0.0;1;59;71;83.1;3;3;100.0;47;53;88.7;9;15;60.0;13;54;2;0;1;1;5;1;0;Matches
246;Kenedy\Kenedy;br BRA;MFDF;Getafe;23;1996;5.6;3;0.9;+2.1;7;108;161;67.1;5;15;33.3;84;107;78.5;19;39;48.7;135;18;3;0;3;0;6;13;8;Matches
247;Kike\Kike;es ESP;FW;Eibar;29;1989;11.1;0;0.2;-0.2;6;206;300;68.7;10;28;35.7;176;228;77.2;20;44;45.5;73;150;0;0;0;0;17;5;1;Matches
248;Kenan Kodro\Kenan-Kodro;ba BIH;FWMF;Athletic Bilbao;25;1993;3.7;0;0.0;0.0;1;44;69;63.8;1;2;50.0;41;61;67.2;2;6;33.3;10;37;0;0;0;0;3;0;0;Matches
249;Koke\Koke;es ESP;MF;Atlético Madrid;27;1992;19.8;3;3.7;-0.7;42;965;1177;82.0;45;67;67.2;790;867;91.1;130;243;53.5;94;1028;64;6;51;5;82;15;3;Matches
250;Geoffrey Kondogbia\Geoffrey-Kondogbia;cf CTA;MF;Valencia;26;1993;13.5;0;0.1;-0.1;3;580;696;83.3;12;14;85.7;404;465;86.9;164;217;75.6;554;86;24;1;0;0;55;2;0;Matches
251;Jules Koundé\Jules-Kounde;fr FRA;DF;Sevilla;20;1998;14.6;1;0.5;+0.5;2;678;802;84.5;3;13;23.1;480;531;90.4;195;258;75.6;73;638;23;0;0;31;36;1;1;Matches
