Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
bg Ludogorets;2;8.0;14;2;0;2;0;14.9;0.34;+0.9;+0.11;61;174;35.1;207;43;54.6;44.5;82;74.4;56.4;51;1;2.0;2;0.25;11.0
ch Lugano;2;6.0;5;1;0;0;0;5.2;0.37;+0.2;+0.03;20;79;25.3;109;20;27.5;32.2;65;75.4;53.4;48;1;2.1;2;0.33;12.1
de M'gladbach;1;6.0;9;0;0;2;0;6.9;0.28;-2.1;-0.35;57;113;50.4;262;26;36.6;34.2;50;34.0;35.4;26;1;3.8;5;0.83;14.7
se Malmö;1;8.0;11;0;0;1;2;8.8;0.28;-0.2;-0.02;57;166;34.3;195;37;63.1;47.5;63;68.3;54.4;52;1;1.9;1;0.13;12.7
eng Manchester Utd;3;9.0;3;0;0;0;1;3.6;0.21;+1.6;+0.17;30;78;38.5;176;46;30.1;30.9;77;32.5;33.8;48;2;4.2;5;0.56;15.6
gr Olympiacos;1;3.3;3;0;0;0;0;3.3;0.30;+0.3;+0.08;13;81;16.0;108;11;49.1;42.0;36;77.8;59.6;35;3;8.6;1;0.30;12.0
rs Partizan;2;6.0;10;1;0;0;0;7.0;0.35;-3.0;-0.50;42;112;37.5;147;17;53.1;41.7;41;82.9;59.0;25;1;4.0;9;1.50;17.2
pt Porto;1;8.0;14;2;0;1;0;11.8;0.42;-2.2;-0.27;96;169;56.8;237;34;53.6;41.0;59;71.2;51.6;45;6;13.3;6;0.75;16.7
nl PSV Eindhoven;3;6.0;12;2;0;2;0;8.5;0.29;-3.5;-0.58;41;118;34.7;171;31;52.6;41.1;57;49.1;44.0;36;4;11.1;2;0.33;14.1
az Qarabağ Ağdam;2;6.0;11;0;1;2;1;7.4;0.33;-2.6;-0.43;41;104;39.4;115;22;57.4;43.4;50;76.0;59.2;32;2;6.3;3;0.50;14.9
sco Rangers;1;9.0;11;1;0;1;1;8.5;0.28;-1.5;-0.17;71;188;37.8;199;32;65.3;46.9;85;68.2;51.9;68;5;7.4;4;0.44;13.7
at RB Salzburg;1;2.0;6;0;0;0;0;4.0;0.27;-2.0;-0.98;9;22;40.9;54;10;33.3;32.1;16;25.0;31.1;13;1;7.7;6;3.00;22.1
fr Rennes;3;6.0;8;1;1;1;0;5.4;0.28;-2.6;-0.44;41;87;47.1;156;18;44.2;39.7;37;48.6;41.1;28;5;17.9;4;0.67;14.4
it Roma;2;8.0;7;1;0;0;2;6.6;0.26;+1.6;+0.20;74;137;54.0;283;42;37.8;34.1;70;42.9;37.1;54;5;9.3;8;1.00;14.9
no Rosenborg;2;6.0;11;0;0;3;1;7.0;0.26;-3.0;-0.49;69;169;40.8;191;24;61.8;47.3;63;81.0;58.1;19;0;0.0;5;0.83;15.4
fr Saint-Étienne;2;6.0;8;0;0;0;2;5.6;0.33;-0.4;-0.06;54;112;48.2;154;24;48.1;39.3;49;77.6;57.0;28;1;3.6;2;0.33;16.4
es Sevilla;2;8.0;4;1;0;1;0;5.5;0.30;+1.5;+0.18;33;60;55.0;124;26;34.7;33.4;39;43.6;37.4;30;4;13.3;3;0.38;14.4
ua Shakhtar;1;3.0;5;1;0;2;0;3.3;0.25;-1.7;-0.57;12;56;21.4;90;16;41.1;38.4;27;70.4;52.6;17;2;11.8;0;0.00;11.7
sk Slovan Bratislava;1;6.0;13;3;0;1;2;11.5;0.37;+0.5;+0.09;33;122;27.0;115;28;60.0;46.6;69;76.8;56.4;49;1;2.0;4;0.67;13.7
pt Sporting CP;2;8.3;12;3;1;4;1;12.1;0.32;+1.1;+0.13;73;196;37.2;204;30;64.2;46.6;80;81.3;56.8;59;2;3.4;2;0.24;12.3
be Standard Liège;2;6.0;10;0;1;2;0;9.9;0.28;-0.1;-0.02;47;130;36.2;144;22;56.9;46.7;72;66.7;56.3;65;2;3.1;6;1.00;15.4
tr Trabzonspor;2;6.0;11;0;0;3;1;9.1;0.41;-0.9;-0.14;36;98;36.7;153;30;41.8;39.2;55;61.8;53.3;25;2;8.0;3;0.50;15.0
pt Vitória;2;6.0;10;1;2;3;1;9.4;0.43;+0.4;+0.06;47;132;35.6;173;26;53.8;42.4;53;73.6;55.0;28;3;10.7;12;2.00;17.9
at Wolfsberger AC;1;6.0;8;2;0;1;0;11.3;0.36;+3.3;+0.54;39;138;28.3;174;27;62.6;47.8;49;59.2;47.4;35;0;0.0;3;0.50;14.4
de Wolfsburg;2;9.0;10;1;0;2;0;7.1;0.31;-2.9;-0.32;65;146;44.5;267;31;41.9;37.1;60;56.7;47.1;45;0;0.0;3;0.33;14.3
eng Wolves;2;9.0;9;1;0;1;0;8.7;0.36;-0.3;-0.04;48;102;47.1;132;33;44.7;38.6;60;71.7;52.1;48;4;8.3;0;0.00;10.2
ch Young Boys;1;6.0;7;1;0;1;0;8.0;0.29;+1.0;+0.17;33;97;34.0;159;35;42.8;37.7;40;72.5;56.3;31;3;9.7;2;0.33;14.3
