"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
26;Nana Akwasi Asare\Nana-Akwasi-Asare;gh GHA;DF;be Gent;33;1986;5;5;450;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.03;0.03;0.00;0.03;Matches
27;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;26;1992;2;2;170;2;0;0;0;0;0;1.06;0.00;1.06;1.06;1.06;1.5;1.5;0.2;0.78;0.10;0.88;0.78;0.88;Matches
28;Luis Alberto\Luis-Alberto;es ESP;MF;it Lazio;26;1992;4;2;208;0;1;0;0;1;0;0.00;0.43;0.43;0.00;0.43;0.4;0.4;0.7;0.16;0.31;0.47;0.16;0.47;Matches
29;Omar Alderete\Omar-Alderete;py PAR;DF;ch Basel;22;1996;7;7;630;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
30;Alef\Alef;br BRA;MF;cy APOEL;24;1995;4;2;230;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.03;0.03;0.00;0.03;Matches
31;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;tr Başakşehir;28;1991;5;4;310;1;0;0;0;1;0;0.29;0.00;0.29;0.29;0.29;0.6;0.6;0.3;0.17;0.08;0.25;0.17;0.25;Matches
32;Almoatasembellah Ali\Almoatasembellah-Ali;ly LBY;MF;pt Vitória;23;1996;1;1;90;1;0;0;0;1;0;1.00;0.00;1.00;1.00;1.00;0.1;0.1;0.0;0.08;0.01;0.10;0.08;0.10;Matches
33;Domingos André Ribeiro Almeida\Domingos-Andre-Ribeiro-Almeida;pt POR;MF;pt Vitória;19;2000;1;1;64;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.28;0.00;0.28;0.28;0.28;Matches
34;Richard Almeida\Richard-Almeida;az AZE;MF;az Qarabağ Ağdam;30;1989;6;5;490;1;0;1;1;1;0;0.18;0.00;0.18;0.00;0.00;0.9;0.1;0.6;0.16;0.12;0.28;0.02;0.14;Matches
35;Stathis Aloneftis\Stathis-Aloneftis;cy CYP;FW;cy APOEL;36;1983;2;1;68;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
36;Éder Álvarez Balanta\Eder-Alvarez-Balanta;co COL;MF;be Club Brugge;26;1993;1;1;47;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
37;Edson Álvarez\Edson-Alvarez;mx MEX;DF;nl Ajax;21;1997;1;1;67;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
38;Selim Amallah\Selim-Amallah;ma MAR;MF;be Standard Liège;22;1996;5;3;277;2;0;0;0;1;0;0.65;0.00;0.65;0.65;0.65;1.1;1.1;0.0;0.36;0.00;0.36;0.36;0.36;Matches
39;Nadiem Amiri\Nadiem-Amiri;de GER;MF;de Leverkusen;22;1996;2;2;180;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.4;0.22;0.20;0.41;0.22;0.41;Matches
40;Pål André Helland\Pal-Andre-Helland;no NOR;FWMF;no Rosenborg;29;1990;3;1;96;1;0;0;0;1;0;0.94;0.00;0.94;0.94;0.94;0.1;0.1;0.3;0.10;0.24;0.35;0.10;0.35;Matches
