"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
28;Muhammet Akpınar\Muhammet-Akpinar;tr TUR;FWMF;tr Trabzonspor;17;2002;3;201;67;37.2;2.2;2;81;1;39;0;0.00;0;4;-4;-1.79;-0.73;0.7;3.5;-2.8;-1.23;-0.59;Matches
29;Nana Akwasi Asare\Nana-Akwasi-Asare;gh GHA;DF;be Gent;33;1986;5;450;90;62.5;5.0;5;90;0;;1;2.00;11;7;+4;+0.80;+0.80;4.8;6.6;-1.8;-0.36;-0.53;Matches
30;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;26;1992;2;170;85;94.4;1.9;2;85;0;;0;3.00;5;2;+3;+1.59;+1.59;4.5;1.3;+3.2;+1.69;+2.33;Matches
31;Luis Alberto\Luis-Alberto;es ESP;MF;it Lazio;26;1992;4;208;52;38.5;2.3;2;70;2;35;0;1.50;3;3;0;0.00;+0.81;2.7;2.9;-0.2;-0.08;+0.24;Matches
32;Omar Alderete\Omar-Alderete;py PAR;DF;ch Basel;22;1996;7;630;90;87.5;7.0;7;90;0;;0;2.29;15;4;+11;+1.57;+4.57;9.7;8.5;+1.2;+0.18;-0.41;Matches
33;Alef\Alef;br BRA;MF;cy APOEL;24;1995;4;230;58;31.9;2.6;2;90;2;25;4;1.75;1;3;-2;-0.78;-1.52;1.4;3.5;-2.1;-0.83;-0.64;Matches
34;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;tr Başakşehir;28;1991;5;310;62;41.3;3.4;4;75;1;9;1;1.40;5;4;+1;+0.29;+0.90;3.1;7.0;-3.9;-1.13;-0.93;Matches
35;Almoatasembellah Ali\Almoatasembellah-Ali;ly LBY;MF;pt Vitória;23;1996;1;90;90;16.7;1.0;1;90;0;;3;2.71;3;2;+1;+1.00;+1.80;0.5;2.0;-1.5;-1.52;-1.28;Matches
36;Marco Alia\Marco-Alia;al ALB;GK;it Lazio;19;2000;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
37;Bobby Allain\Bobby-Allain;fr FRA;GK;gr Olympiacos;27;1991;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
38;Domingos André Ribeiro Almeida\Domingos-Andre-Ribeiro-Almeida;pt POR;MF;pt Vitória;19;2000;1;64;64;11.9;0.7;1;64;0;;1;1.75;2;1;+1;+1.41;+2.16;1.1;1.2;-0.1;-0.17;+0.32;Matches
39;Richard Almeida\Richard-Almeida;az AZE;MF;az Qarabağ Ağdam;30;1989;6;490;82;90.7;5.4;5;90;1;40;0;1.14;8;11;-3;-0.55;-0.55;9.0;6.2;+2.8;+0.51;+0.67;Matches
40;Stathis Aloneftis\Stathis-Aloneftis;cy CYP;FW;cy APOEL;36;1983;2;68;34;9.4;0.8;1;62;1;6;5;0.00;0;1;-1;-1.32;-1.74;0.1;1.6;-1.4;-1.87;-1.63;Matches
41;José Alonso Lara\Jose-Alonso-Lara;es ESP;MF;es Sevilla;19;2000;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
42;Éder Álvarez Balanta\Eder-Alvarez-Balanta;co COL;MF;be Club Brugge;26;1993;1;47;47;26.1;0.5;1;47;0;;0;1.00;1;1;0;0.00;+3.38;0.7;0.6;+0.1;+0.20;+2.58;Matches
43;Edson Álvarez\Edson-Alvarez;mx MEX;DF;nl Ajax;21;1997;1;67;67;37.2;0.7;1;67;0;;1;0.00;0;1;-1;-1.34;-1.34;0.0;0.8;-0.8;-1.08;-1.02;Matches
44;Selim Amallah\Selim-Amallah;ma MAR;MF;be Standard Liège;22;1996;5;277;55;51.3;3.1;3;83;2;15;0;1.00;4;5;-1;-0.32;+0.02;3.3;5.3;-2.1;-0.68;+0.11;Matches
45;Nadiem Amiri\Nadiem-Amiri;de GER;MF;de Leverkusen;22;1996;2;180;90;100.0;2.0;2;90;0;;0;3.00;5;2;+3;+1.50;;4.6;1.4;+3.1;+1.57;;Matches
46;Pål André Helland\Pal-Andre-Helland;no NOR;FWMF;no Rosenborg;29;1990;3;96;32;17.8;1.1;1;75;2;11;1;0.33;1;1;0;0.00;+1.62;0.7;0.7;0.0;-0.04;+0.54;Matches
47;Marc Andre Schmerböck\Marc-Andre-Schmerbock;at AUT;FWMF;at Wolfsberger AC;25;1994;4;7;2;1.3;0.1;0;;4;2;1;1.00;0;0;0;0.00;+0.17;0.2;0.2;-0.1;-1.14;-0.20;Matches
48;Oleksandr Andriyevskyi\Oleksandr-Andriyevskyi;ua UKR;MF;ua Dynamo Kyiv;25;1994;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
49;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;2;100;50;55.6;1.1;1;90;1;10;0;2.00;3;3;0;0.00;-1.13;1.2;1.2;0.0;-0.04;-0.03;Matches
50;Marcus Antonsson\Marcus-Antonsson;se SWE;MFFW;se Malmö;28;1991;4;275;69;38.2;3.1;3;86;1;17;4;1.55;2;7;-5;-1.64;-3.05;2.4;3.2;-0.8;-0.25;-0.25;Matches
51;Mirko Antonucci\Mirko-Antonucci;it ITA;MF;it Roma;20;1999;2;26;13;3.6;0.3;0;;2;13;2;1.00;0;1;-1;-3.46;-4.37;0.7;1.1;-0.4;-1.49;-2.28;Matches
52;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;2;210;105;100.0;2.3;2;105;0;;0;1.50;2;2;0;0.00;;1.5;3.7;-2.3;-0.97;;Matches
53;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;es Getafe;23;1995;5;352;70;48.9;3.9;4;88;1;0;1;2.40;6;2;+4;+1.02;+1.02;5.6;2.4;+3.2;+0.82;+0.57;Matches
54;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;30;1989;1;72;72;40.0;0.8;1;72;0;;0;3.00;2;0;+2;+2.50;+1.67;2.4;0.1;+2.3;+2.85;+2.14;Matches
55;Marco Aratore\Marco-Aratore;ch SUI;MFFW;ch Lugano;28;1991;6;385;64;71.3;4.3;4;79;2;36;0;0.50;1;3;-2;-0.47;+0.11;2.9;5.6;-2.7;-0.63;+0.29;Matches
56;Scott Arfield\Scott-Arfield;ca CAN;MFFW;sco Rangers;30;1988;8;495;62;68.8;5.5;5;90;3;15;0;2.13;9;5;+4;+0.73;+1.53;8.0;7.4;+0.6;+0.10;+0.39;Matches
57;Ari\Ari;ru RUS;FWMF;ru Krasnodar;33;1985;4;219;55;40.6;2.4;2;78;2;32;1;2.25;5;1;+4;+1.64;+3.89;5.6;1.4;+4.3;+1.75;+2.47;Matches
58;Joe Aribo\Joe-Aribo;ng NGA;FWMF;sco Rangers;23;1996;6;173;29;24.0;1.9;1;90;5;17;1;2.38;4;2;+2;+1.04;+1.04;3.1;1.9;+1.2;+0.60;+0.82;Matches
59;Giedrius Arlauskis\Giedrius-Arlauskis;lt LTU;GK;ro CFR Cluj;31;1987;8;720;90;100.0;8.0;8;90;0;;0;1.75;7;5;+2;+0.25;;8.7;10.5;-1.8;-0.23;;Matches
60;Maximilian Arnold\Maximilian-Arnold;de GER;MF;de Wolfsburg;25;1994;7;610;87;84.7;6.8;7;87;0;;0;2.00;13;7;+6;+0.89;+4.16;9.4;4.7;+4.7;+0.69;-0.36;Matches
61;Muhammet Arslantaş\Muhammet-Arslantas;tr TUR;FW;tr Başakşehir;18;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
62;Arthur\Arthur;br BRA;FW;ch Basel;21;1998;8;405;51;56.3;4.5;4;71;4;30;0;2.38;12;3;+9;+2.00;+2.29;7.2;6.5;+0.7;+0.15;-0.17;Matches
63;Serkan Asan\Serkan-Asan;tr TUR;DF;tr Trabzonspor;20;1999;3;270;90;50.0;3.0;3;90;0;;0;0.00;1;6;-5;-1.67;-0.67;1.5;5.4;-4.0;-1.32;-0.91;Matches
64;Takuma Asano\Takuma-Asano;jp JPN;FWMF;rs Partizan;24;1994;6;509;85;94.3;5.7;6;85;0;;0;1.50;10;9;+1;+0.18;+3.08;9.6;6.6;+3.0;+0.53;-1.69;Matches
65;Gjermund Åsen\Gjermund-Asen;no NOR;MFFW;no Rosenborg;28;1991;5;287;57;53.1;3.2;3;87;2;13;1;0.00;1;7;-6;-1.88;-1.17;2.8;4.4;-1.6;-0.51;-0.06;Matches
66;Majeed Ashimeru\Majeed-Ashimeru;gh GHA;MF;at RB Salzburg;21;1997;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
67;Roger Assalé\Roger-Assale;ci CIV;FWMF;ch Young Boys;25;1993;6;457;76;84.6;5.1;6;76;0;;0;1.33;7;5;+2;+0.39;+1.48;6.7;6.5;+0.2;+0.04;+0.04;Matches
68;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;eng Arsenal;30;1989;6;406;68;54.1;4.5;4;98;2;8;0;1.67;6;4;+2;+0.44;-0.86;10.0;4.0;+6.0;+1.33;+0.44;Matches
69;Luís Aurélio\Luis-Aurelio;pt POR;MF;ro CFR Cluj;30;1988;2;64;32;8.9;0.7;1;57;1;7;3;1.50;0;1;-1;-1.41;-1.82;0.3;1.3;-1.0;-1.45;-1.34;Matches
70;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;tr Trabzonspor;22;1996;6;322;54;59.6;3.6;5;61;1;18;0;0.63;1;8;-7;-1.96;-1.54;2.0;5.7;-3.8;-1.05;-0.48;Matches
71;Felipe Avenatti\Felipe-Avenatti;uy URU;FW;be Standard Liège;26;1993;3;84;28;15.6;0.9;0;;3;28;1;1.33;3;2;+1;+1.07;+1.66;0.8;2.3;-1.5;-1.65;-1.09;Matches
72;Behlül Aydın\Behlul-Aydin;tr TUR;MF;tr Trabzonspor;18;2000;1;31;31;5.7;0.3;0;;1;31;1;0.00;0;0;0;0.00;+1.41;0.0;0.2;-0.2;-0.52;+0.36;Matches
73;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;nl Feyenoord;25;1994;2;23;12;4.3;0.3;0;;2;12;1;0.50;0;0;0;0.00;+0.35;0.5;0.1;+0.4;+1.57;+2.48;Matches
74;Marouan Azarkan\Marouan-Azarkan;nl NED;FW;nl Feyenoord;17;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
75;Demba Ba\Demba-Ba;sn SEN;FW;tr Başakşehir;34;1985;4;246;62;32.8;2.7;2;105;2;18;4;1.50;6;5;+1;+0.37;+0.90;4.1;4.1;0.0;+0.01;+0.89;Matches
76;Ousseynou Ba\Ousseynou-Ba;sn SEN;DF;gr Olympiacos;23;1995;2;210;105;100.0;2.3;2;105;0;;0;1.50;2;2;0;0.00;;1.5;3.7;-2.3;-0.97;;Matches
77;Volkan Babacan\Volkan-Babacan;tr TUR;GK;tr Başakşehir;30;1988;0;;;;;0;;0;;8;;;;;;;;;;;;Matches
78;Ryan Babel\Ryan-Babel;nl NED;FW;nl Ajax;32;1986;2;180;90;100.0;2.0;2;90;0;;0;1.50;2;3;-1;-0.50;;1.5;2.4;-0.9;-0.44;;Matches
79;Vladyslav Babohlo\Vladyslav-Babohlo;ua UKR;DF;ua FC Oleksandriya;20;1998;3;180;60;33.3;2.0;2;90;1;0;2;0.33;1;3;-2;-1.00;-0.50;1.7;3.9;-2.2;-1.11;-0.86;Matches
80;Fouad Bachirou\Fouad-Bachirou;km COM;MF;se Malmö;29;1990;7;630;90;87.5;7.0;7;90;0;;0;1.71;8;11;-3;-0.43;-5.43;7.0;8.0;-1.0;-0.14;-0.39;Matches
81;Stéphane Badji\Stephane-Badji;sn SEN;MF;bg Ludogorets;29;1990;8;653;82;90.7;7.3;7;90;1;23;0;1.31;11;14;-3;-0.41;-4.44;7.0;11.6;-4.6;-0.64;+0.31;Matches
82;Leon Bailey\Leon-Bailey;jm JAM;FWMF;de Leverkusen;21;1997;2;17;9;9.4;0.2;0;;2;9;0;3.00;0;0;0;0.00;-1.66;0.2;0.2;+0.1;+0.34;-1.35;Matches
83;Eric Bailly\Eric-Bailly;ci CIV;DF;eng Manchester Utd;25;1994;1;90;90;12.5;1.0;1;90;0;;1;3.00;5;0;+5;+5.00;+4.57;4.1;0.4;+3.7;+3.69;+2.92;Matches
84;Scott Bain\Scott-Bain;sco SCO;GK;sco Celtic;27;1991;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
85;Stefan Bajic\Stefan-Bajic;fr FRA;GK;fr Saint-Étienne;17;2001;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
86;Kenan Bajrić\Kenan-Bajric;si SVN;DF;sk Slovan Bratislava;24;1994;5;284;57;52.6;3.2;3;90;2;8;1;1.25;5;5;0;0.00;+1.05;2.8;6.2;-3.4;-1.08;-0.65;Matches
87;Husein Balic\Husein-Balic;at AUT;FW;at LASK;23;1996;2;43;22;6.0;0.5;0;;2;22;0;2.00;0;1;-1;-2.09;-3.16;0.3;1.1;-0.8;-1.57;-2.47;Matches
88;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;24;1994;6;540;90;100.0;6.0;6;90;0;;0;1.33;8;7;+1;+0.17;;8.3;8.1;+0.2;+0.04;;Matches
89;Yevhen Banada\Yevhen-Banada;ua UKR;MF;ua FC Oleksandriya;27;1992;5;450;90;83.3;5.0;5;90;0;;0;0.60;5;8;-3;-0.60;+0.40;3.9;5.9;-2.0;-0.40;+0.76;Matches
90;Éver Banega\Ever-Banega;ar ARG;MFFW;es Sevilla;31;1988;3;69;23;9.6;0.8;0;;3;23;1;2.33;2;0;+2;+2.61;+1.36;1.2;0.1;+1.1;+1.43;-0.32;Matches
91;Naoufal Bannis\Naoufal-Bannis;nl NED;MF;nl Feyenoord;17;2002;0;;;;;0;;0;;1;2.00;;;;;;;;;;;Matches
92;Nicolò Barella\Nicolo-Barella;it ITA;MF;it Inter;22;1997;2;63;32;35.0;0.7;1;45;1;18;0;3.00;3;1;+2;+2.86;+2.09;2.5;0.3;+2.1;+3.07;+2.54;Matches
93;Borna Barišić\Borna-Barisic;hr CRO;DF;sco Rangers;26;1992;8;703;88;97.6;7.8;8;88;0;;0;2.00;10;8;+2;+0.26;+0.26;9.0;9.6;-0.6;-0.07;-2.28;Matches
94;Brandon Barker\Brandon-Barker;eng ENG;FW;sco Rangers;22;1996;3;164;55;22.8;1.8;2;74;1;16;4;2.33;1;1;0;0.00;-0.32;1.0;0.8;+0.2;+0.09;+0.14;Matches
95;Romário Baró\Romario-Baro;pt POR;FW;pt Porto;19;2000;1;24;24;3.3;0.3;0;;1;24;1;3.00;0;0;0;0.00;+0.13;0.2;0.1;+0.1;+0.35;+0.10;Matches
96;Karlo Bartolec\Karlo-Bartolec;hr CRO;DF;dk FC Copenhagen;24;1995;5;212;42;29.4;2.4;2;90;3;11;3;1.29;2;2;0;0.00;-0.18;2.2;1.5;+0.7;+0.31;+0.70;Matches
97;Samuel Bastien\Samuel-Bastien;be BEL;MF;be Standard Liège;22;1996;6;540;90;100.0;6.0;6;90;0;;0;1.33;8;10;-2;-0.33;;6.3;10.8;-4.4;-0.73;;Matches
98;Alessandro Bastoni\Alessandro-Bastoni;it ITA;DF;it Inter;20;1999;1;14;14;7.8;0.2;0;;1;14;0;3.00;0;0;0;0.00;-1.63;0.0;0.1;-0.1;-0.48;-2.06;Matches
99;Bastos\Bastos;ao ANG;DF;it Lazio;28;1991;5;440;88;81.5;4.9;5;88;0;;1;1.20;5;7;-2;-0.41;+0.49;4.8;6.6;-1.8;-0.37;-0.76;Matches
100;Rodrigo Battaglia\Rodrigo-Battaglia;ar ARG;MF;pt Sporting CP;28;1991;2;210;105;28.0;2.3;2;105;0;;0;1.50;4;5;-1;-0.43;-1.26;3.0;3.0;0.0;0.00;+0.08;Matches
101;Moritz Bauer\Moritz-Bauer;at AUT;DF;sco Celtic;27;1992;3;181;60;25.1;2.0;2;90;1;1;3;2.00;4;3;+1;+0.50;0.00;1.4;2.9;-1.5;-0.74;-1.05;Matches
102;Noam Baumann\Noam-Baumann;ch SUI;GK;ch Lugano;23;1996;5;450;90;83.3;5.0;5;90;0;;1;0.40;1;4;-3;-0.60;-0.60;3.7;4.9;-1.2;-0.25;+2.84;Matches
103;Timo Baumgartl\Timo-Baumgartl;de GER;DF;nl PSV Eindhoven;23;1996;3;270;90;50.0;3.0;3;90;0;;3;2.29;7;7;0;0.00;+1.00;3.6;5.0;-1.3;-0.45;-0.28;Matches
104;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;de Leverkusen;31;1988;1;18;18;10.0;0.2;0;;1;18;1;3.00;0;1;-1;-5.00;-7.22;0.5;0.9;-0.4;-2.03;-3.99;Matches
105;Dominik Baumgartner\Dominik-Baumgartner;at AUT;DF;at Wolfsberger AC;23;1996;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
106;Kerem Baykuş\Kerem-Baykus;tr TUR;MF;tr Trabzonspor;19;2000;2;100;50;18.5;1.1;1;89;1;11;0;0.00;0;1;-1;-0.90;+0.53;0.5;1.8;-1.3;-1.15;-0.36;Matches
107;Tural Bayramov\Tural-Bayramov;az AZE;MF;az Qarabağ Ağdam;18;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
108;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;nl Ajax;22;1997;2;180;90;100.0;2.0;2;90;0;;0;1.50;2;3;-1;-0.50;;1.5;2.4;-0.9;-0.44;;Matches
109;Asmir Begović\Asmir-Begovic;ba BIH;GK;az Qarabağ Ağdam;32;1987;5;450;90;83.3;5.0;5;90;0;;1;0.80;7;10;-3;-0.60;-0.60;7.0;6.2;+0.9;+0.18;-1.59;Matches
110;Aziz Behich\Aziz-Behich;au AUS;DFFW;tr Başakşehir;28;1990;2;76;38;10.1;0.8;0;;2;38;3;1.50;0;3;-3;-3.55;-3.69;0.6;2.7;-2.1;-2.49;-2.12;Matches
111;Felix Beijmo\Felix-Beijmo;se SWE;DF;se Malmö;21;1998;2;121;61;16.8;1.3;2;61;0;;4;1.75;0;0;0;0.00;-0.30;0.4;1.4;-0.9;-0.68;-0.71;Matches
112;Abzal Beisebekov\Abzal-Beisebekov;kz KAZ;MFDF;kz Astana FK;26;1992;5;376;75;69.6;4.2;5;75;0;;1;0.86;3;12;-9;-2.15;+1.14;2.6;9.7;-7.2;-1.71;+3.07;Matches
113;Vid Belec\Vid-Belec;si SVN;GK;cy APOEL;29;1990;7;630;90;87.5;7.0;7;90;0;;1;1.43;10;11;-1;-0.14;-3.14;7.3;10.4;-3.1;-0.44;-0.40;Matches
114;Karim Bellarabi\Karim-Bellarabi;de GER;FWMF;de Leverkusen;29;1990;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
115;Héctor Bellerín\Hector-Bellerin;es ESP;DF;eng Arsenal;24;1995;3;264;88;35.2;2.9;3;88;0;;1;2.00;7;3;+4;+1.36;+0.81;7.0;2.2;+4.8;+1.64;+0.78;Matches
116;Lars Bender\Lars-Bender;de GER;DF;de Leverkusen;30;1989;2;135;68;75.0;1.5;2;68;0;;0;3.00;3;1;+2;+1.33;-0.67;3.2;1.1;+2.1;+1.38;-0.73;Matches
117;Sven Bender\Sven-Bender;de GER;DF;de Leverkusen;30;1989;2;157;79;87.2;1.7;2;79;0;;0;3.00;5;2;+3;+1.72;+1.72;4.4;1.3;+3.1;+1.78;+1.68;Matches
118;Nicklas Bendtner\Nicklas-Bendtner;dk DEN;FW;dk FC Copenhagen;31;1988;1;1;1;0.1;0.0;0;;1;1;3;1.00;0;0;0;0.00;-0.13;0.0;0.0;0.0;-3.09;-2.91;Matches
119;László Bénes\Laszlo-Benes;sk SVK;MF;de M'gladbach;21;1997;4;284;71;52.6;3.2;3;90;1;14;0;1.75;4;5;-1;-0.32;+0.39;5.4;3.7;+1.7;+0.52;-0.28;Matches
120;Pierre Bengtsson\Pierre-Bengtsson;se SWE;DF;dk FC Copenhagen;31;1988;7;536;77;74.4;6.0;6;87;1;17;1;1.67;7;3;+4;+0.67;+2.14;5.8;5.8;+0.1;+0.01;+0.76;Matches
121;Rasmus Bengtsson\Rasmus-Bengtsson;se SWE;DF;se Malmö;33;1986;8;638;80;88.6;7.1;7;88;1;22;0;1.71;7;10;-3;-0.42;-5.91;6.0;8.1;-2.0;-0.29;-1.70;Matches
122;Bilal Benkhedim\Bilal-Benkhedim;fr FRA;MF;fr Saint-Étienne;18;2001;1;35;35;6.5;0.4;0;;1;35;1;0.00;0;0;0;0.00;+0.36;0.1;0.2;-0.1;-0.25;-0.36;Matches
123;Ryan Bennett\Ryan-Bennett;eng ENG;DF;eng Wolves;29;1990;3;180;60;25.0;2.0;2;90;1;0;1;2.50;4;1;+3;+1.50;+1.00;4.2;0.6;+3.6;+1.79;+1.25;Matches
124;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;de M'gladbach;24;1995;6;289;48;53.5;3.2;3;90;3;6;0;1.33;4;5;-1;-0.31;+0.41;6.5;3.3;+3.2;+0.99;+0.72;Matches
125;Marcus Berg\Marcus-Berg;se SWE;FW;ru Krasnodar;32;1986;4;274;69;50.7;3.0;3;84;1;23;2;0.75;2;6;-4;-1.31;-1.31;4.7;5.8;-1.1;-0.36;-1.29;Matches
