Rk;Player;Nation;Pos;Squad;Age;Born;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;Matches;
179;Marko Gobeljić\Marko-Gobeljic;rs SRB;DF;rs Red Star;29-020;1992;2.0;50;71;70.4;932;379;19;22;86.4;25;37;67.6;6;10;60.0;0;0.2;-0.2;1;3;1;1;1;Matches
180;Amer Gojak\Amer-Gojak;ba BIH;MF;hr Dinamo Zagreb;24-232;1997;0.4;18;22;81.8;262;34;11;11;100.0;6;8;75.0;1;2;50.0;0;0.0;0.0;0;2;0;0;0;Matches
181;Connor Goldson\Connor-Goldson;eng ENG;DF;sct Rangers;28-289;1992;1.0;52;61;85.2;1084;494;19;19;100.0;23;26;88.5;9;14;64.3;0;0.0;0.0;0;5;1;0;2;Matches
182;Aleksandr Golovin\Aleksandr-Golovin;ru RUS;FWMF;fr Monaco;25-126;1996;0.8;29;40;72.5;478;128;12;17;70.6;11;14;78.6;4;5;80.0;1;0.5;+0.5;3;2;3;2;1;Matches
183;Claude Gonçalves\Claude-Goncalves;pt POR;MF;bg Ludogorets;27-177;1994;2.0;36;52;69.2;538;178;21;26;80.8;10;18;55.6;2;3;66.7;0;0.0;0.0;2;3;0;0;3;Matches
184;Álvaro González\Alvaro-Gonzalez;es ESP;DF;fr Marseille;31-268;1990;2.0;170;174;97.7;3356;741;59;59;100.0;84;86;97.7;26;27;96.3;0;0.0;0.0;0;10;0;0;6;Matches
185;Édgar González\Edgar-Gonzalez;es ESP;DF;es Betis;24-185;1997;1.0;30;35;85.7;575;81;11;13;84.6;16;16;100.0;3;6;50.0;0;0.0;0.0;0;0;0;0;0;Matches
186;Mario González\Mario-Gonzalez;es ESP;FW;pt Braga;25-220;1996;0.7;11;16;68.8;191;52;4;5;80.0;7;10;70.0;0;0;;2;0.6;+1.4;3;1;1;0;3;Matches
187;Roberto González\Roberto-Gonzalez;es ESP;FWMF;es Betis;20-270;2001;0.2;6;6;100.0;77;19;4;4;100.0;2;2;100.0;0;0;;0;0.0;0.0;0;0;0;0;1;Matches
188;Jon Gorenc Stanković\Jon-Gorenc-Stankovic;si SVN;MF;at Sturm Graz;25-262;1996;2.0;63;86;73.3;1150;403;29;36;80.6;26;33;78.8;7;14;50.0;0;0.0;0.0;0;6;2;0;6;Matches
189;Andoni Gorosabel\Andoni-Gorosabel;es ESP;DFFW;es Real Sociedad;25-060;1996;0.4;22;28;78.6;331;129;10;13;76.9;9;10;90.0;1;2;50.0;0;0.0;0.0;0;3;0;0;1;Matches
190;Mario Götze\Mario-Gotze;de GER;MF;nl PSV Eindhoven;29-122;1992;1.9;100;124;80.6;1520;396;54;59;91.5;33;42;78.6;6;13;46.2;3;1.1;+1.9;7;6;5;0;9;Matches
191;Srđan Grahovac\Srdjan-Grahovac;ba BIH;MF;at Rapid Wien;29-014;1992;1.6;74;86;86.0;1443;318;28;34;82.4;33;36;91.7;11;12;91.7;0;0.0;0.0;0;8;1;0;5;Matches
192;Leo Greiml\Leo-Greiml;at AUT;DF;at Rapid Wien;20-092;2001;1.6;52;66;78.8;1237;637;10;11;90.9;32;34;94.1;10;21;47.6;0;0.0;0.0;0;3;0;0;3;Matches
193;Mathias Greve\Mathias-Greve;dk DEN;FW;dk Brøndby;26-234;1995;0.7;7;16;43.8;75;11;5;10;50.0;1;3;33.3;0;1;0.0;0;0.0;0.0;0;0;0;0;1;Matches
194;Marco Grüll\Marco-Grull;at AUT;MFFW;at Rapid Wien;23-089;1998;1.3;21;32;65.6;276;111;14;19;73.7;7;7;100.0;0;6;0.0;0;0.0;0.0;0;1;1;1;3;Matches
195;Andrés Guardado\Andres-Guardado;mx MEX;MF;es Betis;35-005;1986;1.8;79;93;84.9;1793;396;23;28;82.1;39;44;88.6;17;21;81.0;0;0.0;0.0;1;7;1;0;6;Matches
196;Mattéo Guendouzi\Matteo-Guendouzi;fr FRA;MFDF;fr Marseille;22-172;1999;1.9;126;145;86.9;2304;403;56;62;90.3;52;56;92.9;16;20;80.0;0;0.0;0.0;0;19;4;1;13;Matches
197;Ander Guevara\Ander-Guevara;es ESP;MF;es Real Sociedad;24-088;1997;1.7;53;68;77.9;1026;137;23;29;79.3;20;26;76.9;9;10;90.0;0;0.0;0.0;0;1;0;0;3;Matches
198;Pape Gueye\Pape-Gueye;fr FRA;MF;fr Marseille;22-252;1999;1.1;80;92;87.0;1400;201;33;39;84.6;33;35;94.3;10;14;71.4;0;0.0;0.0;0;7;0;0;6;Matches
199;Bruno Guimarães\Bruno-Guimaraes;br BRA;MF;fr Lyon;23-321;1997;1.0;62;72;86.1;1245;264;29;32;90.6;18;20;90.0;13;17;76.5;1;0.0;+1.0;1;4;0;0;2;Matches
200;Muhammed Gümüskaya\Muhammed-Gumuskaya;tr TUR;FWDF;tr Fenerbahçe;20-275;2001;0.3;11;13;84.6;230;85;4;5;80.0;5;6;83.3;2;2;100.0;0;0.5;-0.5;2;1;1;1;2;Matches
201;Luiz Gustavo\Luiz-Gustavo;br BRA;MF;tr Fenerbahçe;34-072;1987;1.8;74;85;87.1;1539;333;23;26;88.5;42;44;95.5;9;12;75.0;0;0.4;-0.4;1;10;2;0;7;Matches
202;Malo Gusto\Malo-Gusto;fr FRA;DF;fr Lyon;18-137;2003;1.1;57;75;76.0;1049;316;26;28;92.9;24;30;80.0;7;15;46.7;0;0.0;0.0;0;2;3;0;5;Matches
203;Erick Gutiérrez\Erick-Gutierrez;mx MEX;MF;nl PSV Eindhoven;26-110;1995;0.1;6;7;85.7;99;11;3;4;75.0;1;1;100.0;1;1;100.0;0;0.0;0.0;0;0;0;0;0;Matches
204;Ianis Hagi\Ianis-Hagi;ro ROU;FW;sct Rangers;22-346;1998;0.6;17;21;81.0;275;35;10;12;83.3;5;6;83.3;2;3;66.7;0;0.0;0.0;0;0;0;0;1;Matches
205;Dávid Hancko\David-Hancko;sk SVK;DF;cz Sparta Prague;23-294;1997;2.0;95;122;77.9;2009;917;37;38;97.4;38;47;80.9;18;34;52.9;0;0.3;-0.3;1;8;2;2;7;Matches
206;Lukáš Haraslín\Lukas-Haraslin;sk SVK;FW;cz Sparta Prague;25-130;1996;1.5;41;57;71.9;615;198;24;31;77.4;6;7;85.7;6;10;60.0;0;0.2;-0.2;4;2;5;1;5;Matches
207;Amine Harit\Amine-Harit;ma MAR;FWMF;fr Marseille;24-107;1997;1.5;56;71;78.9;896;279;31;36;86.1;18;21;85.7;6;10;60.0;0;0.2;-0.2;3;6;3;0;9;Matches
208;Joe Hart\Joe-Hart;eng ENG;GK;sct Celtic;34-167;1987;2.0;77;85;90.6;1591;894;20;20;100.0;47;47;100.0;10;18;55.6;0;0.0;0.0;0;0;0;0;0;Matches
209;Makoto Hasebe\Makoto-Hasebe;jp JPN;DF;de Eint Frankfurt;37-258;1984;0.8;40;45;88.9;871;356;16;17;94.1;15;15;100.0;9;13;69.2;0;0.0;0.0;0;3;0;0;3;Matches
210;Simon Hedlund\Simon-Hedlund;se SWE;FW;dk Brøndby;28-206;1993;1.6;26;37;70.3;438;131;14;16;87.5;7;9;77.8;4;8;50.0;0;0.1;-0.1;1;3;1;0;3;Matches
211;Henrik Heggheim\Henrik-Heggheim;no NOR;DF;dk Brøndby;20-164;2001;0.7;18;24;75.0;432;311;2;3;66.7;12;12;100.0;4;8;50.0;0;0.0;0.0;0;0;0;0;1;Matches
212;Jorrit Hendrix\Jorrit-Hendrix;nl NED;MF;ru Spartak Moscow;26-239;1995;0.8;28;34;82.4;513;188;10;12;83.3;16;19;84.2;2;3;66.7;0;0.0;0.0;0;5;1;0;4;Matches
213;Luis Henrique\Luis-Henrique;br BRA;FW;fr Marseille;19-293;2001;0.1;7;10;70.0;126;20;3;5;60.0;3;3;100.0;1;2;50.0;0;0.0;0.0;0;0;0;0;0;Matches
214;Mads Hermansen\Mads-Hermansen;dk DEN;GK;dk Brøndby;21-084;2000;2.0;58;87;66.7;1923;1257;11;11;100.0;21;22;95.5;26;54;48.1;0;0.0;0.0;0;0;0;0;0;Matches
215;Bryan Heynen\Bryan-Heynen;be BEL;MF;be Genk;24-239;1997;2.0;119;143;83.2;2306;616;41;44;93.2;66;77;85.7;12;16;75.0;0;0.2;-0.2;2;15;3;0;13;Matches
216;Stefan Hierländer\Stefan-Hierlander;at AUT;MF;at Sturm Graz;30-242;1991;1.9;24;46;52.2;322;90;15;19;78.9;7;16;43.8;1;6;16.7;0;0.1;-0.1;2;2;0;0;2;Matches
217;Piero Hincapié\Piero-Hincapie;ec ECU;DF;de Leverkusen;19-267;2002;1.3;87;101;86.1;1675;497;32;35;91.4;40;43;93.0;12;17;70.6;0;0.3;-0.3;1;8;0;0;5;Matches
218;Martin Hinteregger\Martin-Hinteregger;at AUT;DF;de Eint Frankfurt;29-026;1992;2.0;74;91;81.3;1621;454;19;22;86.4;43;49;87.8;12;20;60.0;0;0.0;0.0;0;3;1;0;5;Matches
219;Adam Hložek\Adam-Hlozek;cz CZE;FWMF;cz Sparta Prague;19-070;2002;2.0;32;50;64.0;494;111;14;21;66.7;14;16;87.5;1;6;16.7;0;1.0;-1.0;2;3;0;0;5;Matches
220;Maximilian Hofmann\Maximilian-Hofmann;at AUT;DF;at Rapid Wien;28-057;1993;1.0;34;42;81.0;857;317;7;9;77.8;21;22;95.5;6;9;66.7;0;0.0;0.0;0;2;0;0;1;Matches
221;André Horta\Andre-Horta;pt POR;MF;pt Braga;24-330;1996;0.2;24;26;92.3;533;91;5;5;100.0;14;14;100.0;5;7;71.4;0;0.0;0.0;0;2;0;0;1;Matches
222;Ricardo Horta\Ricardo-Horta;pt POR;FWMF;pt Braga;27-018;1994;1.9;72;89;80.9;1249;513;36;39;92.3;24;30;80.0;11;19;57.9;0;0.4;-0.4;5;7;6;2;11;Matches
223;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;31-313;1989;2.0;70;88;79.5;2046;1028;8;8;100.0;33;36;91.7;29;44;65.9;0;0.0;0.0;0;0;0;0;0;Matches
224;Ajdin Hrustic\Ajdin-Hrustic;au AUS;MF;de Eint Frankfurt;25-090;1996;0.5;27;34;79.4;338;68;16;18;88.9;9;9;100.0;0;3;0.0;0;0.0;0.0;0;1;0;0;1;Matches
225;Elseid Hysaj\Elseid-Hysaj;al ALB;DF;it Lazio;27-225;1994;2.0;124;137;90.5;1847;734;69;72;95.8;44;49;89.8;6;10;60.0;0;0.0;0.0;0;7;2;0;13;Matches
226;Borja Iglesias\Borja-Iglesias;es ESP;FW;es Betis;28-259;1993;1.6;32;36;88.9;442;38;17;19;89.5;9;9;100.0;2;2;100.0;1;1.1;-0.1;4;1;1;0;1;Matches
227;Mikhail Ignatov\Mikhail-Ignatov;ru RUS;MF;ru Spartak Moscow;21-152;2000;0.2;9;11;81.8;184;37;3;4;75.0;5;5;100.0;1;1;100.0;0;0.0;0.0;0;1;1;0;2;Matches
228;Kelechi Iheanacho\Kelechi-Iheanacho;ng NGA;FW;eng Leicester City;25-000;1996;1.0;29;33;87.9;474;87;17;17;100.0;6;7;85.7;5;5;100.0;1;0.2;+0.8;3;3;0;0;3;Matches
229;Jordan Ikoko\Jordan-Ikoko;cd COD;DF;bg Ludogorets;27-242;1994;0.2;14;21;66.7;264;118;7;8;87.5;6;6;100.0;1;6;16.7;0;0.0;0.0;1;2;2;1;2;Matches
230;Stefan Ilsanker\Stefan-Ilsanker;at AUT;DF;de Eint Frankfurt;32-138;1989;0.2;6;7;85.7;128;33;1;1;100.0;4;4;100.0;1;2;50.0;0;0.0;0.0;0;0;0;0;0;Matches
231;Ciro Immobile\Ciro-Immobile;it ITA;FW;it Lazio;31-225;1990;1.1;18;25;72.0;311;83;7;9;77.8;10;12;83.3;1;2;50.0;0;0.0;0.0;0;2;0;0;2;Matches
232;Lorenzo Insigne\Lorenzo-Insigne;it ITA;FW;it Napoli;30-121;1991;1.3;57;74;77.0;1113;389;19;22;86.4;26;29;89.7;9;18;50.0;0;0.2;-0.2;4;3;5;1;6;Matches
233;Alexander Isak\Alexander-Isak;se SWE;FW;es Real Sociedad;22-012;1999;0.9;13;15;86.7;192;12;7;7;100.0;4;6;66.7;1;1;100.0;0;0.0;0.0;0;1;0;0;0;Matches
234;Gustav Isaksen\Gustav-Isaksen;dk DEN;FW;dk Midtjylland;20-167;2001;1.6;21;25;84.0;381;98;11;11;100.0;5;5;100.0;3;6;50.0;0;0.2;-0.2;1;1;3;1;4;Matches
235;Wilson Isidor\Wilson-Isidor;fr FRA;FW;fr Monaco;21-037;2000;0.5;5;7;71.4;66;0;3;3;100.0;2;3;66.7;0;1;0.0;0;0.0;0.0;0;0;0;0;0;Matches
236;Junya Ito\Junya-Ito;jp JPN;FW;be Genk;28-208;1993;1.8;50;75;66.7;741;260;32;35;91.4;16;22;72.7;2;11;18.2;1;0.4;+0.6;3;4;7;1;12;Matches
237;Mirko Ivanić\Mirko-Ivanic;me MNE;MF;rs Red Star;28-020;1993;2.0;47;63;74.6;822;286;19;26;73.1;25;28;89.3;3;4;75.0;0;0.1;-0.1;3;8;4;0;14;Matches
238;Luka Ivanušec\Luka-Ivanusec;hr CRO;MF;hr Dinamo Zagreb;22-311;1998;1.8;64;75;85.3;873;129;39;44;88.6;20;23;87.0;2;3;66.7;0;0.2;-0.2;2;5;1;0;3;Matches
239;Lukas Jäger\Lukas-Jager;at AUT;DF;at Sturm Graz;27-233;1994;0.2;13;18;72.2;192;82;8;9;88.9;4;6;66.7;1;2;50.0;0;0.0;0.0;0;1;0;0;4;Matches
240;Kristijan Jakić\Kristijan-Jakic;hr CRO;MF;de Eint Frankfurt;24-142;1997;2.0;68;80;85.0;1317;531;26;29;89.7;31;37;83.8;8;10;80.0;0;0.0;0.0;1;11;3;0;14;Matches
241;Ismail Jakobs\Ismail-Jakobs;de GER;DF;fr Monaco;22-047;1999;0.5;44;52;84.6;678;189;25;25;100.0;18;20;90.0;1;5;20.0;0;0.2;-0.2;3;1;1;0;2;Matches
242;Jakob Jantscher\Jakob-Jantscher;at AUT;FW;at Sturm Graz;32-268;1989;1.4;22;30;73.3;368;82;14;18;77.8;6;7;85.7;2;5;40.0;1;0.4;+0.6;2;1;0;0;0;Matches
243;Adnan Januzaj\Adnan-Januzaj;be BEL;FW;es Real Sociedad;26-240;1995;1.9;46;68;67.6;889;369;21;26;80.8;14;21;66.7;9;19;47.4;1;0.3;+0.7;5;3;2;0;6;Matches
244;Artur Jędrzejczyk\Artur-Jedrzejczyk;pl POL;DF;pl Legia Warsaw;33-333;1987;2.0;71;86;82.6;1440;564;28;30;93.3;30;34;88.2;13;20;65.0;0;0.0;0.0;0;5;1;0;5;Matches
245;Tin Jedvaj\Tin-Jedvaj;hr CRO;DF;ru Loko Moscow;25-309;1995;1.0;29;38;76.3;498;255;13;14;92.9;15;20;75.0;1;3;33.3;0;0.0;0.0;0;4;0;0;3;Matches
246;Juan Jesus\Juan-Jesus;br BRA;DF;it Napoli;30-115;1991;0.1;6;8;75.0;118;40;3;3;100.0;0;1;0.0;2;3;66.7;0;0.0;0.0;0;1;0;0;0;Matches
247;Joaquín\Joaquin;es ESP;FW;es Betis;40-074;1981;1.2;45;51;88.2;689;190;27;28;96.4;16;17;94.1;1;3;33.3;0;0.0;0.0;1;3;2;0;3;Matches
248;Mattias Johansson\Mattias-Johansson;se SWE;DF;pl Legia Warsaw;29-229;1992;1.9;62;84;73.8;922;385;36;41;87.8;24;30;80.0;2;5;40.0;0;0.1;-0.1;1;2;0;0;3;Matches
249;Ben Johnson\Ben-Johnson;eng ENG;DF;eng West Ham;21-252;2000;1.0;47;64;73.4;1079;519;18;20;90.0;18;22;81.8;11;19;57.9;0;0.0;0.0;1;8;1;0;6;Matches
250;Willian José\Willian-Jose;br BRA;FW;es Betis;29-314;1991;0.4;19;20;95.0;212;33;14;14;100.0;3;3;100.0;0;1;0.0;1;0.5;+0.5;3;1;0;0;0;Matches
251;Jota\Jota;pt POR;FW;sct Celtic;22-187;1999;2.0;66;85;77.6;1163;302;37;41;90.2;22;30;73.3;6;11;54.5;1;0.2;+0.8;4;1;5;2;7;Matches
252;Juanmi\Juanmi;es ESP;FW;es Betis;28-136;1993;1.0;15;18;83.3;251;67;9;10;90.0;3;3;100.0;3;4;75.0;0;0.0;0.0;0;2;0;0;2;Matches
253;Juninho\Juninho;br BRA;DF;dk Midtjylland;25-281;1995;1.9;80;100;80.0;1525;590;32;35;91.4;35;45;77.8;12;17;70.6;0;0.0;0.0;0;3;0;0;8;Matches
254;Mauro Júnior\Mauro-Junior;br BRA;MF;nl PSV Eindhoven;22-150;1999;0.0;2;3;66.7;25;5;1;2;50.0;1;1;100.0;0;0;;0;0.0;0.0;0;0;0;0;0;Matches
