Squad;# Pl;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;Performance-W;Performance-D;Performance-L;Performance-CS;Performance-CS%;Penalty Kicks-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;
be Antwerp;1;2;2;180;2.0;3;1.50;6;4;66.7;0;0;2;0;0.0;1;1;0;0;0.0
es Betis;2;2;2;180;2.0;4;2.00;8;5;62.5;2;0;0;0;0.0;1;1;0;0;0.0
pt Braga;1;2;2;180;2.0;3;1.50;5;4;60.0;1;0;1;0;0.0;1;1;0;0;0.0
dk Brøndby;1;2;2;180;2.0;3;1.50;13;10;76.9;0;1;1;1;50.0;0;0;0;0;
sct Celtic;1;2;2;180;2.0;8;4.00;18;11;61.1;0;0;2;0;0.0;1;1;0;0;0.0
hr Dinamo Zagreb;1;2;2;180;2.0;2;1.00;6;4;66.7;1;0;1;1;50.0;0;0;0;0;
de Eint Frankfurt;1;2;2;180;2.0;1;0.50;8;7;87.5;1;1;0;1;50.0;1;0;0;1;
tr Fenerbahçe;1;2;2;180;2.0;4;2.00;11;7;63.6;0;1;1;0;0.0;0;0;0;0;
hu Ferencváros;1;2;2;180;2.0;5;2.50;13;9;61.5;0;0;2;0;0.0;0;0;0;0;
tr Galatasaray;1;2;2;180;2.0;0;0.00;7;7;100.0;1;1;0;2;100.0;0;0;0;0;
be Genk;1;2;2;180;2.0;3;1.50;6;5;83.3;1;0;1;1;50.0;2;2;0;0;0.0
it Lazio;1;2;2;180;2.0;1;0.50;5;5;80.0;1;0;1;1;50.0;0;0;0;0;
pl Legia Warsaw;2;2;2;180;2.0;0;0.00;6;6;100.0;2;0;0;2;100.0;0;0;0;0;
eng Leicester City;1;2;2;180;2.0;3;1.50;11;7;72.7;0;1;1;0;0.0;0;0;0;0;
de Leverkusen;1;2;2;180;2.0;1;0.50;10;9;90.0;2;0;0;1;50.0;0;0;0;0;
ru Loko Moscow;1;2;2;180;2.0;3;1.50;10;8;80.0;0;1;1;0;0.0;1;1;0;0;0.0
bg Ludogorets;1;2;2;180;2.0;2;1.00;10;8;80.0;0;1;1;0;0.0;0;0;0;0;
fr Lyon;1;2;2;180;2.0;0;0.00;2;2;100.0;2;0;0;2;100.0;0;0;0;0;
fr Marseille;1;2;2;180;2.0;1;0.50;3;2;66.7;0;2;0;1;50.0;0;0;0;0;
dk Midtjylland;1;2;2;180;2.0;4;2.00;6;3;50.0;0;1;1;0;0.0;2;1;0;1;0.0
fr Monaco;1;2;2;180;2.0;1;0.50;3;2;66.7;1;1;0;1;50.0;0;0;0;0;
it Napoli;2;2;2;180;2.0;5;2.50;8;3;37.5;0;1;1;0;0.0;0;0;0;0;
gr Olympiacos;1;2;2;180;2.0;1;0.50;4;3;75.0;2;0;0;1;50.0;0;0;0;0;
nl PSV Eindhoven;1;2;2;180;2.0;3;1.50;9;6;66.7;1;1;0;0;0.0;0;0;0;0;
sct Rangers;1;2;2;180;2.0;3;1.50;7;5;57.1;0;0;2;0;0.0;0;0;0;0;
at Rapid Wien;1;2;2;180;2.0;3;1.50;6;3;50.0;0;0;2;0;0.0;0;0;0;0;
es Real Sociedad;1;2;2;180;2.0;3;1.50;8;5;62.5;0;2;0;0;0.0;0;0;0;0;
rs Red Star;2;2;2;180;2.0;1;0.50;3;2;66.7;2;0;0;1;50.0;0;0;0;0;
cz Sparta Prague;1;2;2;180;2.0;0;0.00;4;4;100.0;1;1;0;2;100.0;0;0;0;0;
ru Spartak Moscow;1;2;2;180;2.0;3;1.50;5;2;40.0;1;0;1;0;0.0;0;0;0;0;
at Sturm Graz;1;2;2;180;2.0;5;2.50;12;7;58.3;0;0;2;0;0.0;0;0;0;0;
eng West Ham;2;2;2;180;2.0;0;0.00;1;1;100.0;2;0;0;2;100.0;0;0;0;0;
