id;name;Nation;Position;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
25;Daniele Padelli\Daniele-Padelli;it ITA;GK;Inter;33;1985;3.0;4;1;0;2;0;3.2;0.54;-0.8;-0.26;10;24;41.7;67;14;26.9;32.0;24;25.0;30.7;25;1;4.0;0;0.00;9.3;Matches
26;Gianluca Pegolo\Gianluca-Pegolo;it ITA;GK;Sassuolo;38;1981;3.0;2;0;0;0;1;4.7;0.24;+3.7;+1.23;8;20;40.0;68;16;22.1;26.4;23;21.7;21.4;18;1;5.6;0;0.00;12.0;Matches
27;Mattia Perin\Mattia-Perin;it ITA;GK;Genoa;26;1992;8.0;11;1;1;1;1;12.6;0.34;+2.6;+0.33;56;149;37.6;199;38;60.8;45.8;66;42.4;37.8;55;2;3.6;1;0.13;11.5;Matches
28;Ionuț Radu\Ionut-Radu;ro ROU;GK;Genoa;22;1997;17.0;35;6;2;4;1;29.1;0.33;-4.9;-0.29;89;206;43.2;506;85;35.0;34.2;153;19.0;27.9;120;6;5.0;4;0.24;11.5;Matches
29;Rafael\Rafael;br BRA;GK;Cagliari;37;1982;5.0;11;2;0;0;0;8.0;0.53;-3.0;-0.60;35;79;44.3;106;16;58.5;41.8;47;36.2;35.8;53;5;9.4;2;0.40;12.0;Matches
30;Pepe Reina\Pepe-Reina;es ESP;GK;Milan;36;1982;1.0;1;0;1;0;0;1.5;0.31;+0.5;+0.55;11;21;52.4;30;6;53.3;39.7;7;71.4;50.7;10;2;20.0;2;2.00;19.6;Matches
31;Luigi Sepe\Luigi-Sepe;it ITA;GK;Parma;28;1991;21.0;27;1;0;5;0;29.1;0.25;+2.1;+0.10;184;370;49.7;436;63;60.3;45.4;215;49.8;37.3;181;8;4.4;4;0.19;13.4;Matches
32;Marco Silvestri\Marco-Silvestri;it ITA;GK;Hellas Verona;28;1991;24.0;24;5;1;4;0;25.6;0.28;+1.6;+0.07;132;514;25.7;464;42;68.1;48.9;227;87.2;59.7;180;10;5.6;7;0.29;12.5;Matches
33;Salvatore Sirigu\Salvatore-Sirigu;it ITA;GK;Torino;32;1987;25.0;45;7;2;7;1;49.2;0.37;+5.2;+0.21;210;435;48.3;520;70;52.3;41.3;225;72.4;48.2;175;12;6.9;11;0.44;13.8;Matches
34;Łukasz Skorupski\Lukasz-Skorupski;pl POL;GK;Bologna;28;1991;25.0;41;5;2;2;1;32.6;0.31;-7.4;-0.29;143;332;43.1;578;137;42.2;37.3;181;48.6;38.1;156;23;14.7;10;0.40;13.1;Matches
35;Marco Sportiello\Marco-Sportiello;it ITA;GK;Atalanta;27;1992;3.0;3;0;0;0;0;2.8;0.21;-0.2;-0.08;8;22;36.4;70;14;21.4;28.1;14;50.0;41.9;14;2;14.3;4;1.33;20.5;Matches
36;Thomas Strakosha\Thomas-Strakosha;al ALB;GK;Lazio;24;1995;26.0;23;2;1;3;1;29.2;0.29;+7.2;+0.28;152;326;46.6;663;101;41.2;35.0;189;28.0;29.2;160;11;6.9;10;0.38;13.5;Matches
37;Wojciech Szczęsny\Wojciech-Szczesny;pl POL;GK;Juventus;29;1990;18.0;17;5;0;2;0;22.6;0.31;+5.6;+0.31;71;133;53.4;340;108;30.3;33.5;124;24.2;28.5;126;8;6.3;11;0.61;13.5;Matches
38;Stefano Turati\Stefano-Turati;it ITA;GK;Sassuolo;;;2.0;4;1;0;0;0;4.1;0.38;+0.1;+0.06;4;12;33.3;37;9;24.3;26.9;14;21.4;25.6;17;2;11.8;2;1.00;18.2;Matches
39;Mauro Vigorito\Mauro-Vigorito;it ITA;GK;Lecce;29;1990;4.7;9;1;0;1;0;9.4;0.38;+0.4;+0.09;24;64;37.5;104;27;43.3;36.3;49;38.8;32.2;47;4;8.5;1;0.21;11.6;Matches
