"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
326;Nikola Milenković\Nikola-Milenkovic;rs SRB;DF;Fiorentina;21;1997;24.0;0;0.1;-0.1;2;983;1108;88.7;5;13;38.5;655;707;92.6;323;388;83.2;145;846;33;1;0;41;59;5;0;Matches
327;Arkadiusz Milik\Arkadiusz-Milik;pl POL;FW;Napoli;25;1994;13.7;0;1.7;-1.7;17;277;329;84.2;7;21;33.3;235;265;88.7;35;43;81.4;258;37;3;2;0;1;16;7;1;Matches
328;Sergej Milinković-Savić\Sergej-Milinkovic-Savic;rs SRB;MF;Lazio;24;1995;22.8;4;3.0;+1.0;28;971;1235;78.6;22;68;32.4;714;841;84.9;235;326;72.1;163;942;17;11;1;14;96;27;4;Matches
329;Vincenzo Millico\Vincenzo-Millico;it ITA;MFDF;Torino;18;2000;1.3;0;0.2;-0.2;3;34;49;69.4;1;4;25.0;22;26;84.6;11;19;57.9;7;42;2;0;6;0;1;5;3;Matches
330;Antonio Mirante\Antonio-Mirante;it ITA;GK;Roma;36;1983;1.0;0;0.0;0.0;0;38;47;80.9;0;0;;18;19;94.7;20;28;71.4;3;35;8;0;0;0;0;0;0;Matches
331;Simone Missiroli\Simone-Missiroli;it ITA;MF;SPAL;33;1986;22.7;0;0.7;-0.7;14;853;1016;84.0;12;30;40.0;697;779;89.5;144;207;69.6;152;752;22;1;3;8;80;14;1;Matches
332;Henrikh Mkhitaryan\Henrikh-Mkhitaryan;am ARM;FWMF;Roma;30;1989;9.0;3;2.1;+0.9;15;330;386;85.5;11;26;42.3;257;286;89.9;62;74;83.8;63;301;2;1;1;6;20;8;1;Matches
333;Gabriele Moncini\Gabriele-Moncini;it ITA;FWMF;SPAL;23;1996;1.7;0;0.0;0.0;2;14;19;73.7;1;3;33.3;13;16;81.3;0;0;;1;10;0;0;0;1;0;0;0;Matches
334;Leonardo Morosini\Leonardo-Morosini;it ITA;FWMF;Brescia;23;1995;0.3;0;0.0;0.0;0;3;4;75.0;0;0;;2;3;66.7;1;1;100.0;0;4;0;0;0;0;0;1;0;Matches
335;Victor Moses\Victor-Moses;ng NGA;DF;Inter;28;1990;1.2;1;0.4;+0.6;3;55;68;80.9;2;3;66.7;38;42;90.5;15;23;65.2;7;52;0;0;0;8;1;1;0;Matches
336;Mert Müldür\Mert-Muldur;tr TUR;DF;Sassuolo;20;1999;4.9;0;0.7;-0.7;6;237;280;84.6;9;16;56.3;193;214;90.2;35;50;70.0;18;219;6;2;0;34;15;3;1;Matches
337;Alessandro Murgia\Alessandro-Murgia;it ITA;MF;SPAL;22;1996;12.0;1;1.6;-0.6;27;396;495;80.0;9;15;60.0;311;348;89.4;76;132;57.6;56;397;40;2;47;1;32;3;1;Matches
