"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
459;André Silva\Andre-Silva;pt POR;FW;Milan;23;1995;0.7;0;0;0;2;0;0;0.0;2.95;0.00;0.00;;0.3;0.3;0.16;-0.3;-0.3;Matches
460;Marco Silvestri\Marco-Silvestri;it ITA;GK;Hellas Verona;28;1991;24.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
461;Giovanni Simeone\Giovanni-Simeone;ar ARG;FW;Cagliari;24;1995;20.5;6;0;0;53;18;0;34.0;2.58;0.88;0.11;0.33;7.2;7.2;0.14;-1.2;-1.2;Matches
462;Salvatore Sirigu\Salvatore-Sirigu;it ITA;GK;Torino;32;1987;25.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
463;Łukasz Skorupski\Lukasz-Skorupski;pl POL;GK;Bologna;28;1991;25.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
464;Andreas Skov Olsen\Andreas-Skov-Olsen;dk DEN;FWMF;Bologna;19;1999;5.6;1;0;0;12;5;0;41.7;2.13;0.89;0.08;0.20;1.5;1.5;0.12;-0.5;-0.5;Matches
465;Simon Skrabb\Simon-Skrabb;fi FIN;MF;Brescia;24;1995;0.3;0;0;0;1;0;0;0.0;3.33;0.00;0.00;;0.0;0.0;0.03;0.0;0.0;Matches
466;Milan Škriniar\Milan-Skriniar;sk SVK;DF;Inter;24;1995;22.2;0;0;0;11;4;0;36.4;0.50;0.18;0.00;0.00;0.7;0.7;0.06;-0.7;-0.7;Matches
467;Chris Smalling\Chris-Smalling;eng ENG;DF;Roma;29;1989;21.0;2;0;0;16;4;0;25.0;0.76;0.19;0.13;0.50;1.7;1.7;0.11;+0.3;+0.3;Matches
468;Roberto Soriano\Roberto-Soriano;it ITA;MF;Bologna;28;1991;17.7;3;0;0;25;12;0;48.0;1.41;0.68;0.12;0.25;3.4;3.4;0.14;-0.4;-0.4;Matches
469;Riccardo Sottil\Riccardo-Sottil;it ITA;FWDF;Fiorentina;20;1999;4.4;0;0;0;13;7;0;53.8;2.93;1.58;0.00;0.00;0.5;0.5;0.04;-0.5;-0.5;Matches
470;Adama Soumaoro\Adama-Soumaoro;fr FRA;DF;Genoa;27;1992;3.0;1;0;0;2;1;0;50.0;0.67;0.33;0.50;1.00;0.6;0.6;0.31;+0.4;+0.4;Matches
471;Nikolas Špalek\Nikolas-Spalek;sk SVK;MF;Brescia;22;1997;10.3;1;0;0;15;6;0;40.0;1.46;0.58;0.07;0.17;3.2;3.2;0.21;-2.2;-2.2;Matches
472;Leonardo Spinazzola\Leonardo-Spinazzola;it ITA;DF;Roma;26;1993;10.0;0;0;0;4;0;0;0.0;0.40;0.00;0.00;;0.2;0.2;0.05;-0.2;-0.2;Matches
473;Marco Sportiello\Marco-Sportiello;it ITA;GK;Atalanta;27;1992;3.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
474;Mattia Sprocati\Mattia-Sprocati;it ITA;FW;Parma;26;1992;5.4;1;0;0;11;4;0;36.4;2.02;0.73;0.09;0.25;0.9;0.9;0.08;+0.1;+0.1;Matches
475;Mariusz Stępiński\Mariusz-Stepinski;pl POL;FW;Hellas Verona;24;1995;5.7;2;0;0;11;5;0;45.5;1.91;0.87;0.18;0.40;2.4;2.4;0.22;-0.4;-0.4;Matches
476;Thomas Strakosha\Thomas-Strakosha;al ALB;GK;Lazio;24;1995;26.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
477;Jens Stryger Larsen\Jens-Stryger-Larsen;dk DEN;DF;Udinese;28;1991;20.6;1;0;0;7;2;0;28.6;0.34;0.10;0.14;0.50;0.8;0.8;0.11;+0.2;+0.2;Matches
478;Stefano Sturaro\Stefano-Sturaro;it ITA;MF;Genoa;26;1993;9.6;1;0;0;12;5;1;41.7;1.25;0.52;0.08;0.20;1.6;1.6;0.14;-0.6;-0.6;Matches
479;Suso\Suso;es ESP;FWMF;Milan;25;1993;15.1;1;0;0;31;12;2;38.7;2.05;0.79;0.03;0.08;1.3;1.3;0.04;-0.3;-0.3;Matches
480;Mattias Svanberg\Mattias-Svanberg;se SWE;MF;Bologna;20;1999;7.5;0;0;0;23;5;1;21.7;3.06;0.67;0.00;0.00;1.3;1.3;0.06;-1.3;-1.3;Matches
481;Wojciech Szczęsny\Wojciech-Szczesny;pl POL;GK;Juventus;29;1990;18.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
482;Andrea Tabanelli\Andrea-Tabanelli;it ITA;MF;Lecce;29;1990;10.7;1;0;0;12;2;1;16.7;1.12;0.19;0.08;0.50;0.9;0.9;0.07;+0.1;+0.1;Matches
483;Panagiotis Tachtsidis\Panagiotis-Tachtsidis;gr GRE;MF;Lecce;28;1991;16.1;0;0;0;25;7;0;28.0;1.56;0.44;0.00;0.00;0.7;0.7;0.03;-0.7;-0.7;Matches
484;Adrien Tameze\Adrien-Tameze;cm CMR;MF;Atalanta;25;1994;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
485;Łukasz Teodorczyk\Lukasz-Teodorczyk;pl POL;DFFW;Udinese;28;1991;0.4;0;0;0;3;2;0;66.7;6.92;4.62;0.00;0.00;0.5;0.5;0.17;-0.5;-0.5;Matches
486;Hidde ter Avest\Hidde-ter-Avest;nl NED;DF;Udinese;22;1997;4.0;0;0;0;1;1;0;100.0;0.25;0.25;0.00;0.00;0.2;0.2;0.19;-0.2;-0.2;Matches
487;Morten Thorsby\Morten-Thorsby;no NOR;MFDF;Sampdoria;23;1996;11.8;0;0;0;6;0;0;0.0;0.51;0.00;0.00;;0.4;0.4;0.06;-0.4;-0.4;Matches
488;Jeremy Toljan\Jeremy-Toljan;de GER;DF;Sassuolo;24;1994;20.2;1;0;0;4;1;0;25.0;0.20;0.05;0.25;1.00;0.4;0.4;0.11;+0.6;+0.6;Matches
489;Rafael Tolói\Rafael-Toloi;br BRA;DF;Atalanta;28;1990;20.3;1;0;0;19;8;0;42.1;0.93;0.39;0.05;0.13;1.9;1.9;0.11;-0.9;-0.9;Matches
490;Takehiro Tomiyasu\Takehiro-Tomiyasu;jp JPN;DF;Bologna;20;1998;19.9;0;0;0;13;2;0;15.4;0.65;0.10;0.00;0.00;0.7;0.7;0.06;-0.7;-0.7;Matches
491;Nenad Tomović\Nenad-Tomovic;rs SRB;DF;SPAL;31;1987;15.5;0;0;0;7;1;0;14.3;0.45;0.06;0.00;0.00;0.4;0.4;0.06;-0.4;-0.4;Matches
492;Sandro Tonali\Sandro-Tonali;it ITA;MF;Brescia;19;2000;22.7;1;0;0;17;5;2;29.4;0.75;0.22;0.06;0.20;0.8;0.8;0.05;+0.2;+0.2;Matches
493;Lorenzo Tonelli\Lorenzo-Tonelli;it ITA;DF;Sampdoria;29;1990;3.8;0;0;0;3;0;0;0.0;0.79;0.00;0.00;;0.2;0.2;0.06;-0.2;-0.2;Matches
494;Ernesto Torregrossa\Ernesto-Torregrossa;it ITA;FW;Brescia;27;1992;9.9;4;1;1;25;12;0;48.0;2.52;1.21;0.12;0.25;3.2;2.5;0.10;+0.8;+0.5;Matches
495;Amad Traoré\Amad-Traore;ci CIV;FW;Atalanta;17;2002;0.3;1;0;0;1;1;0;100.0;3.75;3.75;1.00;1.00;0.1;0.1;0.09;+0.9;+0.9;Matches
496;Luca Tremolada\Luca-Tremolada;it ITA;MF;Brescia;27;1991;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
497;Alessandro Tripaldelli\Alessandro-Tripaldelli;it ITA;DF;Sassuolo;20;1999;1.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
498;William Troost-Ekong\William-Troost-Ekong;ng NGA;DF;Udinese;25;1993;21.9;0;0;0;3;0;0;0.0;0.14;0.00;0.00;;0.2;0.2;0.08;-0.2;-0.2;Matches
499;Georgi Tunjov\Georgi-Tunjov;ee EST;MF;SPAL;18;2001;0.3;0;0;0;1;0;0;0.0;3.33;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
500;Stefano Turati\Stefano-Turati;it ITA;GK;Sassuolo;;;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
501;Gennaro Tutino\Gennaro-Tutino;it ITA;FW;Hellas Verona;22;1996;2.5;0;0;0;3;0;0;0.0;1.21;0.00;0.00;;0.2;0.2;0.05;-0.2;-0.2;Matches
502;Cengiz Ünder\Cengiz-Under;tr TUR;FW;Roma;22;1997;8.6;3;0;0;24;8;0;33.3;2.79;0.93;0.13;0.38;2.0;2.0;0.08;+1.0;+1.0;Matches
503;Mirko Valdifiori\Mirko-Valdifiori;it ITA;MF;SPAL;33;1986;8.3;0;0;0;4;2;0;50.0;0.48;0.24;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
504;Borja Valero\Borja-Valero;es ESP;MF;Inter;34;1985;4.7;1;0;0;3;1;0;33.3;0.64;0.21;0.33;1.00;0.2;0.2;0.05;+0.8;+0.8;Matches
505;Mattia Valoti\Mattia-Valoti;it ITA;MFFW;SPAL;25;1993;12.9;2;0;0;23;7;0;30.4;1.79;0.54;0.09;0.29;2.6;2.6;0.12;-0.6;-0.6;Matches
506;Denis Vavro\Denis-Vavro;sk SVK;DF;Lazio;23;1996;2.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
507;Matías Vecino\Matias-Vecino;uy URU;MF;Inter;27;1991;13.0;2;0;0;23;8;0;34.8;1.77;0.62;0.09;0.25;2.8;2.8;0.12;-0.8;-0.8;Matches
508;Miguel Veloso\Miguel-Veloso;pt POR;MF;Hellas Verona;33;1986;19.2;2;0;0;22;3;8;13.6;1.15;0.16;0.09;0.67;1.7;1.7;0.08;+0.3;+0.3;Matches
509;Lorenzo Venuti\Lorenzo-Venuti;it ITA;DF;Fiorentina;24;1995;4.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
510;Brayan Vera\Brayan-Vera;co COL;FWMF;Lecce;20;1999;0.3;0;0;0;1;0;0;0.0;3.21;0.00;0.00;;0.0;0.0;0.01;0.0;0.0;Matches
511;Simone Verdi\Simone-Verdi;it ITA;MFFW;Torino;27;1992;14.7;1;0;0;27;4;7;14.8;1.84;0.27;0.04;0.25;2.2;2.2;0.08;-1.2;-1.2;Matches
512;Jordan Veretout\Jordan-Veretout;fr FRA;MF;Roma;26;1993;21.3;2;2;2;15;4;1;26.7;0.70;0.19;0.00;0.00;2.1;0.6;0.04;-0.1;-0.6;Matches
513;Valerio Verre\Valerio-Verre;it ITA;FWMF;Hellas Verona;25;1994;14.4;3;2;2;32;6;0;18.8;2.22;0.42;0.03;0.17;3.9;2.4;0.08;-0.9;-1.4;Matches
514;Francesco Vicari\Francesco-Vicari;it ITA;DF;SPAL;24;1994;20.7;0;0;0;5;2;0;40.0;0.24;0.10;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
515;Ronaldo Vieira\Ronaldo-Vieira;gw GNB;MF;Sampdoria;21;1998;16.0;0;0;0;24;5;0;20.8;1.50;0.31;0.00;0.00;1.3;1.3;0.05;-1.3;-1.3;Matches
516;Mauro Vigorito\Mauro-Vigorito;it ITA;GK;Lecce;29;1990;4.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
517;Gonzalo Villar\Gonzalo-Villar;es ESP;MF;Roma;21;1998;1.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
518;Luigi Vitale\Luigi-Vitale;it ITA;DF;Hellas Verona;31;1987;0.4;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
519;Mattia Viviani\Mattia-Viviani;it ITA;MF;Brescia;18;2000;1.6;0;0;0;2;0;0;0.0;1.25;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
520;Dušan Vlahović\Dusan-Vlahovic;rs SRB;FW;Fiorentina;19;2000;11.7;6;1;1;47;15;4;31.9;4.01;1.28;0.11;0.33;6.7;5.9;0.13;-0.7;-0.9;Matches
521;Stefan de Vrij\Stefan-de-Vrij;nl NED;DF;Inter;27;1992;21.3;2;0;0;14;4;0;28.6;0.66;0.19;0.14;0.50;1.2;1.2;0.08;+0.8;+0.8;Matches
522;Walace\Walace;br BRA;MF;Udinese;24;1995;4.8;0;0;0;4;2;0;50.0;0.83;0.41;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
523;Sebastian Walukiewicz\Sebastian-Walukiewicz;pl POL;DF;Cagliari;19;2000;3.6;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
524;Jawad El Yamiq\Jawad-El-Yamiq;ma MAR;DF;Genoa;27;1992;2.2;0;0;0;2;0;0;0.0;0.92;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
525;Amin Younes\Amin-Younes;de GER;FWMF;Napoli;25;1993;1.6;0;0;0;4;0;0;0.0;2.52;0.00;0.00;;0.3;0.3;0.07;-0.3;-0.3;Matches
526;Ashley Young\Ashley-Young;eng ENG;DF;Inter;34;1985;4.0;1;0;0;3;2;0;66.7;0.75;0.50;0.33;0.50;0.4;0.4;0.15;+0.6;+0.6;Matches
527;Mattia Zaccagni\Mattia-Zaccagni;it ITA;FWMF;Hellas Verona;24;1995;16.4;1;0;0;17;7;0;41.2;1.03;0.43;0.06;0.14;2.6;2.6;0.15;-1.6;-1.6;Matches
528;Nicolò Zaniolo\Nicolo-Zaniolo;it ITA;FWMF;Roma;20;1999;14.4;4;0;0;35;16;0;45.7;2.43;1.11;0.11;0.25;3.2;3.2;0.09;+0.8;+0.8;Matches
529;Cristián Zapata\Cristian-Zapata;co COL;DF;Genoa;32;1986;12.0;1;0;0;7;1;0;14.3;0.58;0.08;0.14;1.00;0.5;0.5;0.08;+0.5;+0.5;Matches
530;Duván Zapata\Duvan-Zapata;co COL;FW;Atalanta;28;1991;11.8;11;1;1;52;21;0;40.4;4.41;1.78;0.19;0.48;7.6;6.8;0.13;+3.4;+3.2;Matches
531;Davide Zappacosta\Davide-Zappacosta;it ITA;DF;Roma;27;1992;0.1;0;0;0;1;0;0;0.0;7.50;0.00;0.00;;0.3;0.3;0.27;-0.3;-0.3;Matches
532;Simone Zaza\Simone-Zaza;it ITA;FW;Torino;28;1991;9.7;3;0;0;24;9;0;37.5;2.48;0.93;0.13;0.33;2.6;2.6;0.11;+0.4;+0.4;Matches
533;Marvin Zeegelaar\Marvin-Zeegelaar;nl NED;DF;Udinese;28;1990;0.9;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
534;Piotr Zieliński\Piotr-Zielinski;pl POL;MF;Napoli;25;1994;23.9;2;0;0;55;14;0;25.5;2.30;0.59;0.04;0.14;2.7;2.7;0.05;-0.7;-0.7;Matches
535;Jaromír Zmrhal\Jaromir-Zmrhal;cz CZE;MF;Brescia;25;1993;3.4;0;0;0;3;1;0;33.3;0.89;0.30;0.00;0.00;0.2;0.2;0.07;-0.2;-0.2;Matches
536;Ervin Zukanović\Ervin-Zukanovic;ba BIH;DF;SPAL;32;1987;2.3;0;0;0;2;0;0;0.0;0.89;0.00;0.00;;0.0;0.0;0.01;0.0;0.0;Matches
537;Szymon Żurkowski\Szymon-Zurkowski;pl POL;MF;Fiorentina;21;1997;0.1;0;0;0;1;0;0;0.0;9.00;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
538;Filip Đuričić\Filip-Djuricic;rs SRB;MFFW;Sassuolo;27;1992;9.3;4;0;0;17;4;2;23.5;1.82;0.43;0.24;1.00;1.7;1.7;0.10;+2.3;+2.3;Matches
