"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
615;Marco Sportiello\Marco-Sportiello;it ITA;GK;Atalanta;27;1992;3;270;90;12.0;3.0;3;90;0;;21;2.00;10;3;+7;+2.33;+1.02;6.0;2.1;+4.0;+1.33;-0.07;Matches
616;Mattia Sprocati\Mattia-Sprocati;it ITA;FW;Parma;26;1992;16;490;31;22.7;5.4;3;73;13;21;8;0.88;7;7;0;0.00;-0.11;6.6;10.0;-3.5;-0.63;-0.26;Matches
617;Filip Stankovic\Filip-Stankovic;rs SRB;GK;Inter;17;2002;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
618;Leonardo Stanzani\Leonardo-Stanzani;it ITA;FW;Bologna;19;2000;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
619;Mariusz Stępiński\Mariusz-Stepinski;pl POL;FW;Hellas Verona;24;1995;13;517;40;23.9;5.7;5;70;8;21;8;1.46;9;5;+4;+0.70;+0.70;8.6;8.2;+0.5;+0.08;+0.09;Matches
620;Thomas Strakosha\Thomas-Strakosha;al ALB;GK;Lazio;24;1995;26;2340;90;100.0;26.0;26;90;0;;0;2.38;60;23;+37;+1.42;;50.3;30.6;+19.7;+0.76;;Matches
621;Jens Stryger Larsen\Jens-Stryger-Larsen;dk DEN;DF;Udinese;28;1991;21;1856;88;82.5;20.6;21;88;0;;0;1.00;15;25;-10;-0.48;+0.89;21.0;28.2;-7.2;-0.35;+0.96;Matches
622;Stefano Sturaro\Stefano-Sturaro;it ITA;MF;Genoa;26;1993;10;865;87;38.4;9.6;10;87;0;;2;1.30;12;12;0;0.00;+1.10;13.5;14.8;-1.3;-0.13;+0.43;Matches
623;Suso\Suso;es ESP;FWMF;Milan;25;1993;16;1361;85;60.5;15.1;15;89;1;33;4;1.31;13;21;-8;-0.53;-0.83;19.5;21.7;-2.3;-0.15;-0.49;Matches
624;Mattias Svanberg\Mattias-Svanberg;se SWE;MF;Bologna;20;1999;14;676;48;28.9;7.5;7;78;7;18;10;1.29;13;16;-3;-0.40;-0.35;8.9;12.5;-3.6;-0.47;-0.96;Matches
625;Wojciech Szczęsny\Wojciech-Szczesny;pl POL;GK;Juventus;29;1990;18;1620;90;72.0;18.0;18;90;0;;5;2.28;33;17;+16;+0.89;-0.25;30.8;21.4;+9.5;+0.53;-0.93;Matches
626;Andrea Tabanelli\Andrea-Tabanelli;it ITA;MF;Lecce;29;1990;13;966;74;41.3;10.7;11;81;2;39;2;1.15;15;17;-2;-0.19;+1.12;14.2;21.2;-6.9;-0.65;+0.67;Matches
627;Panagiotis Tachtsidis\Panagiotis-Tachtsidis;gr GRE;MF;Lecce;28;1991;19;1445;76;61.8;16.1;17;82;2;26;3;0.58;13;34;-21;-1.31;-1.21;19.3;34.7;-15.4;-0.96;+0.21;Matches
628;Adrien Tameze\Adrien-Tameze;cm CMR;MF;Atalanta;25;1994;2;5;3;0.2;0.1;0;;2;3;2;3.00;2;0;+2;+36.00;+34.64;0.8;0.1;+0.7;+13.29;+11.93;Matches
629;Łukasz Teodorczyk\Lukasz-Teodorczyk;pl POL;DFFW;Udinese;28;1991;7;39;6;1.7;0.4;0;;7;6;17;1.00;2;0;+2;+4.62;+5.35;1.3;1.7;-0.4;-0.93;-0.42;Matches
630;Hidde ter Avest\Hidde-ter-Avest;nl NED;DF;Udinese;22;1997;9;362;40;16.1;4.0;4;71;5;16;10;0.89;4;10;-6;-1.49;-1.02;4.9;7.6;-2.6;-0.65;-0.16;Matches
631;Pietro Terracciano\Pietro-Terracciano;it ITA;GK;Fiorentina;29;1990;0;;;;;0;;0;;25;;;;;;;;;;;;Matches
632;Aleksa Terzić\Aleksa-Terzic;rs SRB;DF;Fiorentina;19;1999;0;;;;;0;;0;;18;;;;;;;;;;;;Matches
633;Demba Thiam\Demba-Thiam;sn SEN;GK;SPAL;21;1998;0;;;;;0;;0;;25;;;;;;;;;;;;Matches
