"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
27;Antonín Barák\Antonin-Barak;cz CZE;MF;Lecce;24;1994;5;5;450;1;0;0;0;0;0;0.20;0.00;0.20;0.20;0.20;0.6;0.6;0.0;0.12;0.00;0.12;0.12;0.12;Matches
28;Antonín Barák\Antonin-Barak;cz CZE;MF;Udinese;24;1994;8;1;189;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.05;0.10;0.15;0.05;0.15;Matches
29;Nicolò Barella\Nicolo-Barella;it ITA;MF;Inter;22;1997;19;15;1356;1;3;0;0;8;0;0.07;0.20;0.27;0.07;0.27;1.1;1.1;1.2;0.08;0.08;0.15;0.08;0.15;Matches
30;Antonino Barillà\Antonino-Barilla;it ITA;MF;Parma;31;1988;18;15;1244;1;0;0;0;5;0;0.07;0.00;0.07;0.07;0.07;1.3;1.3;0.8;0.09;0.06;0.15;0.09;0.15;Matches
31;Antonio Barreca\Antonio-Barreca;it ITA;DF;Genoa;24;1995;9;8;658;0;1;0;0;0;0;0.00;0.14;0.14;0.00;0.14;0.1;0.1;0.3;0.02;0.04;0.06;0.02;0.06;Matches
32;Édgar Barreto\Edgar-Barreto;py PAR;MF;Sampdoria;35;1984;2;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.04;0.00;0.04;0.04;0.04;Matches
33;Musa Barrow\Musa-Barrow;gm GAM;FWDF;Bologna;20;1998;7;4;493;3;1;0;0;0;0;0.55;0.18;0.73;0.55;0.73;1.1;1.1;1.5;0.19;0.27;0.47;0.19;0.47;Matches
34;Musa Barrow\Musa-Barrow;gm GAM;FWMF;Atalanta;20;1998;7;1;185;0;2;0;1;0;0;0.00;0.97;0.97;0.00;0.97;1.9;1.1;0.6;0.91;0.31;1.22;0.54;0.85;Matches
35;Daniele Baselli\Daniele-Baselli;it ITA;MF;Torino;27;1992;16;16;1288;0;2;0;0;3;0;0.00;0.14;0.14;0.00;0.14;0.7;0.7;1.1;0.05;0.08;0.12;0.05;0.12;Matches
36;Alessandro Bastoni\Alessandro-Bastoni;it ITA;DF;Inter;20;1999;13;11;1046;1;0;0;0;5;0;0.09;0.00;0.09;0.09;0.09;0.3;0.3;1.3;0.03;0.11;0.14;0.03;0.14;Matches
37;Bastos\Bastos;ao ANG;DF;Lazio;28;1991;8;3;448;1;0;0;0;2;0;0.20;0.00;0.20;0.20;0.20;0.7;0.7;0.0;0.14;0.00;0.14;0.14;0.14;Matches
38;Rodrigo Becão\Rodrigo-Becao;br BRA;DF;Udinese;23;1996;19;16;1453;1;0;0;0;6;0;0.06;0.00;0.06;0.06;0.06;0.2;0.2;0.1;0.02;0.00;0.02;0.02;0.02;Matches
39;Asmir Begović\Asmir-Begovic;ba BIH;GK;Milan;32;1987;1;0;38;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
40;Valon Behrami\Valon-Behrami;ch SUI;MF;Genoa;34;1985;6;4;407;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches
41;Andrea Belotti\Andrea-Belotti;it ITA;FW;Torino;25;1993;23;22;1916;9;2;5;5;3;0;0.42;0.09;0.52;0.19;0.28;9.7;6.1;2.8;0.46;0.13;0.59;0.29;0.42;Matches
42;Marco Benassi\Marco-Benassi;it ITA;MF;Fiorentina;24;1994;16;9;917;1;1;0;0;1;0;0.10;0.10;0.20;0.10;0.20;1.2;1.2;1.2;0.11;0.12;0.23;0.11;0.23;Matches
43;Ismaël Bennacer\Ismael-Bennacer;dz ALG;MF;Milan;21;1997;19;17;1530;0;0;0;0;12;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.6;0.02;0.04;0.05;0.02;0.05;Matches
44;Rodrigo Bentancur\Rodrigo-Bentancur;uy URU;MF;Juventus;22;1997;18;14;1233;0;6;0;0;7;0;0.00;0.44;0.44;0.00;0.44;0.2;0.2;2.4;0.02;0.18;0.19;0.02;0.19;Matches
45;Romario Benzar\Romario-Benzar;ro ROU;DF;Lecce;27;1992;3;1;96;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.11;0.11;0.00;0.11;Matches
46;Domenico Berardi\Domenico-Berardi;it ITA;FW;Sassuolo;24;1994;19;18;1581;9;5;0;1;4;1;0.51;0.28;0.80;0.51;0.80;5.9;5.2;3.7;0.34;0.21;0.55;0.29;0.50;Matches
47;Álex Berenguer\Alex-Berenguer;es ESP;MFFW;Torino;24;1995;17;13;1094;5;1;0;0;3;0;0.41;0.08;0.49;0.41;0.49;2.7;2.7;1.9;0.23;0.16;0.39;0.23;0.39;Matches
48;Bartosz Bereszyński\Bartosz-Bereszynski;pl POL;DF;Sampdoria;27;1992;16;16;1405;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.02;0.01;0.02;0.02;0.02;Matches
49;Etrit Berisha\Etrit-Berisha;al ALB;GK;SPAL;30;1989;25;25;2250;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.00;0.00;0.00;0.00;Matches
50;Valon Berisha\Valon-Berisha;xk KVX;MFFW;Lazio;26;1993;3;0;30;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
51;Federico Bernardeschi\Federico-Bernardeschi;it ITA;MF;Juventus;25;1994;17;9;785;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;2.5;2.5;1.5;0.29;0.18;0.46;0.29;0.46;Matches
52;Andrea Bertolacci\Andrea-Bertolacci;it ITA;MF;Sampdoria;28;1991;7;5;285;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.06;0.04;0.09;0.06;0.09;Matches
53;Lucas Biglia\Lucas-Biglia;ar ARG;MF;Milan;33;1986;7;6;525;0;1;0;0;3;0;0.00;0.17;0.17;0.00;0.17;0.2;0.2;0.1;0.03;0.02;0.05;0.03;0.05;Matches
