"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
424;Isaac Success\Isaac-Success;ng NGA;FWMF;Watford;23;1996;0.7;0;0.1;-0.1;1;14;21;66.7;3;4;75.0;10;16;62.5;1;1;100.0;1;15;0;0;0;0;0;2;0;Matches
425;Ki Sung-yueng\Ki-Sung-yueng;kr KOR;MF;Newcastle Utd;30;1989;1.5;0;0.1;-0.1;2;59;67;88.1;2;2;100.0;36;41;87.8;21;24;87.5;5;57;3;0;3;0;4;0;0;Matches
426;Andrew Surman\Andrew-Surman;eng ENG;MF;Bournemouth;32;1986;2.6;0;0.0;0.0;1;102;127;80.3;5;5;100.0;73;89;82.0;24;33;72.7;95;13;7;0;2;0;6;1;0;Matches
427;Sam Surridge\Sam-Surridge;eng ENG;FW;Bournemouth;21;1998;0.2;0;0.0;0.0;0;2;3;66.7;0;0;;2;3;66.7;0;0;;0;2;0;0;0;0;1;0;0;Matches
428;Japhet Tanganga\Japhet-Tanganga;eng ENG;DF;Tottenham;20;1999;4.8;0;0.0;0.0;0;157;193;81.3;1;12;8.3;124;139;89.2;32;42;76.2;18;128;4;0;0;27;7;0;0;Matches
429;Matt Targett\Matt-Targett;eng ENG;DF;Aston Villa;23;1995;17.8;2;2.5;-0.5;22;668;898;74.4;13;44;29.5;534;623;85.7;121;231;52.4;592;92;26;0;10;137;50;25;11;Matches
430;James Tarkowski\James-Tarkowski;eng ENG;DF;Burnley;26;1992;28.0;1;1.1;-0.1;8;647;885;73.1;7;22;31.8;373;461;80.9;267;402;66.4;106;601;12;0;0;2;45;7;0;Matches
431;Charlie Taylor\Charlie-Taylor;eng ENG;DF;Burnley;25;1993;14.3;0;0.9;-0.9;11;473;693;68.3;8;42;19.0;363;440;82.5;102;211;48.3;428;16;5;1;0;185;36;13;12;Matches
432;Neil Taylor\Neil-Taylor;wal WAL;DF;Aston Villa;30;1989;8.8;0;0.1;-0.1;1;297;375;79.2;5;16;31.3;253;286;88.5;39;73;53.4;208;82;0;0;0;71;14;1;0;Matches
433;Alexander Tettey\Alexander-Tettey;no NOR;MFDF;Norwich City;33;1986;19.2;1;0.8;+0.2;5;803;911;88.1;10;22;45.5;653;718;90.9;140;171;81.9;116;709;8;1;1;1;41;4;0;Matches
434;Youri Tielemans\Youri-Tielemans;be BEL;MF;Leicester City;22;1997;23.8;5;4.0;+1.0;34;1057;1307;80.9;26;46;56.5;812;938;86.6;219;323;67.8;237;993;28;8;14;11;112;28;4;Matches
435;Kieran Tierney\Kieran-Tierney;sco SCO;DF;Arsenal;22;1997;3.3;0;0.5;-0.5;4;135;176;76.7;2;10;20.0;105;120;87.5;28;46;60.9;119;14;2;0;0;35;5;5;4;Matches
436;James Tomkins\James-Tomkins;eng ENG;DF;Crystal Palace;30;1989;17.6;1;0.1;+0.9;2;505;626;80.7;6;14;42.9;311;347;89.6;188;265;70.9;81;474;26;0;0;3;21;1;0;Matches
437;Fikayo Tomori\Fikayo-Tomori;eng ENG;DF;Chelsea;21;1997;14.4;0;0.2;-0.2;4;981;1098;89.3;4;15;26.7;660;701;94.2;317;382;83.0;274;765;10;1;0;10;57;4;0;Matches
438;Lucas Torreira\Lucas-Torreira;uy URU;MF;Arsenal;23;1996;15.2;1;1.1;-0.1;14;720;821;87.7;9;25;36.0;517;570;90.7;194;226;85.8;78;687;22;1;11;2;41;3;0;Matches
439;Cenk Tosun\Cenk-Tosun;tr TUR;FW;Crystal Palace;28;1991;2.0;0;0.0;0.0;0;29;47;61.7;0;2;0.0;24;37;64.9;5;8;62.5;13;27;0;1;0;0;3;2;0;Matches
440;Cenk Tosun\Cenk-Tosun;tr TUR;FW;Everton;28;1991;3.2;0;0.1;-0.1;4;42;62;67.7;1;3;33.3;38;50;76.0;3;9;33.3;17;34;0;0;0;0;2;3;0;Matches
441;Andros Townsend\Andros-Townsend;eng ENG;MF;Crystal Palace;28;1991;8.8;1;1.2;-0.2;8;189;274;69.0;6;18;33.3;156;186;83.9;27;70;38.6;198;71;1;0;4;3;12;7;3;Matches
442;Adama Traoré\Adama-Traore;es ESP;FWDF;Wolves;23;1996;22.7;7;5.5;+1.5;38;466;727;64.1;6;51;11.8;386;518;74.5;74;158;46.8;68;580;0;3;0;35;34;15;2;Matches
443;Mark Travers\Mark-Travers;ie IRL;GK;Bournemouth;20;1999;1.0;0;0.0;0.0;0;23;32;71.9;0;0;;12;12;100.0;11;20;55.0;3;24;1;0;0;0;0;0;0;Matches
444;Trézéguet\Trezeguet;eg EGY;FWMF;Aston Villa;24;1994;14.7;1;0.7;+0.3;15;221;325;68.0;7;24;29.2;179;222;80.6;35;79;44.3;17;273;2;1;10;7;11;7;4;Matches
445;Leandro Trossard\Leandro-Trossard;be BEL;FWMF;Brighton;24;1994;15.1;3;3.1;-0.1;28;418;593;70.5;5;30;16.7;313;404;77.5;100;159;62.9;132;430;16;2;9;12;32;21;7;Matches
446;Tom Trybull\Tom-Trybull;de GER;MF;Norwich City;26;1993;11.4;0;0.0;0.0;1;520;558;93.2;6;10;60.0;429;451;95.1;85;97;87.6;70;451;19;0;0;0;39;0;0;Matches
447;Axel Tuanzebe\Axel-Tuanzebe;eng ENG;DF;Manchester Utd;21;1997;2.1;0;0.0;0.0;0;127;141;90.1;1;3;33.3;102;110;92.7;24;28;85.7;18;104;1;0;0;11;8;0;0;Matches
448;Yan Valery\Yan-Valery;fr FRA;DF;Southampton;20;1999;6.2;0;0.7;-0.7;2;143;232;61.6;3;12;25.0;112;152;73.7;28;68;41.2;8;136;2;0;0;67;5;1;1;Matches
449;Jesús Vallejo\Jesus-Vallejo;es ESP;DF;Wolves;22;1997;1.8;0;0.0;0.0;0;81;104;77.9;1;1;100.0;50;59;84.7;30;44;68.2;5;94;1;0;0;0;7;1;0;Matches
450;Jamie Vardy\Jamie-Vardy;eng ENG;FW;Leicester City;32;1987;24.4;4;3.4;+0.6;14;217;322;67.4;12;36;33.3;184;244;75.4;21;42;50.0;55;215;0;2;0;1;9;9;2;Matches
451;Indiana Vassilev\Indiana-Vassilev;us USA;FW;Aston Villa;18;2001;0.4;0;0.0;0.0;0;7;9;77.8;1;2;50.0;6;7;85.7;0;0;;5;3;0;0;0;1;0;0;0;Matches
452;Jan Vertonghen\Jan-Vertonghen;be BEL;DF;Tottenham;32;1987;16.2;1;0.9;+0.1;3;826;976;84.6;4;21;19.0;604;662;91.2;218;293;74.4;641;222;35;0;0;53;49;0;0;Matches
453;Jannik Vestergaard\Jannik-Vestergaard;dk DEN;DF;Southampton;26;1992;12.6;0;0.1;-0.1;3;428;535;80.0;5;7;71.4;317;358;88.5;106;170;62.4;168;281;15;1;0;26;45;3;0;Matches
454;Rúben Vinagre\Ruben-Vinagre;pt POR;DF;Wolves;20;1999;4.9;0;0.6;-0.6;5;174;242;71.9;2;18;11.1;145;171;84.8;27;53;50.9;173;16;4;0;0;47;9;5;5;Matches
455;Mario Vrančić\Mario-Vrancic;ba BIH;MF;Norwich City;30;1989;3.9;0;0.3;-0.3;6;197;247;79.8;4;8;50.0;156;173;90.2;37;66;56.1;180;45;7;2;0;0;13;2;0;Matches
456;Matěj Vydra\Matej-Vydra;cz CZE;FW;Burnley;27;1992;3.4;1;0.1;+0.9;3;29;45;64.4;1;3;33.3;28;39;71.8;0;3;0.0;7;28;0;0;0;1;4;0;0;Matches
457;Theo Walcott\Theo-Walcott;eng ENG;MFFW;Everton;30;1989;11.4;2;1.7;+0.3;13;203;316;64.2;2;24;8.3;175;235;74.5;26;57;45.6;18;269;1;2;2;4;15;10;1;Matches
458;Kyle Walker\Kyle-Walker;eng ENG;DF;Manchester City;29;1990;20.1;2;1.5;+0.5;11;1386;1574;88.1;12;45;26.7;999;1083;92.2;375;446;84.1;39;1329;22;2;1;145;164;13;0;Matches
