"id";"name";"nation";"position";"Squad";"age";"born";"Poss";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;Crystal Palace;;28;1990;22;22;1894;3;0;1;1;0;0;0.14;0.00;0.14;0.10;0.10;1.8;1.0;1.8;0.09;0.09;0.17;0.05;0.14;Matches
6;Sergio Agüero\Sergio-Aguero;ar ARG;FW;Manchester City;;31;1988;22;17;1401;16;3;2;3;1;0;1.03;0.19;1.22;0.90;1.09;13.3;11.0;2.5;0.85;0.16;1.01;0.70;0.87;Matches
13;Dele Alli\Dele-Alli;eng ENG;MFFW;Tottenham;;23;1996;22;20;1764;8;4;1;1;2;0;0.41;0.20;0.61;0.36;0.56;7.0;6.2;2.2;0.36;0.11;0.47;0.32;0.43;Matches
