Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
27;Emi Buendía\Emi-Buendia;ar ARG;MFFW;Aston Villa;24-233;1996;0.8;1;0;0;1;0;0;2;0.0;2;10;3;30.0;1;7;2;0;0;0;0;1;2;0;0;Matches
28;Dominic Calvert-Lewin\Dominic-Calvert-Lewin;eng ENG;FW;Everton;24-152;1997;1.0;0;0;0;0;0;0;0;;0;5;1;20.0;1;4;0;1;1;0;0;1;1;0;0;Matches
29;Sergi Canós\Sergi-Canos;es ESP;DF;Brentford;24-194;1997;1.0;6;2;5;1;0;4;6;66.7;2;25;6;24.0;17;6;2;2;1;0;1;1;7;0;0;Matches
30;Todd Cantwell\Todd-Cantwell;eng ENG;FWMF;Norwich City;23-169;1998;0.9;;5;;;;;;;;;;;;;;;;;;1;;;;Matches
31;Matty Cash\Matty-Cash;eng ENG;DF;Aston Villa;24-008;1997;1.0;3;3;1;2;0;2;2;100.0;0;11;5;45.5;3;7;1;0;0;0;0;3;6;3;0;Matches
32;Craig Cathcart\Craig-Cathcart;nir NIR;DF;Watford;32-190;1989;1.0;0;0;0;0;0;0;4;0.0;4;10;2;20.0;5;4;1;0;0;0;0;1;1;2;0;Matches
33;Trevoh Chalobah\Trevoh-Chalobah;eng ENG;DF;Chelsea;22-041;1999;1.0;1;0;0;0;1;1;1;100.0;0;14;5;35.7;4;10;0;0;0;0;0;1;2;3;0;Matches
34;Calum Chambers\Calum-Chambers;eng ENG;DF;Arsenal;26-207;1995;0.9;1;0;1;0;0;0;0;;0;11;4;36.4;7;4;0;3;0;0;3;1;2;2;1;Matches
35;Andreas Christensen\Andreas-Christensen;dk DEN;DF;Chelsea;25-127;1996;1.0;0;0;0;0;0;0;0;;0;5;1;20.0;1;4;0;1;0;0;1;9;9;2;0;Matches
36;Tom Cleverley\Tom-Cleverley;eng ENG;MF;Watford;32-003;1989;0.9;2;1;0;2;0;1;2;50.0;1;15;5;33.3;4;11;0;1;0;0;1;1;3;0;0;Matches
37;Conor Coady\Conor-Coady;eng ENG;DF;Wolves;28-171;1993;1.0;2;2;1;1;0;1;3;33.3;2;8;4;50.0;8;0;0;1;1;0;0;1;3;3;0;Matches
38;Séamus Coleman\Seamus-Coleman;ie IRL;DF;Everton;32-308;1988;1.0;5;3;3;2;0;5;6;83.3;1;11;6;54.5;4;7;0;2;0;0;2;3;8;5;0;Matches
39;Liam Cooper\Liam-Cooper;sct SCO;DF;Leeds United;29-350;1991;1.0;6;3;4;2;0;4;5;80.0;1;15;7;46.7;8;7;0;3;1;0;2;2;8;3;0;Matches
40;Jack Cork\Jack-Cork;eng ENG;MF;Burnley;32-051;1989;0.9;1;1;0;1;0;0;0;;0;14;5;35.7;1;10;3;1;0;0;1;0;1;2;0;Matches
41;Hélder Costa\Helder-Costa;pt POR;MF;Leeds United;27-215;1994;0.2;0;0;0;0;0;0;2;0.0;2;9;2;22.2;1;5;3;0;0;0;0;0;0;0;0;Matches
42;Cucho\Cucho;co COL;FW;Watford;22-117;1999;0.3;0;0;0;0;0;0;2;0.0;2;6;0;0.0;4;1;1;0;0;0;0;0;0;0;0;Matches
43;Stuart Dallas\Stuart-Dallas;nir NIR;DFMF;Leeds United;30-118;1991;1.0;1;0;0;1;0;0;5;0.0;5;19;9;47.4;10;7;2;1;1;0;0;2;3;2;0;Matches
44;Troy Deeney\Troy-Deeney;eng ENG;FW;Watford;33-047;1988;0.1;0;0;0;0;0;0;1;0.0;1;4;0;0.0;0;2;2;0;0;0;0;0;0;1;0;Matches
45;Leander Dendoncker\Leander-Dendoncker;be BEL;MF;Wolves;26-122;1995;0.3;2;1;1;1;0;0;2;0.0;2;11;2;18.2;6;4;1;2;1;0;1;0;2;1;0;Matches
46;Emmanuel Dennis\Emmanuel-Dennis;ng NGA;FW;Watford;23-273;1997;0.7;2;2;1;1;0;0;1;0.0;1;15;6;40.0;1;11;3;0;0;0;0;0;2;0;0;Matches
47;Ibrahima Diallo\Ibrahima-Diallo;fr FRA;MF;Southampton;22-160;1999;0.1;0;0;0;0;0;0;2;0.0;2;7;2;28.6;1;6;0;0;0;0;0;0;0;0;0;Matches
48;Raphael Dias Belloli\Raphael-Dias-Belloli;br BRA;MF;Leeds United;24-244;1996;1.0;3;1;2;1;0;1;3;33.3;2;21;5;23.8;6;11;4;3;0;0;3;1;4;0;0;Matches
49;Lucas Digne\Lucas-Digne;fr FRA;DF;Everton;28-026;1993;1.0;0;0;0;0;0;0;1;0.0;1;7;2;28.6;4;1;2;0;0;0;0;1;1;5;0;Matches
50;Virgil van Dijk\Virgil-van-Dijk;nl NED;DF;Liverpool;30-038;1991;1.0;;0;;;;;;;;;;;;;;;;;;0;;;;Matches
51;Moussa Djenepo\Moussa-Djenepo;ml MLI;MF;Southampton;23-061;1998;1.0;5;1;3;2;0;2;3;66.7;1;29;5;17.2;13;12;4;2;0;0;2;2;7;2;0;Matches
52;Abdoulaye Doucouré\Abdoulaye-Doucoure;fr FRA;MF;Everton;28-226;1993;1.0;3;1;2;1;0;1;4;25.0;3;20;5;25.0;10;8;2;0;0;0;0;0;3;5;0;Matches
53;Kieran Dowell\Kieran-Dowell;eng ENG;FWMF;Norwich City;23-309;1997;0.1;;0;;;;;;;;;;;;;;;;;;0;;;;Matches
54;Shane Duffy\Shane-Duffy;ie IRL;DF;Brighton;29-226;1992;1.0;2;2;2;0;0;1;1;100.0;0;4;1;25.0;3;1;0;2;1;0;1;0;2;15;0;Matches
55;Lewis Dunk\Lewis-Dunk;eng ENG;DF;Brighton;29-267;1991;1.0;0;0;0;0;0;0;1;0.0;1;2;0;0.0;2;0;0;1;1;0;0;0;0;7;0;Matches
56;Harvey Elliot\Harvey-Elliot;eng ENG;FW;Liverpool;18-133;2003;0.1;;0;;;;;;;;;;;;;;;;;;0;;;;Matches
57;Oghenekaro Etebo\Oghenekaro-Etebo;ng NGA;MF;Watford;25-279;1995;1.0;1;1;1;0;0;0;0;;0;13;5;38.5;5;7;1;3;1;0;2;3;4;3;0;Matches
58;Fabinho\Fabinho;br BRA;DFMF;Liverpool;27-296;1993;0.3;;0;;;;;;;;;;;;;;;;;;0;;;;Matches
59;Bruno Fernandes\Bruno-Fernandes;pt POR;MF;Manchester Utd;26-341;1994;1.0;0;0;0;0;0;0;3;0.0;3;21;5;23.8;2;12;7;2;0;0;2;0;0;0;0;Matches
60;Roberto Firmino\Roberto-Firmino;br BRA;FWMF;Liverpool;29-317;1991;0.3;;1;;;;;;;;;;;;;;;;;;0;;;;Matches
61;Junior Firpo\Junior-Firpo;es ESP;DF;Leeds United;24-358;1996;0.5;0;0;0;0;0;0;0;;0;7;1;14.3;5;2;0;0;0;0;0;3;3;1;0;Matches
62;Marcus Forss\Marcus-Forss;fi FIN;FW;Brentford;22-058;1999;0.1;0;0;0;0;0;0;0;;0;2;0;0.0;1;1;0;0;0;0;0;0;0;0;0;Matches
63;Fred\Fred;br BRA;MF;Manchester Utd;28-163;1993;1.0;0;0;0;0;0;0;1;0.0;1;23;4;17.4;3;17;3;1;0;0;1;4;4;1;0;Matches
64;David de Gea\David-de-Gea;es ESP;GK;Manchester Utd;30-281;1990;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
65;Anwar El Ghazi\Anwar-El-Ghazi;nl NED;FW;Aston Villa;26-104;1995;0.7;0;0;0;0;0;0;2;0.0;2;5;1;20.0;0;4;1;0;0;0;0;0;0;0;0;Matches
66;Dimitris Giannoulis\Dimitris-Giannoulis;gr GRE;DFMF;Norwich City;25-302;1995;1.0;;0;;;;;;;;;;;;;;;;;;0;;;;Matches
67;Morgan Gibbs-White\Morgan-Gibbs-White;eng ENG;FW;Wolves;21-200;2000;0.1;0;0;0;0;0;0;0;;0;2;0;0.0;1;0;1;1;0;0;1;0;0;0;0;Matches
68;Ben Gibson\Ben-Gibson;eng ENG;DF;Norwich City;28-212;1993;1.0;;0;;;;;;;;;;;;;;;;;;2;;;;Matches
69;Billy Gilmour\Billy-Gilmour;sct SCO;MF;Norwich City;20-065;2001;1.0;;1;;;;;;;;;;;;;;;;;;1;;;;Matches
70;Anthony Gordon\Anthony-Gordon;eng ENG;MF;Everton;20-172;2001;0.0;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;0;0;Matches
71;Dan Gosling\Dan-Gosling;eng ENG;MF;Watford;31-195;1990;0.2;0;0;0;0;0;0;4;0.0;4;5;1;20.0;2;3;0;0;0;0;0;0;0;1;0;Matches
72;Demarai Gray\Demarai-Gray;eng ENG;MFFW;Everton;25-048;1996;0.9;3;1;0;1;2;1;2;50.0;1;9;2;22.2;1;6;2;0;0;0;0;0;3;0;0;Matches
73;Mason Greenwood\Mason-Greenwood;eng ENG;FW;Manchester Utd;19-318;2001;1.0;2;0;1;0;1;1;1;100.0;0;16;3;18.8;2;7;7;1;0;0;1;1;3;0;0;Matches
74;Pascal Groß\Pascal-Gross;de GER;DF;Brighton;30-061;1991;1.0;1;1;1;0;0;0;1;0.0;1;10;4;40.0;5;1;4;1;0;0;1;0;1;5;0;Matches
75;Vicente Guaita\Vicente-Guaita;es ESP;GK;Crystal Palace;34-217;1987;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
76;Marc Guéhi\Marc-Guehi;eng ENG;DF;Crystal Palace;21-033;2000;1.0;1;1;1;0;0;0;0;;0;7;1;14.3;4;3;0;1;0;0;1;1;2;1;0;Matches
77;Grant Hanley\Grant-Hanley;sct SCO;DF;Norwich City;29-268;1991;1.0;;1;;;;;;;;;;;;;;;;;;1;;;;Matches
78;Jack Harrison\Jack-Harrison;eng ENG;MF;Leeds United;24-268;1996;0.8;1;1;1;0;0;1;2;50.0;1;21;5;23.8;5;13;3;0;0;0;0;2;3;2;0;Matches
79;Kai Havertz\Kai-Havertz;de GER;MF;Chelsea;22-065;1999;0.1;1;1;0;1;0;0;0;;0;5;1;20.0;1;3;1;0;0;0;0;0;1;0;0;Matches
80;Rico Henry\Rico-Henry;eng ENG;DF;Brentford;24-038;1997;1.0;3;3;2;1;0;0;1;0.0;1;18;6;33.3;9;7;2;2;1;0;1;0;3;1;0;Matches
81;Ki-Jana Hoever\Ki-Jana-Hoever;nl NED;DF;Wolves;19-209;2002;1.0;7;5;4;3;0;2;5;40.0;3;26;8;30.8;12;12;2;0;0;0;0;1;8;2;0;Matches
82;Mason Holgate\Mason-Holgate;eng ENG;DF;Everton;24-297;1996;1.0;1;0;1;0;0;0;0;;0;6;1;16.7;4;1;1;1;1;0;0;3;4;9;0;Matches
83;Adam Idah\Adam-Idah;ie IRL;FW;Norwich City;20-157;2001;0.2;;0;;;;;;;;;;;;;;;;;;0;;;;Matches
84;Kelechi Iheanacho\Kelechi-Iheanacho;ng NGA;MF;Leicester City;24-316;1996;0.2;0;0;0;0;0;0;0;;0;6;2;33.3;0;4;2;0;0;0;0;0;0;1;0;Matches
85;Danny Ings\Danny-Ings;eng ENG;FW;Aston Villa;29-023;1992;1.0;0;0;0;0;0;0;0;;0;7;0;0.0;1;0;6;1;1;0;0;0;0;0;0;Matches
86;Alex Iwobi\Alex-Iwobi;ng NGA;FWMF;Everton;25-104;1996;0.2;0;0;0;0;0;0;0;;0;3;1;33.3;1;0;2;0;0;0;0;0;0;1;0;Matches
87;Daniel James\Daniel-James;wls WAL;FW;Manchester Utd;23-278;1997;0.8;3;3;0;3;0;1;1;100.0;0;19;4;21.1;3;8;8;2;0;0;2;0;3;1;0;Matches
88;Reece James\Reece-James;eng ENG;DF;Chelsea;21-250;1999;0.3;1;0;1;0;0;0;0;;0;8;1;12.5;6;2;0;0;0;0;0;1;2;0;0;Matches
89;Vitaly Janelt\Vitaly-Janelt;de GER;MF;Brentford;23-097;1998;1.0;4;3;2;1;1;1;1;100.0;0;21;9;42.9;5;7;9;1;0;0;1;0;4;1;0;Matches
90;Pontus Jansson\Pontus-Jansson;se SWE;DF;Brentford;30-183;1991;1.0;2;2;1;1;0;0;0;;0;5;2;40.0;3;2;0;2;1;0;1;2;4;7;0;Matches
