Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;W;D;L;Performance-CS;Performance-CS%;Performance-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;Matches;
1;Alisson\Alisson;br BRA;GK;Liverpool;28-330;1992;2;2;180;2.0;0;0.00;7;7;100.0;2;0;0;2;100.0;0;0;0;0;;Matches
2;Daniel Bachmann\Daniel-Bachmann;at AUT;GK;Watford;27-050;1994;2;2;180;2.0;4;2.00;4;1;25.0;1;0;1;0;0.0;1;1;0;0;0.0;Matches
3;Ederson\Ederson;br BRA;GK;Manchester City;28-011;1993;2;2;180;2.0;1;0.50;2;1;50.0;1;0;1;1;50.0;0;0;0;0;;Matches
4;Łukasz Fabiański\Lukasz-Fabianski;pl POL;GK;West Ham;36-132;1985;2;2;180;2.0;3;1.50;4;1;25.0;2;0;0;0;0.0;0;0;0;0;;Matches
5;David de Gea\David-de-Gea;es ESP;GK;Manchester Utd;30-294;1990;2;2;180;2.0;2;1.00;6;5;66.7;1;1;0;0;0.0;0;0;0;0;;Matches
6;Vicente Guaita\Vicente-Guaita;es ESP;GK;Crystal Palace;34-230;1987;2;2;180;2.0;3;1.50;9;6;66.7;0;1;1;1;50.0;0;0;0;0;;Matches
7;Tim Krul\Tim-Krul;nl NED;GK;Norwich City;33-147;1988;2;2;180;2.0;8;4.00;10;3;20.0;0;0;2;0;0.0;0;0;0;0;;Matches
8;Bernd Leno\Bernd-Leno;de GER;GK;Arsenal;29-177;1992;2;2;180;2.0;4;2.00;8;3;50.0;0;0;2;0;0.0;0;0;0;0;;Matches
9;Hugo Lloris\Hugo-Lloris;fr FRA;GK;Tottenham;34-245;1986;2;2;180;2.0;0;0.00;10;10;100.0;2;0;0;2;100.0;0;0;0;0;;Matches
10;Emiliano Martínez\Emiliano-Martinez;ar ARG;GK;Aston Villa;28-360;1992;2;2;180;2.0;3;1.50;8;5;62.5;1;0;1;1;50.0;0;0;0;0;;Matches
11;Alex McCarthy\Alex-McCarthy;eng ENG;GK;Southampton;31-268;1989;2;2;180;2.0;4;2.00;9;5;55.6;0;1;1;0;0.0;0;0;0;0;;Matches
12;Edouard Mendy\Edouard-Mendy;sn SEN;GK;Chelsea;29-180;1992;2;2;180;2.0;0;0.00;4;4;100.0;2;0;0;2;100.0;0;0;0;0;;Matches
13;Illan Meslier\Illan-Meslier;fr FRA;GK;Leeds United;21-179;2000;2;2;180;2.0;7;3.50;15;9;60.0;0;1;1;0;0.0;1;1;0;0;0.0;Matches
14;Jordan Pickford\Jordan-Pickford;eng ENG;GK;Everton;27-174;1994;2;2;180;2.0;3;1.50;7;4;57.1;1;1;0;0;0.0;0;0;0;0;;Matches
15;Nick Pope\Nick-Pope;eng ENG;GK;Burnley;29-131;1992;2;2;180;2.0;4;2.00;14;10;71.4;0;0;2;0;0.0;0;0;0;0;;Matches
16;David Raya\David-Raya;es ESP;GK;Brentford;25-347;1995;2;2;180;2.0;0;0.00;6;6;100.0;1;1;0;2;100.0;0;0;0;0;;Matches
17;José Sá\Jose-Sa;pt POR;GK;Wolves;28-223;1993;2;2;180;2.0;2;1.00;10;9;90.0;0;0;2;0;0.0;1;1;0;0;0.0;Matches
18;Robert Sánchez\Robert-Sanchez;es ESP;GK;Brighton;23-283;1997;2;2;180;2.0;1;0.50;5;4;80.0;2;0;0;1;50.0;0;0;0;0;;Matches
19;Kasper Schmeichel\Kasper-Schmeichel;dk DEN;GK;Leicester City;34-296;1986;2;2;180;2.0;4;2.00;10;6;60.0;1;0;1;1;50.0;0;0;0;0;;Matches
20;Freddie Woodman\Freddie-Woodman;eng ENG;GK;Newcastle Utd;24-177;1997;2;2;180;2.0;6;3.00;8;3;37.5;0;0;2;0;0.0;2;1;1;0;50.0;Matches
