"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
512;Jonathan Silva\Jonathan-Silva;ar ARG;DF;Leganés;25;1994;23;2035;88;87.0;22.6;23;88;0;;1;0.74;16;34;-18;-0.80;-0.50;21.4;25.8;-4.4;-0.19;+0.08;Matches
513;Rui Silva\Rui-Silva;pt POR;GK;Granada;25;1994;25;2250;90;96.2;25.0;25;90;0;;1;1.48;32;30;+2;+0.08;+1.08;26.6;27.4;-0.8;-0.03;-0.03;Matches
514;Unai Simón\Unai-Simon;es ESP;GK;Athletic Bilbao;22;1997;23;2070;90;88.5;23.0;23;90;0;;1;1.35;22;19;+3;+0.13;+0.13;22.8;25.6;-2.8;-0.12;-1.40;Matches
515;Dimitris Siovas\Dimitris-Siovas;gr GRE;DF;Leganés;30;1988;17;1314;77;56.2;14.6;16;81;1;15;1;0.41;8;20;-12;-0.82;-0.21;13.4;14.3;-1.0;-0.07;+0.31;Matches
516;Pione Sisto\Pione-Sisto;dk DEN;FWMF;Celta Vigo;24;1995;18;766;43;32.7;8.5;7;75;11;22;2;0.78;13;13;0;0.00;+0.69;9.5;9.8;-0.3;-0.04;+0.22;Matches
517;Antonio Sivera\Antonio-Sivera;es ESP;GK;Alavés;22;1996;3;270;90;11.1;3.0;3;90;0;;16;1.33;4;3;+1;+0.33;+0.71;3.9;2.7;+1.2;+0.41;+0.75;Matches
518;Fyodor Smolov\Fyodor-Smolov;ru RUS;FW;Celta Vigo;29;1990;5;292;58;12.5;3.2;4;70;1;12;0;1.60;3;3;0;0.00;+0.53;2.1;3.4;-1.3;-0.42;-0.26;Matches
519;Rubén Sobrino\Ruben-Sobrino;es ESP;FWMF;Valencia;27;1992;10;128;13;5.3;1.4;1;60;9;8;5;2.00;4;1;+3;+2.11;+2.27;2.3;2.2;+0.1;+0.09;+0.48;Matches
520;Roberto Soldado\Roberto-Soldado;es ESP;FW;Granada;34;1985;22;1670;76;71.4;18.6;21;79;1;16;2;1.50;21;23;-2;-0.11;-0.51;19.4;19.9;-0.5;-0.03;+0.01;Matches
521;Carlos Soler\Carlos-Soler;es ESP;MF;Valencia;22;1997;18;1382;77;56.9;15.4;16;84;2;17;0;1.39;20;23;-3;-0.20;-0.37;14.7;22.6;-8.0;-0.52;-0.37;Matches
522;Kévin Soni\Kevin-Soni;cm CMR;FW;Espanyol;21;1998;1;3;3;0.1;0.0;0;;1;3;0;1.00;0;0;0;0.00;+0.85;0.0;0.0;0.0;0.00;+0.23;Matches
523;David Soria\David-Soria;es ESP;GK;Getafe;26;1993;26;2340;90;100.0;26.0;26;90;0;;0;1.73;37;25;+12;+0.46;;27.4;25.7;+1.7;+0.06;;Matches
524;Juan Soriano\Juan-Soriano;es ESP;GK;Leganés;21;1997;11;990;90;42.3;11.0;11;90;0;;15;0.55;5;18;-13;-1.18;-0.78;9.6;13.0;-3.4;-0.31;-0.18;Matches
525;Damián Suárez\Damian-Suarez;uy URU;DF;Getafe;31;1988;21;1842;88;78.7;20.5;21;88;0;;1;1.81;32;20;+12;+0.59;+0.59;22.8;19.3;+3.5;+0.17;+0.50;Matches
526;Denis Suárez\Denis-Suarez;es ESP;MFFW;Celta Vigo;25;1994;20;1326;66;56.7;14.7;16;79;4;16;3;0.95;9;16;-7;-0.48;-0.03;13.0;14.4;-1.4;-0.10;+0.21;Matches
527;Luis Suárez\Luis-Suarez;uy URU;FW;Barcelona;32;1987;17;1278;75;54.6;14.2;15;82;2;24;0;2.12;36;13;+23;+1.62;+0.94;24.1;14.2;+9.8;+0.69;-0.22;Matches
528;Suso\Suso;es ESP;FW;Sevilla;25;1993;5;291;58;12.4;3.2;3;76;2;32;0;1.60;7;4;+3;+0.93;+0.62;6.2;2.6;+3.5;+1.10;+0.75;Matches
529;Tachi\Tachi;es ESP;MFDF;Alavés;21;1997;2;10;5;0.4;0.1;0;;2;5;9;2.00;0;0;0;0.00;+0.30;0.0;0.2;-0.2;-1.64;-1.39;Matches
530;Rodrigo Tarín\Rodrigo-Tarin;es ESP;DF;Leganés;23;1996;7;356;51;15.2;4.0;5;69;2;7;4;0.57;3;11;-8;-2.02;-1.52;3.2;7.2;-4.0;-1.01;-0.96;Matches
531;Álvaro Tejero\Alvaro-Tejero;es ESP;DF;Eibar;23;1996;15;1193;80;53.0;13.3;13;85;2;45;6;1.00;12;17;-5;-0.38;+0.22;12.4;19.3;-7.0;-0.52;-0.09;Matches
532;Cristian Tello\Cristian-Tello;es ESP;MFFW;Betis;27;1991;17;423;25;18.1;4.7;3;78;14;14;4;0.65;6;12;-6;-1.28;-1.28;5.4;6.6;-1.2;-0.25;-0.22;Matches
533;Marc-André ter Stegen\Marc-Andre-ter-Stegen;de GER;GK;Barcelona;27;1992;25;2250;90;96.2;25.0;25;90;0;;0;2.16;60;29;+31;+1.24;+1.24;43.5;24.2;+19.3;+0.77;-0.46;Matches
534;David Timor\David-Timor;es ESP;MF;Getafe;29;1989;11;312;28;13.3;3.5;3;83;8;8;11;2.64;8;3;+5;+1.44;+1.13;4.3;4.2;+0.1;+0.02;-0.05;Matches
