"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
208;Mikhail Lysov\Mikhail-Lysov;ru RUS;FW;Loko Moscow;21;1998;0.3;0;0;0;0;0;;;0.00;0.00;;;Matches
209;Vitali Lystsov\Vitali-Lystsov;ru RUS;MFDF;Samara;24;1995;1.7;0;0;0;2;0;;0.0;1.18;0.00;0.00;;Matches
210;Stanislav Magkeev\Stanislav-Magkeev;ru RUS;MFDF;Loko Moscow;20;1999;2.5;0;0;0;2;1;;50.0;0.80;0.40;0.00;0.00;Matches
211;Hörður Magnússon\Hordur-Magnusson;is ISL;DF;CSKA Moscow;26;1993;18.0;2;0;0;17;5;;29.4;0.94;0.28;0.12;0.40;Matches
212;Róbert Mak\Robert-Mak;sk SVK;FWMF;Zenit;28;1991;0.6;1;0;0;4;3;;75.0;6.67;5.00;0.25;0.33;Matches
213;Denis Makarov\Denis-Makarov;ru RUS;MF;Rubin Kazan;21;1998;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
214;Nikita Makarov\Nikita-Makarov;ru RUS;MF;Rubin Kazan;18;2001;1.5;0;0;0;1;0;;0.0;0.68;0.00;0.00;;Matches
215;Aleksandr Maksimenko\Aleksandr-Maksimenko;ru RUS;GK;Spartak Moscow;21;1998;19.0;0;0;0;0;0;;;0.00;0.00;;;Matches
216;Malcom\Malcom;br BRA;MF;Zenit;22;1997;1.7;0;0;0;1;1;;100.0;0.58;0.58;0.00;0.00;Matches
217;Nikita Malyarov\Nikita-Malyarov;ru RUS;MF;Orenburg;29;1989;2.2;1;0;0;4;2;;50.0;1.85;0.92;0.25;0.50;Matches
218;Andrei Malykh\Andrei-Malykh;ru RUS;DFMF;Orenburg;30;1988;14.4;1;0;0;15;3;;20.0;1.04;0.21;0.07;0.33;Matches
219;Emanuel Mammana\Emanuel-Mammana;ar ARG;MF;Zenit;23;1996;0.4;0;0;0;0;0;;;0.00;0.00;;;Matches
220;Khasan Mamtov\Khasan-Mamtov;ru RUS;FW;Tambov;35;1984;1.9;1;0;0;11;5;;45.5;5.69;2.59;0.09;0.20;Matches
221;Konstantin Maradishvili\Konstantin-Maradishvili;ru RUS;MF;CSKA Moscow;19;2000;0.0;0;0;0;1;1;;100.0;45.00;45.00;0.00;0.00;Matches
