"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
307;Filip Rogić\Filip-Rogic;se SWE;MF;Orenburg;26;1993;8.6;1;0;0;15;3;;20.0;1.75;0.35;0.07;0.33;Matches
308;Odise Roshi\Odise-Roshi;al ALB;MF;Akhmat Grozny;28;1991;13.1;4;2;2;25;12;;48.0;1.91;0.92;0.08;0.17;Matches
309;Aleksandr Rudenko\Aleksandr-Rudenko;ru RUS;GK;Orenburg;26;1993;3.0;0;0;0;0;0;;;0.00;0.00;;;Matches
310;Dmitrii Rybchinskii\Dmitrii-Rybchinskii;ru RUS;MF;Loko Moscow;20;1998;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
311;Maciej Rybus\Maciej-Rybus;pl POL;DF;Loko Moscow;29;1989;11.7;0;0;0;7;0;;0.0;0.60;0.00;0.00;;Matches
312;Vladimir Rykov\Vladimir-Rykov;ru RUS;DF;Dynamo Mosc;31;1987;12.7;0;0;0;10;3;;30.0;0.79;0.24;0.00;0.00;Matches
313;Sergey Ryzhikov\Sergey-Ryzhikov;ru RUS;GK;Samara;38;1980;19.0;0;0;0;0;0;;;0.00;0.00;;;Matches
314;Lechii Sadulaev\Lechii-Sadulaev;ru RUS;MF;Akhmat Grozny;19;2000;2.3;0;0;0;5;2;;40.0;2.14;0.86;0.00;0.00;Matches
315;Matvei Safonov\Matvei-Safonov;ru RUS;GK;Krasnodar;20;1999;19.0;0;0;0;0;0;;;0.00;0.00;;;Matches
316;Douglas Santos\Douglas-Santos;br BRA;DFMF;Zenit;25;1994;20.0;0;0;0;14;6;;42.9;0.70;0.30;0.00;0.00;Matches
317;Lucas Santos\Lucas-Santos;br BRA;FW;CSKA Moscow;20;1999;0.6;0;0;0;2;0;;0.0;3.21;0.00;0.00;;Matches
318;Pablo Santos\Pablo-Santos;br BRA;DF;Rubin Kazan;27;1992;1.0;0;0;0;1;0;;0.0;1.00;0.00;0.00;;Matches
319;Aleksandr Saplinov\Aleksandr-Saplinov;ru RUS;MF;Rostov;21;1997;3.8;1;0;0;16;6;;37.5;4.24;1.59;0.06;0.17;Matches
320;Zvonimir Šarlija\Zvonimir-Sarlija;hr CRO;DF;CSKA Moscow;22;1996;8.2;0;0;0;2;0;;0.0;0.24;0.00;0.00;;Matches
321;André Schürrle\Andre-Schurrle;de GER;FWMF;Spartak Moscow;28;1990;9.2;1;0;0;42;14;;33.3;4.56;1.52;0.02;0.07;Matches
322;Andrei Semyonov\Andrei-Semyonov;ru RUS;DF;Akhmat Grozny;30;1989;20.0;1;0;0;9;6;;66.7;0.45;0.30;0.11;0.17;Matches
323;Nikita Sergeev\Nikita-Sergeev;ru RUS;FW;Krasnodar;19;1999;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
324;Vitali Shakhov\Vitali-Shakhov;ru RUS;DF;Orenburg;28;1991;12.3;0;0;0;4;1;;25.0;0.33;0.08;0.00;0.00;Matches
325;Pavel Shakuro\Pavel-Shakuro;ru RUS;DF;Sochi;22;1997;1.3;0;0;0;0;0;;;0.00;0.00;;;Matches
326;Yegor Shamov\Yegor-Shamov;ru RUS;GK;Arsenal Tula;25;1994;5.0;0;0;0;0;0;;;0.00;0.00;;;Matches
327;Oleg Shatov\Oleg-Shatov;ru RUS;MF;Zenit;29;1990;5.0;2;0;0;10;5;;50.0;2.02;1.01;0.20;0.40;Matches
328;Giorgi Shelia\Giorgi-Shelia;ru RUS;GK;Tambov;30;1988;20.0;0;0;0;0;0;;;0.00;0.00;;;Matches
329;Ramil Sheydayev\Ramil-Sheydayev;az AZE;FW;Dynamo Mosc;23;1996;5.6;0;0;0;8;2;;25.0;1.43;0.36;0.00;0.00;Matches
330;Ilya Shkurin\Ilya-Shkurin;by BLR;FW;CSKA Moscow;19;1999;0.2;0;0;0;1;1;;100.0;5.00;5.00;0.00;0.00;Matches
331;Eldor Shomurodov\Eldor-Shomurodov;uz UZB;FW;Rostov;24;1995;19.3;11;0;0;56;25;;44.6;2.90;1.29;0.20;0.44;Matches
332;Anton Shunin\Anton-Shunin;ru RUS;GK;Dynamo Mosc;32;1987;13.2;0;0;0;0;0;;;0.00;0.00;;;Matches
333;Anton Shvets\Anton-Shvets;ru RUS;MFDF;Akhmat Grozny;26;1993;11.1;0;0;0;15;7;;46.7;1.35;0.63;0.00;0.00;Matches
334;Björn Sigurðarson\Bjorn-Sigurdarson;is ISL;FW;Rostov;28;1991;1.7;2;0;0;8;3;;37.5;4.83;1.81;0.25;0.67;Matches
335;Arnór Sigurðsson\Arnor-Sigurdsson;is ISL;FWMF;CSKA Moscow;20;1999;10.1;2;0;0;23;7;;30.4;2.28;0.70;0.09;0.29;Matches
336;Ragnar Sigurðsson\Ragnar-Sigurdsson;is ISL;DF;Rostov;33;1986;12.0;0;0;0;2;0;;0.0;0.17;0.00;0.00;;Matches
337;Ismael Silva Lima\Ismael-Silva-Lima;br BRA;MF;Akhmat Grozny;24;1994;18.9;0;0;0;31;11;;35.5;1.64;0.58;0.00;0.00;Matches
338;Ricardo Alves Coelho Silva\Ricardo-Alves-Coelho-Silva;pt POR;MF;Orenburg;26;1993;15.4;3;0;0;44;15;;34.1;2.85;0.97;0.07;0.20;Matches
339;Mikhail Sivakow\Mikhail-Sivakow;by BLR;DF;Orenburg;31;1988;9.6;0;0;0;4;1;;25.0;0.42;0.10;0.00;0.00;Matches
340;Žiga Škoflek\Ziga-Skoflek;si SVN;MFFW;Orenburg;25;1994;4.2;1;0;0;10;2;;20.0;2.41;0.48;0.10;0.50;Matches
341;Dmitri Skopintsev\Dmitri-Skopintsev;ru RUS;MF;Dynamo Mosc;22;1997;1.0;0;0;0;1;0;;0.0;1.00;0.00;0.00;;Matches
342;Dmitri Skopintsev\Dmitri-Skopintsev;ru RUS;MF;Krasnodar;22;1997;2.4;1;0;0;7;3;;42.9;2.88;1.23;0.14;0.33;Matches
343;Igor Smolnikov\Igor-Smolnikov;ru RUS;DF;Zenit;30;1988;6.9;0;0;0;2;0;;0.0;0.29;0.00;0.00;;Matches
344;Fyodor Smolov\Fyodor-Smolov;ru RUS;FW;Loko Moscow;29;1990;10.3;3;1;1;37;15;;40.5;3.60;1.46;0.05;0.13;Matches
345;Aleksandr Sobolev\Aleksandr-Sobolev;ru RUS;FW;Samara;22;1997;17.6;10;2;4;44;21;;47.7;2.50;1.19;0.18;0.38;Matches
346;Aleksandr Sobolev\Aleksandr-Sobolev;ru RUS;FW;Spartak Moscow;22;1997;0.9;0;0;0;3;0;;0.0;3.25;0.00;0.00;;Matches
347;Yegor Sorokin\Yegor-Sorokin;ru RUS;DF;Krasnodar;23;1995;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
348;Yegor Sorokin\Yegor-Sorokin;ru RUS;DF;Rubin Kazan;23;1995;13.8;0;0;0;6;2;;33.3;0.44;0.15;0.00;0.00;Matches
349;Samba Sow\Samba-Sow;ml MLI;MF;Dynamo Mosc;30;1989;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
350;Uroš Spajić\Uros-Spajic;rs SRB;DF;Krasnodar;26;1993;15.0;1;0;0;1;1;;100.0;0.07;0.07;1.00;1.00;Matches
351;Carl Starfelt\Carl-Starfelt;se SWE;DF;Rubin Kazan;24;1995;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
352;Danil Stepanov\Danil-Stepanov;ru RUS;DF;Rubin Kazan;19;2000;7.5;0;0;0;7;0;;0.0;0.93;0.00;0.00;;Matches
353;Dmitry Stotsky\Dmitry-Stotsky;ru RUS;DFMF;Krasnodar;29;1989;8.0;0;0;0;9;3;;33.3;1.13;0.37;0.00;0.00;Matches
354;Aleksandr Sukhov\Aleksandr-Sukhov;ru RUS;DFMF;Ufa;33;1986;20.0;0;0;0;14;5;;35.7;0.70;0.25;0.00;0.00;Matches
355;Timur Suleimanov\Timur-Suleimanov;ru RUS;FW;Loko Moscow;19;2000;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
356;Magomed-Shapi Suleymanov\Magomed-Shapi-Suleymanov;ru RUS;MFFW;Krasnodar;19;1999;12.7;4;0;0;47;13;;27.7;3.71;1.03;0.09;0.31;Matches
357;Toni Šunjić\Toni-Sunjic;ba BIH;DF;Dynamo Mosc;30;1988;12.1;0;0;0;3;1;;33.3;0.25;0.08;0.00;0.00;Matches
358;Aleksei Sutormin\Aleksei-Sutormin;ru RUS;MF;Zenit;25;1994;7.5;2;0;0;17;9;;52.9;2.25;1.19;0.12;0.22;Matches
359;Mamadou Sylla\Mamadou-Sylla;sn SEN;MF;Orenburg;25;1994;0.7;0;0;0;2;0;;0.0;2.73;0.00;0.00;;Matches
360;Dmitri Sysuyev\Dmitri-Sysuyev;ru RUS;MF;Ufa;31;1988;0.9;0;0;0;2;1;;50.0;2.14;1.07;0.00;0.00;Matches
361;Damian Szymański\Damian-Szymanski;pl POL;MF;Akhmat Grozny;24;1995;2.0;0;0;0;2;0;;0.0;1.01;0.00;0.00;;Matches
362;Sebastian Szymański\Sebastian-Szymanski;pl POL;MF;Dynamo Mosc;20;1999;16.4;1;0;0;38;12;;31.6;2.32;0.73;0.03;0.08;Matches
363;Jemal Tabidze\Jemal-Tabidze;ge GEO;DF;Ufa;23;1996;15.7;1;0;0;5;2;;40.0;0.32;0.13;0.20;0.50;Matches
364;Soslan Takazov\Soslan-Takazov;ru RUS;DFMF;Tambov;26;1993;13.1;1;0;0;13;5;;38.5;1.00;0.38;0.08;0.20;Matches
365;Aleksandr Tashayev\Aleksandr-Tashayev;ru RUS;MF;Spartak Moscow;25;1994;0.8;0;0;0;0;0;;;0.00;0.00;;;Matches
366;Aleksandr Tashayev\Aleksandr-Tashayev;ru RUS;MF;Rubin Kazan;25;1994;6.3;0;0;0;12;4;;33.3;1.89;0.63;0.00;0.00;Matches
367;Anton Terekhov\Anton-Terekhov;ru RUS;MF;Samara;21;1998;2.6;0;0;0;6;2;;33.3;2.30;0.77;0.00;0.00;Matches
368;Sergei Terekhov\Sergei-Terekhov;ru RUS;DF;Orenburg;29;1990;19.0;0;0;0;18;1;;5.6;0.95;0.05;0.00;0.00;Matches
369;Denis Terentyev\Denis-Terentyev;ru RUS;DF;Zenit;26;1992;1.3;0;0;0;2;0;;0.0;1.54;0.00;0.00;;Matches
370;Denis Terentyev\Denis-Terentyev;ru RUS;DF;Ufa;26;1992;1.8;0;0;0;1;0;;0.0;0.57;0.00;0.00;;Matches
371;Guram Tetrashvili\Guram-Tetrashvili;ru RUS;MFDF;Tambov;30;1988;19.0;0;0;0;17;5;;29.4;0.90;0.26;0.00;0.00;Matches
372;Olivier Thill\Olivier-Thill;lu LUX;MFFW;Ufa;22;1996;13.2;0;0;0;21;6;;28.6;1.59;0.45;0.00;0.00;Matches
373;Nair Tiknizyan\Nair-Tiknizyan;ru RUS;MF;CSKA Moscow;20;1999;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
374;Guus Til\Guus-Til;nl NED;MFFW;Spartak Moscow;21;1997;10.0;1;0;0;23;9;;39.1;2.31;0.90;0.04;0.11;Matches
375;Artyom Timofeyev\Artyom-Timofeyev;ru RUS;MF;Samara;25;1994;9.9;0;0;0;7;1;;14.3;0.71;0.10;0.00;0.00;Matches
376;Sergei Tkachyov\Sergei-Tkachyov;ru RUS;MFFW;Arsenal Tula;30;1989;15.3;1;0;0;41;9;;22.0;2.68;0.59;0.02;0.11;Matches
377;Ibragim Tsallagov\Ibragim-Tsallagov;ru RUS;MF;Sochi;28;1990;16.8;1;0;0;19;2;;10.5;1.13;0.12;0.05;0.50;Matches
378;Alexandru Tudorie\Alexandru-Tudorie;ro ROU;FW;Arsenal Tula;23;1996;2.2;1;0;0;6;3;;50.0;2.67;1.34;0.17;0.33;Matches
379;Roman Tugarev\Roman-Tugarev;ru RUS;MF;Loko Moscow;21;1998;1.6;0;0;0;8;3;;37.5;5.03;1.89;0.00;0.00;Matches
380;Nail Umyarov\Nail-Umyarov;ru RUS;MF;Spartak Moscow;19;2000;7.9;0;0;0;11;1;;9.1;1.40;0.13;0.00;0.00;Matches
381;Filip Uremović\Filip-Uremovic;hr CRO;DF;Rubin Kazan;22;1997;17.0;0;0;0;11;4;;36.4;0.65;0.24;0.00;0.00;Matches
382;Oston Urunov\Oston-Urunov;uz UZB;MF;Ufa;18;2000;1.0;0;0;0;2;0;;0.0;2.00;0.00;0.00;;Matches
383;Mohammed Usman\Mohammed-Usman;ng NGA;FW;Tambov;25;1994;0.3;0;0;0;0;0;;;0.00;0.00;;;Matches
384;Daniil Utkin\Daniil-Utkin;ru RUS;MF;Krasnodar;19;1999;5.2;2;0;0;14;4;;28.6;2.68;0.77;0.14;0.50;Matches
385;Rizvan Utsiyev\Rizvan-Utsiyev;ru RUS;DFMF;Akhmat Grozny;31;1988;12.1;0;0;0;2;0;;0.0;0.17;0.00;0.00;;Matches
386;Maksim Valadzko\Maksim-Valadzko;by BLR;DFMF;Arsenal Tula;26;1992;0.8;0;0;0;1;0;;0.0;1.20;0.00;0.00;;Matches
387;Viktor Vasin\Viktor-Vasin;ru RUS;DF;CSKA Moscow;30;1988;4.4;0;0;0;1;0;;0.0;0.23;0.00;0.00;;Matches
388;Danila Vedernikov\Danila-Vedernikov;ru RUS;DF;Rostov;18;2001;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
389;Tonny Vilhena\Tonny-Vilhena;nl NED;MF;Krasnodar;24;1995;16.6;2;0;0;37;14;;37.8;2.23;0.85;0.05;0.14;Matches
390;Aleksei Vladimirovich Rybin\Aleksei-Vladimirovich-Rybin;ru RUS;DFMF;Tambov;31;1988;11.4;0;0;0;5;1;;20.0;0.44;0.09;0.00;0.00;Matches
391;Nikola Vlašić\Nikola-Vlasic;hr CRO;MFFW;CSKA Moscow;21;1997;19.7;7;2;3;65;27;;41.5;3.30;1.37;0.08;0.19;Matches
392;Andrés Vombergar\Andres-Vombergar;si SVN;FW;Ufa;24;1994;2.8;1;0;0;8;2;;25.0;2.81;0.70;0.13;0.50;Matches
393;Wanderson\Wanderson;br BRA;FWMF;Krasnodar;24;1994;12.5;2;0;0;36;14;;38.9;2.87;1.12;0.06;0.14;Matches
394;Maciej Wilusz\Maciej-Wilusz;pl POL;DF;Ural;30;1988;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
395;Dmitry Yefremov\Dmitry-Yefremov;ru RUS;MF;CSKA Moscow;24;1995;0.3;0;0;0;0;0;;;0.00;0.00;;;Matches
396;Andrei Yegorychev\Andrei-Yegorychev;ru RUS;MF;Ural;26;1993;10.2;0;0;0;11;2;;18.2;1.07;0.20;0.00;0.00;Matches
397;Roman Yemelyanov\Roman-Yemelyanov;ru RUS;DFMF;Ural;27;1992;8.3;0;0;0;2;0;;0.0;0.24;0.00;0.00;;Matches
398;Andrey Yeshchenko\Andrey-Yeshchenko;ru RUS;DF;Spartak Moscow;35;1984;5.5;0;0;0;0;0;;;0.00;0.00;;;Matches
399;Roman Yevgenyev\Roman-Yevgenyev;ru RUS;DF;Dynamo Mosc;20;1999;9.3;0;0;0;5;2;;40.0;0.54;0.21;0.00;0.00;Matches
400;Igor Yurganov\Igor-Yurganov;ru RUS;DF;Sochi;25;1993;6.1;0;0;0;2;0;;0.0;0.33;0.00;0.00;;Matches
401;Artyom Yusupov\Artyom-Yusupov;ru RUS;FW;Ural;22;1997;0.0;0;0;0;1;0;;0.0;45.00;0.00;0.00;;Matches
402;Anton Zabolotny\Anton-Zabolotny;ru RUS;FW;Sochi;28;1991;9.3;2;0;0;20;6;;30.0;2.14;0.64;0.10;0.33;Matches
403;Nikolai Zabolotny\Nikolai-Zabolotny;ru RUS;GK;Sochi;29;1990;4.0;0;0;0;0;0;;;0.00;0.00;;;Matches
404;Kirill Zaika\Kirill-Zaika;ru RUS;MF;Sochi;26;1992;0.9;0;0;0;0;0;;;0.00;0.00;;;Matches
405;Baktiyor Zainutdinov\Baktiyor-Zainutdinov;kz KAZ;MF;Rostov;21;1998;5.6;3;0;0;15;6;;40.0;2.67;1.07;0.20;0.50;Matches
406;Kamil Zakirov\Kamil-Zakirov;ru RUS;MF;Rubin Kazan;20;1998;0.9;0;0;0;0;0;;;0.00;0.00;;;Matches
407;Azamat Zaseyev\Azamat-Zaseyev;ru RUS;DFMF;Ufa;31;1988;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
408;Mehdi Zeffane\Mehdi-Zeffane;dz ALG;DF;Samara;27;1992;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
409;Rifat Zhemaletdinov\Rifat-Zhemaletdinov;ru RUS;MF;Loko Moscow;22;1996;12.4;1;0;0;21;8;;38.1;1.69;0.64;0.05;0.13;Matches
410;Yuri Zhirkov\Yuri-Zhirkov;ru RUS;DFMF;Zenit;35;1983;9.3;2;0;0;18;5;;27.8;1.94;0.54;0.11;0.40;Matches
411;Dmitri Zhivoglyadov\Dmitri-Zhivoglyadov;ru RUS;DFMF;Loko Moscow;25;1994;8.6;0;0;0;4;0;;0.0;0.46;0.00;0.00;;Matches
412;Anton Zinkovskiy\Anton-Zinkovskiy;ru RUS;MF;Samara;23;1996;14.8;0;0;0;35;13;;37.1;2.37;0.88;0.00;0.00;Matches
413;Roman Zobnin\Roman-Zobnin;ru RUS;MFDF;Spartak Moscow;25;1994;17.2;1;0;0;23;5;;21.7;1.34;0.29;0.04;0.20;Matches
414;Nikolay Zolotov\Nikolay-Zolotov;by BLR;DF;Ural;24;1994;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
415;Georgi Zotov\Georgi-Zotov;ru RUS;DFMF;Orenburg;29;1990;10.6;1;0;0;16;3;;18.8;1.51;0.28;0.06;0.33;Matches
416;Aleksandr Zuyev\Aleksandr-Zuyev;ru RUS;MFDF;Rubin Kazan;23;1996;8.1;0;0;0;10;4;;40.0;1.24;0.50;0.00;0.00;Matches
417;Aleksandr Zuyev\Aleksandr-Zuyev;ru RUS;MF;Rostov;23;1996;2.0;1;0;0;3;2;;66.7;1.47;0.98;0.33;0.50;Matches
418;Luka Đorđević\Luka-Djordjevic;me MNE;FW;Loko Moscow;25;1994;0.9;0;0;0;1;1;;100.0;1.13;1.13;0.00;0.00;Matches
