id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OGMatches
43;Emil Berggreen\Emil-Berggreen;dk DEN;FW;Twente;26;1993;3.9;2;0;0;10;6;2;1;1;1;;;0;Matches
44;Steven Berghuis\Steven-Berghuis;nl NED;FW;Feyenoord;27;1991;22.4;1;0;0;6;24;3;163;16;3;;;0;Matches
45;Emil Bergström\Emil-Bergstrom;se SWE;DF;Utrecht;26;1993;1.0;0;0;0;1;0;0;0;0;0;;;0;Matches
46;Steven Bergwijn\Steven-Bergwijn;nl NED;FWMF;PSV Eindhoven;21;1997;14.8;4;0;0;11;23;1;15;4;5;;;0;Matches
47;Matúš Bero\Matus-Bero;sk SVK;MFFW;Vitesse;23;1995;20.7;9;0;0;36;33;1;8;32;40;;;0;Matches
48;Jan-Niklas Beste\Jan-Niklas-Beste;de GER;DF;Emmen;20;1999;4.5;2;0;0;8;2;0;17;3;4;;;0;Matches
49;Tom Beugelsdijk\Tom-Beugelsdijk;nl NED;DF;ADO Den Haag;28;1990;16.9;6;1;1;23;14;1;3;18;38;;;0;Matches
50;Peet Bijen\Peet-Bijen;nl NED;DF;Twente;24;1995;17.9;0;0;0;10;7;3;0;12;13;;;1;Matches
51;Glenn Bijl\Glenn-Bijl;nl NED;DF;Emmen;24;1995;22.9;8;1;1;32;37;4;96;31;46;;;0;Matches
52;Teun Bijleveld\Teun-Bijleveld;nl NED;MF;Heracles Almelo;21;1998;2.3;0;0;0;2;2;0;3;3;0;;;0;Matches
53;Justin Bijlow\Justin-Bijlow;nl NED;GK;Feyenoord;21;1998;6.0;0;0;0;1;0;0;0;0;1;;;0;Matches
54;Mario Bilate\Mario-Bilate;nl NED;FW;RKC Waalwijk;28;1991;14.0;1;0;0;16;22;11;12;2;1;;;0;Matches
55;Marco Bizot\Marco-Bizot;nl NED;GK;AZ Alkmaar;28;1991;22.0;0;1;0;1;2;0;0;0;0;;;0;Matches
56;Aleksandar Bjelica\Aleksandar-Bjelica;rs SRB;DFMF;ADO Den Haag;25;1994;0.5;0;0;0;1;0;0;1;1;1;;;0;Matches
57;Janis Blaswich\Janis-Blaswich;de GER;GK;Heracles Almelo;28;1991;25.0;1;0;0;0;2;0;0;0;1;;;0;Matches
58;Daley Blind\Daley-Blind;nl NED;DFMF;Ajax;29;1990;18.4;2;0;0;12;16;0;14;17;28;;;0;Matches
59;Myron Boadu\Myron-Boadu;nl NED;FW;AZ Alkmaar;18;2001;21.6;2;1;1;19;31;13;0;3;1;;;0;Matches
