,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
502,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,19,1601,84,65.9,17.8,19,84,0,,2,0.95,23,31,-8,-0.45,+0.64,21.7,37.9,-16.2,-0.91,-0.05,Matches
503,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,28,2520,90,100.0,28.0,28,90,0,,0,1.36,33,39,-6,-0.21,,30.9,34.8,-3.9,-0.14,,Matches
504,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,16,1286,80,51.0,14.3,14,86,2,40,6,1.63,18,10,+8,+0.56,+1.58,16.9,18.8,-1.9,-0.13,+0.01,Matches
505,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,10,793,79,32.6,8.8,8,90,2,37,8,0.80,11,19,-8,-0.91,-0.36,8.5,14.9,-6.3,-0.72,+0.26,Matches
506,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,22,1725,78,68.5,19.2,20,84,2,24,2,0.91,16,30,-14,-0.73,+0.63,21.2,29.4,-8.2,-0.43,+0.14,Matches
507,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,27,2140,79,84.9,23.8,24,87,3,15,1,1.74,48,24,+24,+1.01,+0.54,38.8,29.8,+9.0,+0.38,+0.14,Matches
508,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,5,299,60,12.3,3.3,4,70,1,18,4,1.20,5,6,-1,-0.30,-0.47,4.4,6.1,-1.7,-0.52,-0.43,Matches
509,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,18,1584,88,62.9,17.6,18,88,0,,3,0.89,15,23,-8,-0.45,-0.55,14.6,24.6,-10.0,-0.57,-0.61,Matches
510,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,15,1293,86,51.3,14.4,15,86,0,,8,1.93,27,18,+9,+0.63,+0.70,23.9,15.0,+8.9,+0.62,-0.25,Matches
511,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,24,1371,57,56.4,15.2,15,80,9,19,3,1.38,20,20,0,0.00,-0.25,19.0,23.2,-4.2,-0.28,-0.30,Matches
512,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,5,176,35,7.0,2.0,2,75,3,9,0,1.60,1,2,-1,-0.51,-0.28,2.2,3.4,-1.2,-0.63,-0.30,Matches
513,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,5,290,58,11.5,3.2,2,82,3,42,11,1.00,2,4,-2,-0.62,-0.50,3.3,3.6,-0.4,-0.11,-0.37,Matches
514,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,15,795,53,31.5,8.8,9,78,6,16,4,1.40,7,12,-5,-0.57,-0.46,7.0,12.4,-5.4,-0.61,-0.38,Matches
515,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,23,1996,27,2047,76,81.2,22.7,22,87,5,27,1,1.52,36,30,+6,+0.26,+0.07,32.2,21.9,+10.4,+0.46,+0.39,Matches
516,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1,90,90,3.6,1.0,1,90,0,,0,0.00,0,3,-3,-3.00,-2.48,0.3,1.9,-1.6,-1.62,-1.20,Matches
517,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,24,1324,55,54.5,14.7,13,77,11,29,2,0.88,18,22,-4,-0.27,+0.87,13.8,29.3,-15.5,-1.05,-0.35,Matches
518,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22,1362,62,54.0,15.1,15,81,7,21,2,0.91,18,24,-6,-0.40,-0.24,20.6,20.1,+0.5,+0.03,+0.54,Matches
519,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,14,1029,74,40.8,11.4,12,81,2,28,9,0.71,12,22,-10,-0.87,+0.09,13.1,15.9,-2.8,-0.25,+0.38,Matches
520,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,5,186,37,7.4,2.1,2,90,3,2,8,1.60,1,3,-2,-0.97,-1.51,1.9,2.6,-0.7,-0.31,-0.88,Matches
521,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8,558,70,22.1,6.2,7,78,1,14,7,0.88,6,18,-12,-1.94,-1.75,6.7,9.7,-3.1,-0.50,-0.70,Matches
522,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,2,162,81,6.4,1.8,1,90,1,72,10,0.50,3,6,-3,-1.67,-2.05,2.4,3.1,-0.7,-0.38,-0.81,Matches
523,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,25,2193,88,87.0,24.4,25,88,0,,0,1.76,46,25,+21,+0.86,-0.51,38.0,30.7,+7.3,+0.30,-0.45,Matches
524,Indiana Vassilev\Indiana-Vassilev,us USA,FW,Aston Villa,18,2001,2,36,18,1.5,0.4,0,,2,18,1,2.00,2,0,+2,+5.00,+5.75,0.5,0.5,0.0,0.00,+0.91,Matches
525,Michael Verrips\Michael-Verrips,nl NED,GK,Sheffield Utd,22,1996,0,,,,,0,,0,,10,,,,,,,,,,,,Matches
526,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18,1454,81,57.7,16.2,17,86,1,0,6,1.56,25,22,+3,+0.19,-0.15,19.3,21.7,-2.4,-0.15,-0.08,Matches
