"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
463;Sidy Sarr\Sidy-Sarr;sn SEN;MF;Nîmes;23;1996;11.9;2;1.7;+0.3;10;344;464;74.1;6;19;31.6;234;300;78.0;104;145;71.7;303;69;10;1;0;1;32;4;0;Matches
464;Téji Savanier\Teji-Savanier;fr FRA;MF;Montpellier;27;1991;16.1;2;2.0;0.0;27;649;869;74.7;16;32;50.0;427;501;85.2;206;336;61.3;132;676;40;2;44;4;86;9;0;Matches
465;Matz Sels\Matz-Sels;be BEL;GK;Strasbourg;27;1992;27.0;0;0.2;-0.2;1;575;849;67.7;1;2;50.0;219;219;100.0;355;628;56.5;52;618;64;1;0;0;10;0;0;Matches
466;Gen Shoji\Gen-Shoji;jp JPN;DF;Toulouse;26;1992;0.5;0;0.0;0.0;0;38;42;90.5;0;0;;23;24;95.8;15;18;83.3;6;35;1;0;0;0;7;0;0;Matches
467;Kalidou Sidibé\Kalidou-Sidibe;fr FRA;MF;Toulouse;20;1999;1.0;0;0.0;0.0;0;40;48;83.3;3;4;75.0;30;34;88.2;7;10;70.0;14;30;0;0;0;0;1;0;0;Matches
468;Theoson Siebatcheu\Theoson-Siebatcheu;fr FRA;FW;Rennes;23;1996;4.8;1;0.6;+0.4;6;78;103;75.7;6;10;60.0;66;83;79.5;6;10;60.0;12;76;0;0;0;0;3;0;0;Matches
469;Kaj Sierhuis\Kaj-Sierhuis;nl NED;FW;Reims;21;1998;0.1;0;0.0;0.0;0;4;4;100.0;0;0;;3;3;100.0;1;1;100.0;0;3;0;1;0;0;1;1;0;Matches
470;Adrien Silva\Adrien-Silva;pt POR;MF;Monaco;30;1989;13.5;2;1.4;+0.6;15;719;835;86.1;13;21;61.9;550;612;89.9;156;202;77.2;145;634;44;1;13;2;68;8;0;Matches
471;Gabriel Silva\Gabriel-Silva;br BRA;DF;Saint-Étienne;28;1991;2.6;0;0.0;0.0;1;66;99;66.7;1;8;12.5;53;62;85.5;12;29;41.4;49;25;0;0;0;20;3;1;1;Matches
472;Matheus Pereira da Silva\Matheus-Pereira-da-Silva;br BRA;MFFW;Dijon;21;1998;5.2;0;1.1;-1.1;11;176;239;73.6;8;18;44.4;139;165;84.2;29;56;51.8;198;32;6;2;8;2;20;6;1;Matches
473;Thiago Silva\Thiago-Silva;br BRA;DF;Paris S-G;34;1984;17.5;0;0.0;0.0;0;1440;1502;95.9;9;14;64.3;978;1005;97.3;453;483;93.8;135;1300;33;1;0;6;97;5;0;Matches
474;Mohamed Simakan\Mohamed-Simakan;fr FRA;DF;Strasbourg;19;2000;16.7;0;0.7;-0.7;11;689;860;80.1;4;17;23.5;464;548;84.7;221;295;74.9;76;623;14;0;0;101;60;6;1;Matches
475;Moses Simon\Moses-Simon;ng NGA;FWMF;Nantes;24;1995;23.2;5;3.2;+1.8;30;473;636;74.4;12;57;21.1;423;496;85.3;38;83;45.8;126;466;5;2;3;16;23;25;8;Matches
476;Ibrahima Sissoko\Ibrahima-Sissoko;fr FRA;MF;Strasbourg;21;1997;17.7;1;1.3;-0.3;14;554;667;83.1;11;29;37.9;420;475;88.4;123;163;75.5;92;516;8;0;0;7;52;6;2;Matches
477;Sambou Sissoko\Sambou-Sissoko;fr FRA;MFFW;Reims;20;1999;0.3;0;0.0;0.0;0;3;6;50.0;0;0;;3;3;100.0;0;3;0.0;1;4;0;0;0;0;0;0;0;Matches
