"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
516;William Saliba\William-Saliba;fr FRA;DF;Saint-Étienne;18;2001;11;901;82;37.1;10.0;10;90;1;1;1;1.27;9;14;-5;-0.50;+0.15;9.8;11.8;-2.0;-0.20;+0.05;Matches
517;Romain Salin\Romain-Salin;fr FRA;GK;Rennes;35;1984;5;360;72;14.8;4.0;4;90;1;0;20;1.80;6;5;+1;+0.25;-0.10;5.0;5.6;-0.6;-0.15;-0.38;Matches
518;Mama Samba Baldé\Mama-Samba-Balde;gw GNB;FWMF;Dijon;23;1995;23;1595;69;65.6;17.7;19;75;4;40;0;1.00;19;28;-9;-0.51;-0.29;18.9;28.4;-9.5;-0.54;-0.06;Matches
519;Junior Sambia\Junior-Sambia;fr FRA;DFMF;Montpellier;22;1996;16;535;33;22.0;5.9;5;71;11;16;4;1.81;11;9;+2;+0.34;+0.15;7.7;8.2;-0.5;-0.08;-0.09;Matches
520;Frédéric Sammaritano\Frederic-Sammaritano;fr FRA;MFFW;Dijon;33;1986;9;443;49;18.2;4.9;5;64;4;31;6;0.89;6;9;-3;-0.61;-0.25;5.6;8.6;-3.0;-0.61;-0.11;Matches
521;Renato Sanches\Renato-Sanches;pt POR;MFFW;Lille;21;1997;18;1392;77;57.3;15.5;15;88;3;25;1;1.89;18;15;+3;+0.19;-0.15;23.4;17.7;+5.7;+0.37;+0.03;Matches
522;Ibrahim Sangaré\Ibrahim-Sangare;ci CIV;MF;Toulouse;21;1997;25;2177;87;89.6;24.2;25;87;0;;0;0.40;15;52;-37;-1.53;-2.24;26.9;38.6;-11.7;-0.48;-0.22;Matches
523;Sam Sanna\Sam-Sanna;fr FRA;MF;Toulouse;20;1999;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
524;Yaya Sanogo\Yaya-Sanogo;fr FRA;FW;Toulouse;26;1993;14;883;63;36.3;9.8;9;80;5;32;5;0.29;11;24;-13;-1.33;-0.05;11.5;16.9;-5.4;-0.55;-0.14;Matches
525;Morgan Sanson\Morgan-Sanson;fr FRA;MF;Marseille;24;1994;27;2186;81;86.7;24.3;26;84;1;8;0;1.96;34;21;+13;+0.54;+0.80;29.3;24.6;+4.7;+0.19;+0.56;Matches
526;Baptiste Santamaria\Baptiste-Santamaria;fr FRA;MF;Angers;24;1995;27;2416;89;99.4;26.8;27;89;0;;0;1.33;26;33;-7;-0.26;-0.26;28.3;28.8;-0.4;-0.02;-0.35;Matches
527;Pablo Sarabia\Pablo-Sarabia;es ESP;FWMF;Paris S-G;27;1992;21;1164;55;47.9;12.9;13;80;8;15;4;2.62;32;8;+24;+1.86;-0.06;31.3;8.7;+22.6;+1.75;-0.16;Matches
528;Bouna Sarr\Bouna-Sarr;gn GUI;DFFW;Marseille;27;1992;27;2169;80;86.1;24.1;25;85;2;21;0;2.04;35;24;+11;+0.46;+0.20;29.3;26.5;+2.8;+0.12;-0.02;Matches
529;Malang Sarr\Malang-Sarr;fr FRA;DF;Nice;20;1999;18;1365;76;56.2;15.2;15;85;3;28;4;1.56;23;17;+6;+0.40;+0.73;18.5;25.8;-7.3;-0.48;-0.46;Matches
530;Sidy Sarr\Sidy-Sarr;sn SEN;MF;Nîmes;23;1996;21;1067;51;43.9;11.9;11;85;10;13;1;1.00;14;20;-6;-0.51;+0.02;12.8;18.3;-5.5;-0.46;+0.06;Matches
531;Téji Savanier\Teji-Savanier;fr FRA;MF;Montpellier;27;1991;18;1448;80;59.6;16.1;17;84;1;26;0;1.44;24;18;+6;+0.37;+0.37;18.8;19.4;-0.6;-0.03;-0.07;Matches
532;Matz Sels\Matz-Sels;be BEL;GK;Strasbourg;27;1992;27;2430;90;100.0;27.0;27;90;0;;0;1.41;32;32;0;0.00;;35.2;31.0;+4.2;+0.16;;Matches
533;Gen Shoji\Gen-Shoji;jp JPN;DF;Toulouse;26;1992;1;45;45;1.9;0.5;1;45;0;;1;0.00;0;0;0;0.00;+1.32;0.1;0.4;-0.3;-0.68;-0.22;Matches
534;Kalidou Sidibé\Kalidou-Sidibe;fr FRA;MF;Toulouse;20;1999;4;87;22;3.6;1.0;0;;4;22;3;1.75;0;1;-1;-1.03;+0.27;1.2;1.5;-0.2;-0.25;+0.22;Matches
535;Theoson Siebatcheu\Theoson-Siebatcheu;fr FRA;FW;Rennes;23;1996;14;435;31;17.9;4.8;4;67;10;17;5;1.79;5;3;+2;+0.41;+0.10;4.3;4.3;0.0;0.00;-0.21;Matches
536;Kaj Sierhuis\Kaj-Sierhuis;nl NED;FW;Reims;21;1998;1;13;13;0.5;0.1;1;13;0;;0;1.00;0;0;0;0.00;-0.15;0.2;0.1;+0.1;+0.69;+0.65;Matches
537;Adrien Silva\Adrien-Silva;pt POR;MF;Monaco;30;1989;22;1216;55;50.0;13.5;13;85;9;12;0;1.64;21;15;+6;+0.44;+0.81;24.4;19.1;+5.2;+0.39;+0.14;Matches
538;Gabriel Silva\Gabriel-Silva;br BRA;DF;Saint-Étienne;28;1991;4;230;58;9.5;2.6;3;75;1;5;5;1.00;2;6;-4;-1.57;-1.07;2.4;4.4;-2.0;-0.80;-0.62;Matches
539;Matheus Pereira da Silva\Matheus-Pereira-da-Silva;br BRA;MFFW;Dijon;21;1998;10;466;47;19.2;5.2;6;71;4;10;5;1.30;2;5;-3;-0.58;-0.21;5.0;5.7;-0.7;-0.13;+0.48;Matches
540;Thiago Silva\Thiago-Silva;br BRA;DF;Paris S-G;34;1984;21;1574;75;64.8;17.5;20;76;1;50;0;2.67;45;11;+34;+1.94;+0.16;44.0;12.7;+31.3;+1.79;-0.11;Matches
541;Mohamed Simakan\Mohamed-Simakan;fr FRA;DF;Strasbourg;19;2000;19;1503;79;61.9;16.7;17;88;2;7;3;1.32;18;21;-3;-0.18;-0.47;20.4;19.1;+1.3;+0.08;-0.21;Matches
542;Moses Simon\Moses-Simon;ng NGA;FWMF;Nantes;24;1995;25;2092;84;86.1;23.2;24;86;1;17;0;1.44;25;24;+1;+0.04;+0.58;23.8;29.1;-5.2;-0.22;+0.18;Matches
543;Ibrahima Sissoko\Ibrahima-Sissoko;fr FRA;MF;Strasbourg;21;1997;23;1597;69;65.7;17.7;18;86;5;10;1;1.57;22;20;+2;+0.11;+0.33;22.2;20.9;+1.3;+0.07;-0.24;Matches
544;Nelson Sissoko\Nelson-Sissoko;fr FRA;DF;Saint-Étienne;22;1997;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
545;Sambou Sissoko\Sambou-Sissoko;fr FRA;MFFW;Reims;20;1999;3;29;10;1.2;0.3;0;;3;10;9;2.33;1;0;+1;+3.10;+2.99;0.3;0.2;+0.1;+0.39;+0.35;Matches
546;Petar Škuletić\Petar-Skuletic;rs SRB;FW;Montpellier;29;1990;5;103;21;4.2;1.1;1;61;4;11;12;0.20;1;2;-1;-0.87;-1.14;2.0;1.4;+0.6;+0.53;+0.56;Matches
547;Islam Slimani\Islam-Slimani;dz ALG;FW;Monaco;31;1988;17;1266;74;52.1;14.1;14;86;3;19;1;1.76;28;18;+10;+0.71;+1.41;30.5;20.1;+10.4;+0.74;+0.88;Matches
548;Oumar Solet\Oumar-Solet;fr FRA;DF;Lyon;19;2000;1;8;8;0.3;0.1;0;;1;8;0;1.00;0;1;-1;-11.25;-11.88;0.0;0.2;-0.2;-1.78;-2.18;Matches
549;Mazire Soula\Mazire-Soula;fr FRA;FW;Angers;21;1998;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
550;Adama Soumaoro\Adama-Soumaoro;fr FRA;DF;Lille;27;1992;6;414;69;17.0;4.6;4;90;2;27;7;1.67;7;5;+2;+0.43;+0.21;8.2;4.4;+3.7;+0.81;+0.55;Matches
551;Boubakary Soumaré\Boubakary-Soumare;fr FRA;MF;Lille;20;1999;19;1207;64;49.7;13.4;15;77;4;12;6;1.32;12;19;-7;-0.52;-1.55;16.3;18.1;-1.8;-0.13;-0.97;Matches
552;Bryan Soumaré\Bryan-Soumare;fr FRA;MFFW;Dijon;20;1999;12;379;32;15.6;4.2;4;68;8;13;8;0.58;3;3;0;0.00;+0.48;4.9;5.2;-0.4;-0.08;+0.51;Matches
553;Arnaud Souquet\Arnaud-Souquet;fr FRA;DF;Montpellier;27;1992;24;2015;84;82.9;22.4;22;89;2;27;1;1.42;26;24;+2;+0.09;-0.78;23.3;26.9;-3.6;-0.16;-0.92;Matches
