"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
31;Youcef Attal\Youcef-Attal;dz ALG;FWDF;Nice;23;1996;11.2;1;0;0;19;9;0;47.4;1.70;0.81;0.05;0.11;1.7;1.7;0.09;-0.7;-0.7;Matches
32;Jean-Kévin Augustin\Jean-Kevin-Augustin;fr FRA;FW;Monaco;22;1997;2.9;0;0;0;7;3;0;42.9;2.42;1.04;0.00;0.00;0.5;0.5;0.08;-0.5;-0.5;Matches
33;Mathias Autret\Mathias-Autret;fr FRA;MFFW;Brest;28;1991;13.6;2;0;0;27;9;0;33.3;1.98;0.66;0.07;0.22;2.0;2.0;0.08;0.0;0.0;Matches
34;Ludovic Baal\Ludovic-Baal;gf GUF;DF;Brest;33;1986;9.2;0;0;0;2;0;0;0.0;0.22;0.00;0.00;;0.1;0.1;0.07;-0.1;-0.1;Matches
35;Bastian Badu\Bastian-Badu;fr FRA;FW;Montpellier;19;2000;0.1;0;0;0;1;0;0;0.0;11.25;0.00;0.00;;0.0;0.0;0.05;0.0;0.0;Matches
36;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;27;1992;9.2;4;1;1;19;9;0;47.4;2.06;0.97;0.16;0.33;2.9;2.2;0.11;+1.1;+0.8;Matches
37;Dénys Bain\Denys-Bain;fr FRA;DF;Brest;26;1993;14.1;1;0;0;3;1;0;33.3;0.21;0.07;0.33;1.00;0.6;0.6;0.20;+0.4;+0.4;Matches
38;Stefan Bajic\Stefan-Bajic;fr FRA;GK;Saint-Étienne;17;2001;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
39;Tiemoué Bakayoko\Tiemoue-Bakayoko;fr FRA;MF;Monaco;24;1994;18.1;1;0;0;22;6;0;27.3;1.21;0.33;0.05;0.17;1.8;1.8;0.08;-0.8;-0.8;Matches
40;Mitchel Bakker\Mitchel-Bakker;nl NED;DF;Paris S-G;19;2000;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
41;Keita Baldé\Keita-Balde;sn SEN;FWMF;Monaco;24;1995;9.5;4;0;0;28;13;0;46.4;2.95;1.37;0.14;0.31;4.3;4.3;0.15;-0.3;-0.3;Matches
42;Fodé Ballo-Touré\Fode-Ballo-Toure;fr FRA;DF;Monaco;22;1997;17.6;0;0;0;5;2;0;40.0;0.28;0.11;0.00;0.00;0.6;0.6;0.12;-0.6;-0.6;Matches
43;Florent Balmont\Florent-Balmont;fr FRA;MF;Dijon;39;1980;4.4;0;0;0;7;3;0;42.9;1.61;0.69;0.00;0.00;0.2;0.2;0.02;-0.2;-0.2;Matches
44;Abdoulaye Bamba\Abdoulaye-Bamba;ci CIV;DF;Angers;29;1990;5.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
45;Jonathan Bamba\Jonathan-Bamba;fr FRA;FWMF;Lille;23;1996;20.6;1;1;3;43;22;0;51.2;2.09;1.07;0.00;0.00;5.1;2.8;0.07;-4.1;-2.8;Matches
46;Danilo Barbosa\Danilo-Barbosa;br BRA;DFMF;Nice;23;1996;11.4;0;0;0;4;1;1;25.0;0.35;0.09;0.00;0.00;0.3;0.3;0.08;-0.3;-0.3;Matches
47;Melvin Bard\Melvin-Bard;fr FRA;DF;Lyon;18;2000;0.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
48;Toma Bašić\Toma-Basic;hr CRO;MF;Bordeaux;22;1996;11.0;1;0;0;17;4;4;23.5;1.54;0.36;0.06;0.25;0.9;0.9;0.05;+0.1;+0.1;Matches
49;Thomas Basila\Thomas-Basila;fr FRA;DF;Nantes;20;1999;4.6;0;0;0;1;0;0;0.0;0.22;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
50;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;DFMF;Monaco;22;1996;11.7;0;0;0;16;5;0;31.3;1.36;0.43;0.00;0.00;1.1;1.1;0.07;-1.1;-1.1;Matches
51;Cristian Battocchio\Cristian-Battocchio;it ITA;MF;Brest;27;1992;14.4;3;0;1;19;6;3;31.6;1.32;0.42;0.16;0.50;1.7;1.0;0.05;+1.3;+2.0;Matches
52;Gaëtan Belaud\Gaetan-Belaud;fr FRA;DF;Brest;32;1986;5.5;0;0;0;2;0;0;0.0;0.37;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
53;Haris Belkebla\Haris-Belkebla;dz ALG;MF;Brest;25;1994;19.2;0;0;0;6;2;0;33.3;0.31;0.10;0.00;0.00;0.6;0.6;0.11;-0.6;-0.6;Matches
54;Raoul Bellanova\Raoul-Bellanova;it ITA;DF;Bordeaux;19;2000;0.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
55;Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde;fr FRA;MF;Strasbourg;21;1998;16.7;0;0;0;18;5;0;27.8;1.08;0.30;0.00;0.00;1.0;1.0;0.06;-1.0;-1.0;Matches
56;Sami Ben Amar\Sami-Ben-Amar;ma MAR;FW;Nîmes;21;1998;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
57;Wissam Ben Yedder\Wissam-Ben-Yedder;fr FRA;FW;Monaco;28;1990;23.1;17;3;3;60;33;6;55.0;2.59;1.43;0.23;0.42;13.0;10.7;0.19;+4.0;+3.3;Matches
58;Diego Benaglio\Diego-Benaglio;ch SUI;GK;Monaco;35;1983;0.0;0;0;0;0;0;0;;;;;;0.0;0.0;;0.0;0.0;Matches
59;Cristian Benavente\Cristian-Benavente;pe PER;MFFW;Nantes;25;1994;3.8;0;0;0;5;3;0;60.0;1.30;0.78;0.00;0.00;0.3;0.3;0.06;-0.3;-0.3;Matches
60;Darío Benedetto\Dario-Benedetto;ar ARG;FW;Marseille;33;1986;23.5;11;0;1;60;27;3;45.0;2.55;1.15;0.18;0.41;10.1;9.4;0.16;+0.9;+1.6;Matches
61;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;26;1993;25.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
62;Loris Benito\Loris-Benito;ch SUI;DF;Bordeaux;27;1992;20.1;1;0;0;10;2;0;20.0;0.50;0.10;0.10;0.50;0.8;0.8;0.08;+0.2;+0.2;Matches
63;Bilal Benkhedim\Bilal-Benkhedim;fr FRA;MFFW;Saint-Étienne;18;2001;1.4;0;0;0;1;0;0;0.0;0.69;0.00;0.00;;0.4;0.4;0.45;-0.4;-0.4;Matches
64;Yassine Benrahou\Yassine-Benrahou;fr FRA;MFFW;Nîmes;20;1999;7.6;2;0;0;21;9;5;42.9;2.76;1.18;0.10;0.22;2.0;2.0;0.10;0.0;0.0;Matches
65;Yassine Benrahou\Yassine-Benrahou;fr FRA;FWMF;Bordeaux;20;1999;1.8;0;0;0;3;0;2;0.0;1.65;0.00;0.00;;0.3;0.3;0.09;-0.3;-0.3;Matches
66;Yassine Benzia\Yassine-Benzia;dz ALG;MF;Dijon;24;1994;1.9;0;0;0;4;0;0;0.0;2.06;0.00;0.00;;0.2;0.2;0.04;-0.2;-0.2;Matches
