Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
Amiens,27,28,2520,90,100,308,84,83,19,113,0.82,31,50,-19,-0.68,27.0,36.6,-9.6,-0.34
Angers,26,28,2520,90,100,308,84,80,23,116,1.39,28,33,-5,-0.18,29.1,30.2,-1.1,-0.04
Bordeaux,27,28,2520,90,100,308,84,85,20,111,1.32,40,34,+6,+0.21,30.8,34.7,-3.9,-0.14
Brest,24,28,2520,90,100,308,85,82,18,114,1.21,34,37,-3,-0.11,30.6,41.6,-11.0,-0.39
Dijon,28,28,2520,90,100,308,83,82,25,114,1.07,27,37,-10,-0.36,29.7,43.5,-13.8,-0.49
Lille,25,28,2520,90,100,308,85,80,17,116,1.75,35,27,+8,+0.29,40.4,30.8,+9.5,+0.34
Lyon,27,28,2520,90,100,308,84,81,21,115,1.43,42,27,+15,+0.54,37.0,26.3,+10.7,+0.38
Marseille,23,28,2520,90,100,308,86,82,15,114,2.00,41,29,+12,+0.43,35.1,31.7,+3.4,+0.12
Metz,24,28,2520,90,100,308,85,77,18,119,1.21,27,35,-8,-0.29,28.1,35.5,-7.3,-0.26
Monaco,30,28,2520,90,100,308,85,78,16,117,1.43,44,44,0,0.00,49.1,40.7,+8.5,+0.30
Montpellier,27,28,2520,90,100,308,86,74,16,121,1.43,35,34,+1,+0.04,32.7,35.4,-2.6,-0.09
Nantes,29,28,2520,90,100,308,86,71,17,124,1.32,28,31,-3,-0.11,28.4,34.4,-6.0,-0.21
Nice,31,28,2520,90,100,308,84,82,18,114,1.46,41,38,+3,+0.11,36.0,43.3,-7.4,-0.26
Nîmes,28,28,2520,90,100,308,85,80,15,116,0.96,29,44,-15,-0.54,30.5,44.1,-13.6,-0.49
Paris S-G,31,27,2430,90,100,297,84,79,23,110,2.52,75,24,+51,+1.89,72.4,23.1,+49.3,+1.83
Reims,26,28,2520,90,100,308,85,81,18,115,1.46,26,21,+5,+0.18,29.1,27.1,+2.0,+0.07
Rennes,26,28,2520,90,100,308,85,85,17,111,1.79,38,24,+14,+0.50,37.2,30.0,+7.2,+0.26
Saint-Étienne,31,28,2520,90,100,308,84,82,23,114,1.07,29,45,-16,-0.57,29.9,35.9,-6.0,-0.21
Strasbourg,25,27,2430,90,100,297,86,80,15,109,1.41,32,32,0,0.00,35.2,31.0,+4.2,+0.16
Toulouse,30,28,2520,90,100,308,84,82,20,113,0.46,22,58,-36,-1.29,31.1,43.8,-12.7,-0.45
