"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
337;Sergio Peña\Sergio-Pena;pe PER;MF;Emmen;23;1995;20.8;4;1;1;53;16;;30.2;2.55;0.77;0.06;0.19;Matches
338;Gastón Pereiro\Gaston-Pereiro;uy URU;MF;PSV Eindhoven;24;1995;1.1;2;0;0;8;4;;50.0;7.06;3.53;0.25;0.50;Matches
339;Jordens Peters\Jordens-Peters;nl NED;DF;Willem II;32;1987;25.0;0;0;0;7;2;;28.6;0.28;0.08;0.00;0.00;Matches
340;Kristoffer Peterson\Kristoffer-Peterson;se SWE;FW;Utrecht;24;1994;3.9;1;0;0;13;2;;15.4;3.32;0.51;0.08;0.50;Matches
341;Shaquille Pinas\Shaquille-Pinas;nl NED;DFMF;ADO Den Haag;21;1998;24.8;3;0;0;18;7;;38.9;0.72;0.28;0.17;0.43;Matches
342;Michael Pinto\Michael-Pinto;pt POR;DF;Fortuna Sittard;26;1993;6.4;0;0;0;3;2;;66.7;0.47;0.31;0.00;0.00;Matches
343;Michael Pinto\Michael-Pinto;pt POR;DF;Sparta R'dam;26;1993;2.1;0;0;0;0;0;;;0.00;0.00;;;Matches
344;Joël Piroe\Joel-Piroe;nl NED;FW;Sparta R'dam;19;1999;3.8;1;0;0;19;7;;36.8;5.06;1.86;0.05;0.14;Matches
345;Julio Pleguezuelo\Julio-Pleguezuelo;es ESP;DF;Twente;22;1997;15.8;0;0;0;3;1;;33.3;0.19;0.06;0.00;0.00;Matches
346;Bram van Polen\Bram-van-Polen;nl NED;DF;Zwolle;33;1985;7.0;0;0;0;4;0;;0.0;0.57;0.00;0.00;;Matches
347;Thomas Poll\Thomas-Poll;nl NED;DF;Groningen;18;2001;1.0;0;0;0;4;1;;25.0;4.00;1.00;0.00;0.00;Matches
348;Robin Polley\Robin-Polley;gh GHA;DF;ADO Den Haag;20;1998;1.1;0;0;0;1;0;;0.0;0.90;0.00;0.00;;Matches
