"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
530;Tomáš Suslov\Tomas-Suslov;sk SVK;FW;Groningen;17;2002;1;3;3;0.1;0.0;0;;1;3;4;0.00;0;0;0;0.00;-0.08;Matches
531;Jonas Svensson\Jonas-Svensson;no NOR;DF;AZ Alkmaar;26;1993;22;1933;88;89.5;21.5;22;88;0;;0;2.14;43;17;+26;+1.21;-1.56;Matches
532;Adrian Szöke\Adrian-Szoke;rs SRB;MF;Heracles Almelo;21;1998;10;168;17;7.5;1.9;1;74;9;10;10;0.80;3;5;-2;-1.07;-1.33;Matches
533;Mohamed Taabouni\Mohamed-Taabouni;nl NED;MF;AZ Alkmaar;17;2002;0;;;;;0;;0;;3;;;;;;;Matches
534;Dušan Tadić\Dusan-Tadic;rs SRB;FW;Ajax;30;1988;24;2082;87;96.4;23.1;24;87;0;;0;2.21;63;22;+41;+1.77;-0.54;Matches
535;Nicolás Tagliafico\Nicolas-Tagliafico;ar ARG;DF;Ajax;26;1992;23;1964;85;90.9;21.8;22;89;1;7;0;2.17;61;21;+40;+1.83;+0.46;Matches
536;Anas Tahiri\Anas-Tahiri;be BEL;MFFW;RKC Waalwijk;24;1995;22;1190;54;52.9;13.2;13;77;9;21;3;0.55;15;32;-17;-1.29;-0.10;Matches
537;Oussama Tannane\Oussama-Tannane;ma MAR;MFFW;Vitesse;25;1994;17;1347;79;59.9;15.0;16;83;1;22;1;1.82;30;22;+8;+0.53;+0.43;Matches
538;Renato Tapia\Renato-Tapia;pe PER;MF;Feyenoord;24;1995;15;752;50;34.8;8.4;7;80;8;24;8;2.00;15;14;+1;+0.12;-0.65;Matches
539;Shani Tarashaj\Shani-Tarashaj;ch SUI;FWMF;Emmen;24;1995;0;;;;;0;;0;;4;;;;;;;Matches
540;Mike te Wierik\Mike-te-Wierik;nl NED;DF;Groningen;27;1992;22;1923;87;85.5;21.4;22;87;0;;0;1.55;26;20;+6;+0.28;+1.38;Matches
541;Tesfaldet Tekie\Tesfaldet-Tekie;se SWE;MF;Fortuna Sittard;22;1997;20;1665;83;71.2;18.5;19;85;1;45;2;1.20;21;36;-15;-0.81;+0.26;Matches
542;Dennis Telgenkamp\Dennis-Telgenkamp;nl NED;GK;Emmen;32;1987;25;2250;90;100.0;25.0;25;90;0;;0;1.16;29;45;-16;-0.64;;Matches
543;Ramón ten Hove\Ramon-ten-Hove;nl NED;GK;Feyenoord;21;1998;0;;;;;0;;0;;4;;;;;;;Matches
544;Jordan Teze\Jordan-Teze;nl NED;DF;PSV Eindhoven;19;1999;2;135;68;6.0;1.5;1;90;1;45;23;1.50;4;3;+1;+0.67;-0.35;Matches
545;George Thomas\George-Thomas;wal WAL;MFFW;ADO Den Haag;22;1997;2;178;89;7.9;2.0;2;89;0;;5;1.50;2;4;-2;-1.01;-0.01;Matches
546;Ryan Thomas\Ryan-Thomas;nz NZL;MF;PSV Eindhoven;24;1994;10;709;71;31.5;7.9;9;78;1;5;6;2.10;17;5;+12;+1.52;+0.76;Matches
547;Lennart Thy\Lennart-Thy;de GER;FWMF;Zwolle;27;1992;24;1671;70;71.4;18.6;19;86;5;9;2;0.83;24;40;-16;-0.86;-0.59;Matches
548;Jurrien Timber\Jurrien-Timber;nl NED;DF;Ajax;18;2001;0;;;;;0;;0;;4;;;;;;;Matches
549;Victor Timmers\Victor-Timmers;nl NED;GK;RKC Waalwijk;19;2000;0;;;;;0;;0;;2;;;;;;;Matches
550;Jens Toornstra\Jens-Toornstra;nl NED;MF;Feyenoord;30;1989;20;1626;81;75.3;18.1;18;88;2;22;0;2.05;38;28;+10;+0.55;+0.05;Matches
551;Sondre Tronstad\Sondre-Tronstad;no NOR;MF;Vitesse;23;1995;5;375;75;16.7;4.2;4;90;1;15;0;0.80;8;9;-1;-0.24;-0.72;Matches
552;Giovanni Troupée\Giovanni-Troupee;nl NED;DF;Twente;21;1998;7;630;90;28.0;7.0;7;90;0;;0;1.14;8;8;0;0.00;+0.61;Matches
553;Giovanni Troupée\Giovanni-Troupee;nl NED;DF;Utrecht;21;1998;8;54;7;2.5;0.6;0;;8;7;10;2.25;5;0;+5;+8.33;+8.03;Matches
554;Filip Ugrinic\Filip-Ugrinic;ch SUI;MF;Emmen;20;1999;13;598;46;26.6;6.6;6;90;7;8;11;0.62;5;15;-10;-1.51;-1.18;Matches
555;Adnan Ugur\Adnan-Ugur;be BEL;MF;Fortuna Sittard;18;2001;6;294;49;12.6;3.3;4;63;2;21;13;0.33;1;10;-9;-2.76;-2.14;Matches
