"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
31;Tudor Băluță\Tudor-Baluta;ro ROU;MF;ADO Den Haag;20;1999;3;3;266;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
32;Naoufal Bannis\Naoufal-Bannis;nl NED;MF;Feyenoord;17;2002;4;0;59;0;1;0;0;0;0;0.00;1.53;1.53;0.00;1.53;Matches
33;Aaron Bastiaans\Aaron-Bastiaans;nl NED;MF;VVV-Venlo;17;2002;1;0;16;1;0;0;0;0;0;5.63;0.00;5.63;5.63;5.63;Matches
34;Timo Baumgartl\Timo-Baumgartl;de GER;DF;PSV Eindhoven;23;1996;13;12;1092;1;0;0;0;1;0;0.08;0.00;0.08;0.08;0.08;Matches
35;Riechedly Bazoer\Riechedly-Bazoer;nl NED;MF;Vitesse;22;1996;21;18;1685;3;1;0;0;6;1;0.16;0.05;0.21;0.16;0.21;Matches
36;Filip Bednarek\Filip-Bednarek;pl POL;GK;Heerenveen;26;1992;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
37;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;Ajax;22;1997;22;21;1826;8;5;0;0;3;0;0.39;0.25;0.64;0.39;0.64;Matches
38;Sven van Beek\Sven-van-Beek;nl NED;DF;Feyenoord;25;1994;1;0;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
39;Iliass Bel Hassani\Iliass-Bel-Hassani;ma MAR;FWMF;Zwolle;26;1992;14;12;977;5;0;0;0;1;0;0.46;0.00;0.46;0.46;0.46;Matches
40;Hilal Ben Moussa\Hilal-Ben-Moussa;nl NED;MF;Emmen;27;1992;6;4;422;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
41;Charlison Benschop\Charlison-Benschop;cw CUW;FW;Groningen;29;1989;17;7;847;3;2;2;2;3;0;0.32;0.21;0.53;0.11;0.32;Matches
42;Mitchell van Bergen\Mitchell-van-Bergen;nl NED;FW;Heerenveen;19;1999;24;24;2148;4;4;0;0;1;0;0.17;0.17;0.34;0.17;0.34;Matches
43;Emil Berggreen\Emil-Berggreen;dk DEN;FW;Twente;26;1993;13;2;349;1;1;0;0;2;0;0.26;0.26;0.52;0.26;0.52;Matches
44;Steven Berghuis\Steven-Berghuis;nl NED;FW;Feyenoord;27;1991;23;23;2018;14;7;6;6;1;0;0.62;0.31;0.94;0.36;0.67;Matches
45;Emil Bergström\Emil-Bergstrom;se SWE;DF;Utrecht;26;1993;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
46;Steven Bergwijn\Steven-Bergwijn;nl NED;FWMF;PSV Eindhoven;21;1997;16;16;1336;5;10;1;1;4;0;0.34;0.67;1.01;0.27;0.94;Matches
47;Matúš Bero\Matus-Bero;sk SVK;MFFW;Vitesse;23;1995;22;22;1867;3;2;1;1;9;0;0.14;0.10;0.24;0.10;0.19;Matches
48;Jan-Niklas Beste\Jan-Niklas-Beste;de GER;DF;Emmen;20;1999;6;5;409;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
49;Tom Beugelsdijk\Tom-Beugelsdijk;nl NED;DF;ADO Den Haag;28;1990;18;17;1523;1;1;0;0;6;1;0.06;0.06;0.12;0.06;0.12;Matches
50;Peet Bijen\Peet-Bijen;nl NED;DF;Twente;24;1995;19;17;1613;1;0;0;0;0;0;0.06;0.00;0.06;0.06;0.06;Matches
51;Glenn Bijl\Glenn-Bijl;nl NED;DF;Emmen;24;1995;23;23;2060;1;5;0;0;8;1;0.04;0.22;0.26;0.04;0.26;Matches
52;Teun Bijleveld\Teun-Bijleveld;nl NED;MF;Heracles Almelo;21;1998;14;1;205;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
53;Justin Bijlow\Justin-Bijlow;nl NED;GK;Feyenoord;21;1998;6;6;540;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
54;Mario Bilate\Mario-Bilate;nl NED;FW;RKC Waalwijk;28;1991;17;14;1258;0;2;0;0;1;0;0.00;0.14;0.14;0.00;0.14;Matches
55;Marco Bizot\Marco-Bizot;nl NED;GK;AZ Alkmaar;28;1991;23;23;1984;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;Matches
56;Aleksandar Bjelica\Aleksandar-Bjelica;rs SRB;DFMF;ADO Den Haag;25;1994;2;0;48;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
57;Janis Blaswich\Janis-Blaswich;de GER;GK;Heracles Almelo;28;1991;25;25;2250;0;1;0;0;1;0;0.00;0.04;0.04;0.00;0.04;Matches
58;Daley Blind\Daley-Blind;nl NED;DFMF;Ajax;29;1990;19;18;1655;0;1;0;0;2;0;0.00;0.05;0.05;0.00;0.05;Matches
59;Myron Boadu\Myron-Boadu;nl NED;FW;AZ Alkmaar;18;2001;23;23;1944;14;6;0;0;2;1;0.65;0.28;0.93;0.65;0.93;Matches
60;Rody de Boer\Rody-de-Boer;nl NED;GK;AZ Alkmaar;21;1997;2;1;172;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
61;Tom Boere\Tom-Boere;nl NED;FW;Twente;26;1992;1;0;2;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
62;Omar Bogle\Omar-Bogle;eng ENG;FW;ADO Den Haag;26;1993;4;3;264;1;0;0;0;0;0;0.34;0.00;0.34;0.34;0.34;Matches
63;Henk Bos\Henk-Bos;nl NED;MF;Emmen;26;1992;4;1;125;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
64;Olivier Boscagli\Olivier-Boscagli;fr FRA;DF;PSV Eindhoven;21;1997;11;6;615;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
65;Jesse Bosch\Jesse-Bosch;nl NED;MF;Twente;;;4;3;242;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
66;Sven Botman\Sven-Botman;nl NED;DF;Heerenveen;19;2000;25;25;2250;2;4;0;0;0;0;0.08;0.16;0.24;0.08;0.24;Matches
67;Eric Botteghin\Eric-Botteghin;br BRA;DF;Feyenoord;31;1987;19;19;1695;2;0;0;0;3;0;0.11;0.00;0.11;0.11;0.11;Matches
68;Róbert Boženík\Robert-Bozenik;sk SVK;FW;Feyenoord;19;1999;4;2;215;2;0;0;0;1;0;0.84;0.00;0.84;0.84;0.84;Matches
69;Wout Brama\Wout-Brama;nl NED;MF;Twente;32;1986;9;6;601;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
70;Joshua Brenet\Joshua-Brenet;nl NED;DF;Vitesse;25;1994;3;2;168;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
71;Tim Breukers\Tim-Breukers;nl NED;DF;Heracles Almelo;31;1987;16;15;1350;0;2;0;0;4;0;0.00;0.13;0.13;0.00;0.13;Matches
72;Jorn Brondeel\Jorn-Brondeel;be BEL;GK;Twente;25;1993;2;1;159;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
73;Damian van Bruggen\Damian-van-Bruggen;nl NED;MFDF;VVV-Venlo;23;1996;4;2;218;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
74;Jordy Bruijn\Jordy-Bruijn;nl NED;MFFW;Heerenveen;23;1996;17;8;673;1;3;0;0;1;0;0.13;0.40;0.53;0.13;0.53;Matches
75;Bruma\Bruma;pt POR;FWMF;PSV Eindhoven;24;1994;17;12;961;3;3;0;0;0;0;0.28;0.28;0.56;0.28;0.56;Matches
