id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
37;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;19;1999;10.1;2;0;0;25;20;4;13;5;16;0;0;0;59;19;32;37.3;Matches
38;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;MF;Augsburg;22;1996;0.2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;Matches
39;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;25;1994;18.0;0;0;0;18;24;5;33;6;15;0;0;0;101;42;51;45.2;Matches
40;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;24;1995;5.7;1;0;0;9;4;3;15;0;2;0;0;0;31;3;11;21.4;Matches
41;Timo Becker\Timo-Becker;de GER;DF;Schalke 04;22;1997;1.9;0;0;0;0;0;0;0;0;1;0;0;0;14;3;3;50.0;Matches
42;Maximilian Beier\Maximilian-Beier;de GER;MFDF;Hoffenheim;16;2002;0.1;1;0;0;1;1;1;1;0;1;0;0;0;3;0;0;;Matches
43;Ishak Belfodil\Ishak-Belfodil;dz ALG;FWMF;Hoffenheim;27;1992;3.0;0;0;0;4;1;5;0;0;1;0;0;0;7;5;7;41.7;Matches
44;Karim Bellarabi\Karim-Bellarabi;de GER;FWDF;Leverkusen;29;1990;13.7;1;0;0;17;12;5;102;9;9;0;0;0;94;2;7;22.2;Matches
45;Lars Bender\Lars-Bender;de GER;DFMF;Leverkusen;30;1989;14.7;3;0;0;17;10;1;20;27;32;0;0;0;157;28;32;46.7;Matches
46;Sven Bender\Sven-Bender;de GER;DF;Leverkusen;30;1989;23.5;2;0;0;17;15;0;1;49;32;0;0;0;304;94;49;65.7;Matches
47;László Bénes\Laszlo-Benes;sk SVK;MF;M'gladbach;21;1997;9.1;3;0;0;12;21;0;52;8;7;0;0;0;75;9;9;50.0;Matches
48;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'gladbach;24;1995;9.1;5;1;1;15;16;0;13;31;11;0;1;0;80;22;7;75.9;Matches
49;Valon Berisha\Valon-Berisha;xk KVX;MFFW;Düsseldorf;26;1993;5.2;1;0;0;3;2;1;9;3;8;0;0;0;30;3;8;27.3;Matches
50;Louis Beyer\Louis-Beyer;de GER;DF;M'gladbach;19;2000;1.2;1;0;0;2;2;0;1;1;4;0;0;0;5;1;5;16.7;Matches
51;Ermin Bičakčić\Ermin-Bicakcic;ba BIH;DF;Hoffenheim;29;1990;8.4;0;0;0;6;10;2;3;15;4;0;0;0;83;35;9;79.5;Matches
52;Leonardo Bittencourt\Leonardo-Bittencourt;de GER;FWMF;Werder Bremen;25;1993;17.3;5;0;0;42;45;10;66;9;21;0;0;0;113;15;31;32.6;Matches
53;Leonardo Bittencourt\Leonardo-Bittencourt;de GER;FW;Hoffenheim;25;1993;0.0;1;0;0;1;2;1;0;0;0;0;0;0;2;0;0;;Matches
54;Jérôme Boateng\Jerome-Boateng;de GER;DF;Bayern Munich;30;1988;12.2;5;1;0;13;4;0;5;22;11;0;1;0;130;23;10;69.7;Matches
55;Adam Bodzek\Adam-Bodzek;de GER;MF;Düsseldorf;33;1985;17.3;8;0;0;20;27;0;2;22;21;0;0;0;160;22;19;53.7;Matches
56;Jean-Paul Boëtius\Jean-Paul-Boetius;nl NED;MF;Mainz 05;25;1994;19.9;2;0;0;36;41;0;11;25;40;0;0;0;199;7;31;18.4;Matches
57;Robin Bormuth\Robin-Bormuth;de GER;DF;Düsseldorf;23;1995;2.0;0;0;0;0;2;0;0;1;0;0;0;0;20;4;3;57.1;Matches
58;Sebastiaan Bornauw\Sebastiaan-Bornauw;be BEL;DF;Köln;20;1999;20.9;5;0;0;33;8;2;4;33;26;0;0;0;178;53;28;65.4;Matches
59;Brandon Borrello\Brandon-Borrello;au AUS;MFFW;Freiburg;24;1995;3.3;0;0;0;3;9;1;4;1;4;0;0;0;28;4;9;30.8;Matches
60;Nassim Boujellab\Nassim-Boujellab;de GER;MF;Schalke 04;20;1999;1.5;0;0;0;4;1;0;0;4;5;0;0;0;17;2;2;50.0;Matches
61;Dedryck Boyata\Dedryck-Boyata;be BEL;DF;Hertha BSC;28;1990;19.6;6;0;0;15;5;1;0;43;14;0;3;0;161;67;21;76.1;Matches
62;Julian Brandt\Julian-Brandt;de GER;MFFW;Dortmund;23;1996;16.7;0;0;0;8;12;2;27;12;26;0;0;0;137;14;19;42.4;Matches
63;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;Dortmund;19;2000;5.7;0;0;0;6;3;2;5;2;3;1;0;0;28;15;13;53.6;Matches
64;Josip Brekalo\Josip-Brekalo;hr CRO;FWMF;Wolfsburg;21;1998;12.3;0;0;0;14;12;4;58;12;10;0;0;0;89;4;20;16.7;Matches
65;John Brooks\John-Brooks;us USA;DF;Wolfsburg;26;1993;16.0;3;0;0;17;7;1;1;23;13;0;0;0;201;41;18;69.5;Matches
66;Daniel Brosinski\Daniel-Brosinski;de GER;DF;Mainz 05;31;1988;14.9;3;0;0;12;5;0;120;11;12;0;1;1;132;12;15;44.4;Matches
67;Jeffrey Bruma\Jeffrey-Bruma;nl NED;DF;Wolfsburg;27;1991;9.0;1;0;0;15;4;1;0;13;3;0;1;0;88;28;10;73.7;Matches
68;Jeffrey Bruma\Jeffrey-Bruma;nl NED;DF;Mainz 05;27;1991;5.0;1;0;0;7;2;1;0;3;4;0;0;0;46;17;7;70.8;Matches
69;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FW;Dortmund;20;1998;0.7;0;0;0;1;2;0;0;0;0;0;0;0;6;1;5;16.7;Matches
70;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;MFFW;Hoffenheim;20;1998;1.8;0;0;0;1;1;0;5;2;1;0;0;0;11;1;2;33.3;Matches
71;Marius Bülter\Marius-Bulter;de GER;FWMF;Union Berlin;26;1993;19.0;0;0;0;22;17;7;51;8;14;0;0;0;138;17;40;29.8;Matches
