Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;Matches;
277;Karim Onisiwo\Karim-Onisiwo;at AUT;FW;Mainz 05;29-200;1992;2.0;80;1;5;36;41;14;77;4;10;40.0;4;0;52;196;112;7;1;2;9;2;117;54;46.2;16;Matches
278;Willi Orban\Willi-Orban;hu HUN;DF;RB Leipzig;28-334;1992;5.7;397;45;163;224;33;21;387;1;1;100.0;1;0;247;1562;864;28;2;0;1;1;283;277;97.9;1;Matches
279;Stefan Ortega\Stefan-Ortega;de GER;GK;Arminia;28-331;1992;6.0;360;264;353;8;0;0;273;0;0;;0;0;201;1018;557;0;0;0;0;1;199;198;99.5;0;Matches
280;Patrick Osterhage\Patrick-Osterhage;de GER;MF;Bochum;21-244;2000;0.1;;;;;;;;;;;;;;;;;;;;;;;;;Matches
281;Tomáš Ostrák\Tomas-Ostrak;cz CZE;MF;Köln;21-240;2000;0.1;8;0;1;2;5;1;8;2;3;66.7;3;0;8;29;12;1;0;0;0;1;7;6;85.7;1;Matches
282;Reece Oxford\Reece-Oxford;eng ENG;DF;Augsburg;22-291;1998;6.0;279;46;182;102;12;4;276;0;0;;0;0;139;881;473;4;3;0;0;0;158;148;93.7;0;Matches
283;Salih Özcan\Salih-Ozcan;de GER;MFDF;Köln;23-265;1998;1.1;59;2;7;28;30;6;58;3;6;50.0;3;0;42;241;100;6;3;1;3;5;45;38;84.4;2;Matches
284;Levin Öztunalı\Levin-Oztunali;de GER;MFFW;Union Berlin;25-202;1996;2.9;113;7;24;53;44;7;111;4;6;66.7;5;0;66;233;109;7;3;1;5;6;106;68;64.2;11;Matches
285;Gonçalo Paciência\Goncalo-Paciencia;pt POR;FW;Eint Frankfurt;27-063;1994;0.1;10;0;0;6;4;2;10;0;0;;0;0;8;12;9;1;0;0;0;0;13;9;69.2;2;Matches
286;Exequiel Palacios\Exequiel-Palacios;ar ARG;MF;Leverkusen;22-363;1998;2.4;177;9;68;98;22;0;167;1;1;100.0;1;0;120;487;222;4;1;0;0;6;126;115;91.3;3;Matches
287;Miloš Pantović\Milos-Pantovic;rs SRB;MFFW;Bochum;25-088;1996;3.1;116;13;42;40;36;2;110;1;2;50.0;1;0;55;269;163;9;1;1;5;3;79;61;77.2;9;Matches
