Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tkl;TklW;Def 3rdDef;Mid 3rdDef;Att 3rdDef;TklVsDr;Att;Tkl%;Past;Press;Succ;%;DefPre 3rdDefPre;MidPre 3rdDefPre;AttPre 3rdDefPre;Blocks;Sh;ShSv;Pass;Int;Clr;Err;Matches
142;Emerson\Emerson;br BRA;DF;Betis;20;1999;22.5;54;32;39;13;2;16;52;30.8;36;348;90;25.9;171;118;59;39;6;0;33;22;60;0;Matches
143;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Leganés;22;1997;15.4;8;5;2;0;6;2;17;11.8;15;295;50;16.9;25;155;115;17;2;0;15;4;19;0;Matches
144;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Sevilla;22;1997;3.6;2;2;1;1;0;0;3;0.0;3;80;19;23.8;11;41;28;4;0;0;4;1;2;0;Matches
145;Sergi Enrich\Sergi-Enrich;es ESP;FW;Eibar;29;1990;16.1;19;15;5;6;8;0;8;0.0;8;361;116;32.1;19;137;205;21;3;0;18;8;9;0;Matches
146;Javier Eraso\Javier-Eraso;es ESP;MFFW;Leganés;29;1990;6.7;7;6;3;2;2;3;11;27.3;8;138;39;28.3;30;61;47;13;0;0;13;6;9;0;Matches
147;Gonzalo Escalante\Gonzalo-Escalante;ar ARG;MF;Eibar;26;1993;15.6;39;27;12;23;4;15;34;44.1;19;296;92;31.1;72;174;50;28;3;0;25;25;28;0;Matches
148;Aarón Escandell\Aaron-Escandell;es ESP;GK;Granada;23;1995;1.0;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;0;Matches
149;Sergio Escudero\Sergio-Escudero;es ESP;DF;Sevilla;29;1989;4.6;17;9;9;7;1;9;15;60.0;6;71;23;32.4;29;34;8;10;1;0;9;11;22;0;Matches
150;Bernardo Espinosa\Bernardo-Espinosa;co COL;DF;Espanyol;30;1989;18.0;21;15;15;5;1;8;22;36.4;14;132;53;40.2;76;49;7;19;9;0;10;16;137;1;Matches
151;Esquerdo\Esquerdo;es ESP;MF;Valencia;20;1999;0.1;0;0;0;0;0;0;0;;0;3;1;33.3;1;2;0;0;0;0;0;0;0;0;Matches
152;Pervis Estupiñán\Pervis-Estupinan;ec ECU;DF;Osasuna;21;1998;26.0;75;50;53;19;3;32;60;53.3;28;386;134;34.7;192;147;47;41;7;1;34;50;77;1;Matches
153;Oghenekaro Etebo\Oghenekaro-Etebo;ng NGA;MF;Getafe;23;1995;3.9;13;8;5;6;2;2;7;28.6;5;75;23;30.7;24;40;11;7;0;0;7;9;4;1;Matches
154;Beñat Etxebarria\Benat-Etxebarria;es ESP;MF;Athletic Bilbao;32;1987;4.3;7;4;2;3;2;1;10;10.0;9;82;19;23.2;21;52;9;8;1;0;7;2;8;0;Matches
155;Xabier Etxeita\Xabier-Etxeita;es ESP;DF;Getafe;31;1987;9.5;13;5;4;8;1;5;14;35.7;9;86;27;31.4;37;40;9;12;5;0;7;11;94;0;Matches
156;Edu Expósito\Edu-Exposito;es ESP;MF;Eibar;22;1996;17.6;40;31;10;20;10;11;42;26.2;31;365;118;32.3;78;225;62;13;4;0;9;27;25;0;Matches
157;Fabricio\Fabricio;es ESP;GK;Mallorca;31;1987;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
158;Fayçal Fajr\Faycal-Fajr;ma MAR;MF;Getafe;30;1988;4.3;1;1;0;1;0;0;4;0.0;4;72;24;33.3;12;40;20;7;0;0;7;3;8;0;Matches
159;Eliseo Falcon\Eliseo-Falcon;es ESP;DFMF;Levante;22;1997;0.8;1;0;1;0;0;0;1;0.0;1;7;1;14.3;1;6;0;0;0;0;0;0;3;0;Matches
160;Ansu Fati\Ansu-Fati;es ESP;FWDF;Barcelona;16;2002;7.6;14;8;3;5;6;4;8;50.0;4;144;42;29.2;26;63;55;7;1;0;6;2;1;0;Matches
161;Aleix Febas\Aleix-Febas;es ESP;MF;Mallorca;23;1996;15.6;34;22;17;14;3;8;25;32.0;17;305;79;25.9;90;160;55;12;0;0;12;14;3;0;Matches
162;Zouhair Feddal\Zouhair-Feddal;ma MAR;DF;Betis;30;1989;9.4;10;4;7;3;0;3;7;42.9;4;74;21;28.4;41;31;2;11;4;0;7;18;66;0;Matches
163;Ljubomir Fejsa\Ljubomir-Fejsa;rs SRB;MF;Alavés;30;1988;4.1;13;8;6;7;0;4;8;50.0;4;87;27;31.0;31;51;5;0;0;0;0;3;9;0;Matches
164;Nabil Fekir\Nabil-Fekir;fr FRA;MFFW;Betis;26;1993;20.2;33;21;13;11;9;4;25;16.0;21;447;110;24.6;88;231;128;23;4;0;19;12;5;0;Matches
165;Felipe\Felipe;br BRA;DF;Atlético Madrid;30;1989;20.0;27;16;20;7;0;11;19;57.9;8;132;51;38.6;80;44;8;25;14;0;11;36;163;1;Matches
166;João Félix\Joao-Felix;pt POR;FWMF;Atlético Madrid;19;1999;15.8;7;4;2;3;2;0;10;0.0;10;158;35;22.2;17;90;51;8;1;0;7;7;7;0;Matches
167;Aitor Fernández\Aitor-Fernandez;es ESP;GK;Levante;28;1991;27.0;0;0;0;0;0;0;0;;0;4;2;50.0;4;0;0;0;0;0;0;3;5;0;Matches
168;Andrés Fernández\Andres-Fernandez;es ESP;GK;Villarreal;32;1986;3.3;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
169;Carlos Fernández\Carlos-Fernandez;es ESP;FWMF;Granada;23;1996;15.5;21;10;5;9;7;3;23;13.0;20;405;88;21.7;28;228;149;17;3;0;14;10;25;0;Matches
170;Gabriel Fernández\Gabriel-Fernandez;uy URU;FWMF;Celta Vigo;25;1994;5.7;3;2;0;2;1;0;1;0.0;1;66;17;25.8;4;32;30;6;1;0;5;2;2;0;Matches
171;Joaquín Fernández\Joaquin-Fernandez;es ESP;MFDF;Valladolid;23;1996;12.9;31;18;19;12;0;9;30;30.0;21;231;61;26.4;100;115;16;22;4;1;18;20;67;2;Matches
172;Fernando\Fernando;br BRA;MF;Sevilla;32;1987;23.2;52;37;30;20;2;21;52;40.4;31;401;151;37.7;164;202;35;42;10;0;32;46;106;0;Matches
173;Facundo Ferreyra\Facundo-Ferreyra;ar ARG;FW;Espanyol;28;1991;6.0;4;4;2;1;1;1;6;16.7;5;87;16;18.4;8;41;38;4;0;0;4;2;4;0;Matches
174;Junior Firpo\Junior-Firpo;es ESP;DF;Barcelona;22;1996;9.0;24;14;14;9;1;13;20;65.0;7;103;25;24.3;35;44;24;21;2;0;19;12;11;0;Matches
175;Alessandro Florenzi\Alessandro-Florenzi;it ITA;DFMF;Valencia;28;1991;2.2;2;2;2;0;0;1;5;20.0;4;34;6;17.6;17;13;4;7;0;0;7;4;2;0;Matches
176;Hernâni Fortes\Hernani-Fortes;pt POR;MFFW;Levante;27;1991;4.7;4;3;3;0;1;0;3;0.0;3;47;8;17.0;22;19;6;3;0;0;3;3;3;0;Matches
177;Dimitri Foulquier\Dimitri-Foulquier;fr FRA;DF;Granada;26;1993;6.2;15;7;6;8;1;8;10;80.0;2;110;37;33.6;52;42;16;15;2;0;13;11;17;0;Matches
178;Jorge de Frutos\Jorge-de-Frutos;es ESP;MFFW;Valladolid;22;1997;0.6;2;0;2;0;0;1;2;50.0;1;17;2;11.8;7;8;2;1;0;0;1;0;1;0;Matches
179;Ramiro Funes Mori\Ramiro-Funes-Mori;ar ARG;DF;Villarreal;28;1991;5.0;4;1;1;3;0;0;2;0.0;2;34;11;32.4;18;14;2;8;3;0;5;3;20;1;Matches
180;Enric Gallego\Enric-Gallego;es ESP;FW;Getafe;32;1986;1.8;4;2;1;1;2;0;2;0.0;2;19;4;21.1;2;10;7;3;0;0;3;2;2;0;Matches
181;Enric Gallego\Enric-Gallego;es ESP;FW;Osasuna;32;1986;4.5;2;1;1;1;0;1;3;33.3;2;84;24;28.6;8;32;44;5;1;0;4;2;3;0;Matches
182;Kévin Gameiro\Kevin-Gameiro;fr FRA;FW;Valencia;32;1987;11.6;13;10;4;6;3;3;13;23.1;10;267;56;21.0;31;134;102;10;0;0;10;4;1;0;Matches
183;Fran Gámez\Fran-Gamez;es ESP;DF;Mallorca;28;1991;13.7;52;33;24;25;3;25;54;46.3;29;213;50;23.5;85;99;29;44;8;0;36;27;34;0;Matches
184;Ezequiel Garay\Ezequiel-Garay;ar ARG;DF;Valencia;32;1986;16.0;12;7;7;4;1;7;10;70.0;3;63;18;28.6;46;14;3;26;18;0;8;13;95;1;Matches
185;Dani García\Dani-Garcia;es ESP;MF;Athletic Bilbao;29;1990;25.3;59;33;23;31;5;18;63;28.6;45;367;110;30.0;107;226;34;41;5;0;36;37;85;0;Matches
186;David García\David-Garcia;es ESP;DF;Osasuna;25;1994;22.0;33;23;17;16;0;15;27;55.6;12;170;64;37.6;83;85;2;36;12;1;24;29;185;1;Matches
187;Javi García\Javi-Garcia;es ESP;MF;Betis;32;1987;4.0;2;1;2;0;0;0;1;0.0;1;33;6;18.2;13;20;0;3;0;0;3;4;26;0;Matches
188;Manu García\Manu-Garcia;es ESP;MF;Alavés;33;1986;19.6;46;35;12;32;2;12;61;19.7;49;408;124;30.4;104;257;47;27;10;0;17;21;57;0;Matches
189;Raúl García\Raul-Garcia;es ESP;DF;Valladolid;30;1989;7.0;17;11;7;8;2;8;18;44.4;10;109;35;32.1;55;38;16;18;1;0;17;2;29;0;Matches
190;Raúl García\Raul-Garcia;es ESP;DF;Getafe;30;1989;2.7;7;5;3;4;0;2;6;33.3;4;34;10;29.4;23;11;0;10;1;0;9;4;7;0;Matches
191;Raúl García\Raul-Garcia;es ESP;MFFW;Athletic Bilbao;33;1986;23.2;43;28;17;15;11;10;54;18.5;44;539;138;25.6;76;256;207;34;3;0;31;16;40;0;Matches
192;Rubén García\Ruben-Garcia;es ESP;MFFW;Osasuna;26;1993;20.7;38;23;12;19;7;9;32;28.1;23;356;111;31.2;74;188;94;40;6;0;34;10;19;0;Matches
193;Unai García\Unai-Garcia;es ESP;DF;Osasuna;27;1992;2.2;2;1;1;1;0;1;1;100.0;0;28;11;39.3;15;10;3;10;5;0;5;1;18;0;Matches
194;Mario Gaspar\Mario-Gaspar;es ESP;DF;Villarreal;28;1990;15.7;34;18;17;15;2;17;32;53.1;15;207;69;33.3;78;98;31;38;11;0;27;19;66;0;Matches
195;José Antonio Martínez Gil\Jose-Antonio-Martinez-Gil;es ESP;DF;Granada;26;1993;11.5;21;11;10;10;1;7;13;53.8;6;81;34;42.0;48;31;2;12;2;0;10;19;69;0;Matches
196;Ibai Gómez\Ibai-Gomez;es ESP;FW;Athletic Bilbao;29;1989;7.2;5;3;2;3;0;2;9;22.2;7;71;23;32.4;9;39;23;10;0;0;10;5;4;0;Matches
197;Maxi Gómez\Maxi-Gomez;uy URU;FW;Valencia;22;1996;16.8;9;7;1;6;2;2;5;40.0;3;202;49;24.3;12;83;107;8;1;0;7;5;13;0;Matches
198;Moi Gómez\Moi-Gomez;es ESP;FWMF;Villarreal;25;1994;19.7;19;12;9;5;5;5;17;29.4;12;305;86;28.2;64;168;73;30;2;0;28;18;17;1;Matches
199;Sergi Gómez\Sergi-Gomez;es ESP;DF;Sevilla;27;1992;5.5;5;2;3;2;0;2;2;100.0;0;31;13;41.9;16;14;1;6;2;0;4;5;35;0;Matches
200;Maxime Gonalons\Maxime-Gonalons;fr FRA;MF;Granada;30;1989;16.1;59;38;24;31;4;21;55;38.2;34;413;128;31.0;134;251;28;26;3;0;23;20;36;0;Matches
201;Bruno González\Bruno-Gonzalez;es ESP;DF;Levante;29;1990;3.0;4;3;4;0;0;1;2;50.0;1;23;11;47.8;15;8;0;2;1;0;1;1;30;0;Matches
202;Bruno González\Bruno-Gonzalez;es ESP;DF;Getafe;29;1990;2.0;4;2;4;0;0;1;1;100.0;0;24;6;25.0;12;11;1;1;0;0;1;0;7;0;Matches
203;Édgar González\Edgar-Gonzalez;es ESP;MF;Betis;22;1997;6.2;6;3;2;4;0;2;12;16.7;10;88;22;25.0;32;43;13;10;3;0;7;8;20;0;Matches
204;Andoni Gorosabel\Andoni-Gorosabel;es ESP;DF;Real Sociedad;22;1996;4.3;10;5;5;1;4;6;10;60.0;4;50;16;32.0;24;15;11;10;0;0;10;8;19;0;Matches
205;Esteban Granero\Esteban-Granero;es ESP;MF;Espanyol;32;1987;5.2;9;7;4;4;1;3;10;30.0;7;86;23;26.7;20;52;14;4;3;0;1;3;5;0;Matches
206;Antoine Griezmann\Antoine-Griezmann;fr FRA;FW;Barcelona;28;1991;23.8;30;14;11;10;9;7;25;28.0;18;377;122;32.4;67;165;145;26;2;0;24;9;21;0;Matches
207;Andrés Guardado\Andres-Guardado;mx MEX;MF;Betis;32;1986;17.0;21;11;12;7;2;9;33;27.3;24;295;66;22.4;94;142;59;27;5;0;22;15;19;0;Matches
208;Sergi Guardiola\Sergi-Guardiola;es ESP;FW;Valladolid;28;1991;22.9;16;9;2;9;5;1;14;7.1;13;417;72;17.3;26;243;148;21;0;0;21;6;13;0;Matches
209;Nemanja Gudelj\Nemanja-Gudelj;rs SRB;MFDF;Sevilla;27;1991;7.8;14;8;8;5;1;6;10;60.0;4;83;27;32.5;39;41;3;19;6;0;13;11;26;0;Matches
210;Gonçalo Guedes\Goncalo-Guedes;pt POR;MFFW;Valencia;22;1996;6.6;14;12;7;4;3;4;15;26.7;11;120;30;25.0;27;59;34;6;0;0;6;4;0;0;Matches
211;Ander Guevara\Ander-Guevara;es ESP;MF;Real Sociedad;22;1997;10.5;28;18;9;18;1;9;24;37.5;15;216;62;28.7;53;135;28;13;1;0;12;10;28;0;Matches
212;John Guidetti\John-Guidetti;se SWE;FW;Alavés;27;1992;1.0;3;2;0;2;1;0;1;0.0;1;28;6;21.4;1;13;14;1;0;0;1;0;0;0;Matches
213;Hugo Guillamón\Hugo-Guillamon;es ESP;DF;Valencia;19;2000;0.5;1;0;0;0;1;0;0;;0;1;0;0.0;0;1;0;0;0;0;0;0;7;0;Matches
214;Ismael Gutiérrez\Ismael-Gutierrez;es ESP;MF;Betis;18;2000;0.9;2;1;0;2;0;0;0;;0;19;6;31.6;10;8;1;3;1;0;2;2;3;0;Matches
215;Munir El Haddadi\Munir-El-Haddadi;es ESP;FW;Sevilla;23;1995;7.1;11;9;3;7;1;2;3;66.7;1;104;31;29.8;16;51;37;6;1;0;5;3;6;0;Matches
216;Eden Hazard\Eden-Hazard;be BEL;FWMF;Real Madrid;28;1991;8.3;6;4;1;4;1;2;10;20.0;8;98;30;30.6;19;45;34;8;0;0;8;5;0;0;Matches
217;Mario Hermoso\Mario-Hermoso;es ESP;DF;Atlético Madrid;24;1995;11.3;10;7;7;2;1;5;14;35.7;9;74;21;28.4;42;30;2;14;3;0;11;13;73;0;Matches
218;Aridane Hernández\Aridane-Hernandez;gq EQG;DF;Osasuna;30;1989;21.0;29;17;17;12;0;8;12;66.7;4;120;56;46.7;70;45;5;26;14;0;12;22;177;1;Matches
219;Javier Hernández\Javier-Hernandez;mx MEX;FW;Sevilla;31;1988;5.0;4;4;0;3;1;1;5;20.0;4;65;21;32.3;4;31;30;8;1;0;7;5;1;0;Matches
220;Juan Hernández\Juan-Hernandez;es ESP;MF;Celta Vigo;24;1994;0.2;0;0;0;0;0;0;0;;0;3;0;0.0;0;3;0;0;0;0;0;0;0;0;Matches
221;Héctor Herrera\Hector-Herrera;mx MEX;MF;Atlético Madrid;29;1990;9.3;26;20;8;14;4;11;25;44.0;14;166;50;30.1;46;99;21;21;3;0;18;16;20;0;Matches
222;Sergio Herrera\Sergio-Herrera;es ESP;GK;Osasuna;26;1993;11.4;0;0;0;0;0;0;2;0.0;2;3;1;33.3;3;0;0;0;0;0;0;1;0;2;Matches
223;Yangel Herrera\Yangel-Herrera;ve VEN;MF;Granada;21;1998;17.5;61;42;15;42;4;15;45;33.3;30;529;144;27.2;150;318;61;44;8;0;36;22;25;0;Matches
224;Iago Herrerín\Iago-Herrerin;es ESP;GK;Athletic Bilbao;31;1988;3.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
225;Pablo Hervías\Pablo-Hervias;es ESP;MF;Valladolid;26;1993;5.4;8;6;5;3;0;3;9;33.3;6;120;32;26.7;31;61;28;5;0;0;5;2;0;0;Matches
226;Robert Ibáñez\Robert-Ibanez;es ESP;MFFW;Osasuna;26;1993;5.9;12;3;5;4;3;5;11;45.5;6;86;23;26.7;24;44;18;11;0;0;11;4;0;0;Matches
227;Vicente Iborra\Vicente-Iborra;es ESP;MF;Villarreal;31;1988;23.6;55;39;22;29;4;25;54;46.3;29;376;96;25.5;148;201;27;44;16;0;28;38;73;0;Matches
228;Borja Iglesias\Borja-Iglesias;es ESP;FW;Betis;26;1993;15.3;5;5;1;3;1;0;6;0.0;6;229;48;21.0;10;104;115;14;6;0;8;3;13;0;Matches
229;Asier Illarramendi\Asier-Illarramendi;es ESP;MF;Real Sociedad;29;1990;2.4;3;2;1;1;1;1;3;33.3;2;13;4;30.8;5;7;1;2;1;0;1;5;5;0;Matches
230;Takashi Inui\Takashi-Inui;jp JPN;FWMF;Eibar;31;1988;16.4;22;11;7;9;6;10;31;32.3;21;326;83;25.5;67;152;107;27;5;0;22;14;9;0;Matches
231;Alexander Isak\Alexander-Isak;se SWE;FW;Real Sociedad;19;1999;11.7;6;4;0;4;2;0;6;0.0;6;177;48;27.1;6;58;113;7;1;0;6;3;5;0;Matches
232;Isco\Isco;es ESP;FWMF;Real Madrid;27;1992;9.7;11;7;3;6;2;3;10;30.0;7;151;31;20.5;23;84;44;9;0;0;9;3;2;0;Matches
233;Ander Iturraspe\Ander-Iturraspe;es ESP;MF;Espanyol;30;1989;2.0;0;0;0;0;0;0;5;0.0;5;33;4;12.1;9;23;1;2;0;0;2;1;4;0;Matches
234;Adnan Januzaj\Adnan-Januzaj;be BEL;FWMF;Real Sociedad;24;1995;8.9;8;4;3;1;4;2;18;11.1;16;145;34;23.4;30;74;41;7;0;0;7;3;4;1;Matches
235;Jason\Jason;es ESP;MF;Getafe;25;1994;9.7;22;15;7;12;3;3;20;15.0;17;179;55;30.7;32;95;52;14;2;0;12;14;7;0;Matches
236;Joaquín\Joaquin;es ESP;MFFW;Betis;38;1981;19.1;16;10;5;9;2;4;13;30.8;9;198;51;25.8;53;98;47;32;3;0;29;15;16;0;Matches
237;Frenkie de Jong\Frenkie-de-Jong;nl NED;MF;Barcelona;22;1997;22.1;30;22;10;13;7;5;17;29.4;12;301;94;31.2;73;145;83;24;7;0;17;23;17;0;Matches
238;Luuk de Jong\Luuk-de-Jong;nl NED;FW;Sevilla;28;1990;18.0;14;7;1;10;3;3;11;27.3;8;292;79;27.1;10;148;134;11;1;0;10;6;20;0;Matches
239;Joan Jordán\Joan-Jordan;es ESP;MF;Sevilla;25;1994;17.1;37;29;15;20;2;11;44;25.0;33;349;101;28.9;93;190;66;33;3;0;30;13;25;2;Matches
240;Willian José\Willian-Jose;br BRA;FW;Real Sociedad;27;1991;16.1;3;3;0;3;0;0;6;0.0;6;132;41;31.1;3;53;76;9;3;0;6;0;10;0;Matches
241;Joselu\Joselu;es ESP;FW;Alavés;29;1990;22.9;22;14;5;10;7;3;25;12.0;22;473;125;26.4;24;227;222;30;5;0;25;10;37;0;Matches
242;Luka Jović\Luka-Jovic;rs SRB;FW;Real Madrid;21;1997;4.3;3;2;0;2;1;0;0;;0;64;16;25.0;4;27;33;2;0;0;2;2;0;0;Matches
243;Juanmi\Juanmi;es ESP;FWMF;Betis;26;1993;0.8;0;0;0;0;0;0;1;0.0;1;14;6;42.9;1;10;3;1;0;0;1;0;0;0;Matches
244;David Juncà\David-Junca;es ESP;DF;Celta Vigo;25;1993;2.9;4;3;2;2;0;2;2;100.0;0;32;8;25.0;12;14;6;3;1;0;2;1;7;0;Matches
245;Lago Junior\Lago-Junior;ci CIV;MFFW;Mallorca;28;1990;19.6;25;15;13;7;5;9;24;37.5;15;333;76;22.8;89;154;90;32;5;0;27;11;17;0;Matches
246;Vinicius Júnior\Vinicius-Junior;br BRA;FWMF;Real Madrid;19;2000;10.0;14;9;5;6;3;3;16;18.8;13;179;49;27.4;38;78;63;10;0;0;10;4;0;0;Matches
247;Lee Kangin\Lee-Kangin;kr KOR;MFFW;Valencia;18;2001;3.3;3;2;1;1;1;0;3;0.0;3;84;23;27.4;9;52;23;2;0;0;2;1;0;0;Matches
248;Wilfrid Kaptoum\Wilfrid-Kaptoum;cm CMR;MF;Betis;23;1996;2.1;6;5;3;2;1;2;2;100.0;0;43;18;41.9;15;21;7;3;1;0;2;1;6;0;Matches
249;Kenedy\Kenedy;br BRA;MFDF;Getafe;23;1996;5.9;11;8;2;5;4;2;3;66.7;1;100;29;29.0;19;55;26;8;1;0;7;10;5;0;Matches
250;Kike\Kike;es ESP;FW;Eibar;29;1989;12.1;6;3;1;1;4;3;6;50.0;3;216;65;30.1;13;75;128;8;1;0;7;1;4;0;Matches
251;Kenan Kodro\Kenan-Kodro;ba BIH;FWMF;Athletic Bilbao;25;1993;3.7;0;0;0;0;0;0;1;0.0;1;79;17;21.5;7;36;36;2;0;0;2;0;3;0;Matches
252;Koke\Koke;es ESP;MF;Atlético Madrid;27;1992;20.8;55;41;21;27;7;24;65;36.9;41;324;96;29.6;98;166;60;31;7;0;24;25;20;0;Matches
253;Geoffrey Kondogbia\Geoffrey-Kondogbia;cf CTA;MF;Valencia;26;1993;13.5;42;30;20;16;6;11;32;34.4;21;326;91;27.9;127;165;34;31;9;0;22;33;40;0;Matches
254;Jules Koundé\Jules-Kounde;fr FRA;DF;Sevilla;20;1998;15.6;18;12;13;4;1;8;12;66.7;4;112;44;39.3;56;47;9;15;8;2;7;14;100;1;Matches
255;Leonardo Koutris\Leonardo-Koutris;gr GRE;DF;Mallorca;24;1995;1.0;1;0;0;0;1;0;0;;0;15;6;40.0;9;3;3;2;1;0;1;1;6;0;Matches
256;İsmail Köybaşı\Ismail-Koybasi;tr TUR;DFFW;Granada;30;1989;2.5;8;6;5;2;1;0;1;0.0;1;50;15;30.0;25;16;9;3;0;0;3;5;7;0;Matches
257;Toni Kroos\Toni-Kroos;de GER;MF;Real Madrid;29;1990;20.9;37;27;10;19;8;12;48;25.0;36;452;107;23.7;85;287;80;19;1;0;18;17;8;0;Matches
258;Takefusa Kubo\Takefusa-Kubo;jp JPN;MFFW;Mallorca;18;2001;15.9;24;16;12;9;3;12;38;31.6;26;353;91;25.8;102;173;78;19;0;0;19;15;5;0;Matches
259;Víctor Laguardia\Victor-Laguardia;es ESP;DF;Alavés;29;1989;20.5;18;11;11;7;0;8;20;40.0;12;148;40;27.0;88;58;2;34;11;0;23;30;128;0;Matches
260;Diego Lainez\Diego-Lainez;mx MEX;MF;Betis;19;2000;2.3;5;4;2;3;0;2;7;28.6;5;47;13;27.7;13;28;6;6;0;0;6;1;1;0;Matches
261;Larra\Larra;es ESP;FWMF;Athletic Bilbao;21;1997;2.0;1;1;0;1;0;1;1;100.0;0;25;5;20.0;2;15;8;3;0;0;3;0;1;0;Matches
262;Toni Lato\Toni-Lato;es ESP;MF;Osasuna;21;1997;0.9;4;3;2;2;0;0;0;;0;33;7;21.2;5;15;13;2;0;0;2;1;2;0;Matches
263;Robin Le Normand\Robin-Le-Normand;fr FRA;DF;Real Sociedad;22;1996;17.2;26;14;17;9;0;10;22;45.5;12;105;43;41.0;71;32;2;16;7;0;9;9;107;1;Matches
264;Wu Lei\Wu-Lei;cn CHN;FWMF;Espanyol;27;1991;12.8;14;7;8;3;3;7;35;20.0;28;213;48;22.5;52;106;55;28;0;0;28;11;11;1;Matches
265;Iñigo Lekue\Inigo-Lekue;es ESP;DFFW;Athletic Bilbao;26;1993;4.6;19;14;11;5;3;11;17;64.7;6;82;28;34.1;24;37;21;8;0;0;8;2;12;0;Matches
266;Thomas Lemar\Thomas-Lemar;fr FRA;MF;Atlético Madrid;23;1995;9.0;10;7;4;4;2;2;8;25.0;6;167;39;23.4;57;83;27;17;0;0;17;6;3;0;Matches
267;Clément Lenglet\Clement-Lenglet;fr FRA;DF;Barcelona;24;1995;18.8;40;31;24;15;1;9;18;50.0;9;197;81;41.1;110;83;4;31;13;0;18;26;82;1;Matches
268;Pedro León\Pedro-Leon;es ESP;MFFW;Eibar;32;1986;16.2;22;11;10;7;5;6;17;35.3;11;317;89;28.1;58;165;94;25;0;0;25;15;9;0;Matches
269;Sergio León\Sergio-Leon;es ESP;FW;Levante;30;1989;5.2;3;2;0;2;1;1;3;33.3;2;80;18;22.5;4;37;39;4;0;0;4;0;2;0;Matches
270;Lillo\Lillo;es ESP;DF;Osasuna;30;1989;2.1;5;2;3;2;0;4;4;100.0;0;19;4;21.1;7;11;1;3;1;0;2;3;9;0;Matches
271;Diego Llorente\Diego-Llorente;es ESP;DF;Real Sociedad;25;1993;17.9;19;12;14;4;1;8;14;57.1;6;116;40;34.5;74;41;1;22;7;0;15;19;110;1;Matches
272;Marcos Llorente\Marcos-Llorente;es ESP;MF;Atlético Madrid;24;1995;8.0;23;15;6;14;3;5;15;33.3;10;165;50;30.3;42;99;24;21;5;0;16;13;14;0;Matches
273;Stanislav Lobotka\Stanislav-Lobotka;sk SVK;MF;Celta Vigo;24;1994;15.5;23;17;12;11;0;6;26;23.1;20;234;63;26.9;91;114;29;12;1;0;11;8;8;0;Matches
274;Renan Lodi\Renan-Lodi;br BRA;DF;Atlético Madrid;21;1998;18.6;51;33;20;24;7;25;51;49.0;26;248;70;28.2;120;100;28;44;4;0;40;31;48;0;Matches
275;Rony Lopes\Rony-Lopes;pt POR;FWMF;Sevilla;23;1995;1.0;1;1;0;1;0;1;1;100.0;0;14;6;42.9;3;10;1;3;0;0;3;1;0;0;Matches
276;Adrián López\Adrian-Lopez;es ESP;FWMF;Osasuna;31;1988;9.8;6;3;0;4;2;1;11;9.1;10;101;29;28.7;7;53;41;7;1;0;6;1;7;0;Matches
277;David López\David-Lopez;es ESP;DFMF;Espanyol;29;1989;16.6;24;18;11;11;2;9;31;29.0;22;242;81;33.5;102;125;15;29;8;0;21;22;70;0;Matches
278;Diego López\Diego-Lopez;es ESP;GK;Espanyol;37;1981;26.9;1;1;1;0;0;1;2;50.0;1;4;0;0.0;4;0;0;0;0;0;0;2;1;1;Matches
279;Javi López\Javi-Lopez;es ESP;DF;Espanyol;33;1986;12.5;38;20;18;14;6;12;29;41.4;17;157;44;28.0;80;56;21;21;6;0;15;19;46;0;Matches
280;Lluis López\Lluis-Lopez;es ESP;DF;Espanyol;22;1997;3.3;2;1;1;1;0;2;3;66.7;1;29;9;31.0;15;14;0;5;0;0;5;1;10;0;Matches
281;Unai López\Unai-Lopez;es ESP;MF;Athletic Bilbao;23;1995;12.8;21;15;7;13;1;2;26;7.7;24;226;70;31.0;62;138;26;14;1;0;13;12;17;1;Matches
282;Iker Losada\Iker-Losada;es ESP;MFFW;Celta Vigo;17;2001;0.1;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
283;Pol Lozano\Pol-Lozano;es ESP;MF;Espanyol;19;1999;0.2;0;0;0;0;0;0;0;;0;4;1;25.0;1;3;0;0;0;0;0;0;0;0;Matches
284;José Luis Gayà\Jose-Luis-Gaya;es ESP;DF;Valencia;24;1995;18.6;41;22;25;13;3;18;36;50.0;18;227;72;31.7;136;68;23;29;5;0;24;15;63;0;Matches
285;José Luis Morales\Jose-Luis-Morales;es ESP;FWMF;Levante;32;1987;21.8;15;7;4;8;3;6;25;24.0;19;277;58;20.9;42;136;99;20;1;0;19;7;8;0;Matches
