Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tkl;TklW;Def 3rdDef;Mid 3rdDef;Att 3rdDef;TklVsDr;Att;Tkl%;Past;Press;Succ;%;DefPre 3rdDefPre;MidPre 3rdDefPre;AttPre 3rdDefPre;Blocks;Sh;ShSv;Pass;Int;Clr;Err;Matches
32;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;30;1989;24.0;0;0;0;0;0;0;1;0.0;1;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
33;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;31;1987;25.9;21;17;4;9;8;7;22;31.8;15;373;112;30.0;54;159;160;15;2;0;13;14;5;0;Matches
34;Roger Assalé\Roger-Assale;ci CIV;FWMF;Leganés;25;1993;1.1;0;0;0;0;0;0;1;0.0;1;13;3;23.1;4;3;6;1;0;0;1;0;1;0;Matches
35;Miguel Atienza\Miguel-Atienza;es ESP;MF;Eibar;;;0.3;0;0;0;0;0;0;0;;0;7;2;28.6;1;4;2;0;0;0;0;1;1;0;Matches
36;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;25;1994;17.7;19;16;6;10;3;5;15;33.3;10;342;92;26.9;22;141;179;17;0;0;17;4;7;0;Matches
37;Javier Avilés\Javier-Aviles;es ESP;MF;Leganés;21;1997;0.1;1;0;0;0;1;1;1;100.0;0;1;0;0.0;0;0;1;1;0;0;1;0;0;0;Matches
38;Chidozie Awaziem\Chidozie-Awaziem;ng NGA;DF;Leganés;22;1997;16.7;33;22;26;7;0;12;22;54.5;10;152;49;32.2;96;51;5;33;15;0;18;26;113;0;Matches
39;Ramon Azeez\Ramon-Azeez;ng NGA;MF;Granada;26;1992;9.8;15;12;3;9;3;3;10;30.0;7;264;63;23.9;39;148;77;11;1;0;10;11;5;0;Matches
40;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;23;1996;23.2;50;33;26;21;3;14;48;29.2;34;413;138;33.4;169;216;28;27;7;0;20;31;54;0;Matches
41;Carlos Bacca\Carlos-Bacca;co COL;FWMF;Villarreal;32;1986;4.7;2;0;0;0;2;0;3;0.0;3;51;14;27.5;6;20;25;3;0;0;3;0;2;0;Matches
42;Gareth Bale\Gareth-Bale;wal WAL;FWMF;Real Madrid;30;1989;11.0;8;6;3;2;3;2;14;14.3;12;95;29;30.5;18;43;34;15;2;0;13;5;6;0;Matches
43;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Bilbao;31;1988;3.0;8;4;1;6;1;2;4;50.0;2;50;15;30.0;19;26;5;7;2;0;5;0;9;0;Matches
44;Éver Banega\Ever-Banega;ar ARG;MF;Sevilla;31;1988;20.6;36;21;11;18;7;15;48;31.3;33;341;94;27.6;96;185;60;15;1;0;14;8;8;0;Matches
45;Federico Barba\Federico-Barba;it ITA;DF;Valladolid;25;1993;5.0;11;8;9;2;0;7;8;87.5;1;42;13;31.0;20;15;7;13;3;0;10;8;23;0;Matches
46;Enis Bardhi\Enis-Bardhi;mk MKD;MF;Levante;24;1995;16.1;22;16;7;14;1;5;22;22.7;17;301;68;22.6;95;140;66;14;3;0;11;9;9;1;Matches
47;Kike Barja\Kike-Barja;es ESP;MF;Osasuna;22;1997;0.7;0;0;0;0;0;0;0;;0;9;3;33.3;0;5;4;1;0;0;1;0;1;0;Matches
48;Antonio Barragán\Antonio-Barragan;es ESP;DF;Betis;32;1987;4.6;1;0;0;0;1;0;4;0.0;4;32;7;21.9;15;11;6;9;2;0;7;6;25;0;Matches
49;Ander Barrenetxea\Ander-Barrenetxea;es ESP;FWMF;Real Sociedad;17;2001;2.4;5;3;2;3;0;2;7;28.6;5;66;19;28.8;19;29;18;5;0;0;5;2;1;0;Matches
50;Marc Bartra\Marc-Bartra;es ESP;DFMF;Betis;28;1991;21.9;52;32;34;18;0;14;28;50.0;14;275;91;33.1;137;124;14;51;23;0;28;29;144;0;Matches
51;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;FWDF;Granada;22;1996;0.9;2;0;0;2;0;0;1;0.0;1;31;4;12.9;10;12;9;1;0;0;1;0;0;0;Matches
52;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;20;1999;14.1;23;14;10;7;6;5;19;26.3;14;256;78;30.5;91;126;39;13;1;0;12;13;18;0;Matches
53;Hatem Ben Arfa\Hatem-Ben-Arfa;fr FRA;MF;Valladolid;32;1987;0.3;0;0;0;0;0;0;0;;0;7;3;42.9;4;2;1;0;0;0;0;0;0;0;Matches
54;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;31;1987;24.7;12;9;1;6;5;4;15;26.7;11;240;65;27.1;17;99;124;9;1;0;8;6;21;1;Matches
55;Yuri Berchiche\Yuri-Berchiche;es ESP;DF;Athletic Bilbao;29;1990;24.0;39;23;27;10;2;18;28;64.3;10;303;96;31.7;147;113;43;61;3;0;58;24;62;0;Matches
56;Markel Bergara\Markel-Bergara;es ESP;MF;Getafe;33;1986;0.8;0;0;0;0;0;0;0;;0;11;5;45.5;0;8;3;1;0;0;1;0;2;0;Matches
57;Sergio Bermejo\Sergio-Bermejo;es ESP;FW;Celta Vigo;21;1997;0.0;0;0;0;0;0;0;0;;0;4;2;50.0;1;1;2;0;0;0;0;0;0;0;Matches
58;Pedro Bigas\Pedro-Bigas;es ESP;DF;Eibar;28;1990;11.5;12;10;7;5;0;6;14;42.9;8;95;37;38.9;53;35;7;23;11;1;12;18;80;1;Matches
59;Rubén Blanco\Ruben-Blanco;es ESP;GK;Celta Vigo;24;1995;25.0;0;0;0;0;0;0;1;0.0;1;1;1;100.0;1;0;0;0;0;0;0;0;2;1;Matches
60;Pablo de Blasis\Pablo-de-Blasis;ar ARG;DFMF;Eibar;31;1988;11.4;32;22;18;10;4;20;48;41.7;28;192;56;29.2;79;75;38;25;1;0;24;17;16;0;Matches
61;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;28;1991;1.5;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
62;Filip Bradarić\Filip-Bradaric;hr CRO;MF;Celta Vigo;27;1992;2.4;2;2;0;2;0;0;1;0.0;1;33;10;30.3;10;20;3;4;2;0;2;4;5;0;Matches
63;Martin Braithwaite\Martin-Braithwaite;dk DEN;FWMF;Leganés;28;1991;21.5;15;9;5;6;4;3;12;25.0;9;303;70;23.1;39;122;142;21;3;0;18;4;8;0;Matches
64;Martin Braithwaite\Martin-Braithwaite;dk DEN;FW;Barcelona;28;1991;1.4;1;0;1;0;0;0;0;;0;12;3;25.0;2;3;7;0;0;0;0;0;0;0;Matches
65;Brandon\Brandon;es ESP;FW;Osasuna;24;1995;4.5;4;2;0;3;1;0;5;0.0;5;121;21;17.4;12;63;46;5;0;0;5;1;1;0;Matches
66;Darko Brašanac\Darko-Brasanac;rs SRB;MF;Osasuna;27;1992;18.7;33;22;11;19;3;8;28;28.6;20;311;94;30.2;70;161;80;15;4;0;11;14;24;0;Matches
67;Yan Brice Eteki\Yan-Brice-Eteki;cm CMR;MF;Granada;21;1997;10.1;22;14;13;6;3;6;14;42.9;8;272;60;22.1;90;149;33;10;3;0;7;7;14;0;Matches
68;Bryan\Bryan;es ESP;FW;Sevilla;18;2001;0.7;1;1;0;1;0;0;2;0.0;2;18;4;22.2;6;8;4;0;0;0;0;0;0;0;Matches
69;Bryan\Bryan;es ESP;MFFW;Leganés;18;2001;1.0;2;1;1;1;0;0;0;;0;33;7;21.2;6;18;9;1;0;0;1;0;2;0;Matches
70;Ante Budimir\Ante-Budimir;hr CRO;FW;Mallorca;28;1991;22.9;24;17;4;15;5;2;14;14.3;12;374;87;23.3;32;195;147;22;9;0;13;4;19;0;Matches
71;Esteban Burgos\Esteban-Burgos;ar ARG;DF;Eibar;27;1992;5.9;8;5;8;0;0;5;6;83.3;1;32;15;46.9;21;11;0;9;4;0;5;9;37;1;Matches
