id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
523;William Vainqueur\William-Vainqueur;fr FRA;MF;Toulouse;30;1988;19.1;8;0;0;41;19;1;11;45;30;0;0;0;30;35;85.7;30;1;64;104;61.5;40;Matches
524;Pierrick Valdivia\Pierrick-Valdivia;fr FRA;MF;Nîmes;31;1988;0.8;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0.0;0;0;1;1;100.0;0;Matches
525;Antoine Valerio\Antoine-Valerio;fr FRA;MF;Nîmes;19;1999;0.9;0;0;0;3;2;0;1;2;4;0;0;0;3;3;100.0;3;0;2;3;66.7;1;Matches
526;Luca Valls\Luca-Valls;fr FRA;FW;Nîmes;20;1998;0.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
527;Theo Valls\Theo-Valls;fr FRA;MF;Nîmes;23;1995;18.1;1;1;0;13;22;0;37;19;10;0;0;0;12;16;75.0;12;0;31;70;44.3;39;Matches
528;Thibaut Vargas\Thibaut-Vargas;fr FRA;DF;Montpellier;19;2000;1.0;0;0;0;0;1;0;6;0;0;0;0;0;1;2;50.0;1;0;0;1;0.0;1;Matches
529;Marco Verratti\Marco-Verratti;it ITA;MF;Paris S-G;26;1992;16.5;6;0;0;26;33;0;11;43;17;0;0;0;24;28;85.7;24;0;58;101;57.4;43;Matches
530;Clément Vidal\Clement-Vidal;fr FRA;DF;Montpellier;19;2000;1.0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;;0;0;0;2;0.0;2;Matches
531;Molla Wagué\Molla-Wague;ml MLI;DF;Nantes;28;1991;7.6;1;1;0;6;1;1;1;14;14;0;0;0;2;3;66.7;2;0;20;22;90.9;2;Matches
532;Moussa Wagué\Moussa-Wague;sn SEN;DF;Nice;20;1998;1.2;0;0;0;1;0;0;3;2;1;0;0;0;3;7;42.9;3;0;3;5;60.0;2;Matches
533;Rémi Walter\Remi-Walter;fr FRA;MF;Nice;24;1995;0.6;0;0;0;1;1;0;0;1;0;0;0;0;1;1;100.0;1;0;1;1;100.0;0;Matches
534;Timothy Weah\Timothy-Weah;us USA;MF;Lille;19;2000;0.9;1;0;0;1;0;1;2;1;0;0;0;0;4;4;100.0;4;1;1;1;100.0;0;Matches
535;Xeka\Xeka;pt POR;MF;Lille;24;1994;7.8;4;0;0;16;9;0;4;13;4;0;0;0;5;10;50.0;7;1;21;44;47.7;23;Matches
536;Yusuf Yazıcı\Yusuf-Yazici;tr TUR;MFFW;Lille;22;1997;9.4;2;1;1;11;7;1;71;12;5;0;0;0;15;33;45.5;18;4;17;31;54.8;14;Matches
537;Elie Youan\Elie-Youan;fr FRA;FW;Nantes;20;1999;1.8;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0.0;0;0;1;4;25.0;3;Matches
538;Zaydou Youssouf\Zaydou-Youssouf;fr FRA;MF;Saint-Étienne;20;1999;11.9;4;0;0;15;27;0;8;23;16;0;0;0;29;41;70.7;31;2;40;60;66.7;20;Matches
539;Arthur Zagre\Arthur-Zagre;fr FRA;MF;Paris S-G;17;2001;0.3;0;0;0;1;1;0;0;0;1;0;0;0;3;3;100.0;3;0;2;2;100.0;0;Matches
540;Mootaz Zemzemi\Mootaz-Zemzemi;tn TUN;MF;Strasbourg;19;1999;0.2;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0.0;0;0;0;0;;0;Matches
541;Arber Zeneli\Arber-Zeneli;xk KVX;MF;Reims;24;1995;0.1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;66.7;2;0;0;0;;0;Matches
542;Kévin Zohi\Kevin-Zohi;ci CIV;FWMF;Strasbourg;22;1996;5.8;1;0;0;8;8;2;15;7;4;0;0;0;16;27;59.3;16;0;9;13;69.2;4;Matches
543;Bongani Zungu\Bongani-Zungu;za RSA;MF;Amiens;26;1992;10.9;4;0;0;24;15;1;2;12;16;0;0;0;5;11;45.5;8;0;26;46;56.5;20;Matches
