Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;Matches;
20;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;29-116;1992;5;3;256;2.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.2;0.00;0.06;0.06;0.00;0.06;Matches
21;Lorenz Assignon\Lorenz-Assignon;tg TOG;DF;Rennes;21-103;2000;3;1;125;1.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
22;Youcef Attal\Youcef-Attal;dz ALG;DF;Nice;25-139;1996;5;4;356;4.0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.3;0.01;0.06;0.07;0.01;0.07;Matches
23;Karim Azamoum\Karim-Azamoum;fr FRA;DF;Troyes;31-259;1990;7;4;388;4.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.03;0.00;0.03;0.03;0.03;Matches
24;Loïc Bade\Loic-Bade;fr FRA;DFMF;Rennes;21-175;2000;5;5;399;4.4;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.02;0.02;0.00;0.02;Matches
25;Benoît Badiashile\Benoit-Badiashile;fr FRA;DF;Monaco;20-191;2001;6;5;439;4.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.0;0.3;0.06;0.00;0.06;0.06;0.06;Matches
26;Youssouph Badji\Youssouph-Badji;sn SEN;FW;Brest;19-287;2001;5;1;122;1.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.2;0.07;0.10;0.18;0.07;0.18;Matches
27;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;29-128;1992;8;1;183;2.0;1;0;1;0;0;0;0;0.49;0.00;0.49;0.49;0.49;0.4;0.4;0.0;0.5;0.22;0.02;0.24;0.22;0.24;Matches
28;Dénys Bain\Denys-Bain;fr FRA;DF;Brest;28-093;1993;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
29;Stefan Bajic\Stefan-Bajic;fr FRA;GK;Saint-Étienne;19-284;2001;2;1;145;1.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
30;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Marseille;22-250;1999;6;6;537;6.0;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
31;Jonathan Bamba\Jonathan-Bamba;fr FRA;MF;Lille;25-191;1996;3;3;254;2.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.6;1.3;0.26;0.21;0.48;0.26;0.48;Matches
32;Simon Banza\Simon-Banza;fr FRA;FW;Lens;25-051;1996;4;1;124;1.4;1;1;1;0;0;0;0;0.73;0.73;1.45;0.73;1.45;1.2;1.2;0.6;1.8;0.86;0.47;1.33;0.86;1.33;Matches
33;Melvin Bard\Melvin-Bard;fr FRA;DF;Nice;20-331;2000;8;7;638;7.1;1;1;1;0;0;0;0;0.14;0.14;0.28;0.14;0.28;0.7;0.7;1.0;1.7;0.10;0.14;0.23;0.10;0.23;Matches
34;Toma Bašić\Toma-Basic;hr CRO;MF;Bordeaux;24-312;1996;3;3;209;2.3;0;1;0;0;0;0;0;0.00;0.43;0.43;0.00;0.43;0.1;0.1;0.6;0.7;0.05;0.24;0.29;0.05;0.29;Matches
