,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
23,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,6,0,0,0,0,4.4,0.45,-1.6,-0.88,9,29,31.0,37,10,54.1,38.4,14,64.3,45.8,12,0,0.0,1,0.57,15.4,Matches
24,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1.0,3,0,0,0,0,1.7,0.34,-1.3,-1.31,3,19,15.8,17,2,82.4,63.7,5,100.0,77.6,0,0,,0,0.00,14.3,Matches
25,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,2.0,8,0,0,0,0,5.0,0.33,-3.0,-1.53,16,39,41.0,41,10,48.8,43.5,22,86.4,59.8,9,0,0.0,0,0.00,7.9,Matches
26,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,28.0,34,0,0,6,1,30.3,0.32,-2.7,-0.10,200,420,47.6,419,92,58.2,44.2,214,82.2,54.6,193,7,3.6,7,0.25,12.3,Matches
27,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,28.0,42,1,3,5,2,37.0,0.35,-3.0,-0.11,246,621,39.6,807,123,60.2,48.3,196,68.9,57.3,164,13,7.9,20,0.71,15.1,Matches
28,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,28.0,39,2,0,3,1,35.6,0.30,-2.4,-0.09,224,696,32.2,652,119,75.6,55.3,219,92.7,70.6,206,28,13.6,32,1.14,16.7,Matches
29,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,27.0,42,4,1,5,0,44.9,0.34,+2.9,+0.11,139,462,30.1,614,147,49.7,42.8,227,69.2,57.2,172,12,7.0,13,0.48,14.2,Matches
30,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,5,1,0,1,0,4.5,0.50,-0.5,-0.23,18,36,50.0,26,3,84.6,55.5,14,100.0,66.0,15,1,6.7,2,1.00,13.6,Matches
31,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,5.0,9,0,0,1,0,9.2,0.34,+0.2,+0.04,38,77,49.4,138,26,46.4,38.7,30,43.3,37.8,20,2,10.0,5,1.00,16.6,Matches
32,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,17,1,1,3,1,17.2,0.34,+1.2,+0.16,49,167,29.3,192,26,67.2,49.0,40,95.0,66.0,46,3,6.5,5,0.66,13.1,Matches
33,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,28.0,40,2,0,6,3,42.8,0.34,+5.8,+0.21,181,352,51.4,892,183,31.4,32.6,190,37.9,35.5,135,11,8.1,12,0.43,14.3,Matches
34,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,28.0,28,5,0,6,0,33.4,0.34,+5.4,+0.19,164,353,46.5,690,118,38.0,36.6,191,47.6,40.8,145,6,4.1,20,0.71,16.2,Matches
35,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,1,0,0.0,26.0,1,100.0,70.0,0,0,,0,0.00,,Matches
36,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,3,0,0,0,0,2.1,0.41,-0.9,-0.94,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0.0,0,0.00,14.9,Matches
