"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
289;Kenny McLean\Kenny-McLean;sco SCO;MF;Norwich City;27;1992;25.4;1;1.6;-0.6;20;1010;1302;77.6;32;62;51.6;786;938;83.8;192;302;63.6;923;236;29;4;18;16;94;15;3;Matches
290;Dwight McNeil\Dwight-McNeil;eng ENG;MF;Burnley;19;1999;28.2;5;5.5;-0.5;43;614;915;67.1;14;63;22.2;453;550;82.4;147;302;48.7;822;36;45;3;48;7;64;28;20;Matches
291;Scott McTominay\Scott-McTominay;sco SCO;MF;Manchester Utd;22;1996;17.2;1;0.7;+0.3;13;663;825;80.4;9;24;37.5;466;553;84.3;188;248;75.8;32;732;22;2;0;1;70;9;2;Matches
292;Ben Mee\Ben-Mee;eng ENG;DF;Burnley;29;1989;29.0;1;0.6;+0.4;5;766;1028;74.5;6;17;35.3;455;517;88.0;305;494;61.7;792;119;44;0;0;5;47;1;0;Matches
293;Benjamin Mendy\Benjamin-Mendy;fr FRA;DF;Manchester City;25;1994;12.4;2;1.1;+0.9;16;861;1002;85.9;10;29;34.5;720;788;91.4;131;185;70.8;819;79;11;0;0;83;44;32;15;Matches
294;Nampalys Mendy\Nampalys-Mendy;fr FRA;MF;Leicester City;27;1992;2.2;0;0.1;-0.1;2;123;133;92.5;4;6;66.7;96;103;93.2;23;24;95.8;15;113;1;0;0;0;11;1;0;Matches
295;Chris Mepham\Chris-Mepham;wal WAL;DF;Bournemouth;21;1997;10.0;0;0.1;-0.1;1;399;468;85.3;3;8;37.5;282;311;90.7;114;149;76.5;55;363;8;0;0;0;14;0;0;Matches
296;Max Meyer\Max-Meyer;de GER;MFFW;Crystal Palace;23;1995;6.1;0;0.6;-0.6;2;121;163;74.2;6;22;27.3;105;123;85.4;10;18;55.6;54;99;1;1;0;1;9;6;1;Matches
297;Luka Milivojević\Luka-Milivojevic;rs SRB;MF;Crystal Palace;28;1991;22.1;1;2.0;-1.0;25;910;1196;76.1;14;23;60.9;621;713;87.1;275;460;59.8;146;972;121;1;87;4;82;7;0;Matches
298;James Milner\James-Milner;eng ENG;MFDF;Liverpool;33;1986;8.4;2;0.6;+1.4;7;540;632;85.4;3;16;18.8;399;433;92.1;138;183;75.4;68;516;11;3;7;23;51;9;1;Matches
