id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
474;Jack Wilshere\Jack-Wilshere;eng ENG;MF;West Ham;27;1992;1.9;0;0;0;0;5;0;0;0;0;0;0;0;5;7;71.4;6;0;1;6;16.7;5;Matches
475;Callum Wilson\Callum-Wilson;eng ENG;FW;Bournemouth;27;1992;25.1;8;0;0;41;26;25;14;10;3;1;0;0;17;39;43.6;17;0;12;25;48.0;13;Matches
476;Harry Wilson\Harry-Wilson;wal WAL;MFFW;Bournemouth;22;1997;16.1;1;0;0;7;32;1;23;10;9;0;1;0;16;32;50.0;18;0;22;44;50.0;22;Matches
477;Harry Winks\Harry-Winks;eng ENG;MF;Tottenham;23;1996;17.7;8;0;0;15;20;0;24;20;23;0;0;0;12;20;60.0;13;0;35;64;54.7;29;Matches
478;Chris Wood\Chris-Wood;nz NZL;FW;Burnley;27;1991;22.0;1;0;0;25;22;29;7;4;3;0;0;1;9;20;45.0;10;1;7;20;35.0;13;Matches
479;Granit Xhaka\Granit-Xhaka;ch SUI;MF;Arsenal;26;1992;20.2;7;0;0;45;27;0;12;20;14;0;1;0;19;23;82.6;19;1;36;60;60.0;24;Matches
480;Andriy Yarmolenko\Andriy-Yarmolenko;ua UKR;MF;West Ham;29;1989;9.2;2;0;0;14;8;8;13;8;4;0;0;0;7;12;58.3;7;0;12;27;44.4;15;Matches
481;DeAndre Yedlin\DeAndre-Yedlin;us USA;DF;Newcastle Utd;26;1993;8.6;3;0;0;8;9;2;26;12;5;0;0;0;5;10;50.0;5;0;16;24;66.7;8;Matches
482;Maya Yoshida\Maya-Yoshida;jp JPN;DF;Southampton;30;1988;6.2;1;0;0;3;5;0;0;5;3;0;0;0;1;1;100.0;1;0;7;11;63.6;4;Matches
483;Ashley Young\Ashley-Young;eng ENG;DF;Manchester Utd;34;1985;10.6;5;0;0;14;16;0;62;4;10;0;0;0;8;17;47.1;9;2;10;29;34.5;19;Matches
484;Pablo Zabaleta\Pablo-Zabaleta;ar ARG;DF;West Ham;34;1985;6.5;2;0;0;7;9;0;15;10;13;0;0;0;0;2;0.0;0;0;15;26;57.7;11;Matches
485;Wilfried Zaha\Wilfried-Zaha;ci CIV;MFFW;Crystal Palace;26;1992;27.3;3;0;0;39;90;15;50;23;14;1;0;0;136;220;61.8;143;6;35;63;55.6;28;Matches
486;Christoph Zimmermann\Christoph-Zimmermann;de GER;DF;Norwich City;26;1993;14.4;2;0;0;8;8;0;0;19;16;0;2;0;4;5;80.0;4;0;29;33;87.9;4;Matches
487;Oleksandr Zinchenko\Oleksandr-Zinchenko;ua UKR;DF;Manchester City;22;1996;9.2;2;1;1;11;1;0;27;12;10;0;0;0;4;8;50.0;4;0;20;35;57.1;15;Matches
488;Kurt Zouma\Kurt-Zouma;fr FRA;DF;Chelsea;24;1994;19.0;4;0;0;23;12;1;0;14;38;0;1;1;7;10;70.0;8;0;27;31;87.1;4;Matches
