Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
292;Pere Milla\Pere-Milla;es ESP;FWMF;Elche;29-010;1992;2.7;0;0;0;0;0;0;4;0.0;4;49;8;16.3;6;26;17;0;0;0;0;6;6;2;0;Matches
293;Santi Mina\Santi-Mina;es ESP;FW;Celta Vigo;25-300;1995;6.7;4;1;1;1;2;0;5;0.0;5;95;21;22.1;12;38;45;8;0;0;8;4;8;8;0;Matches
294;Óscar Mingueza\Oscar-Mingueza;es ESP;DF;Barcelona;22-143;1999;3.3;10;6;6;4;0;7;11;63.6;4;47;20;42.6;22;17;8;9;1;0;8;3;13;8;0;Matches
295;Rafa Mir\Rafa-Mir;es ESP;FW;Sevilla;24-107;1997;1.7;0;0;0;0;0;0;0;;0;19;5;26.3;2;11;6;3;2;0;1;0;0;2;0;Matches
296;Jorge Miramón\Jorge-Miramon;es ESP;DF;Levante;32-123;1989;6.0;12;9;7;5;0;6;15;40.0;9;68;22;32.4;36;23;9;9;1;0;8;18;30;11;0;Matches
297;Juan Miranda\Juan-Miranda;es ESP;DF;Betis;21-257;2000;3.0;6;3;3;1;2;2;7;28.6;5;44;16;36.4;18;14;12;8;1;0;7;0;6;14;0;Matches
298;Stefan Mitrović\Stefan-Mitrovic;rs SRB;DF;Getafe;31-134;1990;4.0;1;1;0;1;0;0;1;0.0;1;26;11;42.3;14;8;4;2;1;0;1;13;14;6;0;Matches
299;Luka Modrić\Luka-Modric;hr CRO;MF;Real Madrid;36-024;1985;3.4;3;1;2;0;1;0;0;;0;44;12;27.3;11;23;10;3;1;0;2;5;8;0;0;Matches
300;Johan Mojica\Johan-Mojica;co COL;DF;Elche;29-043;1992;6.9;6;2;6;0;0;2;3;66.7;1;68;15;22.1;39;19;10;9;0;0;9;19;25;15;0;Matches
301;Jorge Molina\Jorge-Molina;es ESP;FW;Granada;39-164;1982;2.0;2;2;0;0;2;0;1;0.0;1;28;4;14.3;1;12;15;2;0;0;2;1;3;2;0;Matches
302;Jon Moncayola\Jon-Moncayola;es ESP;MF;Osasuna;23-143;1998;6.2;7;4;5;2;0;3;7;42.9;4;93;31;33.3;20;52;21;5;1;0;4;1;8;6;0;Matches
303;Monchu\Monchu;es ESP;MF;Granada;22-020;1999;3.7;8;3;1;6;1;3;6;50.0;3;119;23;19.3;28;70;21;10;2;0;8;0;8;3;0;Matches
304;Gonzalo Montiel\Gonzalo-Montiel;ar ARG;DF;Sevilla;24-275;1997;0.6;2;0;2;0;0;1;1;100.0;0;4;0;0.0;3;1;0;0;0;0;0;0;2;1;0;Matches
305;Ángel Montoro\Angel-Montoro;es ESP;MF;Granada;33-100;1988;5.7;7;4;5;2;0;2;8;25.0;6;98;24;24.5;32;54;12;8;0;0;8;6;13;12;0;Matches
306;Martín Montoya\Martin-Montoya;es ESP;DF;Betis;30-172;1991;3.8;12;7;6;5;1;6;12;50.0;6;62;19;30.6;27;26;9;9;0;0;9;7;19;10;0;Matches
307;Jon Morcillo\Jon-Morcillo;es ESP;MFFW;Athletic Club;23-018;1998;0.4;0;0;0;0;0;0;1;0.0;1;17;4;23.5;6;10;1;1;0;0;1;0;0;0;0;Matches
308;Alberto Moreno\Alberto-Moreno;es ESP;MFDF;Villarreal;29-090;1992;3.7;8;4;6;2;0;2;8;25.0;6;54;14;25.9;31;17;6;6;1;0;5;11;19;2;1;Matches
309;Álex Moreno\Alex-Moreno;es ESP;DF;Betis;28-117;1993;3.3;6;3;5;1;0;0;1;0.0;1;39;12;30.8;18;11;10;11;1;0;10;7;13;13;0;Matches
310;Gerard Moreno\Gerard-Moreno;es ESP;FW;Villarreal;29-179;1992;3.0;3;2;2;1;0;1;1;100.0;0;23;7;30.4;6;9;8;4;1;0;3;0;3;3;0;Matches
311;Tete Morente\Tete-Morente;es ESP;MFFW;Elche;24-303;1996;1.0;1;1;1;0;0;1;2;50.0;1;19;5;26.3;6;8;5;3;0;0;3;1;2;1;0;Matches
312;Manu Morlanes\Manu-Morlanes;es ESP;MF;Espanyol;22-264;1999;2.3;8;7;3;4;1;2;5;40.0;3;45;16;35.6;18;24;3;4;2;0;2;2;10;6;0;Matches
313;Loren Morón\Loren-Moron;es ESP;FWMF;Espanyol;27-277;1993;1.2;3;1;1;2;0;0;2;0.0;2;17;5;29.4;3;7;7;3;0;0;3;0;3;1;0;Matches
314;Loren Morón\Loren-Moron;es ESP;FW;Betis;27-277;1993;0.0;0;0;0;0;0;0;0;;0;2;1;50.0;0;1;1;0;0;0;0;0;0;0;0;Matches
315;Toni Moya\Toni-Moya;es ESP;MF;Alavés;23-197;1998;2.7;5;3;3;1;1;0;3;0.0;3;63;13;20.6;19;36;8;3;2;0;1;6;11;5;0;Matches
316;Iker Muniain\Iker-Muniain;es ESP;MF;Athletic Club;28-288;1992;6.6;9;5;1;6;2;4;5;80.0;1;98;27;27.6;18;53;27;6;0;0;6;10;19;2;0;Matches
317;Aihen Muñoz\Aihen-Munoz;es ESP;DF;Real Sociedad;24-048;1997;6.8;12;8;7;3;2;4;12;33.3;8;86;26;30.2;25;48;13;7;1;0;6;8;20;14;1;Matches
318;Jeison Murillo\Jeison-Murillo;co COL;DF;Celta Vigo;29-129;1992;4.0;7;0;6;1;0;2;3;66.7;1;28;12;42.9;17;8;3;5;0;0;5;6;13;15;0;Matches
319;Yunus Musah\Yunus-Musah;us USA;MF;Valencia;18-308;2002;3.3;5;1;1;3;1;1;4;25.0;3;73;16;21.9;23;32;18;7;0;0;7;2;7;2;0;Matches
320;Shkodran Mustafi\Shkodran-Mustafi;de GER;DF;Levante;29-169;1992;2.1;4;2;2;2;0;1;2;50.0;1;22;8;36.4;12;8;2;2;0;0;2;5;9;14;0;Matches
321;Nacho\Nacho;es ESP;DF;Real Madrid;31-258;1990;5.9;7;4;5;1;1;2;8;25.0;6;48;14;29.2;20;24;4;8;3;0;5;15;22;19;0;Matches
322;Roberto Navarro\Roberto-Navarro;es ESP;FWMF;Real Sociedad;19-174;2002;0.8;0;0;0;0;0;0;1;0.0;1;21;4;19.0;4;11;6;0;0;0;0;0;0;0;0;Matches
323;Ximo Navarro\Ximo-Navarro;es ESP;DF;Alavés;31-253;1990;5.0;7;4;4;2;1;3;4;75.0;1;47;11;23.4;24;14;9;8;1;0;7;6;13;16;0;Matches
324;Jesús Navas\Jesus-Navas;es ESP;DF;Sevilla;35-316;1985;5.4;3;0;2;1;0;1;4;25.0;3;31;11;35.5;18;12;1;10;0;0;10;4;7;14;0;Matches
325;Loum Ndiaye\Loum-Ndiaye;sn SEN;MF;Alavés;24-277;1996;4.5;11;7;8;3;0;3;7;42.9;4;122;29;23.8;46;68;8;7;4;0;3;5;16;19;0;Matches
326;Álvaro Negredo\Alvaro-Negredo;es ESP;FW;Cádiz;36-044;1985;4.4;0;0;0;0;0;0;3;0.0;3;55;13;23.6;7;29;19;4;1;0;3;4;4;9;0;Matches
327;Neto\Neto;br BRA;GK;Barcelona;32-076;1989;2.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
328;Carlos Neva\Carlos-Neva;es ESP;DF;Granada;25-113;1996;6.4;10;5;7;3;0;2;7;28.6;5;69;19;27.5;39;28;2;18;2;0;16;18;28;20;1;Matches
329;Saúl Ñíguez\Saul-Niguez;es ESP;DFMF;Atlético Madrid;26-316;1994;2.2;6;3;2;3;1;3;4;75.0;1;50;17;34.0;14;30;6;6;1;0;5;2;8;1;0;Matches
330;Fernando Niño\Fernando-Nino;es ESP;FW;Mallorca;20-344;2000;4.3;4;3;3;0;1;1;5;20.0;4;71;23;32.4;8;29;34;3;1;0;2;1;5;8;0;Matches
331;Nolito\Nolito;es ESP;MF;Celta Vigo;34-353;1986;4.0;4;3;2;1;1;3;9;33.3;6;50;10;20.0;14;25;11;10;1;0;9;7;11;2;0;Matches
332;Randy Ntekja\Randy-Ntekja;fr FRA;FW;Rayo Vallecano;23-301;1997;4.5;1;0;0;0;1;0;1;0.0;1;85;18;21.2;5;43;37;6;1;0;5;0;1;1;0;Matches
333;Unai Núñez\Unai-Nunez;es ESP;DF;Athletic Club;24-246;1997;1.0;2;2;1;0;1;1;2;50.0;1;7;3;42.9;3;3;1;0;0;0;0;1;3;2;0;Matches
