Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
26;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;32-061;1989;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
27;Marco Asensio\Marco-Asensio;es ESP;MF;Real Madrid;25-219;1996;2;35;18;19.4;0.4;0;;0;2;18;0;2.00;3;1;+2;+5.14;+4.52;1.1;1.0;+0.1;+0.34;+0.84;Matches
28;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;34-027;1987;2;180;90;100.0;2.0;2;90;2;0;;0;0.50;1;2;-1;-0.50;;2.2;3.4;-1.2;-0.60;;Matches
29;Ludwig Augustinsson\Ludwig-Augustinsson;se SWE;DFMF;Sevilla;27-129;1994;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
30;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FWMF;Osasuna;27-203;1994;2;36;18;20.0;0.4;0;;0;2;18;0;1.00;0;0;0;0.00;0.00;0.5;0.3;+0.1;+0.31;-1.01;Matches
31;Gaizka Ayesa\Gaizka-Ayesa;es ESP;GK;Real Sociedad;20-148;2001;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
32;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;25-218;1996;3;249;83;92.2;2.8;3;83;2;0;;0;2.33;2;1;+1;+0.36;-3.92;1.8;1.8;0.0;0.00;-1.45;Matches
33;Carlos Bacca\Carlos-Bacca;co COL;FW;Granada;34-354;1986;2;111;56;61.7;1.2;1;66;0;1;45;0;1.00;1;0;+1;+0.81;+2.12;0.9;1.5;-0.6;-0.45;+1.28;Matches
34;Édgar Badía\Edgar-Badia;es ESP;GK;Elche;29-197;1992;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
35;Miguel Baeza\Miguel-Baeza;es ESP;DF;Celta Vigo;21-154;2000;1;2;2;1.1;0.0;0;;0;1;2;0;0.00;0;0;0;0.00;+0.51;0.3;0.3;0.0;-1.44;-0.84;Matches
36;Alejandro Balde\Alejandro-Balde;es ESP;DF;Barcelona;17-314;2003;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
37;Gareth Bale\Gareth-Bale;wls WAL;FW;Real Madrid;32-043;1989;2;125;63;69.4;1.4;2;63;0;0;;0;2.00;4;3;+1;+0.72;-2.55;1.8;2.6;-0.8;-0.58;-0.82;Matches
38;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Club;33-180;1988;2;180;90;100.0;2.0;2;90;2;0;;0;1.00;1;1;0;0.00;;2.2;1.9;+0.3;+0.14;;Matches
39;Iván Balliu\Ivan-Balliu;al ALB;DF;Rayo Vallecano;29-239;1992;2;180;90;100.0;2.0;2;90;2;0;;0;0.00;0;4;-4;-2.00;;0.8;5.5;-4.8;-2.38;;Matches
40;Barbero\Barbero;es ESP;FW;Osasuna;23-011;1998;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
