;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
457;Jonathan Silva\Jonathan-Silva;ar ARG;DF;Leganés;25;1994;23.6;1249;52;348;602;380;33;1026;15;22;68.2;15;1;677;3619;2102;772;678;87.8;14;14;Matches
458;Rui Silva\Rui-Silva;pt POR;GK;Granada;25;1994;26.0;1012;868;1008;5;0;0;689;1;1;100.0;1;0;452;2733;1352;379;379;100.0;0;0;Matches
459;Unai Simón\Unai-Simon;es ESP;GK;Athletic Bilbao;22;1997;24.0;813;701;811;3;0;0;554;0;1;0.0;0;0;390;2219;1349;337;337;100.0;0;0;Matches
460;Dimitris Siovas\Dimitris-Siovas;gr GRE;DF;Leganés;30;1988;15.4;824;62;395;428;48;19;741;6;7;85.7;6;0;377;2331;1128;385;369;95.8;8;1;Matches
461;Pione Sisto\Pione-Sisto;dk DEN;FWMF;Celta Vigo;24;1995;8.5;560;10;92;281;233;30;538;18;27;66.7;18;0;432;2886;1456;518;430;83.0;35;21;Matches
462;Antonio Sivera\Antonio-Sivera;es ESP;GK;Alavés;22;1996;3.0;88;75;88;0;0;0;47;0;0;;0;0;37;261;161;24;24;100.0;0;0;Matches
463;Fyodor Smolov\Fyodor-Smolov;ru RUS;FW;Celta Vigo;29;1990;4.0;149;6;17;80;57;15;140;7;13;53.8;7;0;85;548;257;191;108;56.5;15;7;Matches
464;Rubén Sobrino\Ruben-Sobrino;es ESP;FWMF;Valencia;27;1992;1.4;76;1;9;34;39;12;76;4;7;57.1;4;0;53;449;281;85;54;63.5;7;8;Matches
465;Roberto Soldado\Roberto-Soldado;es ESP;FW;Granada;34;1985;19.6;573;13;38;272;284;75;525;10;21;47.6;13;3;337;1415;551;767;408;53.2;36;23;Matches
466;Carlos Soler\Carlos-Soler;es ESP;MF;Valencia;22;1997;15.4;583;24;103;321;185;31;571;12;18;66.7;14;1;375;1954;889;513;402;78.4;30;10;Matches
