;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
1;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;32;1987;0.3;7;4;6;1;0;0;6;0;0;;0;0;2;5;5;1;1;100.0;0;0;Matches
2;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Bilbao;38;1981;2.2;82;2;7;39;39;11;81;2;2;100.0;2;0;33;147;46;117;64;54.7;4;2;Matches
3;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;22;1996;17.9;1047;73;337;475;299;13;851;21;38;55.3;25;0;616;4226;2264;582;523;89.9;21;17;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;23;1996;17.0;905;66;282;503;170;7;734;10;18;55.6;12;3;489;2665;1550;510;458;89.8;17;14;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;23;1995;20.9;1132;170;647;508;33;11;1106;9;12;75.0;9;0;726;4217;1703;718;706;98.3;3;4;Matches
6;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;30;1989;15.3;1417;44;309;657;510;44;1294;7;14;50.0;8;1;1008;4032;2058;1163;1064;91.5;6;1;Matches
7;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;33;1985;26.0;1642;287;981;715;42;17;1599;3;3;100.0;3;0;963;5893;3391;1088;1075;98.8;1;1;Matches
8;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;25;1993;5.5;167;5;15;79;79;24;150;1;3;33.3;1;0;84;347;183;221;117;52.9;8;6;Matches
9;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;28;1991;13.7;935;44;217;663;114;7;859;18;23;78.3;18;1;611;3405;1821;576;530;92.0;8;10;Matches
10;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;26;1992;1.1;49;0;2;27;22;4;49;1;2;50.0;1;0;21;166;80;68;40;58.8;5;2;Matches
11;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;21;1998;4.9;258;2;39;168;75;7;257;10;14;71.4;10;0;216;1302;689;241;206;85.5;2;6;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;21;1998;1.9;170;1;18;109;56;2;165;2;3;66.7;2;0;131;596;250;157;146;93.0;4;0;Matches
13;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;27;1992;7.8;362;14;83;242;52;5;356;4;4;100.0;4;0;197;990;331;194;183;94.3;3;0;Matches
14;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;32;1986;2.0;55;51;55;0;0;0;33;0;0;;0;0;23;62;39;23;23;100.0;0;0;Matches
15;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Bilbao;24;1995;25.0;1435;154;697;783;64;17;1381;9;11;81.8;9;1;777;5078;2907;809;795;98.3;3;9;Matches
16;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;MF;Leganés;26;1993;1.0;39;2;11;25;3;0;39;0;0;;0;0;25;102;40;30;27;90.0;1;0;Matches
17;Amath\Amath;sn SEN;MF;Getafe;23;1996;0.5;19;0;0;9;11;2;18;4;5;80.0;4;0;16;119;82;20;12;60.0;3;1;Matches
18;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;Leganés;29;1990;1.5;50;1;3;25;23;5;46;3;4;75.0;4;0;24;121;35;59;34;57.6;3;2;Matches
19;Miguel Ángel Moyá\Miguel-Angel-Moya;es ESP;GK;Real Sociedad;35;1984;7.0;293;254;292;3;0;0;203;1;1;100.0;1;0;143;607;305;121;121;100.0;0;0;Matches
20;José Ángel\Jose-Angel;es ESP;DF;Eibar;29;1989;20.4;1368;76;327;752;381;10;1103;16;18;88.9;16;1;767;4559;2397;726;685;94.4;15;15;Matches
21;Antoñito\Antonito;es ESP;DFMF;Valladolid;31;1987;5.8;291;14;83;141;90;5;250;2;10;20.0;4;0;171;1077;694;198;160;80.8;9;4;Matches
22;Vitorino Antunes\Vitorino-Antunes;pt POR;MF;Getafe;32;1987;0.1;3;0;1;1;1;0;3;0;0;;0;0;1;11;11;2;2;100.0;1;0;Matches
23;Anuar\Anuar;ma MAR;MFFW;Valladolid;24;1995;2.0;127;3;27;94;16;2;125;2;3;66.7;2;0;83;716;347;94;83;88.3;1;3;Matches
24;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;Getafe;23;1995;24.3;946;39;160;600;236;12;920;22;31;71.0;24;1;531;3571;1430;491;418;85.1;26;30;Matches
25;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;27;1991;24.2;1405;263;839;620;36;12;1351;1;1;100.0;1;0;802;5786;2718;871;856;98.3;5;4;Matches
26;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;20;1999;0.1;2;1;1;1;0;0;2;0;0;;0;0;1;6;1;1;1;100.0;0;0;Matches
27;Anaitz Arbilla\Anaitz-Arbilla;es ESP;DF;Eibar;32;1987;19.2;1215;97;450;709;142;11;1110;4;6;66.7;4;0;663;4934;2197;647;627;96.9;5;10;Matches
28;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Real Madrid;26;1993;3.0;100;85;100;0;0;0;73;0;0;;0;0;58;281;163;46;46;100.0;0;1;Matches
29;Santiago Arias\Santiago-Arias;co COL;DF;Atlético Madrid;27;1992;6.1;363;18;78;173;135;12;318;1;4;25.0;2;0;206;1038;575;236;218;92.4;3;4;Matches
30;José Arnaiz\Jose-Arnaiz;es ESP;MFFW;Leganés;24;1995;3.6;169;4;19;69;97;17;164;13;23;56.5;14;0;148;1300;843;152;113;74.3;16;14;Matches
31;José Arnaiz\Jose-Arnaiz;es ESP;FWMF;Osasuna;24;1995;1.9;75;0;4;39;36;9;70;0;0;;0;0;47;317;168;67;53;79.1;8;9;Matches
32;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;30;1989;24.0;790;714;789;2;0;0;526;1;1;100.0;1;0;351;1529;740;314;313;99.7;0;0;Matches
33;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;31;1987;25.9;1229;10;92;661;583;122;1159;49;74;66.2;55;1;919;6969;4083;1441;969;67.2;58;52;Matches
34;Roger Assalé\Roger-Assale;ci CIV;FWMF;Leganés;25;1993;1.1;35;0;4;12;24;7;35;2;2;100.0;2;0;30;239;157;47;29;61.7;0;2;Matches
35;Miguel Atienza\Miguel-Atienza;es ESP;MF;Eibar;;;0.3;13;0;2;10;2;1;13;0;0;;0;0;11;48;11;11;11;100.0;1;0;Matches
36;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;25;1994;17.7;574;2;28;251;328;97;553;15;33;45.5;19;1;343;2361;1244;840;395;47.0;43;34;Matches
37;Javier Avilés\Javier-Aviles;es ESP;MF;Leganés;21;1997;0.1;12;0;0;5;8;1;12;0;0;;0;0;8;48;27;8;7;87.5;0;1;Matches
38;Chidozie Awaziem\Chidozie-Awaziem;ng NGA;DF;Leganés;22;1997;16.7;762;92;346;412;44;8;689;3;3;100.0;3;0;381;2226;1072;366;347;94.8;4;2;Matches
39;Ramon Azeez\Ramon-Azeez;ng NGA;MF;Granada;26;1992;9.8;331;3;49;206;99;19;329;2;7;28.6;2;0;227;1536;633;310;207;66.8;15;14;Matches
40;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;23;1996;23.2;1157;78;388;733;118;10;1149;33;40;82.5;34;1;809;4901;2170;693;650;93.8;17;32;Matches
41;Carlos Bacca\Carlos-Bacca;co COL;FWMF;Villarreal;32;1986;4.7;115;2;5;50;62;17;106;2;6;33.3;3;0;64;261;82;153;81;52.9;9;3;Matches
42;Gareth Bale\Gareth-Bale;wal WAL;FWMF;Real Madrid;30;1989;11.0;566;9;61;278;281;49;549;16;29;55.2;19;0;390;2997;1763;596;471;79.0;21;15;Matches
43;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Bilbao;31;1988;3.0;164;7;45;83;45;1;132;1;1;100.0;1;0;77;432;278;79;71;89.9;1;2;Matches
44;Éver Banega\Ever-Banega;ar ARG;MF;Sevilla;31;1988;20.6;1891;19;317;1166;534;28;1718;27;44;61.4;29;0;1406;7271;3948;1540;1437;93.3;34;33;Matches
45;Federico Barba\Federico-Barba;it ITA;DF;Valladolid;25;1993;5.0;275;16;89;148;46;3;235;1;2;50.0;1;0;145;607;306;161;148;91.9;6;0;Matches
46;Enis Bardhi\Enis-Bardhi;mk MKD;MF;Levante;24;1995;16.1;772;18;131;392;294;33;720;22;36;61.1;23;0;561;3092;1777;682;534;78.3;40;21;Matches
47;Kike Barja\Kike-Barja;es ESP;MF;Osasuna;22;1997;0.7;29;1;3;15;16;2;29;5;8;62.5;5;0;29;263;191;30;22;73.3;2;3;Matches
48;Antonio Barragán\Antonio-Barragan;es ESP;DF;Betis;32;1987;4.6;312;26;87;133;110;7;278;3;4;75.0;3;1;195;834;490;212;200;94.3;4;0;Matches
49;Ander Barrenetxea\Ander-Barrenetxea;es ESP;FWMF;Real Sociedad;17;2001;2.4;146;5;12;63;78;22;142;9;20;45.0;10;1;128;916;550;144;111;77.1;9;10;Matches
50;Marc Bartra\Marc-Bartra;es ESP;DFMF;Betis;28;1991;21.9;1512;242;866;642;76;21;1454;11;16;68.8;14;2;904;4763;2669;978;941;96.2;13;11;Matches
51;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;FWDF;Granada;22;1996;0.9;36;0;0;15;23;3;34;3;3;100.0;3;1;29;153;67;30;22;73.3;5;1;Matches
52;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;20;1999;14.1;779;30;188;498;148;9;757;12;17;70.6;13;1;584;3111;1262;626;562;89.8;14;19;Matches
53;Hatem Ben Arfa\Hatem-Ben-Arfa;fr FRA;MF;Valladolid;32;1987;0.3;20;0;3;13;9;1;19;6;8;75.0;6;0;25;271;153;20;18;90.0;0;4;Matches
54;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;31;1987;24.7;1179;25;84;501;660;198;1136;25;42;59.5;26;1;790;4648;2466;1442;976;67.7;49;30;Matches
55;Yuri Berchiche\Yuri-Berchiche;es ESP;DF;Athletic Bilbao;29;1990;24.0;1570;66;445;780;466;37;1331;37;56;66.1;38;0;959;6602;3797;995;879;88.3;36;25;Matches
56;Markel Bergara\Markel-Bergara;es ESP;MF;Getafe;33;1986;0.8;24;2;3;7;14;3;24;0;0;;0;0;13;94;21;14;10;71.4;0;1;Matches
57;Sergio Bermejo\Sergio-Bermejo;es ESP;FW;Celta Vigo;21;1997;0.0;4;0;0;3;2;0;4;1;1;100.0;1;0;5;23;9;3;2;66.7;0;1;Matches
58;Pedro Bigas\Pedro-Bigas;es ESP;DF;Eibar;28;1990;11.5;594;62;255;328;49;7;556;0;2;0.0;1;0;265;1670;754;288;277;96.2;3;3;Matches
59;Rubén Blanco\Ruben-Blanco;es ESP;GK;Celta Vigo;24;1995;25.0;845;761;839;4;2;0;521;0;0;;0;0;350;1995;1117;287;285;99.3;0;0;Matches
60;Pablo de Blasis\Pablo-de-Blasis;ar ARG;DFMF;Eibar;31;1988;11.4;785;22;153;423;252;8;633;8;17;47.1;10;0;435;1977;1121;463;420;90.7;12;6;Matches
61;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;28;1991;1.5;44;42;44;0;0;0;25;0;0;;0;0;16;45;14;12;12;100.0;0;0;Matches
62;Filip Bradarić\Filip-Bradaric;hr CRO;MF;Celta Vigo;27;1992;2.4;132;8;34;90;10;2;129;1;1;100.0;1;0;65;250;66;97;91;93.8;1;2;Matches
63;Martin Braithwaite\Martin-Braithwaite;dk DEN;FWMF;Leganés;28;1991;21.5;607;9;58;297;289;75;602;32;52;61.5;35;3;405;2530;1266;776;443;57.1;47;27;Matches
64;Martin Braithwaite\Martin-Braithwaite;dk DEN;FW;Barcelona;28;1991;1.4;48;1;2;21;29;10;48;2;2;100.0;2;0;43;336;237;63;46;73.0;1;2;Matches
65;Brandon\Brandon;es ESP;FW;Osasuna;24;1995;4.5;174;1;21;85;82;15;166;3;8;37.5;3;0;122;858;496;222;123;55.4;13;9;Matches
66;Darko Brašanac\Darko-Brasanac;rs SRB;MF;Osasuna;27;1992;18.7;737;32;138;412;232;48;730;9;15;60.0;9;0;419;2317;1157;648;444;68.5;17;23;Matches
67;Yan Brice Eteki\Yan-Brice-Eteki;cm CMR;MF;Granada;21;1997;10.1;347;15;69;222;70;3;345;9;14;64.3;10;0;224;1049;489;208;176;84.6;5;15;Matches
68;Bryan\Bryan;es ESP;FW;Sevilla;18;2001;0.7;34;0;4;9;24;2;34;3;5;60.0;3;0;34;277;164;36;29;80.6;0;3;Matches
69;Bryan\Bryan;es ESP;MFFW;Leganés;18;2001;1.0;51;0;12;20;24;4;48;2;5;40.0;2;0;38;302;186;43;27;62.8;3;3;Matches
70;Ante Budimir\Ante-Budimir;hr CRO;FW;Mallorca;28;1991;22.9;677;22;59;373;279;94;656;12;25;48.0;13;2;367;2197;1133;1001;493;49.3;62;39;Matches
71;Esteban Burgos\Esteban-Burgos;ar ARG;DF;Eibar;27;1992;5.9;262;33;134;136;7;2;253;4;4;100.0;4;0;128;700;240;118;117;99.2;1;0;Matches
72;Burgui\Burgui;es ESP;MF;Alavés;25;1993;0.2;10;0;1;7;3;0;9;0;0;;0;0;7;25;14;9;6;66.7;2;0;Matches
73;Oliver Burke\Oliver-Burke;sco SCO;MFFW;Alavés;22;1997;8.8;338;15;53;162;151;37;334;17;29;58.6;20;0;215;1757;1085;350;221;63.1;19;25;Matches
74;Sergio Busquets\Sergio-Busquets;es ESP;MF;Barcelona;31;1988;20.0;2075;62;492;1333;351;17;2021;16;19;84.2;18;1;1399;5127;2477;1628;1571;96.5;10;16;Matches
75;Unai Bustinza\Unai-Bustinza;es ESP;DF;Leganés;27;1992;21.4;1154;65;435;595;189;21;1025;6;15;40.0;8;0;546;3068;1827;597;550;92.1;11;5;Matches
76;Erick Cabaco\Erick-Cabaco;uy URU;DF;Getafe;24;1995;0.1;3;2;3;0;0;0;3;0;0;;0;0;0;0;0;1;1;100.0;0;0;Matches
77;Erick Cabaco\Erick-Cabaco;uy URU;DF;Levante;24;1995;9.0;469;114;282;193;12;4;450;4;5;80.0;4;0;256;1164;651;254;249;98.0;1;0;Matches
78;Ariday Cabrera\Ariday-Cabrera;es ESP;MFFW;Mallorca;30;1988;0.4;20;0;2;8;12;2;17;0;2;0.0;0;0;10;69;18;10;9;90.0;2;0;Matches
79;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Espanyol;28;1991;7.0;353;64;193;147;31;3;317;0;1;0.0;0;1;147;921;359;162;158;97.5;1;1;Matches
80;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Getafe;28;1991;17.0;730;70;285;421;50;16;672;5;6;83.3;5;0;272;1618;617;268;256;95.5;3;2;Matches
81;Fernando Calero\Fernando-Calero;es ESP;DF;Espanyol;23;1995;10.8;672;72;347;341;18;0;654;1;1;100.0;1;0;417;2085;1031;430;425;98.8;0;3;Matches
82;Jonathan Calleri\Jonathan-Calleri;ar ARG;FW;Espanyol;25;1993;15.1;469;23;49;216;230;75;454;12;23;52.2;16;1;243;1736;836;673;332;49.3;51;31;Matches
83;Víctor Camarasa\Victor-Camarasa;es ESP;MF;Alavés;25;1994;6.7;281;8;48;170;80;5;270;5;11;45.5;5;1;200;1046;374;238;189;79.4;13;5;Matches
84;Sergio Camello\Sergio-Camello;es ESP;FW;Atlético Madrid;18;2001;0.3;8;0;1;4;3;1;8;0;0;;0;0;6;14;8;12;7;58.3;1;0;Matches
85;José Campaña\Jose-Campana;es ESP;MF;Levante;26;1993;25.6;1782;69;404;975;541;49;1633;32;54;59.3;39;4;1190;7484;4253;1387;1237;89.2;44;32;Matches
86;Xisco Campos\Xisco-Campos;es ESP;DF;Mallorca;37;1982;3.8;199;30;119;78;8;2;193;0;0;;0;0;94;468;173;109;106;97.2;0;0;Matches
87;Víctor Campuzano\Victor-Campuzano;es ESP;FW;Espanyol;22;1997;7.7;220;3;14;107;114;26;206;7;9;77.8;7;0;139;998;595;329;142;43.2;31;16;Matches
88;Sergio Canales\Sergio-Canales;es ESP;MF;Betis;28;1991;25.5;1777;30;313;994;642;66;1616;30;47;63.8;34;1;1301;9802;5807;1505;1345;89.4;26;34;Matches
89;Ander Capa\Ander-Capa;es ESP;DF;Athletic Bilbao;27;1992;23.8;1442;60;359;677;510;37;1169;35;55;63.6;39;4;759;5229;3375;845;728;86.2;24;34;Matches
90;Marc Cardona\Marc-Cardona;es ESP;FW;Osasuna;24;1995;5.9;188;4;13;103;83;21;174;4;8;50.0;4;0;128;914;531;261;135;51.7;15;15;Matches
91;Diego Carlos\Diego-Carlos;br BRA;DF;Sevilla;26;1993;24.8;1507;263;873;636;42;23;1470;7;8;87.5;7;0;927;3669;1361;985;970;98.5;2;3;Matches
92;Yannick Carrasco\Yannick-Carrasco;be BEL;MFFW;Atlético Madrid;25;1993;1.7;85;1;9;35;48;9;76;7;14;50.0;7;0;62;471;316;92;55;59.8;5;7;Matches
93;Daniel Carriço\Daniel-Carrico;pt POR;DF;Sevilla;30;1988;9.4;617;85;313;301;30;9;598;3;3;100.0;3;0;432;2177;1094;451;448;99.3;3;0;Matches
94;Guido Carrillo\Guido-Carrillo;ar ARG;FW;Leganés;28;1991;11.1;410;13;23;211;183;50;403;4;7;57.1;4;0;156;681;191;493;292;59.2;38;10;Matches
95;Dani Carvajal\Dani-Carvajal;es ESP;DF;Real Madrid;27;1992;22.0;2030;80;572;944;645;59;1802;18;37;48.6;19;1;1241;6378;3834;1451;1372;94.6;23;13;Matches
96;William Carvalho\William-Carvalho;pt POR;MF;Betis;27;1992;7.9;535;24;138;358;77;4;521;11;12;91.7;11;1;382;1724;782;446;421;94.4;6;5;Matches
97;Casemiro\Casemiro;br BRA;MF;Real Madrid;27;1992;24.7;1851;100;490;1155;287;29;1823;15;22;68.2;15;1;1054;4438;2541;1262;1196;94.8;11;15;Matches
98;Santi Cazorla\Santi-Cazorla;es ESP;MF;Villarreal;34;1984;20.3;1470;24;188;852;519;37;1335;38;53;71.7;39;3;1067;5629;2767;1246;1094;87.8;32;28;Matches
99;Charles\Charles;br BRA;FW;Eibar;35;1984;10.4;349;4;16;180;164;38;319;2;2;100.0;2;0;152;579;237;481;238;49.5;26;14;Matches
100;Pablo Chavarría\Pablo-Chavarria;ar ARG;FWMF;Mallorca;31;1988;1.2;40;0;2;16;24;7;40;0;0;;0;0;17;108;59;57;30;52.6;6;0;Matches
101;Pape Cheikh Diop\Pape-Cheikh-Diop;es ESP;MF;Celta Vigo;21;1997;6.0;289;9;66;193;60;7;283;6;7;85.7;6;0;217;1523;806;244;206;84.4;9;9;Matches
102;Chema\Chema;es ESP;DF;Getafe;27;1992;1.0;38;6;18;20;4;3;36;0;0;;0;0;17;130;66;19;17;89.5;0;0;Matches
103;Denis Cheryshev\Denis-Cheryshev;ru RUS;MFFW;Valencia;28;1990;7.8;343;11;58;152;156;40;342;9;19;47.4;9;1;263;1561;824;339;248;73.2;11;7;Matches
104;Samuel Chukwueze\Samuel-Chukwueze;ng NGA;MFFW;Villarreal;20;1999;15.6;720;11;73;325;384;91;711;39;67;58.2;41;2;595;4824;3339;760;555;73.0;43;32;Matches
105;Jasper Cillessen\Jasper-Cillessen;nl NED;GK;Valencia;30;1989;15.3;479;448;479;0;0;0;324;0;0;;0;0;214;1078;742;166;164;98.8;0;0;Matches
106;Óscar Clemente\Oscar-Clemente;es ESP;MF;Atlético Madrid;20;1999;0.0;4;0;1;1;2;0;4;0;0;;0;0;3;18;15;5;3;60.0;1;0;Matches
107;Carlos Clerc\Carlos-Clerc;es ESP;DF;Levante;27;1992;14.0;800;59;294;380;180;7;661;20;30;66.7;21;1;435;3116;1832;467;421;90.1;12;6;Matches
108;Coke\Coke;es ESP;DF;Levante;32;1987;6.6;424;31;146;195;115;12;357;9;13;69.2;9;0;252;1352;697;281;256;91.1;10;3;Matches
109;Álex Collado\Alex-Collado;es ESP;DF;Barcelona;20;1999;0.1;10;0;0;4;6;1;10;0;0;;0;0;8;42;21;9;9;100.0;0;0;Matches
110;Francis Coquelin\Francis-Coquelin;fr FRA;MF;Valencia;28;1991;16.5;946;53;278;587;129;15;928;14;21;66.7;14;0;681;3025;1350;699;659;94.3;16;20;Matches
111;Sébastien Corchia\Sebastien-Corchia;fr FRA;DF;Espanyol;28;1990;3.0;233;8;47;95;100;4;198;6;10;60.0;6;0;155;733;438;175;159;90.9;3;6;Matches
112;Iñigo Córdoba\Inigo-Cordoba;es ESP;FW;Athletic Bilbao;22;1997;9.6;407;6;84;173;179;20;405;9;19;47.4;9;0;286;1500;852;383;280;73.1;21;17;Matches
113;Ángel Correa\Angel-Correa;ar ARG;MFFW;Atlético Madrid;24;1995;16.6;664;22;92;258;359;108;655;31;60;51.7;35;1;491;2627;1624;650;462;71.1;55;43;Matches
114;Rober Correa\Rober-Correa;es ESP;DF;Eibar;26;1992;3.9;250;14;71;121;69;0;200;0;1;0.0;0;0;120;606;290;134;117;87.3;5;2;Matches
115;Thierry Correia\Thierry-Correia;pt POR;DF;Valencia;20;1999;2.0;116;8;45;67;10;0;95;0;1;0.0;0;0;53;259;150;65;58;89.2;3;1;Matches
116;Diego Costa\Diego-Costa;es ESP;FW;Atlético Madrid;30;1988;9.0;279;7;19;139;132;37;271;6;13;46.2;6;0;182;929;391;414;218;52.7;22;14;Matches
117;Jaume Costa\Jaume-Costa;es ESP;DF;Valencia;31;1988;10.7;663;50;213;326;165;10;580;9;14;64.3;9;1;403;2152;1164;445;411;92.4;6;5;Matches
118;David Costas\David-Costas;es ESP;DF;Celta Vigo;24;1995;3.7;240;29;128;119;6;2;233;0;0;;0;0;162;908;456;158;153;96.8;1;1;Matches
119;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;Real Madrid;27;1992;24.0;748;681;746;2;1;1;553;0;0;;0;0;387;2259;978;355;352;99.2;0;0;Matches
120;Sebastián Cristóforo\Sebastian-Cristoforo;uy URU;MF;Eibar;25;1993;3.5;176;3;30;98;56;3;173;1;2;50.0;1;0;109;432;221;115;95;82.6;0;4;Matches
121;Cucho\Cucho;co COL;FWMF;Mallorca;20;1999;8.9;359;9;47;165;170;36;353;17;24;70.8;17;1;257;1751;954;416;276;66.3;27;27;Matches
122;Marc Cucurella\Marc-Cucurella;es ESP;MFDF;Getafe;21;1998;25.8;1290;28;226;607;545;50;1155;15;26;57.7;15;0;743;4119;2467;903;684;75.7;43;29;Matches
123;Iván Cuéllar\Ivan-Cuellar;es ESP;GK;Leganés;35;1984;16.0;557;445;541;15;1;0;348;0;0;;0;0;210;1874;990;147;147;100.0;0;0;Matches
124;Moanes Dabour\Moanes-Dabour;il ISR;FW;Sevilla;27;1992;0.3;28;0;1;4;23;6;27;0;0;;0;0;15;48;21;25;20;80.0;2;1;Matches
125;Sergi Darder\Sergi-Darder;es ESP;MFFW;Espanyol;25;1993;23.5;1082;23;148;660;340;32;997;17;34;50.0;18;1;686;4094;2009;877;719;82.0;29;27;Matches
126;Ousmane Dembélé\Ousmane-Dembele;fr FRA;FW;Barcelona;22;1997;4.0;310;1;19;110;213;23;286;16;31;51.6;17;0;259;1926;1228;307;257;83.7;12;7;Matches
127;Deyverson\Deyverson;br BRA;FW;Getafe;28;1991;1.6;68;2;5;35;30;3;66;3;4;75.0;3;2;41;142;71;81;46;56.8;5;2;Matches
128;Mouctar Diakhaby\Mouctar-Diakhaby;fr FRA;DF;Valencia;22;1996;11.1;651;127;407;276;13;2;631;7;7;100.0;7;0;429;2809;1404;438;429;97.9;0;2;Matches
129;Brahim Díaz\Brahim-Diaz;es ESP;FWMF;Real Madrid;19;1999;0.3;18;0;0;14;7;0;18;1;3;33.3;1;0;18;115;87;23;16;69.6;3;0;Matches
130;Víctor Díaz\Victor-Diaz;es ESP;DF;Granada;31;1988;24.2;1390;102;428;673;338;10;1139;9;17;52.9;9;1;609;2572;1282;710;645;90.8;13;7;Matches
131;Papakouli Diop\Papakouli-Diop;sn SEN;MF;Eibar;33;1986;18.3;779;36;118;543;151;16;768;3;5;60.0;4;0;387;1782;686;460;405;88.0;11;14;Matches
132;Djené\Djene;tg TOG;DF;Getafe;27;1991;25.0;962;89;435;523;45;11;927;8;11;72.7;9;0;415;3052;1182;320;313;97.8;3;7;Matches
133;Marko Dmitrović\Marko-Dmitrovic;rs SRB;GK;Eibar;27;1992;26.0;867;691;859;10;0;0;552;0;0;;0;0;370;2336;1339;275;271;98.5;0;0;Matches
134;Jaume Doménech\Jaume-Domenech;es ESP;GK;Valencia;28;1990;11.7;412;377;412;0;0;0;272;0;0;;0;0;174;703;419;140;139;99.3;0;0;Matches
135;Domingos Duarte\Domingos-Duarte;pt POR;DF;Granada;24;1995;25.5;1117;190;644;502;30;13;1052;5;7;71.4;7;1;582;3488;1752;630;614;97.5;6;0;Matches
136;Óscar Duarte\Oscar-Duarte;cr CRC;DF;Levante;30;1989;3.4;178;43;119;62;5;4;170;1;1;100.0;1;0;92;514;220;105;103;98.1;0;0;Matches
137;Rubén Duarte\Ruben-Duarte;es ESP;DF;Alavés;23;1995;25.0;1378;85;455;703;270;24;1125;4;9;44.4;5;0;634;3141;1591;664;615;92.6;13;16;Matches
138;Hugo Duro\Hugo-Duro;es ESP;FW;Getafe;19;1999;0.9;28;1;1;9;19;4;28;0;0;;0;0;16;95;46;52;24;46.2;4;1;Matches
139;Aritz Elustondo\Aritz-Elustondo;es ESP;DF;Real Sociedad;25;1994;10.3;627;89;322;329;17;8;597;0;1;0.0;0;0;346;2407;1050;355;347;97.7;2;3;Matches
140;Rodrigo Ely\Rodrigo-Ely;br BRA;DF;Alavés;25;1993;17.6;889;124;504;399;18;12;860;3;3;100.0;3;0;441;2125;823;481;460;95.6;3;5;Matches
141;Adri Embarba\Adri-Embarba;es ESP;MFFW;Espanyol;27;1992;5.9;240;8;49;98;122;13;214;11;25;44.0;13;2;157;1467;927;212;133;62.7;18;12;Matches
142;Emerson\Emerson;br BRA;DF;Betis;20;1999;22.5;1377;79;434;567;459;65;1161;15;28;53.6;16;2;826;4934;3121;896;814;90.8;30;27;Matches
143;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Leganés;22;1997;15.4;469;21;38;211;248;71;458;17;35;48.6;19;3;253;1685;997;744;335;45.0;42;26;Matches
144;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Sevilla;22;1997;3.6;102;2;13;50;43;21;96;1;4;25.0;1;0;51;309;185;139;74;53.2;8;8;Matches
145;Sergi Enrich\Sergi-Enrich;es ESP;FW;Eibar;29;1990;16.1;553;10;39;253;277;65;532;6;9;66.7;7;3;267;971;273;824;393;47.7;46;21;Matches
146;Javier Eraso\Javier-Eraso;es ESP;MFFW;Leganés;29;1990;6.7;300;4;33;146;134;19;271;3;4;75.0;3;1;180;804;309;258;181;70.2;10;21;Matches
147;Gonzalo Escalante\Gonzalo-Escalante;ar ARG;MF;Eibar;26;1993;15.6;739;27;111;464;201;32;722;15;20;75.0;18;0;380;2041;886;462;387;83.8;13;12;Matches
148;Aarón Escandell\Aaron-Escandell;es ESP;GK;Granada;23;1995;1.0;41;32;40;1;0;0;25;0;0;;0;0;20;162;110;13;13;100.0;0;0;Matches
