id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
38;Chidozie Awaziem\Chidozie-Awaziem;ng NGA;DF;Leganés;22;1997;16.7;7;0;0;16;10;2;4;26;22;0;0;0;143;38;36;51.4;Matches
39;Ramon Azeez\Ramon-Azeez;ng NGA;MF;Granada;26;1992;9.8;3;0;0;24;15;1;6;11;12;0;0;0;73;8;23;25.8;Matches
40;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;23;1996;23.2;5;0;0;31;47;1;2;31;33;0;3;1;317;53;59;47.3;Matches
41;Carlos Bacca\Carlos-Bacca;co COL;FWMF;Villarreal;32;1986;4.7;1;0;0;5;0;5;2;0;0;0;0;0;15;5;10;33.3;Matches
42;Gareth Bale\Gareth-Bale;wal WAL;FWMF;Real Madrid;30;1989;11.0;4;1;1;15;10;4;45;5;6;0;0;0;38;21;11;65.6;Matches
43;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Bilbao;31;1988;3.0;1;0;0;3;2;0;8;0;4;0;0;0;33;5;0;100.0;Matches
44;Éver Banega\Ever-Banega;ar ARG;MF;Sevilla;31;1988;20.6;6;0;0;22;41;2;123;8;21;0;0;0;200;10;12;45.5;Matches
45;Federico Barba\Federico-Barba;it ITA;DF;Valladolid;25;1993;5.0;3;0;0;8;5;0;5;8;8;0;0;0;31;7;2;77.8;Matches
46;Enis Bardhi\Enis-Bardhi;mk MKD;MF;Levante;24;1995;16.1;4;0;0;32;31;4;46;9;16;1;0;0;108;3;24;11.1;Matches
47;Kike Barja\Kike-Barja;es ESP;MF;Osasuna;22;1997;0.7;0;0;0;2;1;0;2;0;0;0;0;0;6;0;2;0.0;Matches
48;Antonio Barragán\Antonio-Barragan;es ESP;DF;Betis;32;1987;4.6;1;0;0;6;9;0;18;6;0;0;1;0;35;7;3;70.0;Matches
49;Ander Barrenetxea\Ander-Barrenetxea;es ESP;FWMF;Real Sociedad;17;2001;2.4;0;0;0;10;3;1;9;2;3;0;1;0;17;0;4;0.0;Matches
50;Marc Bartra\Marc-Bartra;es ESP;DFMF;Betis;28;1991;21.9;5;0;0;26;25;0;1;29;32;0;1;0;237;85;42;66.9;Matches
51;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;FWDF;Granada;22;1996;0.9;0;0;0;2;1;0;2;0;0;0;0;0;7;0;1;0.0;Matches
52;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;20;1999;14.1;2;1;0;11;8;0;10;13;14;0;1;0;122;8;22;26.7;Matches
53;Hatem Ben Arfa\Hatem-Ben-Arfa;fr FRA;MF;Valladolid;32;1987;0.3;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;;Matches
54;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;31;1987;24.7;0;0;0;15;11;18;18;6;9;0;0;0;88;27;35;43.5;Matches
55;Yuri Berchiche\Yuri-Berchiche;es ESP;DF;Athletic Bilbao;29;1990;24.0;4;0;0;25;43;2;78;24;23;0;1;0;249;40;19;67.8;Matches
56;Markel Bergara\Markel-Bergara;es ESP;MF;Getafe;33;1986;0.8;2;0;0;3;0;0;2;0;0;0;0;0;11;1;2;33.3;Matches
57;Sergio Bermejo\Sergio-Bermejo;es ESP;FW;Celta Vigo;21;1997;0.0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;Matches
58;Pedro Bigas\Pedro-Bigas;es ESP;DF;Eibar;28;1990;11.5;2;0;0;7;13;0;7;18;10;0;1;0;148;36;19;65.5;Matches
59;Rubén Blanco\Ruben-Blanco;es ESP;GK;Celta Vigo;24;1995;25.0;4;0;0;1;4;0;0;0;0;0;1;0;107;0;0;;Matches
60;Pablo de Blasis\Pablo-de-Blasis;ar ARG;DFMF;Eibar;31;1988;11.4;0;0;0;10;9;1;59;17;22;0;1;0;127;7;24;22.6;Matches
61;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;28;1991;1.5;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;;Matches
62;Filip Bradarić\Filip-Bradaric;hr CRO;MF;Celta Vigo;27;1992;2.4;0;1;0;3;0;0;2;4;2;0;0;0;21;5;2;71.4;Matches
63;Martin Braithwaite\Martin-Braithwaite;dk DEN;FWMF;Leganés;28;1991;21.5;3;0;0;30;31;9;9;4;9;0;0;0;89;50;68;42.4;Matches
