"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
227;Papu Gómez\Papu-Gomez;ar ARG;MFFW;it Atalanta;31;1988;6.4;2;2.5;-0.5;14;274;346;79.2;10;22;45.5;216;252;85.7;48;72;66.7;59;267;6;1;16;10;18;9;1;Matches
228;Leon Goretzka\Leon-Goretzka;de GER;MF;de Bayern Munich;24;1995;1.9;0;0.4;-0.4;2;92;104;88.5;0;2;0.0;73;81;90.1;19;21;90.5;13;86;1;1;0;0;5;1;0;Matches
229;Robin Gosens\Robin-Gosens;de GER;DF;it Atalanta;25;1994;5.4;0;0.3;-0.3;3;192;246;78.0;3;10;30.0;173;197;87.8;16;39;41.0;177;16;3;0;0;37;10;5;0;Matches
230;Mario Götze\Mario-Gotze;de GER;FW;de Dortmund;27;1992;0.8;1;0.5;+0.5;4;50;57;87.7;1;4;25.0;45;48;93.8;4;5;80.0;5;52;0;0;0;0;3;3;1;Matches
231;Amine Gouiri\Amine-Gouiri;fr FRA;FW;fr Lyon;19;2000;0.1;0;0.0;0.0;0;1;1;100.0;0;0;;1;1;100.0;0;0;;1;0;0;0;0;0;0;0;0;Matches
232;Antoine Griezmann\Antoine-Griezmann;fr FRA;FW;es Barcelona;28;1991;5.9;0;0.2;-0.2;5;206;255;80.8;4;11;36.4;166;194;85.6;36;50;72.0;195;36;1;1;1;3;11;5;2;Matches
233;Álex Grimaldo\Alex-Grimaldo;es ESP;DF;pt Benfica;23;1995;6.0;0;0.8;-0.8;13;316;412;76.7;3;14;21.4;270;304;88.8;43;94;45.7;315;24;4;0;13;55;18;10;3;Matches
234;Gonçalo Guedes\Goncalo-Guedes;pt POR;FWMF;es Valencia;22;1996;1.7;0;0.1;-0.1;2;46;58;79.3;1;2;50.0;39;48;81.3;6;8;75.0;7;48;1;0;1;0;4;0;0;Matches
235;Raphaël Guerreiro\Raphael-Guerreiro;pt POR;DF;de Dortmund;25;1993;5.1;0;0.1;-0.1;2;286;334;85.6;7;15;46.7;241;272;88.6;38;47;80.9;272;18;3;2;4;33;17;7;2;Matches
236;Guilherme\Guilherme;br BRA;MF;gr Olympiacos;28;1991;5.0;1;1.0;0.0;5;213;244;87.3;3;11;27.3;142;156;91.0;68;77;88.3;20;212;14;1;1;2;12;2;0;Matches
