"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
507;Sergio Ramos\Sergio-Ramos;es ESP;DF;es Real Madrid;33;1986;4.9;2;1;1;6;1;0;16.7;1.21;0.20;0.17;1.00;1.8;1.1;0.18;+0.2;-0.1;Matches
508;Aaron Ramsey\Aaron-Ramsey;wal WAL;MF;it Juventus;28;1990;1.9;1;0;0;3;1;0;33.3;1.59;0.53;0.33;1.00;1.0;1.0;0.33;0.0;0.0;Matches
509;Lazar Ranđelović\Lazar-Randjelovic;rs SRB;FW;gr Olympiacos;21;1997;1.0;0;0;0;1;0;0;0.0;1.05;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
510;Jeff Reine-Adélaïde\Jeff-Reine-Adelaide;fr FRA;MFFW;fr Lyon;21;1998;3.1;0;0;0;5;0;0;0.0;1.63;0.00;0.00;;0.3;0.3;0.05;-0.3;-0.3;Matches
511;Francisco Reis Ferreira\Francisco-Reis-Ferreira;pt POR;DF;pt Benfica;22;1997;4.2;0;0;0;1;0;0;0.0;0.24;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
512;Loïc Rémy\Loic-Remy;fr FRA;FW;fr Lille;32;1987;2.3;1;0;0;9;3;1;33.3;3.91;1.30;0.11;0.33;1.0;1.0;0.12;0.0;0.0;Matches
513;Panagiotis Retsos\Panagiotis-Retsos;gr GRE;DF;de Leverkusen;20;1998;1.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
514;Marco Reus\Marco-Reus;de GER;FWMF;de Dortmund;30;1989;4.0;0;0;1;10;5;0;50.0;2.50;1.25;0.00;0.00;2.7;2.0;0.20;-2.7;-2.0;Matches
515;Giovanni Reyna\Giovanni-Reyna;us USA;FW;de Dortmund;16;2002;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
516;Jander Ribeiro Santana\Jander-Ribeiro-Santana;br BRA;DF;rs Red Star;31;1988;1.6;0;0;0;2;0;0;0.0;1.26;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
517;Federico Ricca\Federico-Ricca;uy URU;DF;be Club Brugge;24;1994;3.0;0;0;0;1;0;0;0.0;0.33;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
518;Sergio Rico\Sergio-Rico;es ESP;GK;fr Paris S-G;25;1993;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
