"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
122;Raphael Framberger\Raphael-Framberger;de GER;DF;Augsburg;23;1995;6.0;0;0;0;1;0;0;0.0;0.17;0.00;0.00;;0.3;0.3;0.28;-0.3;-0.3;Matches
123;Mike Frantz\Mike-Frantz;de GER;MFDF;Freiburg;32;1986;2.9;0;0;0;3;0;0;0.0;1.05;0.00;0.00;;0.2;0.2;0.08;-0.2;-0.2;Matches
124;Marco Friedl\Marco-Friedl;at AUT;DF;Werder Bremen;21;1998;16.2;1;0;0;8;2;0;25.0;0.49;0.12;0.13;0.50;1.0;1.0;0.13;0.0;0.0;Matches
125;Marvin Friedrich\Marvin-Friedrich;de GER;DF;Union Berlin;23;1995;22.0;1;0;0;19;3;0;15.8;0.86;0.14;0.05;0.33;1.2;1.2;0.07;-0.2;-0.2;Matches
126;Samúel Friðjónsson\Samuel-Fridjonsson;is ISL;MF;Paderborn 07;23;1996;1.9;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
127;Niclas Füllkrug\Niclas-Fullkrug;de GER;FW;Werder Bremen;26;1993;3.2;2;0;0;15;6;0;40.0;4.62;1.85;0.13;0.33;1.6;1.6;0.11;+0.4;+0.4;Matches
128;Mijat Gaćinović\Mijat-Gacinovic;rs SRB;MFFW;Eint Frankfurt;24;1995;7.6;0;0;0;15;3;2;20.0;1.98;0.40;0.00;0.00;1.0;1.0;0.07;-1.0;-1.0;Matches
129;Theodor Gebre Selassie\Theodor-Gebre-Selassie;cz CZE;DF;Werder Bremen;32;1986;16.5;1;0;0;4;2;0;50.0;0.24;0.12;0.25;0.50;0.6;0.6;0.14;+0.4;+0.4;Matches
130;Dennis Geiger\Dennis-Geiger;de GER;MF;Hoffenheim;21;1998;10.4;0;0;0;11;1;1;9.1;1.06;0.10;0.00;0.00;1.1;1.1;0.10;-1.1;-1.1;Matches
131;Christian Gentner\Christian-Gentner;de GER;MF;Union Berlin;33;1985;20.4;1;0;0;27;8;0;29.6;1.32;0.39;0.04;0.13;2.0;2.0;0.07;-1.0;-1.0;Matches
132;Yannick Gerhardt\Yannick-Gerhardt;de GER;MF;Wolfsburg;25;1994;6.7;2;0;0;7;2;0;28.6;1.05;0.30;0.29;1.00;1.5;1.5;0.22;+0.5;+0.5;Matches
133;Niko Gießelmann\Niko-Giesselmann;de GER;DF;Düsseldorf;27;1991;15.8;1;0;0;10;1;2;10.0;0.63;0.06;0.10;1.00;0.4;0.4;0.04;+0.6;+0.6;Matches
134;Rafał Gikiewicz\Rafal-Gikiewicz;pl POL;GK;Union Berlin;31;1987;24.0;0;0;0;2;1;0;50.0;0.08;0.04;0.00;0.00;0.2;0.2;0.12;-0.2;-0.2;Matches
135;Daniel Ginczek\Daniel-Ginczek;de GER;FW;Wolfsburg;28;1991;3.9;2;0;0;8;4;0;50.0;2.07;1.04;0.25;0.50;0.9;0.9;0.11;+1.1;+1.1;Matches
136;Matthias Ginter\Matthias-Ginter;de GER;DF;M'gladbach;25;1994;19.9;1;0;0;15;7;0;46.7;0.75;0.35;0.07;0.14;1.8;1.8;0.12;-0.8;-0.8;Matches
137;Klaus Gjasula\Klaus-Gjasula;al ALB;MF;Paderborn 07;29;1989;19.6;2;0;1;11;4;0;36.4;0.56;0.20;0.18;0.50;1.9;1.1;0.10;+0.1;+0.9;Matches
138;Serge Gnabry\Serge-Gnabry;de GER;FWMF;Bayern Munich;24;1995;17.0;11;0;0;68;29;0;42.6;4.00;1.71;0.16;0.38;8.8;8.8;0.13;+2.2;+2.2;Matches
139;Akaki Gogia\Akaki-Gogia;de GER;MFFW;Union Berlin;27;1992;1.3;0;0;0;1;0;0;0.0;0.74;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
140;Benjamin Goller\Benjamin-Goller;de GER;FWMF;Werder Bremen;20;1999;3.1;0;0;0;2;0;0;0.0;0.64;0.00;0.00;;0.2;0.2;0.08;-0.2;-0.2;Matches
141;Jérôme Gondorf\Jerome-Gondorf;de GER;MF;Freiburg;31;1988;1.4;0;0;0;2;1;0;50.0;1.48;0.74;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
142;Leon Goretzka\Leon-Goretzka;de GER;MF;Bayern Munich;24;1995;8.1;2;0;0;25;7;0;28.0;3.09;0.87;0.08;0.29;3.5;3.5;0.14;-1.5;-1.5;Matches
143;Mario Götze\Mario-Gotze;de GER;FW;Dortmund;27;1992;5.6;3;1;1;7;3;0;42.9;1.25;0.54;0.29;0.67;1.6;0.8;0.12;+1.4;+1.2;Matches
144;Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw;nl NED;DF;Augsburg;28;1991;13.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
145;Michael Gregoritsch\Michael-Gregoritsch;at AUT;MFFW;Augsburg;25;1994;3.4;0;0;0;4;0;1;0.0;1.19;0.00;0.00;;0.1;0.1;0.04;-0.1;-0.1;Matches
146;Michael Gregoritsch\Michael-Gregoritsch;at AUT;FW;Schalke 04;25;1994;5.1;1;0;0;16;6;1;37.5;3.12;1.17;0.06;0.17;2.3;2.3;0.14;-1.3;-1.3;Matches
147;Vincenzo Grifo\Vincenzo-Grifo;it ITA;MFFW;Freiburg;26;1993;8.7;2;1;1;30;12;8;40.0;3.45;1.38;0.03;0.08;2.2;1.4;0.05;-0.2;-0.4;Matches
148;Vincenzo Grifo\Vincenzo-Grifo;it ITA;MF;Hoffenheim;26;1993;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
149;Florian Grillitsch\Florian-Grillitsch;at AUT;MF;Hoffenheim;23;1995;19.4;0;0;0;15;1;0;6.7;0.77;0.05;0.00;0.00;0.7;0.7;0.05;-0.7;-0.7;Matches
150;Christian Groß\Christian-Gross;de GER;DF;Werder Bremen;30;1989;8.1;0;0;0;3;0;0;0.0;0.37;0.00;0.00;;0.2;0.2;0.08;-0.2;-0.2;Matches
151;Carlos Gruezo\Carlos-Gruezo;ec ECU;MF;Augsburg;24;1995;2.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
152;Marko Grujić\Marko-Grujic;rs SRB;MF;Hertha BSC;23;1996;18.5;3;0;0;26;11;0;42.3;1.41;0.60;0.12;0.27;3.4;3.4;0.13;-0.4;-0.4;Matches
153;Raphaël Guerreiro\Raphael-Guerreiro;pt POR;DF;Dortmund;25;1993;16.8;5;0;0;27;11;4;40.7;1.61;0.65;0.19;0.45;2.4;2.4;0.09;+2.6;+2.6;Matches
154;Babacar Guèye\Babacar-Gueye;sn SEN;FW;Paderborn 07;24;1994;1.2;0;0;0;2;0;0;0.0;1.65;0.00;0.00;;0.4;0.4;0.22;-0.4;-0.4;Matches
155;Josuha Guilavogui\Josuha-Guilavogui;fr FRA;MFDF;Wolfsburg;28;1990;21.9;0;0;0;20;6;0;30.0;0.91;0.27;0.00;0.00;1.2;1.2;0.06;-1.2;-1.2;Matches
156;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;RB Leipzig;29;1990;23.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
157;Manuel Gulde\Manuel-Gulde;de GER;DF;Freiburg;28;1991;11.0;0;0;0;12;0;0;0.0;1.09;0.00;0.00;;1.1;1.1;0.09;-1.1;-1.1;Matches
158;Christian Günter\Christian-Gunter;de GER;DF;Freiburg;26;1993;24.0;1;0;0;25;7;1;28.0;1.04;0.29;0.04;0.14;0.8;0.8;0.03;+0.2;+0.2;Matches
159;Jonathan de Guzmán\Jonathan-de-Guzman;nl NED;MF;Eint Frankfurt;31;1987;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
160;Janik Haberer\Janik-Haberer;de GER;MFFW;Freiburg;25;1994;17.9;2;0;0;13;3;0;23.1;0.73;0.17;0.15;0.67;0.9;0.9;0.07;+1.1;+1.1;Matches
161;Alexander Hack\Alexander-Hack;de GER;DF;Mainz 05;25;1993;7.1;0;0;0;6;1;0;16.7;0.85;0.14;0.00;0.00;0.6;0.6;0.10;-0.6;-0.6;Matches
162;André Hahn\Andre-Hahn;de GER;FWMF;Augsburg;28;1990;6.4;1;0;1;12;3;0;25.0;1.87;0.47;0.08;0.33;2.1;1.4;0.11;-1.1;-0.4;Matches
163;Amadou Haidara\Amadou-Haidara;ml MLI;MF;RB Leipzig;21;1998;6.3;0;0;0;14;5;0;35.7;2.22;0.79;0.00;0.00;0.6;0.6;0.05;-0.6;-0.6;Matches
164;Achraf Hakimi\Achraf-Hakimi;ma MAR;DFFW;Dortmund;20;1998;21.7;2;0;0;25;12;1;48.0;1.15;0.55;0.08;0.17;2.3;2.3;0.09;-0.3;-0.3;Matches
165;Marcel Halstenberg\Marcel-Halstenberg;de GER;DF;RB Leipzig;27;1991;19.8;3;0;0;23;5;5;21.7;1.16;0.25;0.13;0.60;2.0;2.0;0.09;+1.0;+1.0;Matches
166;Amine Harit\Amine-Harit;ma MAR;MFFW;Schalke 04;22;1997;22.3;6;1;1;27;11;0;40.7;1.21;0.49;0.19;0.45;3.2;2.4;0.09;+2.8;+2.6;Matches
167;Martin Harnik\Martin-Harnik;at AUT;MFFW;Werder Bremen;32;1987;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
168;Makoto Hasebe\Makoto-Hasebe;jp JPN;DFMF;Eint Frankfurt;35;1984;14.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
169;Kai Havertz\Kai-Havertz;de GER;MFFW;Leverkusen;20;1999;20.0;5;0;0;35;17;0;48.6;1.75;0.85;0.14;0.29;4.5;4.5;0.13;+0.5;+0.5;Matches
170;Thorgan Hazard\Thorgan-Hazard;be BEL;FWMF;Dortmund;26;1993;17.7;4;0;0;34;14;0;41.2;1.92;0.79;0.12;0.29;3.5;3.5;0.10;+0.5;+0.5;Matches
171;Jonas Hector\Jonas-Hector;de GER;MFDF;Köln;29;1990;21.1;4;0;0;27;8;2;29.6;1.28;0.38;0.15;0.50;1.9;1.9;0.07;+2.1;+2.1;Matches
172;Dominique Heintz\Dominique-Heintz;de GER;DF;Freiburg;25;1993;19.0;0;0;0;4;2;0;50.0;0.21;0.11;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
173;Rouwen Hennings\Rouwen-Hennings;de GER;FW;Düsseldorf;31;1987;21.9;11;3;3;51;19;2;37.3;2.33;0.87;0.16;0.42;7.4;5.1;0.10;+3.6;+2.9;Matches
174;Lucas Hernández\Lucas-Hernandez;fr FRA;DF;Bayern Munich;23;1996;7.4;0;0;0;1;0;0;0.0;0.13;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
175;Patrick Herrmann\Patrick-Herrmann;de GER;FWMF;M'gladbach;28;1991;10.9;5;0;0;27;10;1;37.0;2.49;0.92;0.19;0.50;5.4;5.4;0.20;-0.4;-0.4;Matches
176;Martin Hinteregger\Martin-Hinteregger;at AUT;DF;Eint Frankfurt;26;1992;21.0;6;0;0;34;12;1;35.3;1.62;0.57;0.18;0.50;2.6;2.6;0.08;+3.4;+3.4;Matches
177;Marwin Hitz\Marwin-Hitz;ch SUI;GK;Dortmund;31;1987;3.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
178;André Hoffmann\Andre-Hoffmann;de GER;DF;Düsseldorf;26;1993;17.8;1;0;0;7;3;0;42.9;0.39;0.17;0.14;0.33;0.4;0.4;0.06;+0.6;+0.6;Matches
179;Nicolas Höfler\Nicolas-Hofler;de GER;MF;Freiburg;29;1990;21.1;1;0;0;21;2;0;9.5;0.99;0.09;0.05;0.50;2.5;2.5;0.12;-1.5;-1.5;Matches
180;Jonas Hofmann\Jonas-Hofmann;de GER;MFFW;M'gladbach;27;1992;9.2;2;0;0;10;5;1;50.0;1.08;0.54;0.20;0.40;2.2;2.2;0.22;-0.2;-0.2;Matches
181;Marco Höger\Marco-Hoger;de GER;MF;Köln;29;1989;5.8;0;0;0;1;0;0;0.0;0.17;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
182;Lucas Höler\Lucas-Holer;de GER;FWMF;Freiburg;25;1994;19.9;4;0;1;33;13;0;39.4;1.66;0.65;0.12;0.31;5.0;4.2;0.13;-1.0;-0.2;Matches
183;Gerrit Holtmann\Gerrit-Holtmann;de GER;MFDF;Paderborn 07;24;1995;8.2;1;0;0;12;7;0;58.3;1.46;0.85;0.08;0.14;0.4;0.4;0.04;+0.6;+0.6;Matches
184;Timo Horn\Timo-Horn;de GER;GK;Köln;26;1993;24.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
185;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;Leverkusen;29;1989;24.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
186;Benjamin Hübner\Benjamin-Hubner;de GER;DF;Hoffenheim;30;1989;16.6;1;0;0;18;3;0;16.7;1.08;0.18;0.06;0.33;1.2;1.2;0.07;-0.2;-0.2;Matches
187;Florian Hübner\Florian-Hubner;de GER;DF;Union Berlin;28;1991;6.2;0;0;0;3;1;0;33.3;0.48;0.16;0.00;0.00;0.6;0.6;0.19;-0.6;-0.6;Matches
188;Mats Hummels\Mats-Hummels;de GER;DF;Dortmund;30;1988;20.2;1;0;0;18;3;0;16.7;0.89;0.15;0.06;0.33;1.5;1.5;0.08;-0.5;-0.5;Matches
189;Uwe Hünemeier\Uwe-Hunemeier;de GER;DF;Paderborn 07;33;1986;6.7;0;0;0;4;1;1;25.0;0.60;0.15;0.00;0.00;0.5;0.5;0.12;-0.5;-0.5;Matches
190;Jannik Huth\Jannik-Huth;de GER;GK;Paderborn 07;25;1994;6.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
191;Iago\Iago;br BRA;DFMF;Augsburg;22;1997;5.3;1;0;0;2;1;0;50.0;0.37;0.19;0.50;1.00;0.5;0.5;0.26;+0.5;+0.5;Matches
192;Vedad Ibišević\Vedad-Ibisevic;ba BIH;FW;Hertha BSC;34;1984;7.8;3;0;0;13;5;0;38.5;1.67;0.64;0.23;0.60;1.7;1.7;0.13;+1.3;+1.3;Matches
193;Luc Ihorst\Luc-Ihorst;de GER;FW;Werder Bremen;19;2000;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
194;Stefan Ilsanker\Stefan-Ilsanker;at AUT;MFDF;Eint Frankfurt;30;1989;2.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
195;Stefan Ilsanker\Stefan-Ilsanker;at AUT;DF;RB Leipzig;30;1989;4.6;0;0;0;6;0;0;0.0;1.29;0.00;0.00;;0.7;0.7;0.12;-0.7;-0.7;Matches
196;Marcus Ingvartsen\Marcus-Ingvartsen;dk DEN;FWMF;Union Berlin;23;1996;13.3;4;1;1;35;11;0;31.4;2.64;0.83;0.09;0.27;3.0;2.2;0.06;+1.0;+0.8;Matches
197;Ismail Jakobs\Ismail-Jakobs;de GER;FWDF;Köln;19;1999;12.5;2;0;0;11;6;0;54.5;0.88;0.48;0.18;0.33;1.4;1.4;0.13;+0.6;+0.6;Matches
198;Laurent Jans\Laurent-Jans;lu LUX;DF;Paderborn 07;26;1992;14.0;0;0;0;6;0;0;0.0;0.43;0.00;0.00;;0.1;0.1;0.02;-0.1;-0.1;Matches
199;Tony Jantschke\Tony-Jantschke;de GER;DF;M'gladbach;29;1990;8.3;0;0;0;4;0;0;0.0;0.48;0.00;0.00;;0.7;0.7;0.17;-0.7;-0.7;Matches
200;Rune Jarstein\Rune-Jarstein;no NOR;GK;Hertha BSC;34;1984;20.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
201;Dennis Jastrzembski\Dennis-Jastrzembski;de GER;DFFW;Paderborn 07;19;2000;1.1;0;0;0;1;1;0;100.0;0.95;0.95;0.00;0.00;0.1;0.1;0.10;-0.1;-0.1;Matches
202;Tin Jedvaj\Tin-Jedvaj;hr CRO;DF;Augsburg;23;1995;22.5;1;0;0;7;1;0;14.3;0.31;0.04;0.14;1.00;0.5;0.5;0.07;+0.5;+0.5;Matches
203;Fredrik Jensen\Fredrik-Jensen;fi FIN;FWMF;Augsburg;21;1997;5.1;1;0;0;6;3;0;50.0;1.18;0.59;0.17;0.33;0.4;0.4;0.07;+0.6;+0.6;Matches
204;Fabian Johnson\Fabian-Johnson;us USA;MFDF;M'gladbach;31;1987;3.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
205;Dejan Joveljić\Dejan-Joveljic;rs SRB;FW;Eint Frankfurt;19;1999;1.6;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
206;Mathias Jørgensen\Mathias-Jorgensen;dk DEN;DF;Düsseldorf;29;1990;1.9;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
207;Ozan Kabak\Ozan-Kabak;tr TUR;DF;Schalke 04;19;2000;13.2;3;0;0;9;5;0;55.6;0.68;0.38;0.33;0.60;1.4;1.4;0.17;+1.6;+1.6;Matches
208;Pavel Kadeřábek\Pavel-Kaderabek;cz CZE;DFMF;Hoffenheim;27;1992;19.3;2;0;0;23;8;0;34.8;1.19;0.41;0.09;0.25;1.9;1.9;0.08;+0.1;+0.1;Matches
209;Florian Kainz\Florian-Kainz;at AUT;FWMF;Köln;26;1992;11.2;2;0;0;27;10;7;37.0;2.42;0.90;0.07;0.20;1.6;1.6;0.06;+0.4;+0.4;Matches
210;Salomon Kalou\Salomon-Kalou;ci CIV;FWMF;Hertha BSC;33;1985;1.6;1;0;0;6;2;0;33.3;3.78;1.26;0.17;0.50;1.2;1.2;0.21;-0.2;-0.2;Matches
211;Daichi Kamada\Daichi-Kamada;jp JPN;MFFW;Eint Frankfurt;22;1996;13.4;0;0;0;31;10;2;32.3;2.32;0.75;0.00;0.00;2.6;2.6;0.09;-2.6;-2.6;Matches
212;Kevin Kampl\Kevin-Kampl;si SVN;MF;RB Leipzig;28;1990;2.2;1;0;0;1;1;0;100.0;0.46;0.46;1.00;1.00;0.1;0.1;0.06;+0.9;+0.9;Matches
213;Kenan Karaman\Kenan-Karaman;tr TUR;FWMF;Düsseldorf;25;1994;6.5;3;0;0;13;4;0;30.8;2.00;0.62;0.23;0.75;1.4;1.4;0.12;+1.6;+1.6;Matches
214;Mamoudou Karamoko\Mamoudou-Karamoko;fr FRA;MF;Wolfsburg;20;1999;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
215;Florian Kastenmeier\Florian-Kastenmeier;de GER;GK;Düsseldorf;23;1996;7.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
216;Noah Katterbach\Noah-Katterbach;de GER;DF;Köln;18;2001;9.8;0;0;0;3;2;0;66.7;0.31;0.20;0.00;0.00;0.1;0.1;0.04;-0.1;-0.1;Matches
217;Yannik Keitel\Yannik-Keitel;de GER;MF;Freiburg;19;2000;0.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
218;Jonjoe Kenny\Jonjoe-Kenny;eng ENG;DF;Schalke 04;22;1997;21.8;1;0;0;4;2;0;50.0;0.18;0.09;0.25;0.50;0.4;0.4;0.11;+0.6;+0.6;Matches
219;Rani Khedira\Rani-Khedira;de GER;MFDF;Augsburg;25;1994;21.0;0;0;0;6;0;0;0.0;0.29;0.00;0.00;;0.3;0.3;0.05;-0.3;-0.3;Matches
220;Luca Kilian\Luca-Kilian;de GER;DF;Paderborn 07;19;1999;13.0;0;0;0;1;0;0;0.0;0.08;0.00;0.00;;0.1;0.1;0.07;-0.1;-0.1;Matches
221;Joshua Kimmich\Joshua-Kimmich;de GER;MFDF;Bayern Munich;24;1995;22.3;2;0;0;17;9;0;52.9;0.76;0.40;0.12;0.22;0.9;0.9;0.05;+1.1;+1.1;Matches
222;Davy Klaassen\Davy-Klaassen;nl NED;MF;Werder Bremen;26;1993;23.0;3;1;3;24;6;0;25.0;1.04;0.26;0.08;0.33;5.1;2.8;0.12;-2.1;-0.8;Matches
223;Felix Klaus\Felix-Klaus;de GER;FWMF;Wolfsburg;26;1992;5.4;0;0;0;16;5;0;31.3;2.98;0.93;0.00;0.00;1.5;1.5;0.10;-1.5;-1.5;Matches
224;Lukas Klostermann\Lukas-Klostermann;de GER;DF;RB Leipzig;23;1996;20.9;2;0;0;10;4;0;40.0;0.48;0.19;0.20;0.50;2.4;2.4;0.24;-0.4;-0.4;Matches
225;Lukas Klünter\Lukas-Klunter;de GER;DF;Hertha BSC;23;1996;19.0;0;0;0;1;0;0;0.0;0.05;0.00;0.00;;0.0;0.0;0.03;0.0;0.0;Matches
226;Robin Knoche\Robin-Knoche;de GER;DF;Wolfsburg;27;1992;16.2;1;0;0;4;2;0;50.0;0.25;0.12;0.25;0.50;0.5;0.5;0.13;+0.5;+0.5;Matches
227;Robin Koch\Robin-Koch;de GER;DFMF;Freiburg;23;1996;22.3;0;0;0;20;5;0;25.0;0.90;0.22;0.00;0.00;1.8;1.8;0.09;-1.8;-1.8;Matches
228;Dominik Kohr\Dominik-Kohr;de GER;MF;Eint Frankfurt;25;1994;9.3;0;0;0;18;8;0;44.4;1.93;0.86;0.00;0.00;0.8;0.8;0.05;-0.8;-0.8;Matches
229;Ibrahima Konaté\Ibrahima-Konate;fr FRA;DF;RB Leipzig;20;1999;5.0;0;0;0;1;0;0;0.0;0.20;0.00;0.00;;0.0;0.0;0.05;0.0;0.0;Matches
230;Pascal Köpke\Pascal-Kopke;de GER;FW;Hertha BSC;23;1995;1.3;0;0;0;6;3;0;50.0;4.54;2.27;0.00;0.00;0.8;0.8;0.14;-0.8;-0.8;Matches
231;Filip Kostić\Filip-Kostic;rs SRB;DFMF;Eint Frankfurt;26;1992;21.9;4;0;0;59;22;6;37.3;2.70;1.01;0.07;0.18;4.3;4.3;0.07;-0.3;-0.3;Matches
232;Tomáš Koubek\Tomas-Koubek;cz CZE;GK;Augsburg;26;1992;23.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
233;Dawid Kownacki\Dawid-Kownacki;pl POL;FWMF;Düsseldorf;22;1997;11.7;0;0;0;26;11;0;42.3;2.22;0.94;0.00;0.00;1.9;1.9;0.07;-1.9;-1.9;Matches
234;Thomas Kraft\Thomas-Kraft;de GER;GK;Hertha BSC;31;1988;3.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
235;Andrej Kramarić\Andrej-Kramaric;hr CRO;FWMF;Hoffenheim;28;1991;12.0;7;1;1;31;14;2;45.2;2.58;1.17;0.19;0.43;6.8;6.1;0.20;+0.2;-0.1;Matches
236;Christoph Kramer\Christoph-Kramer;de GER;MF;M'gladbach;28;1991;9.3;0;0;0;6;0;0;0.0;0.64;0.00;0.00;;0.3;0.3;0.06;-0.3;-0.3;Matches
237;Felix Kroos\Felix-Kroos;de GER;MFFW;Union Berlin;28;1991;2.0;0;0;0;2;1;0;50.0;0.99;0.50;0.00;0.00;0.2;0.2;0.09;-0.2;-0.2;Matches
238;Lukas Kübler\Lukas-Kubler;de GER;DF;Freiburg;26;1992;1.0;0;0;0;1;0;0;0.0;1.05;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
239;Pierre Kunde\Pierre-Kunde;cm CMR;MF;Mainz 05;24;1995;15.3;2;0;0;30;7;2;23.3;1.96;0.46;0.07;0.29;1.9;1.9;0.06;+0.1;+0.1;Matches
240;Ahmed Kutucu\Ahmed-Kutucu;tr TUR;FWMF;Schalke 04;19;2000;3.8;3;0;0;11;5;0;45.5;2.91;1.32;0.27;0.60;1.0;1.0;0.09;+2.0;+2.0;Matches
241;Konrad Laimer\Konrad-Laimer;at AUT;MF;RB Leipzig;22;1997;18.0;2;0;0;7;4;0;57.1;0.39;0.22;0.29;0.50;0.5;0.5;0.08;+1.5;+1.5;Matches
242;Stefan Lainer\Stefan-Lainer;at AUT;DF;M'gladbach;26;1992;19.1;1;0;0;12;4;0;33.3;0.63;0.21;0.08;0.25;0.9;0.9;0.07;+0.1;+0.1;Matches
243;Michael Lang\Michael-Lang;ch SUI;DF;Werder Bremen;28;1991;5.9;0;0;0;5;2;0;40.0;0.84;0.34;0.00;0.00;0.4;0.4;0.07;-0.4;-0.4;Matches
244;Sebastian Langkamp\Sebastian-Langkamp;de GER;DF;Werder Bremen;31;1988;2.0;0;0;0;4;1;0;25.0;2.01;0.50;0.00;0.00;0.4;0.4;0.10;-0.4;-0.4;Matches
245;Danny Latza\Danny-Latza;de GER;MF;Mainz 05;29;1989;9.4;0;0;0;12;3;0;25.0;1.27;0.32;0.00;0.00;0.9;0.9;0.07;-0.9;-0.9;Matches
246;Mathew Leckie\Mathew-Leckie;au AUS;DFFW;Hertha BSC;28;1991;1.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
247;Toni Leistner\Toni-Leistner;de GER;DF;Köln;28;1990;3.0;0;0;0;1;0;0;0.0;0.33;0.00;0.00;;0.0;0.0;0.03;0.0;0.0;Matches
248;Christopher Lenz\Christopher-Lenz;de GER;DF;Union Berlin;24;1994;22.5;0;0;0;13;3;0;23.1;0.58;0.13;0.00;0.00;0.5;0.5;0.04;-0.5;-0.5;Matches
249;Robert Lewandowski\Robert-Lewandowski;pl POL;FW;Bayern Munich;30;1988;22.7;25;3;3;106;48;2;45.3;4.67;2.12;0.21;0.46;21.0;18.7;0.18;+4.0;+3.3;Matches
250;Stephan Lichtsteiner\Stephan-Lichtsteiner;ch SUI;DF;Augsburg;35;1984;13.3;0;0;0;2;0;0;0.0;0.15;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
251;Philipp Lienhart\Philipp-Lienhart;at AUT;DF;Freiburg;23;1996;12.0;0;0;0;4;2;0;50.0;0.33;0.17;0.00;0.00;0.1;0.1;0.02;-0.1;-0.1;Matches
252;Jürgen Locadia\Jurgen-Locadia;nl NED;FW;Hoffenheim;25;1993;5.9;4;1;1;18;10;0;55.6;3.07;1.70;0.17;0.30;3.2;2.4;0.13;+0.8;+0.6;Matches
253;Ademola Lookman\Ademola-Lookman;eng ENG;FWMF;RB Leipzig;21;1997;1.8;0;0;0;2;0;0;0.0;1.13;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
254;Eduard Löwen\Eduard-Lowen;de GER;MF;Hertha BSC;22;1997;3.4;0;0;0;5;0;2;0.0;1.45;0.00;0.00;;0.2;0.2;0.04;-0.2;-0.2;Matches
255;Eduard Löwen\Eduard-Lowen;de GER;MFFW;Augsburg;22;1997;2.0;1;0;0;3;3;1;100.0;1.47;1.47;0.33;0.33;0.3;0.3;0.10;+0.7;+0.7;Matches
256;Lucas\Lucas;br BRA;MF;Hoffenheim;20;1999;0.7;1;0;0;1;1;0;100.0;1.43;1.43;1.00;1.00;0.6;0.6;0.64;+0.4;+0.4;Matches
257;Dodi Lukebakio\Dodi-Lukebakio;cd COD;FWMF;Hertha BSC;21;1997;16.2;5;0;0;31;13;2;41.9;1.91;0.80;0.16;0.38;3.7;3.7;0.12;+1.3;+1.3;Matches
