"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
30;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Dortmund;20;1999;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
31;Philipp Bargfrede\Philipp-Bargfrede;de GER;MF;Werder Bremen;30;1989;4.0;0;0;0;3;0;0;0.0;0.76;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
32;Aymen Barkok\Aymen-Barkok;de GER;FWMF;Düsseldorf;21;1998;0.9;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
33;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;19;2000;5.2;0;0;0;5;1;0;20.0;0.97;0.19;0.00;0.00;0.4;0.4;0.07;-0.4;-0.4;Matches
34;Fin Bartels\Fin-Bartels;de GER;FWMF;Werder Bremen;32;1987;1.3;0;0;0;3;2;0;66.7;2.37;1.58;0.00;0.00;0.3;0.3;0.09;-0.3;-0.3;Matches
35;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;29;1990;20.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
36;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;31;1988;13.5;1;0;0;13;4;0;30.8;0.96;0.30;0.08;0.25;1.1;1.1;0.08;-0.1;-0.1;Matches
37;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;19;1999;9.8;3;0;0;36;14;0;38.9;3.68;1.43;0.08;0.21;4.4;4.4;0.12;-1.4;-1.4;Matches
38;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;MF;Augsburg;22;1996;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
39;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;25;1994;17.0;3;0;0;23;12;0;52.2;1.36;0.71;0.13;0.25;2.4;2.4;0.10;+0.6;+0.6;Matches
40;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;24;1995;5.6;0;0;0;7;4;0;57.1;1.25;0.71;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
41;Timo Becker\Timo-Becker;de GER;DF;Schalke 04;22;1997;0.9;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
42;Maximilian Beier\Maximilian-Beier;de GER;MFDF;Hoffenheim;16;2002;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
43;Ishak Belfodil\Ishak-Belfodil;dz ALG;FWMF;Hoffenheim;27;1992;3.0;0;0;0;10;2;0;20.0;3.35;0.67;0.00;0.00;1.3;1.3;0.13;-1.3;-1.3;Matches
44;Karim Bellarabi\Karim-Bellarabi;de GER;FWDF;Leverkusen;29;1990;12.7;3;0;0;49;21;0;42.9;3.84;1.65;0.06;0.14;4.8;4.8;0.10;-1.8;-1.8;Matches
45;Lars Bender\Lars-Bender;de GER;DFMF;Leverkusen;30;1989;14.7;2;0;0;15;2;0;13.3;1.02;0.14;0.13;1.00;0.8;0.8;0.06;+1.2;+1.2;Matches
46;Sven Bender\Sven-Bender;de GER;DF;Leverkusen;30;1989;23.1;0;0;0;10;2;0;20.0;0.43;0.09;0.00;0.00;0.7;0.7;0.07;-0.7;-0.7;Matches
47;László Bénes\Laszlo-Benes;sk SVK;MF;M'gladbach;21;1997;9.1;0;0;0;19;6;5;31.6;2.09;0.66;0.00;0.00;1.0;1.0;0.05;-1.0;-1.0;Matches
48;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'gladbach;24;1995;8.1;4;1;1;9;6;0;66.7;1.12;0.74;0.33;0.50;2.1;1.3;0.15;+1.9;+1.7;Matches
49;Valon Berisha\Valon-Berisha;xk KVX;MF;Düsseldorf;26;1993;4.3;0;0;0;3;1;0;33.3;0.70;0.23;0.00;0.00;0.4;0.4;0.14;-0.4;-0.4;Matches
50;Louis Beyer\Louis-Beyer;de GER;DF;M'gladbach;19;2000;1.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
51;Ermin Bičakčić\Ermin-Bicakcic;ba BIH;DF;Hoffenheim;29;1990;8.4;2;0;0;3;2;0;66.7;0.36;0.24;0.67;1.00;0.4;0.4;0.12;+1.6;+1.6;Matches
52;Leonardo Bittencourt\Leonardo-Bittencourt;de GER;FW;Hoffenheim;25;1993;0.0;0;0;0;1;0;0;0.0;45.00;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
53;Leonardo Bittencourt\Leonardo-Bittencourt;de GER;FWMF;Werder Bremen;25;1993;16.5;2;0;0;32;9;0;28.1;1.94;0.54;0.06;0.22;2.3;2.3;0.07;-0.3;-0.3;Matches
