"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
416;Edmond Tapsoba\Edmond-Tapsoba;bf BFA;DF;Leverkusen;20;1999;4.0;0;0.0;0.0;0;381;414;92.0;2;4;50.0;232;249;93.2;147;161;91.3;56;341;8;1;0;0;13;0;0;Matches
417;Georg Teigl\Georg-Teigl;at AUT;DFMF;Augsburg;28;1991;1.1;0;0.0;0.0;0;19;24;79.2;0;2;0.0;16;16;100.0;3;6;50.0;3;15;2;0;0;4;0;0;0;Matches
418;Bernard Tekpetey\Bernard-Tekpetey;gh GHA;FWMF;Düsseldorf;21;1997;5.0;1;0.3;+0.7;4;63;103;61.2;2;12;16.7;45;70;64.3;16;21;76.2;16;74;0;1;0;5;9;2;1;Matches
419;Lino Tempelmann\Lino-Tempelmann;de GER;MF;Freiburg;20;1999;0.4;0;0.0;0.0;0;7;10;70.0;0;0;;5;8;62.5;2;2;100.0;3;7;0;0;0;0;0;0;0;Matches
420;Simon Terodde\Simon-Terodde;de GER;FWMF;Köln;31;1988;8.6;1;0.6;+0.4;5;96;154;62.3;3;12;25.0;80;122;65.6;13;20;65.0;25;75;0;1;0;2;6;3;0;Matches
421;Niclas Thiede\Niclas-Thiede;de GER;GK;Freiburg;20;1999;0.8;0;0.0;0.0;0;32;41;78.0;0;0;;24;24;100.0;8;17;47.1;22;8;2;0;0;0;1;0;0;Matches
422;Jan Thielmann\Jan-Thielmann;de GER;FWMF;Köln;17;2002;3.6;1;0.1;+0.9;2;66;95;69.5;1;7;14.3;52;67;77.6;13;21;61.9;8;73;0;0;0;3;2;3;1;Matches
423;Erik Thommy\Erik-Thommy;de GER;MFFW;Düsseldorf;24;1994;16.5;4;3.0;+1.0;29;386;554;69.7;9;38;23.7;285;347;82.1;92;169;54.4;115;391;22;1;36;18;28;15;8;Matches
424;Marcus Thuram\Marcus-Thuram;fr FRA;FW;M'gladbach;21;1997;18.7;8;6.0;+2.0;23;374;536;69.8;23;51;45.1;325;425;76.5;26;60;43.3;82;367;1;2;0;4;14;13;0;Matches
425;Marcel Tisserand\Marcel-Tisserand;cd COD;DF;Wolfsburg;26;1993;13.4;1;0.2;+0.8;3;559;719;77.7;5;15;33.3;354;407;87.0;200;297;67.3;83;570;24;1;0;5;53;5;1;Matches
