"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
54;Jérôme Boateng\Jerome-Boateng;de GER;DF;Bayern Munich;30;1988;15;14;1012;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.3;0.02;0.02;0.05;0.02;0.05;Matches
55;Adam Bodzek\Adam-Bodzek;de GER;MF;Düsseldorf;33;1985;19;16;1482;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.2;0.04;0.01;0.05;0.04;0.05;Matches
56;Jean-Paul Boëtius\Jean-Paul-Boetius;nl NED;MF;Mainz 05;25;1994;21;20;1787;3;5;0;0;2;0;0.15;0.25;0.40;0.15;0.40;2.0;2.0;3.2;0.10;0.16;0.26;0.10;0.26;Matches
57;Robin Bormuth\Robin-Bormuth;de GER;DF;Düsseldorf;23;1995;3;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
58;Sebastiaan Bornauw\Sebastiaan-Bornauw;be BEL;DF;Köln;20;1999;21;21;1883;5;0;0;0;5;0;0.24;0.00;0.24;0.24;0.24;2.7;2.7;0.3;0.13;0.01;0.14;0.13;0.14;Matches
59;Brandon Borrello\Brandon-Borrello;au AUS;MFFW;Freiburg;24;1995;7;4;299;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.3;0.06;0.08;0.14;0.06;0.14;Matches
60;Nassim Boujellab\Nassim-Boujellab;de GER;MF;Schalke 04;20;1999;5;1;139;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.09;0.00;0.09;0.09;0.09;Matches
61;Dedryck Boyata\Dedryck-Boyata;be BEL;DF;Hertha BSC;28;1990;20;20;1764;3;1;0;0;6;0;0.15;0.05;0.20;0.15;0.20;1.6;1.6;0.8;0.08;0.04;0.12;0.08;0.12;Matches
62;Julian Brandt\Julian-Brandt;de GER;MFFW;Dortmund;23;1996;23;15;1434;3;2;0;0;0;0;0.19;0.13;0.31;0.19;0.31;3.4;3.4;3.2;0.21;0.20;0.42;0.21;0.42;Matches
63;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;Dortmund;19;2000;7;4;422;9;0;0;0;0;0;1.92;0.00;1.92;1.92;1.92;4.7;4.7;0.3;0.99;0.06;1.05;0.99;1.05;Matches
64;Josip Brekalo\Josip-Brekalo;hr CRO;FWMF;Wolfsburg;21;1998;20;11;1030;3;4;0;0;0;0;0.26;0.35;0.61;0.26;0.61;2.1;2.1;3.9;0.18;0.34;0.52;0.18;0.52;Matches
65;John Brooks\John-Brooks;us USA;DF;Wolfsburg;26;1993;15;15;1350;0;1;0;0;3;0;0.00;0.07;0.07;0.00;0.07;1.2;1.2;0.1;0.08;0.01;0.08;0.08;0.08;Matches
66;Daniel Brosinski\Daniel-Brosinski;de GER;DF;Mainz 05;31;1988;20;13;1339;2;3;1;1;3;0;0.13;0.20;0.34;0.07;0.27;1.5;0.8;2.9;0.10;0.20;0.30;0.05;0.25;Matches
67;Jeffrey Bruma\Jeffrey-Bruma;nl NED;DF;Mainz 05;27;1991;4;4;360;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.09;0.00;0.09;0.09;0.09;Matches
68;Jeffrey Bruma\Jeffrey-Bruma;nl NED;DF;Wolfsburg;27;1991;9;9;810;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1.3;1.3;0.0;0.14;0.00;0.14;0.14;0.14;Matches
69;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;MFFW;Hoffenheim;20;1998;4;2;165;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.2;0.11;0.10;0.21;0.11;0.21;Matches
70;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FW;Dortmund;20;1998;4;0;65;0;1;0;0;0;0;0.00;1.38;1.38;0.00;1.38;0.0;0.0;0.3;0.00;0.40;0.40;0.00;0.40;Matches
71;Marius Bülter\Marius-Bulter;de GER;FWMF;Union Berlin;26;1993;23;19;1647;7;0;0;0;0;0;0.38;0.00;0.38;0.38;0.38;2.7;2.7;2.6;0.15;0.14;0.29;0.15;0.29;Matches
72;Guido Burgstaller\Guido-Burgstaller;at AUT;FW;Schalke 04;30;1989;17;11;1012;0;1;0;0;2;0;0.00;0.09;0.09;0.00;0.09;4.3;4.3;0.6;0.38;0.06;0.44;0.38;0.44;Matches
73;Jonathan Burkardt\Jonathan-Burkardt;de GER;FWDF;Mainz 05;19;2000;5;1;93;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.0;0.56;0.00;0.56;0.56;0.56;Matches
74;Roman Bürki\Roman-Burki;ch SUI;GK;Dortmund;28;1990;21;21;1871;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
75;Daniel Caligiuri\Daniel-Caligiuri;it ITA;MFFW;Schalke 04;31;1988;20;18;1626;1;1;0;0;4;0;0.06;0.06;0.11;0.06;0.11;1.4;1.4;3.3;0.08;0.18;0.26;0.08;0.26;Matches
76;Emre Can\Emre-Can;de GER;MF;Dortmund;25;1994;4;4;331;1;0;0;0;1;0;0.27;0.00;0.27;0.27;0.27;0.1;0.1;0.1;0.04;0.02;0.06;0.04;0.06;Matches
77;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;27;1992;16;16;1440;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
78;Timothy Chandler\Timothy-Chandler;us USA;DFMF;Eint Frankfurt;29;1990;14;10;935;4;1;0;0;3;0;0.39;0.10;0.48;0.39;0.48;1.3;1.3;1.0;0.12;0.10;0.22;0.12;0.22;Matches
79;Kwon Chang-hoon\Kwon-Chang-hoon;kr KOR;MFFW;Freiburg;25;1994;15;6;525;2;0;0;0;0;0;0.34;0.00;0.34;0.34;0.34;1.7;1.7;0.7;0.29;0.12;0.41;0.29;0.41;Matches
80;Darko Churlinov\Darko-Churlinov;mk MKD;FW;Köln;19;2000;1;0;20;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.11;0.11;0.00;0.11;Matches
81;Per Ciljan Skjelbred\Per-Ciljan-Skjelbred;no NOR;MF;Hertha BSC;32;1987;17;15;1204;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.01;0.01;0.00;0.01;Matches
82;Jamilu Collins\Jamilu-Collins;ng NGA;DF;Paderborn 07;24;1994;21;21;1858;1;2;0;1;8;1;0.05;0.10;0.15;0.05;0.15;1.7;1.0;1.0;0.08;0.05;0.13;0.05;0.10;Matches
83;Kingsley Coman\Kingsley-Coman;fr FRA;FWMF;Bayern Munich;23;1996;15;11;996;2;1;0;0;1;0;0.18;0.09;0.27;0.18;0.27;2.4;2.4;2.9;0.22;0.26;0.48;0.22;0.48;Matches
84;Jhon Córdoba\Jhon-Cordoba;co COL;FW;Köln;26;1993;20;14;1306;10;1;0;0;5;0;0.69;0.07;0.76;0.69;0.76;7.2;7.2;1.2;0.49;0.08;0.57;0.49;0.57;Matches
85;Sergio Córdova\Sergio-Cordova;ve VEN;FW;Augsburg;21;1997;11;3;262;1;1;0;0;0;0;0.34;0.34;0.69;0.34;0.69;0.6;0.6;0.8;0.20;0.27;0.47;0.20;0.47;Matches
86;Danny da Costa\Danny-da-Costa;de GER;DFMF;Eint Frankfurt;26;1993;14;11;1027;1;3;0;0;0;0;0.09;0.26;0.35;0.09;0.35;1.2;1.2;2.4;0.11;0.21;0.32;0.11;0.32;Matches
87;Philippe Coutinho\Philippe-Coutinho;br BRA;MFFW;Bayern Munich;27;1992;21;14;1300;8;6;1;1;0;0;0.55;0.42;0.97;0.48;0.90;7.8;7.1;3.6;0.54;0.25;0.79;0.49;0.74;Matches
88;Mickaël Cuisance\Mickael-Cuisance;fr FRA;MF;Bayern Munich;19;1999;3;0;37;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.11;0.00;0.11;0.11;0.11;Matches
89;Matheus Cunha\Matheus-Cunha;br BRA;FWMF;RB Leipzig;20;1999;10;2;273;0;1;0;0;0;0;0.00;0.33;0.33;0.00;0.33;2.1;2.1;0.3;0.69;0.09;0.78;0.69;0.78;Matches
90;Matheus Cunha\Matheus-Cunha;br BRA;FW;Hertha BSC;20;1999;3;3;218;2;0;0;0;2;0;0.83;0.00;0.83;0.83;0.83;1.3;1.3;0.1;0.53;0.06;0.59;0.53;0.59;Matches
91;Rafael Czichos\Rafael-Czichos;de GER;DF;Köln;29;1990;20;20;1703;1;1;0;0;3;1;0.05;0.05;0.11;0.05;0.11;1.1;1.1;0.4;0.06;0.02;0.08;0.06;0.08;Matches
92;Moanes Dabour\Moanes-Dabour;il ISR;FWMF;Hoffenheim;27;1992;6;4;297;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;0.3;0.33;0.09;0.42;0.33;0.42;Matches
93;Mahmoud Dahoud\Mahmoud-Dahoud;de GER;MF;Dortmund;23;1996;9;3;295;0;1;0;0;0;0;0.00;0.31;0.31;0.00;0.31;1.1;1.1;0.4;0.32;0.11;0.43;0.32;0.43;Matches
94;Leon Dajaku\Leon-Dajaku;de GER;DF;Bayern Munich;18;2001;2;0;10;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
95;Vladimír Darida\Vladimir-Darida;cz CZE;MF;Hertha BSC;28;1990;19;16;1505;3;3;0;0;6;1;0.18;0.18;0.36;0.18;0.36;2.3;2.3;2.8;0.14;0.17;0.31;0.14;0.31;Matches
96;Alphonso Davies\Alphonso-Davies;ca CAN;DF;Bayern Munich;18;2000;20;16;1502;1;4;0;0;0;0;0.06;0.24;0.30;0.06;0.30;1.2;1.2;2.2;0.07;0.13;0.21;0.07;0.21;Matches
97;Thomas Delaney\Thomas-Delaney;dk DEN;MF;Dortmund;27;1991;6;6;479;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.0;0.10;0.00;0.10;0.10;0.10;Matches
98;Kerem Demirbay\Kerem-Demirbay;de GER;MF;Leverkusen;26;1993;17;13;1117;0;3;0;0;3;1;0.00;0.24;0.24;0.00;0.24;1.3;1.3;2.7;0.10;0.22;0.32;0.10;0.32;Matches
99;Diego Demme\Diego-Demme;de GER;MF;RB Leipzig;27;1991;17;14;1212;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;1.0;0.03;0.07;0.10;0.03;0.10;Matches
100;Moussa Diaby\Moussa-Diaby;fr FRA;FWMF;Leverkusen;20;1999;18;10;1044;4;2;0;0;1;0;0.34;0.17;0.52;0.34;0.52;3.5;3.5;2.4;0.30;0.21;0.51;0.30;0.51;Matches
101;Javairô Dilrosun\Javairo-Dilrosun;nl NED;MFFW;Hertha BSC;21;1998;18;14;1157;3;2;0;0;2;0;0.23;0.16;0.39;0.23;0.39;1.6;1.6;1.5;0.12;0.12;0.24;0.12;0.24;Matches
102;Bas Dost\Bas-Dost;nl NED;FW;Eint Frankfurt;30;1989;14;10;975;5;0;0;0;1;0;0.46;0.00;0.46;0.46;0.46;3.9;3.9;0.8;0.36;0.07;0.43;0.36;0.43;Matches
103;Mohamed Dräger\Mohamed-Drager;tn TUN;DF;Paderborn 07;23;1996;12;11;947;0;3;0;0;1;0;0.00;0.29;0.29;0.00;0.29;0.2;0.2;0.6;0.02;0.06;0.08;0.02;0.08;Matches
104;Aleksandar Dragović\Aleksandar-Dragovic;at AUT;DF;Leverkusen;28;1991;9;5;542;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.0;0.08;0.00;0.08;0.08;0.08;Matches
105;Dominick Drexler\Dominick-Drexler;de GER;MFFW;Köln;29;1990;18;14;1170;2;1;0;0;4;0;0.15;0.08;0.23;0.15;0.23;1.9;1.9;2.6;0.15;0.20;0.35;0.15;0.35;Matches
106;Ondrej Duda\Ondrej-Duda;sk SVK;MFFW;Hertha BSC;24;1994;7;6;451;0;1;0;0;2;0;0.00;0.20;0.20;0.00;0.20;0.5;0.5;0.4;0.11;0.09;0.19;0.11;0.19;Matches
107;Erik Durm\Erik-Durm;de GER;DF;Eint Frankfurt;27;1992;8;6;498;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.1;0.11;0.02;0.13;0.11;0.13;Matches
108;Johannes Eggestein\Johannes-Eggestein;de GER;MFFW;Werder Bremen;21;1998;13;4;466;1;0;0;0;3;1;0.19;0.00;0.19;0.19;0.19;0.9;0.9;0.5;0.18;0.10;0.28;0.18;0.28;Matches
109;Maximilian Eggestein\Maximilian-Eggestein;de GER;MFDF;Werder Bremen;22;1996;21;21;1866;0;2;0;0;5;0;0.00;0.10;0.10;0.00;0.10;2.0;2.0;1.7;0.10;0.08;0.18;0.10;0.18;Matches
110;Kingsley Ehizibue\Kingsley-Ehizibue;nl NED;DF;Köln;24;1995;22;21;1728;1;1;0;0;5;1;0.05;0.05;0.10;0.05;0.10;0.8;0.8;0.8;0.04;0.04;0.08;0.04;0.08;Matches
111;Nico Elvedi\Nico-Elvedi;ch SUI;DF;M'gladbach;22;1996;22;20;1773;1;0;0;0;3;0;0.05;0.00;0.05;0.05;0.05;0.6;0.6;0.0;0.03;0.00;0.03;0.03;0.03;Matches
112;Breel Embolo\Breel-Embolo;ch SUI;FWMF;M'gladbach;22;1997;20;11;1035;6;3;0;1;4;0;0.52;0.26;0.78;0.52;0.78;4.8;4.0;3.3;0.42;0.29;0.71;0.35;0.64;Matches
