"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
187;Alexander Hack\Alexander-Hack;de GER;DF;Mainz 05;25;1993;10;637;64;29.5;7.1;7;89;3;5;9;0.90;10;25;-15;-2.12;-1.88;10.7;15.4;-4.7;-0.67;-0.47;Matches
188;André Hahn\Andre-Hahn;de GER;FWMF;Augsburg;28;1990;11;577;52;26.7;6.4;7;70;4;22;10;1.36;7;15;-8;-1.25;-0.91;9.8;10.2;-0.4;-0.06;+0.26;Matches
189;Amadou Haidara\Amadou-Haidara;ml MLI;MF;RB Leipzig;21;1998;13;568;44;26.3;6.3;4;88;9;24;11;2.15;14;10;+4;+0.63;-1.18;12.7;8.2;+4.6;+0.73;-0.41;Matches
190;Achraf Hakimi\Achraf-Hakimi;ma MAR;DFFW;Dortmund;20;1998;24;1955;81;90.5;21.7;21;89;3;32;0;2.00;59;27;+32;+1.47;+0.60;40.0;26.9;+13.2;+0.61;-0.08;Matches
191;Marcel Halstenberg\Marcel-Halstenberg;de GER;DF;RB Leipzig;27;1991;20;1785;89;82.6;19.8;20;89;0;;1;1.95;50;20;+30;+1.51;+0.07;43.1;20.9;+22.2;+1.12;+0.52;Matches
192;Amine Harit\Amine-Harit;ma MAR;MFFW;Schalke 04;22;1997;23;2005;87;92.8;22.3;23;87;0;;0;1.43;30;33;-3;-0.13;-0.13;25.6;33.2;-7.6;-0.34;-0.49;Matches
193;Martin Harnik\Martin-Harnik;at AUT;MFFW;Werder Bremen;32;1987;2;7;4;0.3;0.1;0;;2;4;1;1.50;0;1;-1;-12.86;-11.68;0.0;0.2;-0.2;-2.47;-2.13;Matches
194;Fabrice Hartmann\Fabrice-Hartmann;de GER;FW;RB Leipzig;18;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
195;Makoto Hasebe\Makoto-Hasebe;jp JPN;DFMF;Eint Frankfurt;35;1984;15;1320;88;63.8;14.7;14;90;1;60;6;1.20;27;26;+1;+0.07;+0.07;24.5;22.6;+1.9;+0.13;+0.11;Matches
196;Niklas Hauptmann\Niklas-Hauptmann;de GER;MF;Köln;23;1996;0;;;;;0;;0;;7;;;;;;;;;;;;Matches
197;Kai Havertz\Kai-Havertz;de GER;MFFW;Leverkusen;20;1999;21;1798;86;83.2;20.0;21;86;0;;1;1.86;34;25;+9;+0.45;-0.05;32.2;25.1;+7.1;+0.36;-0.20;Matches
198;Thorgan Hazard\Thorgan-Hazard;be BEL;FWMF;Dortmund;26;1993;23;1592;69;73.7;17.7;18;81;5;26;0;2.09;49;19;+30;+1.70;+1.06;32.8;21.2;+11.6;+0.66;+0.16;Matches
199;Jonas Hector\Jonas-Hector;de GER;MFDF;Köln;29;1990;22;1901;86;88.0;21.1;22;86;0;;1;1.32;32;41;-9;-0.43;-1.82;29.9;31.2;-1.3;-0.06;-0.78;Matches
200;Dominique Heintz\Dominique-Heintz;de GER;DF;Freiburg;25;1993;20;1714;86;79.4;19.0;19;90;1;8;4;1.30;23;28;-5;-0.26;-0.67;23.7;37.4;-13.7;-0.72;-0.92;Matches
201;Rouwen Hennings\Rouwen-Hennings;de GER;FW;Düsseldorf;31;1987;23;1969;86;91.2;21.9;22;89;1;11;0;0.91;25;44;-19;-0.87;+1.02;21.9;37.6;-15.7;-0.72;+1.91;Matches
202;Lucas Hernández\Lucas-Hernandez;fr FRA;DF;Bayern Munich;23;1996;10;667;67;30.9;7.4;7;82;3;32;1;2.40;21;7;+14;+1.89;+0.02;17.5;9.3;+8.2;+1.11;-0.55;Matches
203;Patrick Herrmann\Patrick-Herrmann;de GER;FWMF;M'gladbach;28;1991;18;977;54;47.2;10.9;10;85;8;16;5;2.11;27;15;+12;+1.11;+0.53;27.1;16.6;+10.5;+0.97;+0.69;Matches
204;Aaron Herzog\Aaron-Herzog;de GER;MF;M'gladbach;21;1998;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
205;Martin Hinteregger\Martin-Hinteregger;at AUT;DF;Eint Frankfurt;26;1992;21;1890;90;91.3;21.0;21;90;0;;1;1.33;36;33;+3;+0.14;+1.14;30.7;27.1;+3.6;+0.17;+0.94;Matches
206;Marwin Hitz\Marwin-Hitz;ch SUI;GK;Dortmund;31;1987;4;289;72;13.4;3.2;3;90;1;19;18;2.50;8;1;+7;+2.18;+0.88;5.4;5.0;+0.4;+0.11;-0.58;Matches
207;André Hoffmann\Andre-Hoffmann;de GER;DF;Düsseldorf;26;1993;19;1605;84;74.3;17.8;18;88;1;23;3;1.05;21;34;-13;-0.73;+0.89;16.6;32.4;-15.8;-0.88;+0.02;Matches
208;Nicolas Höfler\Nicolas-Hofler;de GER;MF;Freiburg;29;1990;22;1901;86;88.0;21.1;21;89;1;34;0;1.32;26;29;-3;-0.14;-0.14;27.3;36.8;-9.5;-0.45;+0.65;Matches
209;Jonas Hofmann\Jonas-Hofmann;de GER;MFFW;M'gladbach;27;1992;13;831;64;40.1;9.2;9;85;4;17;3;2.23;18;12;+6;+0.65;-0.29;16.6;13.7;+2.9;+0.31;-0.49;Matches
210;Marco Höger\Marco-Hoger;de GER;MF;Köln;29;1989;10;519;52;24.0;5.8;6;68;4;28;11;0.70;2;19;-17;-2.95;-3.61;4.1;11.9;-7.7;-1.34;-1.81;Matches
211;Lucas Höler\Lucas-Holer;de GER;FWMF;Freiburg;25;1994;24;1794;75;83.1;19.9;20;85;4;22;0;1.38;25;28;-3;-0.15;-0.15;26.2;36.8;-10.6;-0.53;-0.02;Matches
212;Gerrit Holtmann\Gerrit-Holtmann;de GER;MFDF;Paderborn 07;24;1995;17;738;43;32.8;8.2;9;59;8;26;6;0.71;9;16;-7;-0.85;+0.16;9.2;15.0;-5.8;-0.70;+0.10;Matches
213;Luca Horn\Luca-Horn;de GER;FW;Wolfsburg;20;1998;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
214;Timo Horn\Timo-Horn;de GER;GK;Köln;26;1993;24;2160;90;100.0;24.0;24;90;0;;0;1.33;38;43;-5;-0.21;;34.8;34.1;+0.7;+0.03;;Matches
215;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;Leverkusen;29;1989;24;2160;90;100.0;24.0;24;90;0;;0;1.83;41;30;+11;+0.46;;40.5;31.1;+9.3;+0.39;;Matches
216;Benjamin Hübner\Benjamin-Hubner;de GER;DF;Hoffenheim;30;1989;17;1495;88;69.2;16.6;17;88;0;;2;1.71;26;25;+1;+0.06;+1.28;23.8;27.6;-3.8;-0.23;+0.16;Matches
217;Florian Hübner\Florian-Hubner;de GER;DF;Union Berlin;28;1991;7;558;80;25.8;6.2;6;83;1;63;5;1.43;8;6;+2;+0.32;+0.83;9.7;8.5;+1.2;+0.19;+0.89;Matches
218;Mats Hummels\Mats-Hummels;de GER;DF;Dortmund;30;1988;22;1817;83;84.1;20.2;22;83;0;;0;2.00;58;27;+31;+1.54;+0.75;36.8;25.2;+11.7;+0.58;-0.23;Matches
219;Uwe Hünemeier\Uwe-Hunemeier;de GER;DF;Paderborn 07;33;1986;9;603;67;26.8;6.7;6;90;3;21;12;0.78;10;19;-9;-1.34;-0.52;8.2;14.8;-6.6;-0.99;-0.30;Matches
220;Jonas Hupe\Jonas-Hupe;de GER;GK;Dortmund;19;1999;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
221;Jannik Huth\Jannik-Huth;de GER;GK;Paderborn 07;25;1994;6;540;90;24.0;6.0;6;90;0;;19;0.17;8;17;-9;-1.50;-0.71;6.7;12.8;-6.1;-1.02;-0.32;Matches
222;Iago\Iago;br BRA;DFMF;Augsburg;22;1997;7;480;69;22.2;5.3;5;90;2;15;8;1.14;9;10;-1;-0.19;+0.51;5.3;8.7;-3.4;-0.64;-0.50;Matches
