id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
37;Maksim Belyayev\Maksim-Belyayev;ru RUS;DF;Arsenal Tula;27;1991;20.0;1;0;0;11;7;1;1;14;36;;;0;Matches
38;Marcus Berg\Marcus-Berg;se SWE;FW;Krasnodar;32;1986;7.8;3;1;0;18;17;4;0;2;3;;;0;Matches
39;Bernard Berisha\Bernard-Berisha;xk KVX;MFFW;Akhmat Grozny;27;1991;12.2;4;0;0;23;36;6;23;14;5;;;0;Matches
40;Kantemir Berkhamov\Kantemir-Berkhamov;ru RUS;FW;Arsenal Tula;30;1988;0.7;0;0;0;1;2;0;0;0;1;;;0;Matches
41;Eric Bicfalvi\Eric-Bicfalvi;ro ROU;MF;Ural;31;1988;14.9;2;0;0;27;36;2;19;17;8;;;0;Matches
42;Jaka Bijol\Jaka-Bijol;si SVN;MFFW;CSKA Moscow;20;1999;5.6;3;1;1;20;8;1;1;4;9;;;0;Matches
43;Kristijan Bistrović\Kristijan-Bistrovic;hr CRO;MF;CSKA Moscow;21;1998;12.0;3;0;0;14;17;0;16;11;14;;;0;Matches
44;Lovro Bizjak\Lovro-Bizjak;si SVN;FW;Ufa;25;1993;10.1;1;0;0;33;18;12;10;9;3;;;0;Matches
45;Miroslav Bogosavac\Miroslav-Bogosavac;rs SRB;DF;Akhmat Grozny;22;1996;1.0;0;0;0;0;1;0;2;2;5;;;0;Matches
46;Petrus Boumal\Petrus-Boumal;cm CMR;MF;Ural;26;1993;7.0;3;0;0;16;5;0;5;10;9;;;0;Matches
47;Taras Burlak\Taras-Burlak;ru RUS;DF;Samara;29;1990;5.0;0;0;0;3;1;0;0;0;9;;;0;Matches
48;Nikita Burmistrov\Nikita-Burmistrov;ru RUS;MF;Sochi;30;1989;12.5;4;0;0;24;12;2;42;14;8;;;0;Matches
49;Rémy Cabella\Remy-Cabella;fr FRA;MFFW;Krasnodar;29;1990;1.6;2;0;0;6;6;0;5;3;4;;;0;Matches
50;Miguel Filipe Nunes Cardoso\Miguel-Filipe-Nunes-Cardoso;pt POR;MF;Tambov;25;1994;0.1;0;0;0;0;0;0;1;0;0;;;0;Matches
51;Miguel Filipe Nunes Cardoso\Miguel-Filipe-Nunes-Cardoso;pt POR;MF;Dynamo Mosc;25;1994;3.0;1;0;0;4;5;2;10;4;1;;;0;Matches
52;Cătălin Carp\Catalin-Carp;md MDA;MF;Ufa;25;1993;17.7;5;0;0;25;28;1;11;23;32;;;0;Matches
53;Goran Čaušić\Goran-Causic;rs SRB;MF;Arsenal Tula;27;1992;12.4;1;0;0;21;11;0;3;17;20;;;0;Matches
54;Fiodor Černych\Fiodor-Cernych;lt LTU;MFFW;Orenburg;28;1991;2.6;0;0;0;4;4;3;9;0;4;;;0;Matches
55;Murilo Cerqueira\Murilo-Cerqueira;br BRA;DFMF;Loko Moscow;22;1997;13.8;1;0;0;16;10;0;1;19;26;;;0;Matches
56;Fyodor Chalov\Fyodor-Chalov;ru RUS;FW;CSKA Moscow;21;1998;19.6;2;0;0;22;22;11;3;2;4;;;0;Matches
57;Andrei Chasovskikh\Andrei-Chasovskikh;ru RUS;FW;Tambov;28;1991;0.4;0;0;0;0;2;0;0;1;0;;;0;Matches
58;Aleksandr Chernikov\Aleksandr-Chernikov;ru RUS;MF;Krasnodar;19;2000;0.5;0;0;0;3;0;0;0;0;1;;;0;Matches
59;Aleksei Chernov\Aleksei-Chernov;ru RUS;GK;Ufa;21;1998;2.0;0;0;0;0;1;0;0;0;0;;;0;Matches
60;Nikita Chernov\Nikita-Chernov;ru RUS;DF;Samara;23;1996;16.0;4;0;0;18;13;0;2;12;41;;;0;Matches
61;Yevgeni Chernov\Yevgeni-Chernov;ru RUS;DF;Rostov;26;1992;20.0;1;0;0;10;23;1;124;12;16;;;0;Matches
62;Oleg Chernyshov\Oleg-Chernyshov;ru RUS;MF;Tambov;32;1986;2.4;0;0;0;3;7;0;2;2;9;;;0;Matches
63;Nikita Chicherin\Nikita-Chicherin;ru RUS;DF;Samara;28;1990;0.2;0;0;0;3;0;0;0;0;0;;;0;Matches
64;Dmitri Chistyakov\Dmitri-Chistyakov;ru RUS;DF;Rostov;25;1994;17.0;4;0;0;19;14;1;3;12;44;;;0;Matches
65;Andrea Chukanov\Andrea-Chukanov;ru RUS;DFMF;Orenburg;23;1995;4.5;0;0;0;5;3;0;30;3;6;;;0;Matches
66;Valeriu Ciupercă\Valeriu-Ciuperca;md MDA;MF;Tambov;27;1992;13.2;8;3;2;34;37;0;22;21;18;;;0;Matches
67;Vedran Ćorluka\Vedran-Corluka;hr CRO;DF;Loko Moscow;33;1986;18.4;5;0;0;6;10;1;0;13;28;;;0;Matches
68;Oleh Danchenko\Oleh-Danchenko;ua UKR;DF;Rubin Kazan;24;1994;15.9;3;0;0;8;19;0;110;15;15;;;0;Matches
69;Zuriko Davitashvili\Zuriko-Davitashvili;ge GEO;MF;Rubin Kazan;18;2001;13.7;4;0;0;20;33;6;50;9;6;;;0;Matches
70;Aleksandr Denisov\Aleksandr-Denisov;ru RUS;DFMF;Arsenal Tula;30;1989;5.7;3;0;0;14;6;0;2;10;8;;;0;Matches
71;Vitaliy Denisov\Vitaliy-Denisov;uz UZB;DF;Rubin Kazan;32;1987;6.6;2;0;0;17;10;0;12;15;16;;;0;Matches
72;Đorđe Despotović\Djordje-Despotovic;rs SRB;FW;Orenburg;27;1992;16.6;5;0;0;28;19;11;12;11;5;;;0;Matches
73;Nikolay Dimitrov\Nikolay-Dimitrov;bg BUL;MF;Ural;31;1987;11.3;1;0;0;8;11;6;44;12;12;;;0;Matches
74;Igor Diveev\Igor-Diveev;ru RUS;DF;CSKA Moscow;19;1999;16.5;4;0;0;16;2;0;2;11;25;;;0;Matches
75;Aleksandr Dolgov\Aleksandr-Dolgov;ru RUS;FW;Rostov;20;1998;0.4;1;0;0;1;2;2;0;2;1;;;0;Matches
76;Aleksandr Dovbnya\Aleksandr-Dovbnya;ru RUS;GK;Orenburg;32;1987;5.0;2;0;0;1;1;0;0;0;0;;;0;Matches
77;Sebastián Driussi\Sebastian-Driussi;ar ARG;MFFW;Zenit;23;1996;13.3;1;0;0;22;16;1;62;11;6;;;0;Matches
78;Yuri Dyupin\Yuri-Dyupin;ru RUS;GK;Rubin Kazan;31;1988;20.0;2;0;0;0;5;0;0;1;0;;;0;Matches
79;Alan Dzagoev\Alan-Dzagoev;ru RUS;MFFW;CSKA Moscow;29;1990;2.8;1;0;0;7;3;1;1;2;2;;;0;Matches
80;Soslan Dzhanayev\Soslan-Dzhanayev;ru RUS;GK;Sochi;32;1987;14.0;2;0;0;0;3;0;0;1;1;;;0;Matches
81;Georgi Dzhikiya\Georgi-Dzhikiya;ru RUS;DF;Spartak Moscow;25;1993;17.9;5;1;1;19;21;0;4;15;23;;;0;Matches
82;Artem Dzyuba\Artem-Dzyuba;ru RUS;FW;Zenit;30;1988;17.3;1;0;0;20;42;22;28;2;2;;;0;Matches
83;Éder\Eder;pt POR;FW;Loko Moscow;31;1987;11.1;2;0;0;18;26;8;6;4;2;;;0;Matches
84;Danila Emelyanov\Danila-Emelyanov;ru RUS;MF;Ufa;19;2000;5.6;1;0;0;5;2;2;21;12;3;;;0;Matches
85;Roman Eremenko\Roman-Eremenko;fi FIN;MF;Rostov;32;1987;14.5;4;0;0;24;21;0;71;11;5;;;0;Matches
86;Aleksandr Erokhin\Aleksandr-Erokhin;ru RUS;MFFW;Zenit;29;1989;7.4;2;0;0;10;5;0;7;7;7;;;0;Matches
87;Joel Fameyeh\Joel-Fameyeh;gh GHA;MFFW;Orenburg;22;1997;6.8;0;0;0;7;12;5;9;4;4;;;0;Matches
88;Manuel Fernandes\Manuel-Fernandes;pt POR;MFFW;Krasnodar;33;1986;4.3;0;0;0;5;6;3;24;5;3;;;0;Matches
89;Mário Fernandes\Mario-Fernandes;ru RUS;MF;CSKA Moscow;28;1990;20.0;2;0;0;20;15;5;48;26;19;;;0;Matches
90;Fernando\Fernando;br BRA;MF;Spartak Moscow;27;1992;3.0;1;0;0;4;5;0;20;4;8;;;0;Matches
91;Artyom Fidler\Artyom-Fidler;ru RUS;MF;Ural;36;1983;5.2;4;0;0;14;4;0;0;8;14;;;0;Matches
92;Oleksandr Filin\Oleksandr-Filin;ru RUS;DF;Tambov;23;1996;1.0;0;0;0;0;1;0;0;0;3;;;0;Matches
93;Daniil Fomin\Daniil-Fomin;ru RUS;MF;Ufa;22;1997;19.0;5;0;0;15;12;0;16;23;23;;;0;Matches
94;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Samara;31;1988;1.0;0;0;0;0;1;0;0;0;0;;;0;Matches
95;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Sochi;31;1988;1.0;0;0;0;0;0;0;0;0;0;;;0;Matches
96;Artyom Galadzhan\Artyom-Galadzhan;ru RUS;FW;Orenburg;21;1998;0.5;0;0;0;2;2;0;0;0;0;;;0;Matches
97;Ilya Gaponov\Ilya-Gaponov;ru RUS;DF;Spartak Moscow;21;1997;1.0;0;0;0;1;0;0;0;4;1;;;0;Matches
98;Mikhail Gashchenkov\Mikhail-Gashchenkov;ru RUS;DFMF;Akhmat Grozny;27;1992;3.2;0;0;0;1;4;0;12;3;4;;;0;Matches
99;Alexandru Gațcan\Alexandru-Gatcan;md MDA;MF;Samara;35;1984;13.9;4;0;0;25;20;1;11;28;12;;;0;Matches
100;Alexandru Gațcan\Alexandru-Gatcan;md MDA;MF;Rostov;35;1984;0.0;0;0;0;0;1;0;0;0;0;;;0;Matches
101;Yuri Gazinskiy\Yuri-Gazinskiy;ru RUS;MF;Krasnodar;30;1989;2.4;0;0;0;2;2;0;1;5;5;;;0;Matches
102;Roland Gigolayev\Roland-Gigolayev;ru RUS;DF;Akhmat Grozny;29;1990;5.6;2;0;0;11;9;0;16;9;11;;;0;Matches
103;Samuel Gigot\Samuel-Gigot;fr FRA;DF;Spartak Moscow;25;1993;17.0;4;0;0;22;16;3;3;27;32;;;0;Matches
104;Radu Gînsari\Radu-Ginsari;md MDA;MF;Samara;27;1991;6.5;2;0;0;9;8;0;5;5;4;;;0;Matches
105;Nikolai Giorgobiani\Nikolai-Giorgobiani;ru RUS;MF;Ufa;22;1997;3.9;0;0;0;13;7;2;4;2;3;;;0;Matches
106;Danil Glebov\Danil-Glebov;ru RUS;MF;Rostov;19;1999;6.5;3;0;0;11;17;0;5;13;9;;;0;Matches
107;Denis Glushakov\Denis-Glushakov;ru RUS;MF;Akhmat Grozny;32;1987;12.7;3;0;0;20;17;1;7;16;8;;;0;Matches
108;Maksim Glushenkov\Maksim-Glushenkov;ru RUS;MF;Samara;20;1999;0.1;0;0;0;0;0;0;1;0;0;;;0;Matches
109;Maksim Glushenkov\Maksim-Glushenkov;ru RUS;MF;Spartak Moscow;20;1999;0.0;0;0;0;0;0;0;0;0;1;;;0;Matches
110;Cèdric Gogoua\Cedric-Gogoua;ci CIV;DF;Tambov;25;1994;5.0;2;0;0;5;3;0;0;6;8;;;0;Matches
111;Cèdric Gogoua\Cedric-Gogoua;ci CIV;DF;CSKA Moscow;25;1994;2.0;1;0;0;1;1;0;0;4;7;;;0;Matches
112;Yegor Golenkov\Yegor-Golenkov;ru RUS;FW;Samara;20;1999;0.7;0;0;0;1;0;0;0;0;0;;;0;Matches
113;Artem Golubev\Artem-Golubev;ru RUS;MF;Ufa;20;1999;4.1;2;0;0;8;11;0;4;2;5;;;0;Matches
114;Igor Gorbatenko\Igor-Gorbatenko;ru RUS;MFFW;Arsenal Tula;30;1989;16.1;2;0;0;25;21;1;70;14;8;;;0;Matches
115;Yevgeni Gorodov\Yevgeni-Gorodov;ru RUS;GK;Akhmat Grozny;33;1985;16.0;1;0;0;0;3;1;0;0;0;;;0;Matches
116;Gia Grigalava\Gia-Grigalava;ge GEO;DF;Arsenal Tula;29;1989;18.0;6;0;0;12;32;0;4;16;24;;;0;Matches
117;Aleksei Gritsayenko\Aleksei-Gritsayenko;ru RUS;DF;Tambov;24;1995;11.0;1;0;0;16;6;1;0;7;13;;;0;Matches
118;Vyacheslav Grulyov\Vyacheslav-Grulyov;ru RUS;FW;Dynamo Mosc;20;1999;3.0;0;0;0;6;5;2;2;3;0;;;0;Matches
119;Vitali Gudiyev\Vitali-Gudiyev;ru RUS;GK;Akhmat Grozny;24;1995;4.0;0;0;0;0;0;0;0;0;0;;;0;Matches
120;Ayaz Guliyev\Ayaz-Guliyev;ru RUS;MF;Spartak Moscow;22;1996;7.2;5;0;0;14;16;0;8;12;10;;;0;Matches
121;Edi Gutliv\Edi-Gutliv;il ISR;DF;Orenburg;26;1992;1.3;0;0;0;2;2;0;0;7;0;;;0;Matches
122;Jón Guðni Fjóluson\Jon-Gudni-Fjoluson;is ISL;DF;Krasnodar;30;1989;8.0;0;0;0;3;0;0;0;4;8;;;0;Matches
123;Dennis Hadzikadunic\Dennis-Hadzikadunic;se SWE;DF;Rostov;21;1998;9.2;4;0;0;11;7;0;1;9;10;;;0;Matches
124;Varazdat Haroyan\Varazdat-Haroyan;am ARM;DF;Ural;26;1992;16.9;7;0;0;28;4;0;3;23;27;;;0;Matches
125;Oscar Hiljemark\Oscar-Hiljemark;se SWE;MF;Dynamo Mosc;27;1992;2.2;0;0;0;2;3;0;10;2;1;;;0;Matches
126;Yaroslav Hodzyur\Yaroslav-Hodzyur;ua UKR;GK;Ural;34;1985;17.0;0;0;0;0;2;0;0;1;2;;;0;Matches
127;Benedikt Höwedes\Benedikt-Howedes;de GER;DF;Loko Moscow;31;1988;15.4;2;0;0;15;9;1;2;16;29;;;0;Matches
128;Brian Idowu\Brian-Idowu;ng NGA;DF;Loko Moscow;27;1992;3.1;2;0;0;5;0;0;5;5;5;;;0;Matches
129;Sylvester Igboun\Sylvester-Igboun;ng NGA;FW;Dynamo Mosc;28;1990;10.6;3;0;0;20;16;16;14;8;0;;;0;Matches
130;Sylvester Igboun\Sylvester-Igboun;ng NGA;MFFW;Ufa;28;1990;5.4;1;0;0;14;14;3;5;2;3;;;0;Matches
131;Mikhail Ignatov\Mikhail-Ignatov;ru RUS;MF;Spartak Moscow;19;2000;0.3;0;0;0;0;1;0;0;0;0;;;0;Matches
132;Ivan Ignatyev\Ivan-Ignatyev;ru RUS;FW;Krasnodar;20;1999;5.9;1;0;0;15;4;3;2;2;2;;;0;Matches
133;Ivan Ignatyev\Ivan-Ignatyev;ru RUS;FW;Rubin Kazan;20;1999;1.0;0;0;0;0;4;0;0;0;0;;;0;Matches
134;Vladislav Ignatyev\Vladislav-Ignatyev;ru RUS;DFMF;Loko Moscow;32;1987;14.5;8;0;0;23;20;2;33;31;25;;;0;Matches
135;Vladimir Ilyin\Vladimir-Ilyin;ru RUS;FWMF;Ural;27;1992;13.5;4;0;0;31;14;7;8;8;3;;;0;Matches
