id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
43;Selim Ay\Selim-Ay;tr TUR;DF;Konyaspor;28;1991;10.0;4;0;0;14;2;0;1;12;11;;;0;Matches
44;Berat Ayberk Özdemir\Berat-Ayberk-Ozdemir;tr TUR;MF;Gençlerbirliği;21;1998;13.7;4;0;0;23;12;1;5;19;28;;;0;Matches
45;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Başakşehir;28;1991;0.7;0;0;0;2;1;0;1;0;0;;;0;Matches
46;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Göztepe;28;1991;18.7;7;0;0;27;11;3;29;27;22;;;0;Matches
47;Ender Aygören\Ender-Aygoren;tr TUR;MF;Ankaragücü;19;2000;0.3;0;0;0;0;0;0;0;0;0;;;0;Matches
48;Yalçın Ayhan\Yalcin-Ayhan;tr TUR;DF;Ankaragücü;37;1982;1.1;0;0;0;0;1;0;0;1;2;;;0;Matches
49;Floyd Ayité\Floyd-Ayite;tg TOG;MFFW;Gençlerbirliği;30;1988;10.1;0;0;0;26;11;7;16;10;6;;;0;Matches
50;Sakıb Aytaç\Sakib-Aytac;tr TUR;DF;Yeni Mal'spor;27;1991;16.6;4;0;0;12;18;1;47;23;24;;;0;Matches
51;Abdul Aziz Tetteh\Abdul-Aziz-Tetteh;gh GHA;MF;Gaziantep FK;29;1990;5.1;1;0;0;10;4;0;0;4;10;;;0;Matches
52;Serdar Aziz\Serdar-Aziz;tr TUR;DF;Fenerbahçe;28;1990;15.3;7;0;0;18;23;0;2;30;23;;;1;Matches
53;Demba Ba\Demba-Ba;sn SEN;FWMF;Başakşehir;34;1985;11.0;4;0;0;15;23;10;4;3;2;;;0;Matches
54;Mame Baba Thiam\Mame-Baba-Thiam;sn SEN;MFFW;Kasımpaşa;26;1992;13.1;4;0;0;34;22;4;6;11;6;;;0;Matches
55;Ryan Babel\Ryan-Babel;nl NED;MFFW;Galatasaray;32;1986;13.8;5;0;0;21;20;14;28;1;4;;;0;Matches
56;Baiano\Baiano;br BRA;DF;Alanyaspor;32;1987;8.1;3;0;0;17;5;0;33;21;14;;;0;Matches
57;Fabrício Baiano\Fabricio-Baiano;br BRA;MFDF;Gençlerbirliği;27;1992;16.6;7;0;0;35;30;1;32;35;12;;;0;Matches
58;Riad Bajić\Riad-Bajic;ba BIH;FW;Konyaspor;25;1994;12.0;1;0;0;10;17;5;4;1;2;;;0;Matches
59;Anastasios Bakasetas\Anastasios-Bakasetas;gr GRE;MF;Alanyaspor;26;1993;22.2;3;0;0;28;37;0;112;8;2;;;0;Matches
60;Göktuğ Bakırbaş\Goktug-Bakirbas;tr TUR;GK;Göztepe;23;1996;2.9;1;0;0;0;0;0;0;0;0;;;0;Matches
61;Bünyamin Balcı\Bunyamin-Balci;tr TUR;DF;Antalyaspor;19;2000;6.5;2;0;0;5;4;1;15;7;9;;;0;Matches
62;Yacine Bammou\Yacine-Bammou;ma MAR;FWMF;Alanyaspor;27;1991;5.9;1;0;0;9;6;4;26;0;6;;;0;Matches
63;Modou Barrow\Modou-Barrow;gm GAM;MF;Denizlispor;26;1992;19.1;3;1;0;21;34;6;105;16;11;;;0;Matches
64;Bilal Başaçıkoğlu\Bilal-Basacikoglu;tr TUR;MFFW;Kayserispor;24;1995;5.4;1;0;0;12;11;1;25;7;1;;;0;Matches
65;Bilal Başaçıkoğlu\Bilal-Basacikoglu;tr TUR;FWMF;Trabzonspor;24;1995;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
66;Altay Bayındır\Altay-Bayindir;tr TUR;GK;Fenerbahçe;21;1998;24.0;3;0;0;1;4;0;0;0;2;;;0;Matches
67;Emin Bayram\Emin-Bayram;tr TUR;DF;Galatasaray;16;2003;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
68;Ömer Bayram\Omer-Bayram;tr TUR;MF;Galatasaray;28;1991;18.2;6;0;0;28;40;2;156;17;16;;;0;Matches
69;Aziz Behich\Aziz-Behich;au AUS;DF;Başakşehir;28;1990;3.6;0;0;0;3;6;0;4;5;4;;;0;Matches
70;Younès Belhanda\Younes-Belhanda;ma MAR;MF;Galatasaray;29;1990;12.4;6;1;1;14;17;0;19;9;6;;;0;Matches
71;Emre Belözoğlu\Emre-Belozoglu;tr TUR;MF;Fenerbahçe;38;1980;12.2;4;0;0;15;17;1;61;18;9;;;0;Matches
72;Syam Ben Youssef\Syam-Ben-Youssef;tn TUN;DF;Kasımpaşa;30;1989;15.0;4;0;0;17;6;0;1;8;17;;;0;Matches
73;Syam Ben Youssef\Syam-Ben-Youssef;tn TUN;DF;Denizlispor;30;1989;2.0;0;0;0;0;0;0;0;1;2;;;0;Matches
74;Zakarya Bergdich\Zakarya-Bergdich;ma MAR;DF;Denizlispor;30;1989;13.5;4;0;0;22;8;1;36;13;18;;;0;Matches
75;Rahmetullah Berişbek\Rahmetullah-Berisbek;tr TUR;MF;Gençlerbirliği;20;1999;2.9;1;0;0;5;2;0;6;4;3;;;0;Matches
76;Beto\Beto;pt POR;GK;Göztepe;37;1982;20.0;4;1;0;2;6;0;0;0;0;;;0;Matches
77;Thievy Bifouma\Thievy-Bifouma;cg CGO;MFFW;Yeni Mal'spor;27;1992;14.1;2;0;0;22;24;4;31;15;7;;;0;Matches
78;Tayfur Bingöl\Tayfur-Bingol;tr TUR;MF;Alanyaspor;26;1993;0.0;0;0;0;0;1;0;2;0;0;;;0;Matches
79;André Biyogo Poko\Andre-Biyogo-Poko;ga GAB;MF;Göztepe;26;1993;7.0;3;1;0;7;11;1;6;19;12;;;0;Matches
80;Mattias Bjärsmyr\Mattias-Bjarsmyr;se SWE;DF;Gençlerbirliği;33;1986;7.0;0;0;0;4;2;0;1;7;7;;;0;Matches
81;Gustavo Blanco Leschuk\Gustavo-Blanco-Leschuk;ar ARG;FW;Antalyaspor;27;1991;12.6;3;0;0;22;20;3;7;6;2;;;0;Matches
82;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;MF;Beşiktaş;32;1987;3.4;1;0;0;8;11;1;2;2;4;;;0;Matches
83;Ruud Boffin\Ruud-Boffin;be BEL;GK;Antalyaspor;31;1987;16.0;2;0;0;0;2;0;0;0;0;;;0;Matches
84;Fernando Boldrin\Fernando-Boldrin;br BRA;MFFW;Rizespor;30;1989;19.7;3;0;0;27;48;2;96;12;7;;;0;Matches
85;Celso Borges\Celso-Borges;cr CRC;MFDF;Göztepe;31;1988;6.5;1;0;0;5;2;0;2;4;12;;;0;Matches
86;Andriy Boryachuk\Andriy-Boryachuk;ua UKR;DFFW;Rizespor;23;1996;0.1;0;0;0;1;0;0;0;0;0;;;0;Matches
87;Tyler Boyd\Tyler-Boyd;us USA;MF;Beşiktaş;24;1994;6.3;3;0;0;10;11;1;18;2;8;;;0;Matches
88;Tomáš Břečka\Tomas-Brecka;cz CZE;DF;Kasımpaşa;25;1994;6.1;1;0;0;4;4;0;0;1;8;;;0;Matches
89;Onur Bulut\Onur-Bulut;tr TUR;DF;Alanyaspor;25;1994;9.6;2;0;0;7;9;0;50;13;19;;;0;Matches
90;Umut Bulut\Umut-Bulut;tr TUR;FW;Yeni Mal'spor;36;1983;4.3;0;0;0;5;5;3;2;1;0;;;0;Matches
91;Umut Bulut\Umut-Bulut;tr TUR;MFFW;Kayserispor;36;1983;10.1;3;1;1;10;10;1;5;12;3;;;0;Matches
92;Adem Büyük\Adem-Buyuk;tr TUR;FWMF;Galatasaray;31;1987;9.4;3;0;0;27;27;8;7;10;4;;;0;Matches
93;Musa Çağıran\Musa-Cagiran;tr TUR;MF;Alanyaspor;26;1992;3.7;0;0;0;13;3;1;4;8;9;;;0;Matches
94;Rahman Çağıran\Rahman-Cagiran;tr TUR;MF;Yeni Mal'spor;24;1995;1.4;0;0;0;1;0;2;6;4;2;;;0;Matches
95;Oğulcan Çağlayan\Ogulcan-Caglayan;tr TUR;FWMF;Rizespor;23;1996;12.7;4;0;0;21;17;5;21;9;6;;;0;Matches
96;Júnior Caiçara\Junior-Caicara;br BRA;DF;Başakşehir;30;1989;23.0;1;0;0;28;18;1;66;37;25;;;0;Matches
97;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;Trabzonspor;23;1996;21.6;5;0;0;1;6;0;0;1;2;;;0;Matches
98;Burak Çalık\Burak-Calik;tr TUR;MF;Denizlispor;30;1989;1.0;1;0;0;2;2;1;1;1;1;;;0;Matches
99;Samba Camara\Samba-Camara;fr FRA;DF;Sivasspor;26;1992;1.5;0;0;0;3;0;0;0;3;3;;;0;Matches
100;Tarık Çamdal\Tarik-Camdal;tr TUR;DFMF;Antalyaspor;28;1991;3.1;1;0;0;3;8;0;1;6;1;;;0;Matches
101;Ali Çamdalı\Ali-Camdali;tr TUR;MF;Konyaspor;35;1984;0.6;0;0;0;1;0;0;0;0;0;;;0;Matches
102;Gustavo Campanharo\Gustavo-Campanharo;br BRA;MF;Kayserispor;27;1992;6.3;2;0;0;15;8;0;4;8;13;;;0;Matches
103;Gastón Campi\Gaston-Campi;ar ARG;DF;Trabzonspor;28;1991;14.0;4;0;0;20;4;1;2;17;26;;;0;Matches
104;Djalma Campos\Djalma-Campos;ao ANG;MF;Alanyaspor;32;1987;10.7;1;0;0;18;19;7;48;6;7;;;0;Matches
105;Mücahit Can Akçay\Mucahit-Can-Akcay;tr TUR;FW;Konyaspor;21;1998;1.2;1;0;0;7;4;0;0;1;1;;;0;Matches
106;Ahmet Can Arık\Ahmet-Can-Arik;tr TUR;DF;Ankaragücü;21;1997;0.0;0;0;0;0;1;0;0;0;0;;;0;Matches
107;Osman Can Çötür\Osman-Can-Cotur;tr TUR;DF;Kayserispor;17;2001;1.0;0;0;0;0;0;0;0;3;5;;;0;Matches
108;Ahmet Canbaz\Ahmet-Canbaz;tr TUR;MF;Trabzonspor;21;1998;0.7;0;0;0;0;0;1;3;1;2;;;0;Matches
109;Daniel Candeias\Daniel-Candeias;pt POR;MF;Gençlerbirliği;31;1988;21.7;8;0;0;40;17;2;143;28;11;;;1;Matches
110;Héctor Canteros\Hector-Canteros;ar ARG;MF;Ankaragücü;30;1989;11.7;4;0;0;21;12;0;47;9;5;;;0;Matches
111;Oğuzhan Çapar\Oguzhan-Capar;tr TUR;DF;Kayserispor;22;1996;1.0;0;0;0;1;1;0;0;1;0;;;0;Matches
112;José Carlos Marafona\Jose-Carlos-Marafona;pt POR;GK;Alanyaspor;32;1987;24.0;1;0;0;0;5;0;0;1;0;;;0;Matches
113;André Castro\Andre-Castro;pt POR;MF;Göztepe;31;1988;17.0;2;0;0;20;28;0;14;20;25;;;0;Matches
114;Steven Caulker\Steven-Caulker;eng ENG;DF;Alanyaspor;27;1991;19.1;1;0;0;6;6;0;0;6;13;;;0;Matches
115;Özgür Çek\Ozgur-Cek;tr TUR;DF;Kasımpaşa;28;1991;3.2;0;0;0;5;6;0;11;6;3;;;0;Matches
116;Özgür Çek\Ozgur-Cek;tr TUR;DF;Denizlispor;28;1991;4.4;0;0;0;8;10;0;27;4;10;;;0;Matches
117;Alpay Çelebi\Alpay-Celebi;tr TUR;DF;Kayserispor;20;1999;0.1;0;0;0;0;0;0;0;0;0;;;0;Matches
118;Muğdat Çelik\Mugdat-Celik;tr TUR;FW;Gaziantep FK;29;1990;0.3;0;0;0;1;0;0;0;0;0;;;0;Matches
119;Korcan Çelikay\Korcan-Celikay;tr TUR;GK;Ankaragücü;31;1987;20.0;0;0;0;0;5;0;0;0;0;;;1;Matches
120;Ondřej Čelůstka\Ondrej-Celustka;cz CZE;DF;Antalyaspor;30;1989;20.8;4;0;0;23;9;1;9;18;21;;;1;Matches
121;Tarık Çetin\Tarik-Cetin;tr TUR;GK;Rizespor;22;1997;1.0;0;1;0;1;0;0;0;0;0;;;0;Matches
122;Oğuz Ceylan\Oguz-Ceylan;tr TUR;DFMF;Gaziantep FK;28;1990;21.0;8;0;0;30;21;2;107;29;24;;;0;Matches
123;Ghaylène Chaalali\Ghaylene-Chaalali;tn TUN;MF;Yeni Mal'spor;25;1994;6.1;4;0;0;16;6;0;19;11;4;;;0;Matches
124;Aatif Chahechouhe\Aatif-Chahechouhe;ma MAR;MFFW;Antalyaspor;33;1986;11.8;0;0;0;11;19;0;8;14;2;;;0;Matches
125;Dimitris Chatziisaias\Dimitris-Chatziisaias;gr GRE;DF;Rizespor;26;1992;7.6;1;0;0;4;6;0;1;6;9;;;0;Matches
126;Issam Chebake\Issam-Chebake;ma MAR;DF;Yeni Mal'spor;29;1989;16.5;4;0;0;31;47;3;52;18;17;;;0;Matches
127;Aurélien Chedjou\Aurelien-Chedjou;cm CMR;DF;Başakşehir;34;1985;2.0;0;0;0;1;1;0;0;2;6;;;0;Matches
128;Raman Chibsah\Raman-Chibsah;gh GHA;MF;Gaziantep FK;26;1993;12.4;5;0;0;24;20;0;2;16;13;;;0;Matches
129;Chico\Chico;br BRA;MFDF;Antalyaspor;32;1987;10.2;0;0;0;10;9;0;1;13;13;;;0;Matches
130;Nadir Çiftçi\Nadir-Ciftci;nl NED;MFFW;Gençlerbirliği;27;1992;5.2;3;1;0;15;11;1;10;8;4;;;0;Matches
131;Uğur Çiftçi\Ugur-Ciftci;tr TUR;DF;Sivasspor;27;1992;17.0;6;1;0;30;10;1;61;27;28;;;0;Matches
132;Sadık Çiftpınar\Sadik-Ciftpinar;tr TUR;DF;Fenerbahçe;26;1993;1.5;0;0;0;1;2;0;0;2;3;;;0;Matches
133;Tolga Ciğerci\Tolga-Cigerci;tr TUR;MF;Fenerbahçe;27;1992;14.8;2;0;0;19;14;6;49;10;12;;;0;Matches
134;Orkan Çınar\Orkan-Cinar;tr TUR;MF;Ankaragücü;23;1996;0.3;0;0;0;0;1;0;6;1;0;;;0;Matches
135;Orkan Çınar\Orkan-Cinar;tr TUR;MF;Beşiktaş;23;1996;0.5;1;0;0;1;0;0;3;0;1;;;0;Matches
136;Şamil Çinaz\Samil-Cinaz;tr TUR;MF;Kayserispor;33;1986;4.1;1;0;0;5;4;0;1;5;5;;;0;Matches
137;İsmail Çipe\Ismail-Cipe;tr TUR;GK;Kayserispor;24;1995;5.0;0;0;0;0;1;0;0;0;0;;;0;Matches
138;Papiss Cissé\Papiss-Cisse;sn SEN;FW;Alanyaspor;34;1985;20.5;4;0;0;23;10;13;12;8;5;;;0;Matches
139;Emirhan Civelek\Emirhan-Civelek;tr TUR;DF;Kayserispor;19;2000;1.0;0;0;0;1;0;0;0;2;3;;;0;Matches
140;Gaël Clichy\Gael-Clichy;fr FRA;DF;Başakşehir;34;1985;21.0;2;0;0;21;12;0;79;23;55;;;0;Matches
141;Isaac Cofie\Isaac-Cofie;gh GHA;MF;Sivasspor;27;1991;4.7;4;1;1;7;3;0;0;6;12;;;0;Matches
142;Kamil Çörekçi\Kamil-Corekci;tr TUR;MFDF;Trabzonspor;27;1992;10.0;2;0;0;10;11;2;12;18;9;;;0;Matches
143;Manuel da Costa\Manuel-da-Costa;ma MAR;DF;Trabzonspor;33;1986;3.0;1;0;0;7;2;0;0;2;4;;;0;Matches
144;Enzo Crivelli\Enzo-Crivelli;fr FRA;FW;Başakşehir;24;1995;19.9;8;0;0;52;30;14;2;7;4;;;0;Matches
145;Erdon Daci\Erdon-Daci;mk MKD;MFFW;Konyaspor;21;1998;6.9;2;0;0;12;7;4;13;3;3;;;0;Matches
146;Nill De Pauw\Nill-De-Pauw;be BEL;MFFW;Rizespor;29;1990;4.7;1;0;0;11;5;1;16;3;6;;;0;Matches
147;Emre Demir\Emre-Demir;tr TUR;MFFW;Kayserispor;15;2004;5.6;1;0;0;10;15;0;8;7;1;;;0;Matches
148;Muhammet Demir\Muhammet-Demir;tr TUR;FW;Gaziantep FK;27;1992;7.8;1;0;0;13;18;2;1;2;4;;;0;Matches
149;Uğur Demirok\Ugur-Demirok;tr TUR;DF;Konyaspor;31;1988;3.0;0;0;0;3;1;0;0;2;4;;;0;Matches
150;İlhan Depe\Ilhan-Depe;tr TUR;MF;Kasımpaşa;26;1992;9.1;2;0;0;11;13;6;54;16;6;;;0;Matches
151;Eren Derdiyok\Eren-Derdiyok;ch SUI;FW;Göztepe;31;1988;3.0;1;0;0;5;3;0;0;0;0;;;0;Matches
152;Abdoulay Diaby\Abdoulay-Diaby;ml MLI;MF;Beşiktaş;28;1991;14.9;0;0;0;23;20;5;24;12;3;;;0;Matches
153;Fallou Diagne\Fallou-Diagne;sn SEN;DF;Konyaspor;29;1989;3.0;0;0;0;0;0;0;0;2;4;;;0;Matches
154;Mbaye Diagne\Mbaye-Diagne;sn SEN;FW;Galatasaray;27;1991;2.3;0;0;0;2;3;1;0;0;1;;;0;Matches
155;Abdoulaye Diallo\Abdoulaye-Diallo;sn SEN;GK;Gençlerbirliği;27;1992;4.0;0;0;0;0;0;0;0;0;1;;;0;Matches
156;Sadio Diallo\Sadio-Diallo;gn GUI;MF;Gençlerbirliği;28;1990;1.8;0;0;0;4;4;0;1;5;1;;;0;Matches
157;Souleymane Diarra\Souleymane-Diarra;ml MLI;MF;Gaziantep FK;24;1995;12.6;8;0;0;17;23;1;6;19;15;;;0;Matches
158;Soner Dikmen\Soner-Dikmen;tr TUR;MF;Gençlerbirliği;25;1993;0.7;1;0;0;5;0;0;0;1;1;;;0;Matches
159;Ismaël Diomandé\Ismael-Diomande;ci CIV;MF;Rizespor;26;1992;13.4;8;1;1;30;13;0;2;19;12;;;0;Matches
160;Nabil Dirar\Nabil-Dirar;ma MAR;DF;Fenerbahçe;33;1986;18.7;5;0;0;23;24;1;49;21;9;;;0;Matches
161;Brice Dja Djédjé\Brice-Dja-Djedje;ci CIV;MF;Kayserispor;28;1990;19.0;5;0;0;28;44;1;29;14;15;;;0;Matches
162;Armin Djerlek\Armin-Djerlek;rs SRB;FW;Sivasspor;19;2000;0.6;0;0;0;2;0;0;0;0;0;;;0;Matches
163;Papy Djilobodji\Papy-Djilobodji;sn SEN;DFMF;Gaziantep FK;30;1988;22.5;4;0;0;22;21;0;4;25;47;;;0;Matches
164;Mitchell Donald\Mitchell-Donald;nl NED;MF;Yeni Mal'spor;30;1988;15.3;3;0;0;22;14;4;9;7;10;;;0;Matches
165;Ryan Donk\Ryan-Donk;nl NED;DF;Galatasaray;33;1986;15.7;3;0;0;9;9;0;2;10;6;;;0;Matches
166;Douglas\Douglas;br BRA;DF;Beşiktaş;28;1990;3.1;1;0;0;3;10;0;11;5;2;;;0;Matches
167;Abdullah Durak\Abdullah-Durak;tr TUR;MFDF;Rizespor;32;1987;12.5;2;0;0;16;29;1;12;17;17;;;0;Matches
168;Jimmy Durmaz\Jimmy-Durmaz;se SWE;MF;Galatasaray;30;1989;2.0;2;0;0;1;3;1;7;1;3;;;0;Matches
169;Abdurrahim Dursun\Abdurrahim-Dursun;tr TUR;DF;Trabzonspor;20;1998;0.4;0;0;0;0;0;0;0;0;1;;;0;Matches
170;Salih Dursun\Salih-Dursun;tr TUR;DF;Antalyaspor;28;1991;0.8;0;0;0;2;0;0;0;0;1;;;0;Matches
171;Volkan Egri\Volkan-Egri;tr TUR;DF;Sivasspor;21;1998;0.2;0;0;0;0;1;0;1;0;0;;;0;Matches
172;Mehmet Ekici\Mehmet-Ekici;tr TUR;MF;Fenerbahçe;29;1990;1.0;0;0;0;1;4;0;12;2;1;;;0;Matches
173;Caleb Ekuban\Caleb-Ekuban;gh GHA;MF;Trabzonspor;25;1994;6.1;0;0;0;13;7;2;4;6;3;;;0;Matches
174;Eljero Elia\Eljero-Elia;nl NED;MF;Başakşehir;32;1987;13.0;1;0;0;18;14;8;27;14;9;;;0;Matches
175;Mohamed Elneny\Mohamed-Elneny;eg EGY;MF;Beşiktaş;27;1992;17.6;6;1;0;23;16;0;5;11;22;;;0;Matches
176;Berkan Emir\Berkan-Emir;tr TUR;DF;Göztepe;31;1988;19.9;4;0;0;12;20;1;114;15;17;;;0;Matches
177;Alexandru Epureanu\Alexandru-Epureanu;md MDA;DF;Başakşehir;32;1986;21.0;3;0;0;18;14;0;0;14;30;;;0;Matches
178;Ziya Erdal\Ziya-Erdal;tr TUR;DFMF;Sivasspor;31;1988;9.6;2;0;0;11;11;2;33;15;12;;;0;Matches
179;Mehmet Erdem Uğurlu\Mehmet-Erdem-Ugurlu;tr TUR;DF;Gaziantep FK;31;1988;0.9;0;0;0;2;4;0;0;2;1;;;0;Matches
180;Mevlüt Erdinç\Mevlut-Erdinc;tr TUR;FW;Fenerbahçe;32;1987;0.7;0;0;0;1;1;0;1;0;0;;;0;Matches
181;Doğan Erdoğan\Dogan-Erdogan;tr TUR;MF;Trabzonspor;22;1996;4.9;1;0;0;7;5;1;4;8;6;;;0;Matches
182;Yusuf Erdoğan\Yusuf-Erdogan;tr TUR;MF;Kasımpaşa;26;1992;4.4;0;0;0;4;6;1;29;1;3;;;0;Matches
183;Caner Erkin\Caner-Erkin;tr TUR;DFMF;Beşiktaş;30;1988;22.9;9;1;1;16;9;4;251;18;34;;;0;Matches
184;Oscar Estupiñan\Oscar-Estupinan;co COL;FWMF;Denizlispor;22;1996;6.6;0;0;0;11;10;1;1;2;1;;;0;Matches
