"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
27;Angeliño\Angelino;es ESP;DF;de RB Leipzig;22;1997;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.11;0.03;0.14;0.11;0.14;Matches
28;Angeliño\Angelino;es ESP;DF;eng Manchester City;22;1997;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.02;0.15;0.17;0.02;0.17;Matches
29;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;3;0;25;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
30;Houssem Aouar\Houssem-Aouar;fr FRA;FWMF;fr Lyon;21;1998;5;5;445;1;3;0;0;0;0;0.20;0.61;0.81;0.20;0.81;0.3;0.3;0.8;0.06;0.17;0.23;0.06;0.23;Matches
31;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;6;3;277;3;0;1;1;1;0;0.97;0.00;0.97;0.65;0.65;1.3;0.6;0.0;0.44;0.01;0.44;0.19;0.20;Matches
32;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;30;1989;5;5;415;0;1;0;0;2;0;0.00;0.22;0.22;0.00;0.22;0.5;0.5;0.3;0.10;0.07;0.17;0.10;0.17;Matches
33;Luiz Araújo\Luiz-Araujo;br BRA;FWMF;fr Lille;23;1996;6;3;277;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.14;0.01;0.14;0.14;0.14;Matches
34;Alphonse Areola\Alphonse-Areola;fr FRA;GK;es Real Madrid;26;1993;2;1;135;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
35;Santiago Arias\Santiago-Arias;co COL;DF;es Atletico Madrid;27;1992;2;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.02;0.11;0.12;0.02;0.12;Matches
36;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;eng Chelsea;24;1994;6;6;540;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
