id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
29;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;0.3;0;0;0;0;2;0;0;1;2;0;0;0;1;1;100.0;1;0;1;2;50.0;1;Matches
30;Houssem Aouar\Houssem-Aouar;fr FRA;FWMF;fr Lyon;21;1998;4.9;0;0;0;4;13;1;7;8;2;0;0;0;24;36;66.7;24;2;13;30;43.3;17;Matches
31;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;3.1;1;0;0;6;5;1;0;0;0;0;0;0;6;14;42.9;7;0;0;4;0.0;4;Matches
32;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;30;1989;4.6;2;0;0;9;9;0;5;3;1;0;0;0;6;9;66.7;7;0;8;21;38.1;13;Matches
33;Luiz Araújo\Luiz-Araujo;br BRA;FWMF;fr Lille;23;1996;3.1;1;0;0;4;3;0;4;1;5;0;0;0;7;14;50.0;8;0;2;7;28.6;5;Matches
34;Alphonse Areola\Alphonse-Areola;fr FRA;GK;es Real Madrid;26;1993;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
35;Santiago Arias\Santiago-Arias;co COL;DF;es Atletico Madrid;27;1992;2.0;0;0;0;1;5;0;8;3;3;0;0;0;1;3;33.3;2;0;4;4;100.0;0;Matches
36;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;eng Chelsea;24;1994;6.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;;0;0;0;0;;0;Matches
37;Kwadwo Asamoah\Kwadwo-Asamoah;gh GHA;DF;it Inter;30;1988;2.9;1;0;0;3;5;0;2;1;1;0;0;0;1;3;33.3;1;0;2;6;33.3;4;Matches
38;Majeed Ashimeru\Majeed-Ashimeru;gh GHA;MFFW;at RB Salzburg;21;1997;0.7;0;0;0;0;1;0;0;2;0;0;0;0;0;0;;0;0;2;4;50.0;2;Matches
39;Iyayi Atiemwen\Iyayi-Atiemwen;ng NGA;FW;hr Dinamo Zagreb;23;1996;0.1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;0;1;0.0;1;Matches
40;Serge Aurier\Serge-Aurier;ci CIV;DF;eng Tottenham;26;1992;4.0;0;0;0;6;7;0;10;5;1;0;0;0;6;17;35.3;7;1;10;14;71.4;4;Matches
41;Sardar Azmoun\Sardar-Azmoun;ir IRN;FW;ru Zenit;24;1995;5.2;1;0;0;8;1;3;6;1;3;0;0;1;4;8;50.0;4;1;2;10;20.0;8;Matches
42;César Azpilicueta\Cesar-Azpilicueta;es ESP;DF;eng Chelsea;29;1989;6.8;2;0;0;11;1;0;19;9;12;0;0;0;2;5;40.0;2;0;16;21;76.2;5;Matches
43;Ryan Babel\Ryan-Babel;nl NED;FW;tr Galatasaray;32;1986;3.7;1;0;0;7;6;2;3;1;0;0;0;0;9;11;81.8;9;0;1;4;25.0;3;Matches
44;Leon Bailey\Leon-Bailey;jm JAM;FWMF;de Leverkusen;21;1997;1.3;0;0;0;1;3;0;10;1;0;0;0;0;6;12;50.0;6;0;1;3;33.3;2;Matches
45;Gareth Bale\Gareth-Bale;wal WAL;FW;es Real Madrid;30;1989;1.3;0;0;0;1;2;0;2;0;4;0;0;0;2;3;66.7;2;0;0;4;0.0;4;Matches
46;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;de Dortmund;20;1999;0.1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;100.0;1;0;0;0;;0;Matches
47;Jonathan Bamba\Jonathan-Bamba;fr FRA;FWMF;fr Lille;23;1996;3.1;0;0;0;2;2;0;12;3;3;0;0;0;7;8;87.5;7;0;7;9;77.8;2;Matches
48;Nicolò Barella\Nicolo-Barella;it ITA;MF;it Inter;22;1997;3.2;2;0;0;8;13;0;3;6;8;0;0;0;6;9;66.7;6;0;10;19;52.6;9;Matches
49;Dmitri Barinov\Dmitri-Barinov;ru RUS;MF;ru Loko Moscow;22;1996;5.0;3;0;0;16;5;0;1;5;6;0;0;0;4;4;100.0;4;0;11;25;44.0;14;Matches
50;Ross Barkley\Ross-Barkley;eng ENG;FWMF;eng Chelsea;25;1993;0.8;0;0;0;1;1;0;2;1;0;0;0;0;2;3;66.7;2;0;1;2;50.0;1;Matches
51;Wílmar Barrios\Wilmar-Barrios;co COL;MF;ru Zenit;25;1993;6.0;2;0;0;9;15;0;0;15;23;0;0;0;7;13;53.8;7;2;22;42;52.4;20;Matches
52;Musa Barrow\Musa-Barrow;gm GAM;FW;it Atalanta;20;1998;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;100.0;1;0;0;0;;0;Matches
53;Michy Batshuayi\Michy-Batshuayi;be BEL;FW;eng Chelsea;25;1993;0.9;0;0;0;5;0;2;0;0;0;0;0;0;1;4;25.0;2;0;0;0;;0;Matches
54;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;de Leverkusen;31;1988;3.8;0;0;0;8;2;0;1;9;3;0;0;0;1;2;50.0;2;0;12;20;60.0;8;Matches
55;Ömer Bayram\Omer-Bayram;tr TUR;FWMF;tr Galatasaray;28;1991;2.8;0;0;0;2;6;0;15;1;3;0;0;0;8;14;57.1;8;1;3;5;60.0;2;Matches
56;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;nl Ajax;22;1997;5.0;1;0;0;6;4;1;1;8;10;0;0;0;3;5;60.0;3;0;11;26;42.3;15;Matches
57;Younès Belhanda\Younes-Belhanda;ma MAR;MF;tr Galatasaray;29;1990;3.4;1;0;0;9;4;0;0;6;3;0;0;0;8;13;61.5;8;0;7;11;63.6;4;Matches
58;Karim Bellarabi\Karim-Bellarabi;de GER;FWMF;de Leverkusen;29;1990;4.6;2;0;0;9;1;3;27;4;2;0;0;0;13;26;50.0;17;0;4;13;30.8;9;Matches
59;Lars Bender\Lars-Bender;de GER;DF;de Leverkusen;30;1989;3.0;0;0;0;5;2;1;8;9;5;0;0;0;1;1;100.0;1;0;10;17;58.8;7;Matches
60;Sven Bender\Sven-Bender;de GER;DF;de Leverkusen;30;1989;6.0;0;0;0;6;3;0;0;8;18;0;0;0;0;1;0.0;0;0;15;23;65.2;8;Matches
61;Rodrigo Bentancur\Rodrigo-Bentancur;uy URU;MF;it Juventus;22;1997;3.7;1;0;0;10;7;1;11;11;5;0;0;0;11;16;68.8;12;1;16;22;72.7;6;Matches
62;Karim Benzema\Karim-Benzema;fr FRA;FW;es Real Madrid;31;1987;6.1;0;0;0;2;1;1;1;2;2;0;0;0;11;19;57.9;13;0;2;8;25.0;6;Matches
