Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Performance-PK;Performance-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;Matches;
338;Luca Ranieri\Luca-Ranieri;it ITA;DF;Salernitana;22-163;1999;3.8;0;1;0;0.0;0.26;0.00;0.00;;23.8;0;0;0;0.0;0.0;0.04;0.0;0.0;Matches
339;Andrea Ranocchia\Andrea-Ranocchia;it ITA;DF;Inter;33-229;1988;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
340;Giacomo Raspadori\Giacomo-Raspadori;it ITA;FWMF;Sassuolo;21-227;2000;4.2;1;8;4;50.0;1.90;0.95;0.13;0.25;17.6;2;0;0;0.8;0.8;0.10;+0.2;+0.2;Matches
341;Ante Rebić\Ante-Rebic;hr CRO;FW;Milan;28-012;1993;3.8;1;10;1;10.0;2.62;0.26;0.10;1.00;14.0;0;0;0;0.9;0.9;0.09;+0.1;+0.1;Matches
342;Arkadiusz Reca\Arkadiusz-Reca;pl POL;DF;Spezia;26-108;1995;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
343;Pepe Reina\Pepe-Reina;es ESP;GK;Lazio;39-033;1982;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
344;Bryan Reynolds\Bryan-Reynolds;us USA;DF;Roma;20-097;2001;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
345;Franck Ribéry\Franck-Ribery;fr FRA;MF;Salernitana;38-179;1983;2.7;0;1;0;0.0;0.37;0.00;0.00;;16.0;0;0;0;0.1;0.1;0.09;-0.1;-0.1;Matches
346;Samuele Ricci\Samuele-Ricci;it ITA;MF;Empoli;20-043;2001;5.4;1;2;1;50.0;0.37;0.19;0.50;1.00;26.0;0;0;0;0.0;0.0;0.02;+1.0;+1.0;Matches
347;Tomás Rincón\Tomas-Rincon;ve VEN;MFFW;Torino;33-263;1988;0.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
