id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
39;Asmir Begović\Asmir-Begovic;ba BIH;GK;Milan;32;1987;1.4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;Matches
40;Valon Behrami\Valon-Behrami;ch SUI;MF;Genoa;34;1985;5.2;3;1;1;19;13;0;0;3;9;0;0;0;53;6;5;54.5;Matches
41;Andrea Belotti\Andrea-Belotti;it ITA;FW;Torino;25;1993;21.3;3;0;0;38;72;17;26;4;17;1;0;1;84;60;72;45.5;Matches
42;Marco Benassi\Marco-Benassi;it ITA;MF;Fiorentina;24;1994;10.2;1;0;0;21;6;0;18;4;9;0;0;0;72;5;16;23.8;Matches
43;Ismaël Bennacer\Ismael-Bennacer;dz ALG;MF;Milan;21;1997;18.0;12;0;0;36;23;0;24;32;40;0;2;0;272;21;22;48.8;Matches
44;Rodrigo Bentancur\Rodrigo-Bentancur;uy URU;MF;Juventus;22;1997;14.7;7;0;0;34;16;3;35;24;28;1;0;0;133;20;15;57.1;Matches
45;Romario Benzar\Romario-Benzar;ro ROU;DF;Lecce;27;1992;1.1;0;0;0;2;0;0;7;0;2;0;0;0;7;1;1;50.0;Matches
46;Domenico Berardi\Domenico-Berardi;it ITA;FW;Sassuolo;24;1994;17.9;4;1;0;37;47;5;75;22;16;0;0;0;124;16;22;42.1;Matches
47;Álex Berenguer\Alex-Berenguer;es ESP;MFFW;Torino;24;1995;12.2;3;0;0;21;28;8;33;4;7;0;0;0;77;11;35;23.9;Matches
48;Bartosz Bereszyński\Bartosz-Bereszynski;pl POL;DF;Sampdoria;27;1992;16.6;5;0;0;23;14;1;31;18;21;0;0;0;167;27;20;57.4;Matches
49;Etrit Berisha\Etrit-Berisha;al ALB;GK;SPAL;30;1989;26.0;2;0;0;0;5;0;0;0;0;0;0;0;127;0;1;0.0;Matches
50;Valon Berisha\Valon-Berisha;xk KVX;MFFW;Lazio;26;1993;0.3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0.0;Matches
51;Federico Bernardeschi\Federico-Bernardeschi;it ITA;MF;Juventus;25;1994;8.8;3;0;0;19;14;2;28;2;2;0;0;0;50;1;3;25.0;Matches
52;Andrea Bertolacci\Andrea-Bertolacci;it ITA;MF;Sampdoria;28;1991;3.2;1;0;0;4;7;0;2;1;2;0;0;0;32;4;5;44.4;Matches
53;Lucas Biglia\Lucas-Biglia;ar ARG;MF;Milan;33;1986;5.8;3;0;0;19;5;0;1;7;8;0;0;0;58;12;6;66.7;Matches
54;Cristiano Biraghi\Cristiano-Biraghi;it ITA;DFMF;Inter;26;1992;12.6;0;0;0;13;17;1;100;10;12;0;0;0;64;2;11;15.4;Matches
55;Davide Biraschi\Davide-Biraschi;it ITA;DF;Genoa;25;1994;14.5;1;1;0;21;15;0;16;28;20;0;0;1;140;34;13;72.3;Matches
56;Valter Birsa\Valter-Birsa;si SVN;MFFW;Cagliari;32;1986;0.9;0;0;0;1;0;0;8;2;0;0;0;0;13;1;2;33.3;Matches
57;Dimitri Bisoli\Dimitri-Bisoli;it ITA;MF;Brescia;25;1994;23.9;6;0;0;37;46;6;64;23;47;0;0;0;213;33;35;48.5;Matches
58;Birkir Bjarnason\Birkir-Bjarnason;is ISL;MFFW;Brescia;31;1988;3.3;0;0;0;2;5;0;6;5;2;0;0;0;23;3;2;60.0;Matches
59;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;FW;Fiorentina;32;1987;6.6;2;0;0;12;21;4;4;1;2;0;0;0;25;21;38;35.6;Matches
60;Salvatore Bocchetti\Salvatore-Bocchetti;it ITA;DF;Hellas Verona;32;1986;3.4;2;0;0;5;2;1;0;18;2;0;0;0;40;15;3;83.3;Matches
61;Jeremie Boga\Jeremie-Boga;ci CIV;FW;Sassuolo;22;1997;20.8;0;0;0;12;40;9;20;1;12;1;1;0;95;4;7;36.4;Matches
62;Giacomo Bonaventura\Giacomo-Bonaventura;it ITA;MFFW;Milan;29;1989;9.0;1;0;0;12;18;0;20;5;12;0;0;0;67;6;12;33.3;Matches
